NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
1TomDavies,44575,1025,"@Everton Football Club",109238,35501,"Good luck to @IHCCSoccerMen playing their first game tonight at National Tournaments!!"
,,,,,,"RT @BlackmoorParkJS: @1TomDavies Please vote and retweet for our school to win a new playground. Only school in Liverpool so please help! h…"
,,,,,,"@AaronRamsdale98 Who is this?"
,,,,,,"Introducing Pyro Storm, play with fire and take control! Available now. #Ace17 #HereToCreate @… https://t.co/2UQQfiB1Nq"
,,,,,,"RT @SchoolsFootball: Thanks to @1TomDavies and @AJ3 for coming to the @PSSchoolsCup #TOTR today at @CaldiesPE https://t.co/BBwxW3AoYi"
,,,,,,"RT @Everton: Our thoughts are with those affected by today's tragic events in Barcelona."
,,,,,,"RT @peta: Kasatka is dead at #SeaWorld. Time is running out for the other orcas, RETWEET if you want SeaWorld to release them to seaside sa…"
,,,,,,"RT @adidasfootball: INTRODUCING: @1TomDavies. ///
“Football means everything to me”.
Created in collaboration with @HYPEBEAST.
#ACE17 #Here…"
,,,,,,"RT @adidasUK: INTRODUCING:
@1TomDavies. ///
“Football means everything to me”.
Created in collaboration with @HYPEBEAST.
#ACE17 #HereTo…"
,,,,,,"Good win last night glad to get into the next round. Great support as always!! https://t.co/emxxoQjzDr"
,,,,,,"Thank you all for the birthday messages had the best day!! https://t.co/xF8izBPwPT"
,,,,,,"Massive thank you to all of the fans for a season I'll never forget! Looking forward to doing… https://t.co/iGvKBmgg6H"
,,,,,,"RT @PSSchoolsCup: Huge thanks to Tom Davies &amp; @stephhoughton2 today for their support of the #pssschoolscup Festival, fantastic role models…"
,,,,,,"Some great memories here this season, thank you all for sharing them with me!! @ Goodison Park… https://t.co/iC2dsWsUWo"
,,,,,,"Had a great time last night! Honoured to win the three awards it's been a great season so far,… https://t.co/xkvyKCWIP0"
,,,,,,"Just posted a photo https://t.co/uH3vezxY9J"
,,,,,,"RT @ChesterFC: ✅ | For confirmation of @LiamDavies_10 remaining with the #Blues, click here ➡️ https://t.co/NUwrEmqMvn https://t.co/oi7dzpJ…"
,,,,,,"RT @ChesterFC: GOAL | @ChesterFC 1-1 @wokingfc - @LiamDavies_10 55 minutes. #COYB https://t.co/RAn0GZlxBA"
,,,,,,"Good 3 points today, thanks to the fans!! https://t.co/w37BGPuoXq"
,,,,,,"RT @Everton: Club Statement: https://t.co/xDkptbbamk"
,,,,,,"Great game today, well done lads!! Once again thank you for the brilliant support. 🔵🔵 https://t.co/6FMySlTzU8"
,,,,,,"adidasfootball I am ready. #NEVERFOLLOW #ACE17 https://t.co/DVe7DYK9pJ"
,,,,,,"RT @ChesterFC: ✍️ | The #Blues are pleased to announce the signing of @LiamDavies_10 on a deal until the end of the season. #UTS https://t.…"
,,,,,,"Well done lads!! Congratulations @CalvertLewin14 on the goal and thank for the support. https://t.co/2XcN1tyH9p"
,,,,,,"Good win last weekend looking forward to Sunday! https://t.co/VvEPa2UtXY"
,,,,,,"Another good result, well done lads! Thanks for the brilliant support as always!! #COYB https://t.co/4SEIhsg5gr"
,,,,,,"RT @Everton: 👊 | @1TomDavies wants to see as many Evertonians tomorrow at Goodison Park to help support #EFCU23’s ‘Home is Where the Heart…"
,,,,,,"RT @WeLoveRobDyrdek: Akon raised a BILLION $$ for his solar project in Africa, why is this not being broadcasted on every network??! https:…"
,,,,,,"What a performance today, special moment to get my first goal! Thanks for all the messages. #COYB https://t.co/Xi8eOymQyV"
,,,,,,"Happy New Year!! #COYB https://t.co/eszPUNJ3LL"
,,,,,,"#COYB https://t.co/xeCspJcH2y"
,,,,,,"@Sporf @LiamDavies_10"
,,,,,,"RT @BBCSport: It's absolutely heartbreaking. https://t.co/pBCst8uWZE"
,,,,,,"Best wishes to all at the fund raisers for Clic Sargent tonight @Thebrickpub in memory of Thomas Johnson! Fur&amp;Feather legend R.I.P."
,,,,,,"Can't say am looking forward to it but it's definitely worth it for a brilliant cause!!😴⛄️ https://t.co/ODd2qIOVZ5"
,,,,,,"@SkySportsNewsHQ @anthonyfjoshua @Klitschko @SkySports @Callum1connolly"
,,,,,,"@BigSportGB @LiamDavies_10"
,,,,,,"@30secondindie @harrycharsley"
,,,,,,"@AaronRamsdale98 @England @CalvertLewin14 Hat-trick no??"
,,,,,,"RT @Everton: 👕 | Auctions for @OfficielArounaK and @1TomDavies signed, match-worn shirts in aid of @Bradleysfight end shortly!
https://t.co…"
