NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
APQW,1434,749,"gender editor @nytopinion.",43198,342,"RT @jess7bennett: Me trying to send a sexual harassment newsletter when every 5 seconds there’s a new harasser bc: MEN

But... we did it! I…"
,,,,,,"RT @MiriamElder: Really astute analysis from @Amie_FR on the women “running for president” in Russia’s upcoming vote https://t.co/JsypbExqPb"
,,,,,,"RT @MujMash: Our story on Afghan filmmaker @sadatroya1, who sold her apartment, car, and jewelry to make a film that advances the conversat…"
,,,,,,"RT @txtianmiller: Here's what @bykenarmstrong and I found: When Sexual Assault Victims Are Charged With Lying. @nytimes @ProPublica @Marsha…"
,,,,,,"RT @Sisonkemsimang: I wrote about the vitriol aimed at Grace Mugabe and the politics of being an African First Lady. https://t.co/ZLCbZNFvDe"
,,,,,,"RT @Sophia_MJones: For @nytopinion, I write about how the US is failing in its mission to bolster ranks of Afghan women in security forces.…"
,,,,,,"RT @EllenBarryNYT: What if the people who ran the world knew what it was like to survive an abusive relationship? My profile of Sweden's fe…"
,,,,,,"@sidhubaba @EliasGroll which???"
,,,,,,"RT @AzmatZahra: After nearly two years of reporting, ""The Uncounted"" is out today in the @NYTmag: 

https://t.co/vwDBIgCJiH https://t.co/zI…"
,,,,,,"RT @tariro: My latest: Earlier this month, 26 African girls were found floating in the Mediterranean Sea. Why don't we know their names? ht…"
,,,,,,"RT @diananyad: The NY Times honors me with a platform to speak out today. 
This how we attack an epidemic. #MeToo https://t.co/a4I3o6wZl3"
,,,,,,"RT @maxstrasser: On the official centenary of the Russian revolution, it's a good day to read @nytopinion's Red Century series. https://t.c…"
,,,,,,"@NaomiAllthenews (And then also read her absurdly timely book The Power, which is not only thoughtful, but also unputdownable!)"
,,,,,,"Do read @NaomiAllthenews being calm and wise about the complexities of the post-Weinstein moment: https://t.co/LDWlfvRsq2"
,,,,,,"RT @krista_r_burton: Cats are the worst pet, and the NYT let me write about it. https://t.co/GFICKhnVqL"
,,,,,,"RT @tepingchen: spooooky. A Halloween primer on Chinese ghosts -- a good number of which are beautiful, female &amp; deadly https://t.co/ezgkCT…"
,,,,,,"RT @nytopinion: Listen to @JonBatiste play ""When the Saints Go Marching In"" two ways — plain and in Fats Domino style https://t.co/5ogwUXbr…"
,,,,,,"RT @Amie_FR: Today in #Kabul: Photographer @joelvanhoudt is pasting over 50 of his images of #Afghan refugees on a kilometre stretch of bla…"
,,,,,,"RT @nytopinion: It would be too easy to label Egypt's anti-LGBT crackdown as a distraction, writes @monaeltahawy https://t.co/UTKfPPRHAf"
