NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
ArterysInc,578,174,,847,335,"Come see the latest in cloud supercomputing and AI at #RSNA2017 https://t.co/PSQmE7D9hq https://t.co/14QGmPFtvg"
,,,,,,"@EricTopol @arxiv Here you go: https://t.co/h0i3zMHTCE and https://t.co/EzT2evrRvA"
,,,,,,"@EricTopol @enlitic @ZebraMedVision @baylabsinc @radlogics @IBMWatsonHealth Indeed we have had peer reviewed papers… https://t.co/yXSsHkuEp8"
,,,,,,"Thanks @auntminnie for featuring our  #AI lung nodule research project and our very own @phelixlau in the week lead… https://t.co/jVO0p0gyHE"
,,,,,,"Ecstatic to announce our Series B financing, and to continue building clinical AI tools https://t.co/hT3zGUAeUG https://t.co/7VkZb31ZeV"
,,,,,,"At #GTCDC17? Come hear Carla Leibowitz talk about #DeepLearning use in the clinic in the ""beyond the hype"" conversation tomorrow at 1:30 pm"
,,,,,,"RT @SkipFleshman: Good insights from @AMV companies @evidation and about @ArterysInc in this article. https://t.co/F2r3bmrZkC"
,,,,,,"our very own @DanielIGolden rocking the main stage at #miccai2017 https://t.co/Qzl3ASUnfM"
,,,,,,"RT @DanielIGolden: If you're at #miccai2017 in Quebec City, be sure to check out the @ArterysInc booth for some heartwarming demos. 💕 https…"
,,,,,,"Like our video to vote for @Arterysinc in the @MedTechAwards $10K video competition
https://t.co/z7KIThbJ8Q"
,,,,,,"@ArterysInc is enabling physicians with speed, accuracy, and the power of data driven diagnoses.   #medtechinnovator
https://t.co/jbYTrZYb8y"
,,,,,,"A5: we see a huge need for MDs to connect when serve the same patient but their IT solutions don’t talk to each other #MedTechInnovator"
,,,,,,"A4: our visual, easy to read reports help clinicians can better communicate diagnoses and treatment options with patients #medtechinnovator"
,,,,,,"A2: the SIIM community as well as radiology associations @SCMR, @RSNA , and @RadiologyACR have been a great resource to us #medtechinnovator"
,,,,,,"A1b: our AI tools are built on big data collected from institutions around the world, increasing dx consistenc, accuracy #MedTechInnovator"
,,,,,,"A1a: our cloud platform connects physicians and practices seamlessly, enabling image sharing and consults via a simple URL #MedTechInnovator"
,,,,,,"Carla Leibowitz with @arterysinc. We make cloud/AI tools for improved medical image interpretation  #medtechinnovator"
,,,,,,"RT @GE_Ventures: #Yesterday: Rockstar panel on “Age of Analytics” hosted by
@VentureValkyrie w/ @healthreveal @ArterysInc @Nuvolo_Tech @Arc…"
,,,,,,"@DanielIGolden presenting on Deep Learning as an FDA-Cleared Product Friday at @MUCMD #MUCMD"
,,,,,,"@FierceHealth on how #AI is revolutionizing radiology: 
https://t.co/bZF3DxEEhk https://t.co/uzCtHaigKr"
,,,,,,"RT @alhsiao: https://t.co/KVyd53cV8Z @ArterysInc @AcadRad"
,,,,,,"@mattmcfarland on how AI is transforming medicine: https://t.co/AsT3UGFHUm"
,,,,,,"RT @FuturetechP: @ArterysInc – Improving #MedicalImaging&gt; Listen to it here: https://t.co/GVD5NGbshS https://t.co/9TnbcL0zQG"
,,,,,,"RT @EricTopol: @WSJ @ScrippsSTSI @scrippsresearch @NIH @AllofUsResearch @US_FDA @SGottliebFDA @zakkohane @JAMA_current @Health_Affairs @Dee…"
,,,,,,"RT @MedTechCon: #MedTechInnovator Showcase Spotlight: @ArterysInc - an automated and intelligent platform for medical imaging analysis util…"
,,,,,,"Nice shoutout of our technology.. thanks @sciam
https://t.co/TiZzoj51qB"
,,,,,,"A7: finding disease earlier + determining whether treatment is working faster  #medtechinnovator"
,,,,,,"A6: in SaaS world, value increases w/new features; in med-tech world, cant market features that are not yet cleared   #medtechinnovator"
,,,,,,"A4: We generate value by improving efficiency in reading images and eliminating wasted extra scans / tx that does not work #medtechinnovator"
,,,,,,"#medtechinnovator we believe patients should receive the right diagnosis faster, and know whether their therapy is working ASAP"
,,,,,,"#medtechinnovator q1: helping radiologists interpret medical images much faster and more consistently, reducing both frustration and errors"
,,,,,,"#medtechinnovator q2: our technology adds value to providers, patients, payers and quality organizations"
,,,,,,"Hi! Carla Leibowitz with Arterys here #medtechinnovator #MedTechInnovator"
,,,,,,"Nice shoutout of our technology.. thanks @sciam https://t.co/TiZzoj51qB"
,,,,,,"Last week in Pittsburgh, we picked up this awesome prize. Thanks #SIIM17 for the honor  https://t.co/RwiHjuTHBK #AI #Healthcare #innovation"
,,,,,,"Top #AI companies in #Healthcare by @Berci: https://t.co/sY0YrBaHtd"
,,,,,,"Speaking at @IENAIHealthcare this month on the promise of AI in imaging. Come join us June 26-27! https://t.co/1HUj97Hjw5"
,,,,,,https://t.co/ZXBPQkBj7c
,,,,,,"RT @RasuShrestha: #SIIM17 finalists have been selected!

@ArterysInc
@DukeHealth and 
@AiAiHealthcare

Who will win the 10k prize? #Imaging…"
,,,,,,"@jaxerio discusses how to bring algorithms to the clinic in this excellent feature of @RSIPvision https://t.co/MT7UgCphGv"
,,,,,,"RT @MedTechCon: Out of 600 applicants, 50 companies were chosen for the #MedTechInnovator Showcase - find out more here: https://t.co/KyD2E…"
,,,,,,"RT @reworkhealth: Daniel Golden from @ArterysInc with reducing tedium of #radiology with cloud-based #deeplearning #reworkHEALTH https://t.…"
,,,,,,"RT @teamrework: Join @joinBioBeats @ArterysInc @MIT &amp; many more in a discussion on the impact that #deeplearning has on the #healthcare sec…"
,,,,,,"Don't miss @ArterysInc @jaxerio on AI in imaging #BigDataMed"
,,,,,,"RT @SIIM_Tweets: #SIIM17 #AI's role in Future of #MedicalImaging #AskIndustry @ArterysInc @radlogics @MergeHealthcare  @NuanceHealth
https:…"
,,,,,,"Arterys deep learning FDA-clearance gets shout-out during keynote at #GTC2017 https://t.co/1Vk0TOlTRr"
,,,,,,"Thanks @Redox listing us as one of the most promising healthcare AI companies: https://t.co/Bod1H11yeH"
,,,,,,"Come hear  @DanielIGolden chat about combining cloud and deep learning at #GTC2017: https://t.co/CHnf8D52lW"
,,,,,,"RT @reworkhealth: Early Bird tickets end TODAY! Join Daniel Golden of @ArterysInc at the #DeepLearning in #Healthcare Summit Boston! https:…"
,,,,,,"Deep Learning Is a Black Box, but #HealthCare Won’t Mind https://t.co/kRwk4Wm75N … @techreview @mo_brouillette @jaxerio @ArterysInc #AI"
,,,,,,"RT @jliemansifry: An animated taste of the results discussed in @ArterysInc's first research paper, hot off the press! https://t.co/A8rsKaD…"
,,,,,,https://t.co/IEf9f9py9C
,,,,,,"RT @SVForum: How #AI can solve some of #healthcare's biggest challenges: https://t.co/77Fa9BqTPJ @Stanford @Lumiata @AtomwiseInc @ArterysIn…"
,,,,,,"@DanielIGolden, our Director of Data Science on the promise if Deep learning in radiology https://t.co/0FM0JAmfLF"
,,,,,,"RT @teamrework: Meet Daniel from @ArterysInc, speaker at the #DeepLearning in #Healthcare Summit, Boston #reworkHEALTH #diagnostics #radiol…"
,,,,,,"Thanks @AWSstartups for adding us to the Hot Startups list! https://t.co/UBXZXRHgIG"
,,,,,,"Fabien Beckers, our CEO on how the future of healthcare is cognitive: https://t.co/QRknbsy7v7"
,,,,,,"Did you catch us in @Berci’s newsletter? Read how we’re revolutionizing medical imaging through #AI: https://t.co/rvl1qHi944"
,,,,,,"Interested in #AI + #cardiacMRI @ #ACC17? Visit @ArterysInc at booth 1739 for demos of the latest  today and tomorrow at 10, noon, and 3:30"
,,,,,,https://t.co/JNwKUFGVbL
,,,,,,"Our head of Data Science, Dan Golden, Speaking at #AIByTheBay today https://t.co/uO2GGBqDOs"
,,,,,,"RT @Medworldadvisor: Fitting into existing business and regulatory models has been key to success for emerging AI &amp; Digital Health companie…"
,,,,,,"RT @CATALAIZE: Healthcare legacy infrastructure &amp; doesn't fully leverage its data.
@ArterysInc using Deep Learning instead.
#DigitalMedTech…"
,,,,,,"At tomorrow's #DigitalMedTech Conference—our own Fabien Beckers, CEO will be discussing cognitive technologies: https://t.co/5Zn8dtcjCn"
