NAME	FOLLOWER	LIKE	DESCRIPTION	TOTAL RETWEET	TOTAL_LIKE	TWEET
AyadeLeon	3890	6209	IPPY/ILBA award-winning #JusticeHustlers #FeministHeist #SexWork series #UPTOWNTHIEF+#THEBOSS out now #ACCIDENTALMISTRESS 2018•UC Berk faculty•@UCAFT Local 1474	786622	197	"3/3)Any eating system shd balance potential benefit of weight loss w/:
UNCONDITIONAL self-love
joy
pleasure
realiti… https://t.co/TKInJUie1e"
						"2/3)Some bodies might derive physical benefit from weight loss, but any system NOT based in radical self-love+accep… https://t.co/YNypugXOTU"
						"1/3)Anyone who offers a ""simple solution"" to lose weight is a liar, hustler or both. Bodies are complex+not all ali… https://t.co/n7rOoBa8SH"
						"RT @DefendPR: Comerio, #PuertoRico.

Part of healing involves enjoying life. These are the faces of the future. Let's keep working for them…"
						"RT @DefendPR: The Artists Rise in #PuertoRico. 

“By appropriating figures and icons present in art history, pop culture... I create nautic…"
						RT @InsurgentPrieta: Are you aware of how black people are doing in countries other than yours? What challenges are they facing? How are th…
						"RT @DefendPR: Consider making a contribution this #Sunday to support the work being done in Comerio, #PuertoRico. 

$50 towards local labor…"
						RT @LindaBaconHAES: I'm a Plus-Size Runner and I Got Heckled at the NYC Marathon https://t.co/30ladSq2Dp
						"I was tagged by the dazzling @JoshundaSanders. I write fiction where WOC fight real-life battles, mapping possibili… https://t.co/mkC0WLxTmE"
						RT @SethAbramson: (THREAD) MAJOR BREAKING NEWS: Mike Flynn will plead guilty to Making False Statements at 10:30 AM EST today (Friday). Thi…
						RT @rmayemsinger: I had to break up with my boyfriend because he lied about cheating on me. He admitted lying. It's a shame because he didn…
						"RT @cbpolis: ""I did try &amp; fuck her. She was married. I moved on her like a bitch. She’s now got the big phony tits and everything. I just s…"
						RT @Reductress: How Am I Supposed To ‘Believe Women’ When The Accused Rapist Gave Me His Extra Fries Once? https://t.co/f2Qd6I8i51 https://…
						#WildLife https://t.co/vFbLFwd05H
						Stellar writing on the limitations of language to expose sexual violence by @constancegrady https://t.co/B2e8x5D6xS
						RT @staceyabrams: Angry about the 2 am theft by the Senate GOP? Stay mad and know this isn't over.  What's done in the dark now faces House…
						May he do even more jail time. https://t.co/y7yZWklhuW
						My kid checks out the octopus tank at SF's Aquarium by the Bay. https://t.co/mKCB4bT5ar
						@MikiWali Please do!!
						On the ferry to SF. https://t.co/XRVImpIENr
						"RT @owillis: No Tea Party reaction to this bill proves what we always knew: it wasn't about deficits and spending, it was about having a bl…"
						"RT @LFB27: I've been w my life partner for 13 yrs of marriage/15 yrs of relationship/20 yrs of friendship—this morning, I was STILL sharing…"
						RT @katewillett: I'm sorry I upset people by making fun of Susan Sarandon for being out of touch.  I promise to make it up to her by paying…
						"RT @SenBooker: I’m furious, but this fight is not over. 

In the days and weeks to come, I’ll do everything I possibly can to ensure this e…"
						RT @Lilblackbabies: ?????? https://t.co/TmdrVMt3Jm
						This is so on point. What are you quoting? https://t.co/K5dlfBB9ZX
						"RT @TananariveDue: --My eyes legit teared up when I pressed PLAY on Hulu to watch #ThisIsUs. A reflex. 
--Yep, opening scene, already cryin…"
						RT @Rrrrnessa: It’s a bit strange that my parents brought me to the United States so I could have a better life and this morning I am discu…
						"RT @HillaryClinton: Sometimes it’s hard to know what to do after a loss. Not this time. 
This tax bill is only going to get worse as people…"
						"@freeblackgirl &amp; Claudette Colvin, arrested 9 mos b4 Rosa Parks, but not chosen as face of the movement b/c she was… https://t.co/oc7dkM6Jyv"
						RT @freeblackgirl: I strongly encourage people to read both At the Dark End of the Street and The Rebellious Life of Mrs. Rosa Parks. Nothi…
						"RT @freeblackgirl: We’ve been fed a very patriarchal view of the Civil Rights Movement, which is wholly inaccurate and erases the work of m…"
						"Again, for my beloved progressives who claim no differences btwn Dems+GOP: the contrast is disappointingly subtle a… https://t.co/1NzCpOpwhr"
						"RT @johnpavlovitz: We need to name this:

This isn't about @realDonaldTrump, as vile and horrible as he is.

No, this is a @SenateGOP @Hous…"
						RT @SenWarren: Tonight the @SenateGOP gave a giant tax break to the rich &amp; left everyone else holding the bag. This is about more than econ…
						RT @SenWarren: Working families are already on the ropes – and this #GOPTaxScam is another punch in the gut. We must keep fighting back wit…
						RT @SenWarren: This Congress doesn’t work for working families. It works for corporate lobbyists &amp; campaign donors in backroom deals &amp; 1:30…
						"RT @shannonrwatts: John McCain, undergoing cancer treatment paid for by taxes, just voted to vote to end cancer treatment for taxpayers on…"
						@TananariveDue I got caught up this AM &amp; ugly cried thru the last 2 episodes
						"Profile of a workaholic #WriterMom working on 5 books:

#TheAccidentalMistress #JusticeHustlers
#FeministHeist 3… https://t.co/Q56xFKFHlH"
						"@garrydolive sadly, it was the fearful times we live in that prompted me to dust off the manuscript."
