NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
BenLaurie,4115,128,"Open source, crypto, food, hi-tech toys, making. Oh, and Head of Security and Transparency, DeepMind (note: this is my job, tweets are my own).",4251,477,"And remember to never discuss The Thing outside the room. This is the hardest part. https://t.co/VgwuJTzVqN"
,,,,,,"Excellent! https://t.co/ldsvlPYpjp"
,,,,,,"@ellenspertus @MillsCollege I don't even have a degree ... Doesn't seem to matter."
,,,,,,"RT @Dominic1King: An important question we often get asked at DeepMind Health. Where is the AI in Streams - our secure mobile app for nurse…"
,,,,,,"RT @halvarflake: This. Important piece of history. https://t.co/bQqCM0u8ZH"
,,,,,,"@dgwbirch Tulips."
,,,,,,"Also, @Twitter, @TwitterSupport: sort your quoting out. Jeez."
,,,,,,"Oopsy, Apple. https://t.co/VzyaplqJ3A"
,,,,,,"@pronounced_ing You have (a + 1)b = 54, a(b + 1) = 50. Also b - a = 4. 50 is 2x5x5, so a=1 b=49 or a=2 b=24 or a=5… https://t.co/CCa3RK1tEx"
,,,,,,"RT @lcamtuf: One of the most important OSS security efforts of this decade is the one you have not heard about: https://t.co/MgSOQZbVaD. Ch…"
,,,,,,"@nayafia Or even Wales. :-)"
,,,,,,"What's more, appears this is a remote working job... https://t.co/NgJVCz3hIB"
,,,,,,"@RealSexyCyborg I don't drink soda, and only one coffee a day. Beer on the other hand..."
,,,,,,"@mattb Don't use proprietary NAS ... It only leads to tears."
,,,,,,"@perrymetzger @dgwbirch Tulips."
,,,,,,"@therealfitz Don't worry it's ""only"" .13% of global energy. Can't wait for the tulip moment."
,,,,,,"@lizardbill @cstross @BrianGoetz None so pointless though."
,,,,,,"@cstross @lilianedwards No shit."
,,,,,,"RT @GaryPendergast: Cool, I just went browsing through @expensify's jobs on MTurk. found boarding passes, hotel receipts (name, dates, deta…"
,,,,,,"@julianharris OMG, I love it."
,,,,,,"I know it's wrong and I feel bad but this is exactly what I want. https://t.co/9uhBGSYxE8"
,,,,,,"@MedsManPharm @SaraJBenincasa Best scotch egg ever."
,,,,,,"RT @owenbarder: So gay marriage and abortion rights? https://t.co/OlS7A2EPvh"
,,,,,,"RT @bascule: @galois FYI, I'm potentially interested in trying to formally verify an OSS project using Cryptol/SAW: https://t.co/dQtGRB3rXx"
,,,,,,"@frabcus There's a version of the Apache licence that works for hardware. I'd guess it would also work for data. No… https://t.co/tAjF9N8hob"
,,,,,,"@durumcrustulum @Allan_Wirth Isn't that exactly what proof of work is?"
,,,,,,"RT @Liz_in_Shanghai: China’s state of surveillance: at the end of an office visit to face recognition startup Yitu, they showed me how offi…"
,,,,,,"@ln4711 @zooko Gonna have to Englishsplain (unlike mansplaining, this can be good). When you say ""quite excited abo… https://t.co/FKHcxmUB1s"
,,,,,,"@laparisa You did. OMG THAT IS AWESOME."
,,,,,,"@laparisa Did you make that???"
,,,,,,"@ln4711 @zooko I am pleased you interpreted ""looks broadly sensible"" as ""quite excited"".  :-)

Sensible is not some… https://t.co/oPpH1FtSsQ"
,,,,,,"@zooko Just had a quick shufti at their security white paper. Looks broadly sensible. Going to give it a try. I hop… https://t.co/eTQUiAIVmV"
,,,,,,"@SklarWilton I wasn't necessarily talking about speaking, either - I am not allowed to even attend."
,,,,,,"@SklarWilton And a taxpayer and citizen."
,,,,,,"@SklarWilton I'm not selling anything, I'm an open source developer and security specialist who has given his stuff… https://t.co/4MIDBiXVA3"
,,,,,,"I don't understand the logic that says I cannot contribute to this (and many similar events) because I am not from… https://t.co/xMruN0cm2Q"
,,,,,,"@RoundLiz @nowayhozaifa @HooseHere @FG2Hummingbirds @iowahawkblog The rural juror's aurora furore."
,,,,,,"@iowahawkblog Also, # is not pound. £ is. What is the matter with you people?"
,,,,,,"@iowahawkblog There is no such thing as a chaise lounge."
,,,,,,"@fugueish Definitely worth $50M/hour. Not."
,,,,,,"@NHSDigital @TheShardLondon :-). You said DVDs. A DVD is 1.2mm thick.

22,000 * 1.2mm = 26,400mm = 26.4m.

For case… https://t.co/LII76eTn2h"
,,,,,,"@NHSDigital @TheShardLondon The Shard is less than 26 metres high???"
,,,,,,"@fugueish Bitcoin's astonishing waste of energy allows us to do calculations we could not otherwise imagine?"
,,,,,,"@laparisa Depends whose side you are on?"
,,,,,,"RT @OpenRightsGroup: Why are websites being blocked in the UK? https://t.co/m9T2Wxbsj9 https://t.co/wfWexbSlRQ"
,,,,,,"@colmmacc @matthew_d_green Still going to cost you a context switch isn't it? Also, sounds like a good conversation for HACS."
,,,,,,"Heh. This is hilarious. https://t.co/9z1PDqEp7t"
,,,,,,"This is from https://t.co/FPC1TaWlH2 and is supposed to be funny. But IMO it is also entirely true. https://t.co/bTMmfqtsDF"
,,,,,,"@kevinmarks @ElectricMount Also ... The BBC doesn't have commercial breaks."
,,,,,,"RT @AlecMuffett: What in the name of god? https://t.co/W24NLZlEZ6 /HT @mnot https://t.co/PCKGHE7lHQ"
,,,,,,"@sweis @mjg59 How else are you going to read it?"
,,,,,,"@gdead Don't worry ... Not very many of them are RCEs. Probably. Maybe. If you're lucky."
,,,,,,"@cynicalsecurity How do you join a bug bounty program?"
,,,,,,"RT @HMRoff: For the First Time, a Robot Passed a Medical Licensing Exam - Futurism https://t.co/ZVlTBJN4Uw"
,,,,,,"@PammieJR @Londonist Nell Gwynne of course."
,,,,,,"@InvestAltcoins @Stop007org Lol. ICOs are a mug's game."
,,,,,,"@InvestAltcoins @Stop007org FWIW I am also a fan of transparency. But not bitcoin."
,,,,,,"@fugueish @tqbf Shame our corporate overlords think its the best thing evah, amirite?"
,,,,,,"@wolfoftheair @matthew_d_green You mean like the GDS registers project?"
,,,,,,"@nikitab @paul_pearce @matthew_d_green Why bother with real? Just run an ICO."
,,,,,,"@benjystanton @ldodds @mr_dudders I want one!"
,,,,,,"RT @cynicalsecurity: Scott Aaronson, “The destruction of graduate education in the United States” (blog). https://t.co/bCcinA5548"
,,,,,,"@IlyaSomin @willwilkinson @NiskanenCenter Behind a paywall ... Good plan."
,,,,,,"RT @DeepMind_Health: Want to join the DeepMind Health team? We're looking for Research Scientists and Research Engineers at https://t.co/Ms…"
,,,,,,"@RealSexyCyborg @RichRap3D The second one is cute."
,,,,,,"I've been looking at CareCERT (https://t.co/dYA9W8edVM) - can't find anything on reporting and disclosure of vulnerabilities? @NHSDigital."
,,,,,,"RT @DeepMindAI: Excited for the launch of the @AINowInstitute at NYU! Great to have @katecrawford and @mer__edith looking at the social imp…"
,,,,,,"@spacerog Why?"
,,,,,,"This is entirely unsurprising. https://t.co/DVWgGFwnlU"
,,,,,,"RT @mer__edith: ⚡️The NEWS IS OUT! ⚡️Today we officially launch the @AINowInstitute at NYU! Grateful to be part of an incredible community…"
,,,,,,"@frabcus There is no such thing as a safe programming language."
,,,,,,"Bitcoin: least green person wins."
,,,,,,"@daveg Indeed, but those can be done very cheaply, without all this decentralised nonsense."
,,,,,,"It will be some time (if ever) before we see sensible cryptocurrencies, because those won't make a ton of money for… https://t.co/j83mX0bWhD"
,,,,,,"@dgwbirch But this is achievable without distribution or proof of work. Once more see Trillian (https://t.co/QNc7NuQ4CI)."
,,,,,,"@cynicalsecurity It would be more interesting if the assembler were well written."
,,,,,,"@SwiftOnSecurity Soon? https://t.co/WpJTEEwhXs. For example."
,,,,,,"@_jillruth You missed out mine!"
,,,,,,"@NoelleInMadrid Sponge? Try soda bread first ... Easy and quick."
,,,,,,"Wow! https://t.co/TmnGDghQBO"
,,,,,,"Hmm. @teamcymru use Flash for their graphs: https://t.co/ZhPDYkjZDW.

Should I be amused? Worried? Suspicious? Or j… https://t.co/B6enPikaIR"
,,,,,,"RT @DeepMind_Health: We believe our technology is better when clinicians help design it. Read more about the insights we gained designing w…"
,,,,,,"@emilesnyder Oh yeah, there's something very interesting going on with ML adversarial examples."
,,,,,,"@julianor @cynicalsecurity Ponzi schemes look like that, too."
,,,,,,"Human's have adversarial examples, too: https://t.co/XseLoCBs9k"
,,,,,,"@andreweland GET OFFFA MY LAWN."
,,,,,,"OMG. The tweets are so looong. I'm asleep by the end."
,,,,,,"The definition of a service is remote code execution. Until we learn to write code perfectly, we will always have u… https://t.co/EAR9hOD4SX"
,,,,,,"@fugueish @pfrazee And https://t.co/QNc7NuQ4CI. And certificate transparency."
,,,,,,"@musalbas @kevinmarks Only if they have access to them ... Most binaries presumably would not"
,,,,,,"@k8em0 BTW, I have to report that Bing offered to translate my tweet from Finnish. Sadly, when I agreed, it couldn't do it. (sad face)"
,,,,,,"@k8em0 ""vanilla protein powder""?"
,,,,,,"@MsAnnAguirre Yup."
,,,,,,"This is an absolutely beautiful thing. Realtime Certificate Transparency made easy: https://t.co/PVMl5Hw6jb. https://t.co/2VWElITzYB."
,,,,,,"@k8em0 I hacked the public domain images from the university of California."
,,,,,,"@bbcpress Slide 10 would have been the honest one to show. This one does not show what you claim it does. @bengoldacre"
,,,,,,"@kragen SWIFT? The thing that's been around for 40 years? PoS: if I have money I get more money? Better than PoW, I… https://t.co/QNxdmHrPRk"
,,,,,,"@pwatsonwailes @callumadamson :-)"
,,,,,,"@callumadamson ""begins"""
