NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
BillGates,41745656,33,"Sharing things I'm learning through my foundation work and other interests...",357715,1396481,"Dr. Krisana Kraisintu has dedicated her life to making medicines more affordable and accessible. Her efforts have s… https://t.co/gTOsVFQxhm"
,,,,,,"11 million people with HIV are alive today because of the medicines that @PEPFAR provides. @ONECampaign #AIDSReport https://t.co/4SX16CUfCd"
,,,,,,"Meet a leader who inspires me: Chief Mumena is challenging long-held traditions in his community to prevent the spr… https://t.co/Lb5gGBVCig"
,,,,,,"The gift that gives back: This holiday season, every @RED purchase will support the fight against AIDS. Our foundat… https://t.co/DeaOdO6I03"
,,,,,,"This is what progress looks like. Now, more than ever, the world needs to reaffirm its commitment to fight HIV/AIDS… https://t.co/ygL5tbTuMk"
,,,,,,"Ahead of #WorldAIDSDay, I want to highlight two heroes who have helped make stunning progress in the fight against… https://t.co/D7a1DOCmY3"
,,,,,,"RT @Lin_Manuel: Gmorning!
Happy #GivingTuesday.
If you don't have a dollar to give, 
you STILL have your time, your focus, your voice. Be g…"
,,,,,,"Everyone knows about Black Friday and Cyber Monday. Tomorrow, I encourage you to join Melinda and me in one of our… https://t.co/2ARLlwUMmD"
,,,,,,"Thanks to the efforts of pharmaceutical companies and their partners, millions of people are receiving the medicine… https://t.co/jLtVSuc0DX"
,,,,,,"This brought a smile to my face. A 13 year-old Swedish reporter named Fatma interviewed Melinda for… https://t.co/oxK0hgroWH"
,,,,,,"I’m amazed by how @NandanNilekani has lent his entrepreneurial passion to philanthropy. I’m delighted to welcome hi… https://t.co/ly8PPvKz98"
,,,,,,"The number of people living with Alzheimer’s is expected to skyrocket in low- and middle-income countries. This is… https://t.co/mTOyWztcBS"
,,,,,,"Access to state-level health trends in India will be a game changer for policymakers and practitioners:… https://t.co/Qz2pibtyXE"
