NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
CharlieRoseShow,122833,160,"Acclaimed interviewer and broadcast journalist Charlie Rose engages America's best thinkers, writers, politicians, athletes, entertainers, business leaders",14829,21019,"RT @charlierose: My statement in full. https://t.co/3kvFrqF2dT"
,,,,,,"Congratulations to @BrunoMars who won 7 AMAs last night, including Artist of The Year. Here, he performs ""That's Wh… https://t.co/CwM6LY4xHN"
,,,,,,"RT @ianbremmer: A wrap up on Trump’s Asia trip &amp; what’s up in Saudi Arabia...don’t miss latest on @CharlieRoseShow. https://t.co/rCMGzvBQ0c"
,,,,,,"“My job as a fiction writer is to make a dramatic machine, and if something true will help me, I'll use it. If some… https://t.co/1JpzFY2A4e"
,,,,,,"“I was told in drama school I was not naturally talented. And so, I went at it. Systematically.” Frances McDormand… https://t.co/w8jR5B2c58"
,,,,,,"“What’s great about a university is that it’s rather chaotic in its encouragement of curiosity and exploration and… https://t.co/045VLtG7Fg"
,,,,,,"RT @FordFoundation: The future of #philanthropy is not about generosity, it is about #justice - @darrenwalker in conversation with professo…"
,,,,,,"""You have to contemplate...you have to be humble in the face of what you don't know.  You have to think deeply.  An… https://t.co/27vjcGz69N"
,,,,,,"Airing tonight on PBS, part 2 of Charlie's conversation about 50 years of @60Minutes with executive producer… https://t.co/w38Tl3ZGGU"
,,,,,,"Tonight on PBS @ianbremmer joins Charlie to break down Trump's Asia trip and the latest on Saudi Arabia.

""But priv… https://t.co/qxoB0fazpu"
,,,,,,"What can history teach us about the present? Who better to answer than documentary film maker @KenBurns ?… https://t.co/VlAESDmy2n"
,,,,,,"Tonight for the hour, Charlie talks to executive producer @JeffFager about the past 50 years of @60Minutes.… https://t.co/lkcuFQHfrb"
,,,,,,"Tonight on @PBS Charlie Rose and @JeffFager discuss 50 years of @60Minutes and what makes Mike Wallace's interviews… https://t.co/UJhJbU8JPn"
,,,,,,"In 1997 Chip the Weimaraner, and his owner, photographer William Wegman, joined Charlie to talk about Wegman's famo… https://t.co/BGKKVKDq5T"
,,,,,,"""If you look at what motivates spend-down foundation people, it's really an attempt to replicate achievements they… https://t.co/38lTYGKBvb"
,,,,,,"Live Nation CEO Michael Rapino tells Charlie how the business has shifted from record sales to touring, and how tha… https://t.co/fCsTcIDJhi"
,,,,,,"""We need perpetual foundations like the Ford Foundation and Rockefeller and Carnegie, and we also need those donors… https://t.co/ZEghH95prs"
,,,,,,"Tonight on PBS Live Nation CEO @rapino99 tells Charlie how a global tour for an artist like Taylor Swift comes toge… https://t.co/dNqdai0Jk5"
,,,,,,"RT @hutchowen: Fabulous interview with the great Chris Ware https://t.co/O25HsQzXFo via @charlieroseshow"
,,,,,,"""Inside is the story of what human loss, or what Shakespeare calls the poison of deep grief, can do to apparently c… https://t.co/rUo03EShM7"
,,,,,,"""That's where drugs and alcohol lead me. They lead me to isolation, depression, stagnation, lack of creativity.  An… https://t.co/IbZCqsjQKa"
,,,,,,"""What I sensed was a much darker, and actually much more emotional tale underneath that very crowd-pleasing murder… https://t.co/KyCKmn23td"
,,,,,,"Tonight, American author George Saunders on his writing plans after winning the @ManBookerPrize for ""Lincoln in the… https://t.co/xXMkYmq1Eh"
,,,,,,"""If it's in my heart, I'm going want to put it into a record."" Tonight on PBS, @macklemore on  socially-conscious s… https://t.co/vxPkVvC0z3"
,,,,,,"Last night, Chris Ware, the New Yorker cartoonist, sat down with @CharlieRose. See how his creative process unfolds… https://t.co/P3yChPm3qr"
,,,,,,"Trump ""Still believes, as Steve Bannon and others used to whisper to him, that there's this deep state aligned agai… https://t.co/K62uozLzVD"
,,,,,,"""In Northern Virginia, the suburbs of Pennsylvania, and the suburbs of New York City, suburban independents and swi… https://t.co/iybfjoiqAj"
,,,,,,"""It's a little like losing a Tomahawk missile and then having parts of it shot back at an ally."" @SangerNYT on cybe… https://t.co/vbCDwOn4em"
,,,,,,"RT @blakeburris: Interesting. @AnjaManuel1, author of ""The Brave New World,"" on the rise of China and India @charlieroseshow. https://t.co/…"
,,,,,,"This weekend the @nytimes published an exposé on the extent of cyber attacks against, and leaks within, the NSA. In… https://t.co/kId3hy4FCY"
,,,,,,"Wishing a happy birthday to @WhoopiGoldberg today. In 1996 she joined Charlie for the first time. Watch the full ho… https://t.co/xxenooglZ0"
,,,,,,"""They've become a cultural totem...a symbol of my capacity to defend my family in a dangerous world.""… https://t.co/6CwtCv43Os"
,,,,,,"""It's going to be a long time before a party that is, frankly, stained by Trump can erase that stain.""… https://t.co/PyLo4dq1AM"
,,,,,,"""Mothers fight for justice. It's never about revenge. Justice is larger."" https://t.co/ma0AHrlPfe"
,,,,,,"@nytdavidbrooks @PBS Watch the full conversation with @nytdavidbrooks here: https://t.co/c7B6bxUY4r"
,,,,,,"""We've forgotten all the arguments."" @nytdavidbrooks on the ""liberal"" response to populism. Tonight on @PBS. https://t.co/hEG5cOZu4o"
,,,,,,"""He's destroyed the Republican Party as I know it."" @nytdavidbrooks assesses the damage done by President Donald Tr… https://t.co/yNrYawqFaJ"
,,,,,,"""It's not just Trump. The Republican Party has become the party of people who are rejecting globalization — or at l… https://t.co/ku3f3TmsvO"
,,,,,,"RT @IronMaiden: Bruce talks #WhatDoesThisButtonDo on @CharlieRoseShow

https://t.co/cfKarGqgFi"
,,,,,,".@SherylCrow explains how music changes our molecules! #OffTheTable https://t.co/6axmOVrVmT"
,,,,,,"""They're walking away from principles that have guided the party for so long."" Tonight, @costareports on GOP defici… https://t.co/YS7XiDx1ck"
,,,,,,"Frances McDormand tells Charlie: ""I was told in drama school I was not naturally talented"". Tonight she talks about… https://t.co/YPMQ5ZaaOw"
,,,,,,"""I always wanted to play a cowboy."" Frances McDormand on channeling John Wayne for her role as a mother searching f… https://t.co/gcnK1gUb4G"
,,,,,,"""It's almost an act of bravery to go to work in the Federal government.""  Michael Lewis on career employees at… https://t.co/Cl9dIAXUFK"
,,,,,,"Congratulations @ChrisStapleton on winning CMA awards for Album of the Year and Male Vocalist of the Year. Special… https://t.co/jUdzLPAmHN"
,,,,,,".@Eater and @ccfuhr dish on Charlie's interview with @Bourdain &amp; @jeremiahtower : https://t.co/jGLvAuZjHE"
,,,,,,"Increased millennial turnout a ""a two-way sword for Democrats,"" says @GeraldFSeib: https://t.co/5H0BngAFXZ"
,,,,,,"RT @MidWestMet: #IronMaiden Bruce Dickinson will always rock. https://t.co/lioi6IcWC7 via @charlieroseshow"
,,,,,,"""It's a spark...it can be one minute that flips a switch, and you think, 'Yes, I can.'"" Bruce Dickinson on courage: https://t.co/cUMCO9HFvE"
,,,,,,"""You know what I finally did? I stopped moaning and whining. I went out and raised money and tried to do my very be… https://t.co/ii9pp4XcDr"
,,,,,,"""I screamed. I shouted."" @donnabrazile on trying to get the Clinton campaign's attention during the 2016 election s… https://t.co/SKHYknLjPq"
,,,,,,"There is ""no way not to read this election as being all about the president."" Tonight, @hughhewitt on Democratic El… https://t.co/SRJt7tnhPL"
,,,,,,"@Regiment54 Yes. @MrChuckD appeared on the show in 2000, as part of a panel discussion on Napster. @Nas was at the… https://t.co/lwCyg1aCKL"
,,,,,,".@IronMaiden frontman Bruce Dickinson is on the show tonight. (Yes, you read that correctly.) Here he is on the def… https://t.co/JryMxup0hc"
,,,,,,"RT @GeraldFSeib: Looking forward to talking elections with @charlierose on @CharlieRoseShow tonight along w/ @SusanPage and @hughhewitt."
,,,,,,"President Donald Trump has arrived in Beijing for his state visit. WATCH: Robert Gates on Xi Jinping and current U.… https://t.co/AOZzfJXZn7"
,,,,,,"“I’m the president because citizens were looking for a change, not because I convinced them of the change...being p… https://t.co/aUFGajVD1X"
,,,,,,"""He's brash. He's bold...he has a tendency to be impulsive."" @IgnatiusPost on Saudi Arabia’s Crown Prince Mohammed… https://t.co/TKj9kGc286"
,,,,,,"""I think Xi Jinping and the Chinese want this to be Mar-a-Lago 2."" David Ignatius discusses President Trump's China… https://t.co/lHALVjgQ54"
