NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
ChrisChoy208,541,255,"Ph.D. student @StanfordCVGL. I like cool math and neat code.",114148,863,"I have wondered what was the point of explicitly zeroing out gradients every iteration in PyTorch. I guess this ans… https://t.co/RCzwHyt0B5"
,,,,,,"Wow, never thought that I would binge-watch US Space Program Senate Hearing. https://t.co/hzJQPvFyat"
,,,,,,"We haven't taught what a stroller is to the neural network and it is confused 🤔 https://t.co/yVThpWxbGG"
,,,,,,"Parallel mesh voxelization https://t.co/Z0dCwTubHn"
,,,,,,"Seems like my trained network prefers cats over dogs. Variance is higher on dogs when they are adjacent to cats. https://t.co/WFltvkzKPp"
,,,,,,"RT @PyTorch: Pyro, a probabilistic programming language on top of @PyTorch from Uber AI Labs
https://t.co/pSS2koFLDG
https://t.co/Zy7qDAKVxg"
,,,,,,"@abursuc Haha yes I liked their 'adaptive fastfood transform'"
,,,,,,"Saw 'deep ...' on my friend's bag of chips. Surprised, grabbed it and it reads 'deep fried'. Enough deep learning for today."
,,,,,,"@wnylol Yes, I think I replied. Let me know if you have more questions."
,,,,,,"@sharelatex server is getting more unreliable as the deadline approaches. Should I just use github?"
,,,,,,"RT @NvidiaAI: NVIDIA #GPUCloud empowers AI #researchers w/ fast access to DL #frameworks like #PyTorch. Download the brief: https://t.co/7Y…"
,,,,,,"RT @ml_review: SEGCloud: Semantic Segmentation of 3D Point Clouds

By @StanfordCVGL (@ChrisChoy208 @silviocinguetta)

https://t.co/oiVaxZEp…"
,,,,,,"RT @weballergy: 'Auto-Differentiating Linear Algebra' https://t.co/XH7tp3wSeP #MachineLearning"
,,,,,,"Second order method for NN training?! https://t.co/Lu60foWtCM"
,,,,,,"Read arxiv in HTML format: https://t.co/2S1u64JVSX"
,,,,,,"RT @adnothing: SEGCloud: Semantic Segmentation of 3D Point Clouds https://t.co/3GVxaLfqZA https://t.co/sI9b2EI43l 👍 @ChrisChoy208 @silvioci…"
,,,,,,"GAN as a Log Barrier method for Constrained Optimization for Reconstruction: https://t.co/6FC1AywXfz"
,,,,,,"Best of all worlds: mxnet neural networks + pytorch data loader + tensorboard?"
,,,,,,"Theano retired! It was the first and the only framewk that supported 3D conv back when I worked on 3D projects. Enjoyed and disliked it."
,,,,,,"RT @ow: This IKEA AR app is LIT https://t.co/rljyQ3SBDA"
,,,,,,"@Stanford CS dept internet is down again. LTE seems to provide more stable internet conn. than Stanford CS which contributed to it."
,,,,,,"Making a custom CUDA function in pytorch https://t.co/0X7CN3U8Nh"
,,,,,,"@ozansener Sure, theoretically, it makes sense. But, max(|grad|-1,0) works essentially like clipping. I guess it bo… https://t.co/FbrOog3fCo"
,,,,,,"@ozansener Right, but grad &gt; 1 violates the Lipschitz constraint whereas grad &lt; 1 doesn't. I am not sure we can treat those equally."
,,,,,,"Kantorovich-Rubinstein duality says we only need |f|_L &lt;= 1, the gradient can be smaller than 1, not necessarily 1."
,,,,,,"Does anyone know why the improved Wasserstein GAN uses regularization (\nabla D - 1)^2 rather than max(\nabla D - 1, 0)^2 ?"
,,,,,,"Visiting Korea from today and will give talks at NAVER, Kakao brain, KAIST, etc. Let me know if you want to meet up!"
,,,,,,"DeformNet: Free-Form Deformation Network for 3D Shape Reconstruction from a Single Image https://t.co/8ToP48zYWX https://t.co/xoCYMEJKjq"
,,,,,,"@_naveenmysore Hopefully, it might take shorter!"
,,,,,,"Research Idea #264: watermark removal from licensed video"
,,,,,,"Do I really have to cite an arXiv paper? https://t.co/7MTLD3zH9C"
,,,,,,"Approx. or reducing var. by avg. x + N for grad computation might seem naive, but it is a simple working solution for many problems."
,,,,,,"Adding Gaussian noise to x: SmoothGrad https://t.co/YfgC0AGu7L, BlackBox VI https://t.co/FiolsqLs9P, Instance Noise https://t.co/JJialsyTau"
,,,,,,"Lesson I learned at CVPR17 in Hawaii: take a scuba diving class"
,,,,,,"@RanjayKrishna Another creative, yet informative poster! https://t.co/cSuDbOiZ2i"
,,,,,,"RT @silviocinguetta: Our work on sport activity understanding at CVPR17 has been featured in a recent blog by Nvidia  https://t.co/ZhRizeqz…"
,,,,,,"Our work at #CVPR2017 was featured in the NVidia AI blog! Greak work @namhoonlee09 https://t.co/czUKc6b7s3"
,,,,,,"Went for a ride in #Tesla P100D with SOTA autopilot @ #CVPR2017. 1.1G acceleration was  ludicrous as advertised! Th… https://t.co/CQAk8BuQYl"
,,,,,,"NVidia CEO Jensen Huang presented Tesla V100 for the first time @ #CVPR2017 and we got one! https://t.co/NNNsff7VNk"
,,,,,,"We got the first V100 #CVPR17 ! @StanfordCVGL @silviocinguetta https://t.co/Sp4NdCXyFB"
