NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
CristinaAlesci,11301,231,"Money and Politics Correspondent for @CNN, unraveling complex connections, conflicts of interest and government ethics. https://t.co/P9J4hQJAHL",53043,4090,"RT @jmalt87: Potential for corporate tax cuts are fueling a record stock market rally, but its effect on middle class jobs and wages is que…"
,,,,,,"Flynn charged with one count of making a false statement via @jeremyherb https://t.co/5mJdzbJwqj"
,,,,,,"BREAKING: Flynn charged w/ making false statement to the FBI https://t.co/uwSvQosqGh"
,,,,,,"If you have any doubts about what companies will do with their tax savings under the GOP plan, listen to CEOs who s… https://t.co/7j5Kqyo7zP"
,,,,,,"A must-read by @waltshaub: The White House ethics ship is sinking in the swamp https://t.co/UKNAjaNa56"
,,,,,,"RT @jeffzeleny: A year after saying: ""I'm not going to have time to go golfing,"" Trump could be on track to triple Obama's time on the cour…"
,,,,,,"The IRS made it harder for hackers &amp; leakers to get their hands on the President’s tax returns. Here’s how https://t.co/OyHH6iOrx5"
,,,,,,"It's the 100th day President Trump has spent at one of his properties per @danmericaCNN; clearly, Trump is ignoring… https://t.co/HMfnOiY5XQ"
,,,,,,"RT @TheLeadCNN: IRS beefs up security for Trump's tax returns https://t.co/2DUfUlNTmv @CristinaAlesci reports @jimsciutto #TheLead"
,,,,,,"RT @TheLeadCNN: Source: Flynn's lawyers cut off talks with Trump's team https://t.co/HeDcMd2Mqb @ShimonPro reports @jimsciutto #TheLead"
,,,,,,"RT @ShimonPro: Decision to cease informal information-sharing could be an indication Michael Flynn is preparing to plead guilty in Special…"
,,,,,,"Another Trump-branded property will lose the Trump name; my report w/ @JohnBerman for @TheLeadCNN https://t.co/mPbl48Zvj1"
,,,,,,"Trump Soho is dropping the Trump name; this follows the building's restaurant shuttering due to a decline in busine… https://t.co/JFoSoMu9jE"
,,,,,,"RT @JuddLegum: Trump Soho no longer wants to be called Trump Soho, paying Trump Org to go away https://t.co/WP13WSVpKY"
,,,,,,"Here’s the press release on Trump SoHo https://t.co/AVuJgkZdHQ"
,,,,,,"News: A likely rebranding for Trump SoHo. Trump Org just announced a buyout of ""the remaining term of the management and license agreement."""
,,,,,,"RT @selenalarson: Justice Department set to sue to block AT&amp;T-Time Warner deal 

""His tweets could potentially now be cited by AT&amp;T as circ…"
,,,,,,"Mueller moves closer to Trump’s inner circle: to question the confidant, lawyer &amp; PR specialist via @Marshall_Cohen https://t.co/5ZMpcnAkRH"
,,,,,,"This is a pretty big deal.... https://t.co/VoanDo4Bqn"
,,,,,,"How &amp; why the ""Republicans are going for broke -- legislatively and politically"" w/ their tax cuts package, accordi… https://t.co/6lPACbXGEh"
,,,,,,"Heading to emcee @JDRF’s Promise Ball. The goal is to raise $2M for T1D research. Let’s do this!#JDRFPROMISEBALL… https://t.co/MqHChNvx2F"
,,,,,,"Dems call for Commerce IG to investigate Wilbur Ross https://t.co/2X4HSmlejJ"
,,,,,,"Podesta Group on the verge of shuttering amid ties to Mueller probe; read @kpolantz @KaraScannell story https://t.co/EW2fQ8GlUs?amp=1"
,,,,,,"Oversight members @TGowdySC &amp; @RepCummings met w/ @waltshaub this morning to discuss ideas for better governments e… https://t.co/TbrzItoN7e"
,,,,,,"Commerce is still not addressing Ross's ""phantom"" $2B; only saying it ""will not respond further"" to the Forbes article cc @TomKludt"
,,,,,,"Commerce on Forbes story ""cites former employees, without full knowledge, &amp; all but one anonymously – we will not respond further."""
,,,,,,"Dems &amp; gov. ethics groups: Secretary Ross should've gone beyond requirements to disclose biz ties to Russian elites https://t.co/jgsTSWPzXh"
,,,,,,"Wilbur Ross company's ties to Russian elites &amp; why it matters; my discussion with @richardquest  https://t.co/6UOIoQf2CW"
,,,,,,"My hit this morning with @PoppyHarlowCNN on Wilbur Ross. More to come... https://t.co/WvKwuQAXNL"
,,,,,,"Up now on CNN discussing Wilbur Ross."
,,,,,,"RT @DavidWright_CNN: Statement from spox for Commerce Sec. Wilbur Ross re: Paradise Papers disclosures, via @CristinaAlesci (story: https:/…"
,,,,,,"As I head to @JDRF’s #DCHopeGala in support of #T1D research, thinking about all the strong children I met at… https://t.co/w6dtS5m0ms"
,,,,,,"1.25M Americans are living with #T1D. 5M are expected to have it by 2050 if we don’t do something now. https://t.co/qFf0mQq3TD @JDRF #NDAM"
,,,,,,"Good insight on the tax bill in today’s @barronsonline https://t.co/A9mH1TANOq"
,,,,,,"My husband to cat: “Mommy’s making news for breakfast!” After this, heading to #DCHopeGala w/ my diabetes supplies… https://t.co/tQvHOKZQM0"
,,,,,,"Congratulations to @Starbucks Howard Schultz for being honored tonight by @NAACP_LDF  #NEJAD2017 https://t.co/hc9yUaXMTp"
,,,,,,"Jared Kushner's team turned over documents to special counsel in Russia investigation via @evanperez @PamelaBrownCNN @shimonpro"
,,,,,,"RT @DavidWright_CNN: A look at Robert Mercer's resignation letter sent to Renaissance investors (via @CristinaAlesci) https://t.co/SBXFpKxj…"
,,,,,,"Want to know what’s in the bill? Follow @Phil_Mattingly https://t.co/db5oxZaRLl"
,,,,,,"RT @TimOBrien: How do you overhaul the tax code when POTUS won’t release his own tax returns and show how he would or wouldn’t benefit, ask…"
,,,,,,"@Arturo_Sarukhan I’m a reporter for CNN. Can you please share an email address?"
,,,,,,"RT @waltshaub: Mueller's not the only one investigating, according to @CristinaAlesci. https://t.co/2Jmh4DXNDQ"
,,,,,,"RT @DylanByers: FACEBOOK timeline:
- didn’t happen
- happened, but was small
- ok, semi-big
- ok, it reached 126 million, but no evidence i…"
,,,,,,"RT @evanperez: A little premature statement given the new revelation of guilty plea by Trump foreign policy adviser George Papadopolous htt…"
,,,,,,"After allegedly coercive tactics against tenants in housing run by Kushner Cos affiliate, Maryland’s AG investigates https://t.co/AipGgTuUDc"
,,,,,,"RT @Marshall_Cohen: PAUL MANAFORT INDICTED. As a primer, here are some of his many connections to Russia and Russian interests. https://t.c…"
,,,,,,"RT @PamelaBrownCNN: And now Rick Gates has been asked to turn himself in by Special Counsel Mueller. Now u see why I was careful to say “pe…"
,,,,,,"RT @NormEisen: important @CristinaAlesci story https://t.co/mfpFku2hvx"
,,,,,,"My latest on Kushner Cos; Maryland's AG is investigating one of its affiliates https://t.co/AipGgTuUDc"
,,,,,,"I know I'm a little late to this, but #chuber @StephenAtHome"
,,,,,,".@evanperez to @donlemon on the reality facing Mueller: he knows he has a finite period of time before he needs to show his cards"
,,,,,,"Got it. OGE can't hold the President accountable. Will it answer Qs on Sec. Ross's financial disclosure?… https://t.co/3w8If507qH"
,,,,,,"Congrats to @mkraju for winning a @rtcacaphill award tonight https://t.co/Y4SeSXrXSw"
,,,,,,"Twitter will label political ads, including who bought and spend https://t.co/Cv4E2f9VgT"
,,,,,,"Tune in to @jaketapper at 4pm today https://t.co/uIKsxXUMdW"
,,,,,,"RT @Phil_Mattingly: Flake: ""These offices that we hold are not ours to hold indefinitely...there are times when we must risk are careers fo…"
,,,,,,"Facebook exec making headlines at @cunyjschool. He said humanity won't regret the internet: https://t.co/gT5uFQ6Egi"
,,,,,,"One of the problems w/ our food system? @EMMETT_HW called out subsidies for corn &amp; sugar at today's… https://t.co/gl7OWPX40K"
,,,,,,"RT @LivingUnited: Healthy food has to come out of higher end stores and make it to Walmart for change to happen
~@CristinaAlesci @CNN @Milk…"
,,,,,,"RT @jeremyherb: Rep. Devin Nunes announces Intel and Oversight are launching an investigation into Russia and the uranium deal"
,,,,,,"ICYMI ""I don't know why he lowers himself to such a low standard &amp; debases our country"" @BobCorker told @mkraju about Trump"
,,,,,,"My life &amp; diet changed 2 yrs ago w/ a #T1D diagnosis; one reason I'm excited to moderate today's #MIFHS food panel https://t.co/4GCRUpUP9T"
,,,,,,"#FactsFirst https://t.co/29IhiguGcp"
,,,,,,"RT @Marshall_Cohen: WH spox says WaPo reporting was ""disgusting."" I say the story just got one veteran's grieving family the $25,000 that T…"
,,,,,,"RT @juliakhorowitz: Dispatch from the courthouse w/ @CristinaAlesci 
https://t.co/jtfo4Nkzz2"
,,,,,,"#NewProfilePic https://t.co/Oqdnwmrha2"
,,,,,,"The judge told @CREWcrew that it doesn't have standing just b/c ""you don't like what's going on."""
,,,,,,".@CREWcrew post hearing presser after the judge said he'll decide on the motion to dismiss w/i 30 to 60 days https://t.co/w4Iadlunxh"
,,,,,,"Off to the courthouse to cover @CREWcrew corruption case against Trump https://t.co/jDlpUbwKPo"
