NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Daniel_Nilsen,39446,980,"21 years old. Nike Athlete - Football Freestyler. Big fan of LFC! @Cristiano followed 30/12/12 and met him 06/01/13 and 18/02/14! #Instagram: daniel_nilsen",81533,1753,"REAGERER PÅ MITT FØRSTE TV-INTERVJU 😂😂: https://t.co/bQnuHL76LP via @YouTube"
,,,,,,"@wroetoshaw https://t.co/dPFaXD6s2F"
,,,,,,"IKKE LURT Å LE - Vann i munnen: https://t.co/yjRYTDUOmZ via @YouTube"
,,,,,,"How to Play Like Messi ⚽️⚽️: https://t.co/Sbdb9wldQn via @YouTube"
,,,,,,"SPIN GOAL!⚽️🔥 https://t.co/JuWIN3j5fq"
,,,,,,"Wanna see what I got from @Cristiano after winning the #CR7Challenge? Check out this video!🔥 https://t.co/RrgBTm3aPp"
,,,,,,"I GOT THIS FROM CRISTIANO RONALDO! 😱 😍: https://t.co/RrgBTm3aPp via @YouTube"
,,,,,,"Testing Nike Mercurial Vapor FIRE 🔥🔥⚽️: https://t.co/dPFaXD6s2F via @YouTube"
,,,,,,"Unboxing Nike Mercurial Vapor XI Fire &amp; Ice Pack: https://t.co/V2xfweHenG via @YouTube"
,,,,,,"Daniels trikseskole! LÆR KULE FOTBALLTRIKS #2: https://t.co/b2RExCRt1M via @YouTube"
,,,,,,"JEG KOMMER TIL Å ANGRE PÅ DETTE..😳😩: https://t.co/21xPxbCg6N via @YouTube"
,,,,,,"Well done, @Cristiano! #TheBest 🏆"
,,,,,,"SPILLER FIFA 18 MOT FANS⚽️🔥 #1: https://t.co/qWHvSvLmiN via @YouTube"
,,,,,,"ØDELEGGER EN FOTBALL VERDT 1200KR!!😱: https://t.co/a9EGliVrcK via @YouTube"
,,,,,,"LÆRER LILLESØSTER Å SPILLE FOTBALL: https://t.co/nyBcHrZr0Y via @YouTube"
,,,,,,"RONALDO + VINNEREN AV GIVEAWAY: https://t.co/M2CacHP8RW via @YouTube"
,,,,,,"Check out my new YouTube video! Hope you like it⚽️🔥 https://t.co/D7En4cqrDN"
,,,,,,"COMEBACK PÅ FOTBALLBANEN?!: https://t.co/D7En4cqrDN via @YouTube"
,,,,,,"@Cristiano Thank you, legend! Means so much to me⚽️⚽️"
,,,,,,"RT @Cristiano: Happy to announce the #CR7Challenge winner. Congrats @daniel_nilsen ⚽️ 👍 https://t.co/XAMiheAh9i"
,,,,,,"ER BROVOLD89 BEDRE ENN MEG I FOTBALL?! 😳: https://t.co/NAVFhmphBu via @YouTube"
,,,,,,"FIFA 18 GIR MEG ADHD😡: https://t.co/aTSVu4wNaZ via @YouTube"
,,,,,,"NORGES STØRSTE GIVEAWAY?!😱 🎁: https://t.co/N8vRxSnjP5 via @YouTube"
,,,,,,"MEET UP I HOMMELVIK - Freestyle, Panna, Crossbar Challenge: https://t.co/2fSn6slDTp via @YouTube"
,,,,,,"Bestilte jakke, fikk en shorts istedet...😓 | UKESVLOGG #1: https://t.co/4FvKCzstlZ via @YouTube"
,,,,,,"RT @ImDanielDennehy: ""I Don't Care"" ⚠️⚠️⚠️⚠️⚠️⚠️

📹 @zinodegroot 

full video: 
https://t.co/d5qBciCOqy https://t.co/raA69JCrTZ"
,,,,,,"MIN NYE BIL!!! 😍 😍 Audi TT!: https://t.co/qU9aY7Lyqn via @YouTube"
,,,,,,"PRØV Å IKKE LE CHALLENGE!!: https://t.co/LaxfNEOKmV via @YouTube"
,,,,,,"Daniels Trikseskole! LÆR KULE FOTBALLTRIKS #1: https://t.co/PjJ1igWT8X via @YouTube"
,,,,,,"SKOKOLLEKSJON! Hvor mange sko har du?!: https://t.co/f4hluZCzqh via @YouTube"
,,,,,,"Q&amp;A! Var det vanskelig å komme inn i RBK? - Spørsmål og Svar med Daniel Nilsen: https://t.co/tHR2gZgOuh via @YouTube"
,,,,,,"FIFA 17 MOT FANS (Norsk) #1: https://t.co/NQGhDT4fOE via @YouTube"
,,,,,,"Football freestyle with @IbeJordon⚽️ It was a nice experience! https://t.co/YUV982Iz19"
,,,,,,"FOOTBALL FREESTYLE WITH JORDON IBE: https://t.co/YUV98309SH via @YouTube"
,,,,,,"A NEW YEAR of Football Freestyle - Daniel Nilsen: https://t.co/14Q3Ke6XLQ via @YouTube"
,,,,,,"RT @2sporten: Norske Daniel (20) imponerte Premier League-manager med triksing https://t.co/WXrsuMt4Jp #2pl"
,,,,,,"Thanks @nikefootball ✔️⚽️ https://t.co/YNbiwF8lMt"
,,,,,,"RT @MOTDmag: 🎥 | Can your kids do better than these players (and @MOTDmag staff!) The #MOTDKeepyUppy ball comes with our current issue and…"
,,,,,,"#nike https://t.co/N0dDTtVDKx"
,,,,,,"Unboxing Nike Mercurial Vapor XI Floodlights Pack: https://t.co/dq9jgWEu94 via @YouTube"
,,,,,,"MY FIRST NIKE DELIVERY - Unboxing: https://t.co/6sB7qXf6yd via @YouTube"
,,,,,,"PERFORMING FOR NIKE / Lindesnes Cup 2016 - VLOG #4: https://t.co/9YHpefAnlK via @YouTube"
,,,,,,"RT @Daniel_Nilsen: HAPPY BIRTHDAY to the world's best player, @Cristiano!! My idol and biggest inspiration! http://t.co/1QelquOTIo"
,,,,,,"Add me on Snapchat ""daniel-nilsen"" to see more short freestyle videos like this!!🙏🏽⚽️ https://t.co/KUt7y4ndGM"
,,,,,,"Priceless!!🙏🏽🇵🇹❤️ https://t.co/Zkca9fv4gS"
,,,,,,"@trickwik Har spilt på litt diverse klubber. Byneset, Kattem, RBK U16 og Heimdal. Men nå er det kun triksinga jeg satser på! :)"
,,,,,,"@trickwik Takk for det! :) Så deg faktisk på Norske talenter, hehe. Veldig imponerende det du driver med også!"
,,,,,,"#EURO2016 ⚽️🏆🙏🏽"
,,,,,,"RT @MOTDmag: @Daniel_Nilsen is our Favourite Freestyler poll winner - get your kids to check out his #tekkers for @MOTDmag! 🔥 https://t.co/…"
,,,,,,"I recently won the ""Who's your favourite football freestyler?"" poll made by @MOTDmag. Here's a little video⚽️ https://t.co/Efk88tPBhc"
,,,,,,"Thanks guys! Appreciate that one⚽️🙏🏽  https://t.co/LnJ14m4Ep5"
,,,,,,"RT @MOTDmag: Despite a late surge from The  @F2Freestylers it was @Daniel_Nilsen who won! More votes at https://t.co/BaPB2HBOIz! https://t.…"
,,,,,,"Work Hard. Dream Big.💯⚽️ https://t.co/8JjcOuXI4s"
,,,,,,"@stegall46 Thanks mate! Appreciate it😃"
