NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Davos,530899,14246,"The livetweet/automated account of the World Economic Forum. Follow @wef for our main account. Annual Meeting hashtag: #wef 🌍",1359,1984,"How green is your Christmas tree? Here’s how to choose an eco-friendly one https://t.co/tlelRt8f03 https://t.co/R5cdEbfKnu"
,,,,,,"Amazon is using renewables to heat up their offices https://t.co/1Mpckr2Q2h https://t.co/vPrqiyNSUy"
,,,,,,"Scientists have created a silicon beating heart https://t.co/zTW7IxOI8l https://t.co/k2UFkNG29u"
,,,,,,"What destroys start-ups, electric cars aren't green (yet) and other top stories of the week https://t.co/dfVGPcLUXI https://t.co/zGyjslaCYN"
,,,,,,"Here's why poorer countries aren't investing in R&amp;D https://t.co/ByKvrXoOjz https://t.co/w08m9hnIBr"
,,,,,,"LinkedIn founder Reid Hoffman can trace his business success back to a childhood hobby https://t.co/Qd4GaoEotL https://t.co/9Vw1FocXOb"
,,,,,,"Why keeping track of your social media followers can make you miserable https://t.co/ibMXFGNzqu https://t.co/Py4WKORZm1"
,,,,,,"How virtual reality is making people 'well' again https://t.co/qMzyqACymV https://t.co/TD5ybF3RWS"
,,,,,,"Depression affects the brains of males and females differently https://t.co/ceheY3Glf6 https://t.co/ekZG66aNNJ"
,,,,,,"Why faith leads to philanthropy https://t.co/VaVilTL7pr https://t.co/Cpfnxgkjbl"
,,,,,,"India's women are choosing to go to worse colleges than men https://t.co/qeUwtAphHT https://t.co/8lsSmg5s70"
,,,,,,"This is the most expensive city to rent an office - and no, it's not London https://t.co/UwanT9ZnAm https://t.co/xjtrQuSHdG"
,,,,,,"Four big insights into HIV/AIDS that provide hope of finding a vaccine https://t.co/xuIXrGY4XF https://t.co/rhfk2CyEP1"
,,,,,,"Women make up less than a quarter of the world's politicians - but these countries are bucking the trend… https://t.co/4suPCQzwoJ"
,,,,,,"Europe's HIV epidemic is growing at alarming rate https://t.co/hzeZ7xMQbj https://t.co/FPdE3fYzYp"
,,,,,,"Saving forests could cut carbon emissions as much as taking every car in the world off the road… https://t.co/ejwpcQN0UA"
,,,,,,"Joseph Stiglitz: Bitcoin ought to be outlawed https://t.co/bFI2BKGrdt https://t.co/VBDcGCvRrF"
,,,,,,"Chart of the day: How life expectancy has changed over 200 years https://t.co/0Jbqmhu0Ct https://t.co/1BXO3aaASy"
,,,,,,"Photos of maximum-security prisons in Norway and the US reveal the extremes of prison life https://t.co/V4DsHGEPK6 https://t.co/3UjnqhOWnx"
,,,,,,"Taking a sabbatical changed my life. Here's why you should do it too https://t.co/sKaq3NootX https://t.co/CIDmTsDukb"
,,,,,,"Three new initiatives to help you make sense of migration https://t.co/z5IGUAl5Pl https://t.co/hR33DvJCEX"
,,,,,,"The real risk of automation: boredom https://t.co/P6Smez6Jjg https://t.co/LzHoRK1P66"
,,,,,,"The global economy in 2018, according to a Nobel laureate https://t.co/Ft7cnUnpdy https://t.co/TgDdEP9Uaq"
,,,,,,"These are the books Bill Gates, Jeff Bezos, and Elon Musk think everyone should read https://t.co/En1bYdfDmp https://t.co/DAkRQf2pPb"
,,,,,,"Amputees could soon use a brain implant to move robotic limbs https://t.co/FYlFZgHACI https://t.co/VIX7NRMvUL"
,,,,,,"This company is turning waste water into wine https://t.co/mvEuZtSx4Y https://t.co/hxdgHqc9ya"
,,,,,,"Here’s how AI is subtly powering your life https://t.co/Ql1lEiRjmQ https://t.co/hPJHvtmfIx"
,,,,,,"Understanding how plants keep time could have impacts for our health https://t.co/7NBhPm57GC https://t.co/yC1CJxr1LX"
,,,,,,"This brain training program could lower dementia risk https://t.co/eg7ARc1xRC https://t.co/KKZoyOBMpj"
,,,,,,"Should laptops be banned from meetings? https://t.co/DoVdALzLrn https://t.co/8ynREZFrf9"
,,,,,,"#OrangeTheWorld, China's tech women and other top gender stories of the week https://t.co/s4Nfxhxzup https://t.co/94ZrRHZ2zl"
,,,,,,"Why is the anti-global backlash happening now? https://t.co/3KamKxvFjR https://t.co/ZI3xsRroij"
,,,,,,"Black Friday in numbers https://t.co/gZVWdtbdwz https://t.co/YtxvJxNI4R"
,,,,,,"The periodic table of endangered elements https://t.co/gYtai6lqg6 https://t.co/WPi5hpimcT"
,,,,,,"Here's how we can boost research and development https://t.co/j379C5yO4A https://t.co/dPdgJ5uKgm"
,,,,,,"Emerging economies might be deindustrializing too quickly https://t.co/SVJRQ2xMTA https://t.co/8Jn0c0N77C"
,,,,,,"Chart of the day: Bitcoin price passes $10,000 mark https://t.co/4FeJKUz2YO https://t.co/jVEn8fxuY1"
,,,,,,"North Korea says it tested a new ICBM https://t.co/rHgVw9kPWj https://t.co/tlEF291fDz"
,,,,,,"Why we are still convinced robots will take our jobs https://t.co/0Sotwz6HpZ https://t.co/40nPW5azwK"
,,,,,,"Robots still lack this basic human talent https://t.co/EfgTHzlZlg https://t.co/oy8fYfCq8K"
,,,,,,"An Italian architect has designed an eco-friendly flat-pack home https://t.co/046D356lAb https://t.co/tMKAG7g9hD"
,,,,,,"Tiny microbots made from algae could change the future of healthcare https://t.co/56xydheYES https://t.co/mT9fSs9Bz5"
,,,,,,"This species is evolving right before our eyes https://t.co/LQS2mh1iR4 https://t.co/be7HfM5jfX"
,,,,,,"Scientists have built robot muscles that can lift 1,000 times their own weight https://t.co/880dELWIdT https://t.co/XVAIcCbf2O"
,,,,,,"We could soon turn power plant emissions into fuel https://t.co/Aq0Lg000Bv https://t.co/13CsxGie0H"
,,,,,,"Mexico has created the world's largest marine park to protect endangered species https://t.co/H0KtqgdW9O https://t.co/krGpMJpdtr"
,,,,,,"One of Qatar's World Cup stadiums will be made from shipping containers https://t.co/mSSQnWJWs7 https://t.co/zSZwnZymv6"
,,,,,,"This vending machine offers 24-hour food and clothing for UK homeless https://t.co/AEs7w3BCuv https://t.co/02lnxq6fUe"
,,,,,,"These CEOs and top executives reveal their best leadership secrets https://t.co/s7VW3EwF4Y https://t.co/keAlaov8DB"
,,,,,,"How can we find out what people really want from energy? Technology can help https://t.co/JGW7SpCNUH https://t.co/hpS2R2tOwv"
,,,,,,"Batteries can be part of the fight against climate change - if we do these five things https://t.co/NhAAUYSo5W https://t.co/05VsBS417r"
,,,,,,"Verdades incómodas sobre la inmigración https://t.co/kvt303TWDW https://t.co/NdixvyQbGa"
,,,,,,"Here's what 140 successful people had in common https://t.co/fQnU5psULg https://t.co/ykHhjhqviP"
,,,,,,"Why you might not be in control of your own decisions https://t.co/WKKsXVAfzR https://t.co/WLlGKOZWEV"
,,,,,,"Apple's brand-new $5 billion campus is now open https://t.co/8ZujTh2SRM https://t.co/gbjU54dL4O"
,,,,,,"This map shows every ship at sea in real time https://t.co/IbgXhcpV15 https://t.co/6labChYg1O"
,,,,,,"Science says napping is good for us. Here's why https://t.co/rAOn7n4OQE https://t.co/JrAiITLf11"
,,,,,,"Takeaway food boxes are destroying our environment https://t.co/jbQXuzfCrF https://t.co/ErwHL384jJ"
,,,,,,"Here's what machine learning actually is https://t.co/ulsgTgFRhF https://t.co/ZJTxroLerb"
,,,,,,"Black Friday might be dying - and it's getting replaced by something much bigger https://t.co/eX4OA1llzC https://t.co/8f6SHMXveh"
,,,,,,"These London buses are being fuelled by coffee beans https://t.co/tOKdOxmD9g https://t.co/IMbJZXVNoo"
,,,,,,"How drones are being used in Zanzibar’s fight against malaria https://t.co/9eb2xFtEth https://t.co/0Wpbn0aQJ5"
,,,,,,"This Chinese police station is staffed by artificial intelligence https://t.co/eguMPElbC5 https://t.co/H7IFuiwsBd"
,,,,,,"How trade chokepoints pose a growing threat to global food security https://t.co/bWkKP9fQ2V https://t.co/OqVsEcQOZd"
,,,,,,"Why cities aren't prepared for their popularity https://t.co/csAsFg0izU https://t.co/6iHNK6vYTz"
,,,,,,"Why adults need fairy stories https://t.co/y9ztdj6hSI https://t.co/5wHn9RGgkB"
,,,,,,"This Indonesian startup wages war on plastic with edible seaweed cups https://t.co/u5uyBB3E6q https://t.co/D92dIxMAEB"
,,,,,,"Moving to cities has lifted nearly 400,000 South Africans out of poverty https://t.co/3eFgAGxKdW https://t.co/Q9mkYX8FvN"
,,,,,,"This mesmerising animation shows how the US population is ageing https://t.co/6fZPURkTMJ https://t.co/Nhdi6spG1B"
,,,,,,"This is how to prepare for a cyber attack https://t.co/VU7CXCe9el https://t.co/BzVycUs7As"
,,,,,,"This country is introducing hydrogen-powered trains https://t.co/8erA1ldbHH https://t.co/CuQILdJQD5"
,,,,,,"The job market is booming for older workers https://t.co/XdFPHVvbKn https://t.co/sOtLWyHYpp"
,,,,,,"These are the tech companies people most want to work for https://t.co/aiKwX802If https://t.co/d40F1fts3N"
,,,,,,"Is the world running out of new ideas? https://t.co/9RfVuJO3SD https://t.co/V0pUWBu6qW"
,,,,,,"People who seek solitude are more creative, according to research https://t.co/5E5doYZfyB https://t.co/JK6NeY87sV"
,,,,,,"These two countries are asking the rest of the world to stop using coal https://t.co/ILWLorpHeS https://t.co/PLNWLJPDTk"
,,,,,,"Is it worth spending money to keep staff happy? https://t.co/qBR1jNMESD https://t.co/tFkwWpWU9Q"
,,,,,,"#Egypt's #terrorist violence is a reminder of the new normal https://t.co/DvfeOolJEB @igarape_org #conflict https://t.co/k3fbreSTnj"
,,,,,,"Egypt´s terrorist violence is a reminder of the new normal https://t.co/Yey4kEQ1Qw https://t.co/1xe9yrDxD6"
,,,,,,"Too smart to lead; cryptocurrencies need banks and other top stories of the week https://t.co/bMcYTVtZtH https://t.co/tTSnIk94U3"
,,,,,,"These 5 industries will be first to do business in space https://t.co/HUh5UtHhx9 https://t.co/XoyEWxeSc2"
,,,,,,"Tweaking the design of electronic goods could reduce poverty. Here’s how https://t.co/oJQggIHjyd https://t.co/5uAF9PvjBu"
,,,,,,"Asia in the “Second Nuclear Age” – assessing the risks of a nuclear exchange https://t.co/S4XNaLC2uN https://t.co/HcBcQ3GQq0"
,,,,,,"Walmart is using robot cleaners https://t.co/ENtPWr8Cac https://t.co/RaVhBCsmZD"
,,,,,,"Jack Ma warns against the one mistake that can destroy start-ups https://t.co/a6eTQxbEZT https://t.co/bj2IfLYgBk"
,,,,,,"Venezuela's last glacier is about to disappear. https://t.co/3szodHRn3l https://t.co/5KBRcOt6fj"
,,,,,,"On the fake news frontline, the bots may be winning https://t.co/o93Q7f3Zwv https://t.co/m5mKs4nsTm"
,,,,,,"How new technology will help blind people ‘see’ at the cinema https://t.co/5h4AzfzvTh https://t.co/26WlbHybl1"
