NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
DeepIndaba,754,149,"Strengthening African Machine Learning. Join us to learn the state-of-the-art, imagine future applications, form collaborations, build friendships.",2862,1294,"RT @vukosi: #SOCML The planning for the Deep Learning Indaba 2018 has begun. Get I touch with ideas/partner/sponsor/volunteer etc. https://…"
,,,,,,"RT @DeepIndaba: Today we introduce the Deep Learning IndabaX. A Deep Learning IndabaX is a locally-organised, one-day Indaba that helps spr…"
,,,,,,"RT @OsayiIgharo: Of all the parts that need to come together to strengthen the African startup ecosystem, access to future-ready education…"
,,,,,,"We continue to build our community of African researchers in Machine learning, data science, and artificial intelli… https://t.co/Vsdsho3STc"
,,,,,,"Today we introduce the Deep Learning IndabaX. A Deep Learning IndabaX is a locally-organised, one-day Indaba that h… https://t.co/LDtOviuYYV"
,,,,,,"RT @shakir_za: The .@googleresearch PhD fellowship awards have been extended to include Africa. Please encourage good applicants to apply!…"
,,,,,,"We reflect and remember the meeting of our African Machine Learning community at the first Deep Learning Indaba, an… https://t.co/rnn32oZOPX"
,,,,,,"RT @cambUP_maths: Congrats to the winners of the #CUP book prizes! https://t.co/2vbOK8JGjE"
,,,,,,"Thank you to all our prize sponsors, we are forever grateful. @praekelt, @DeepMindAI,@NvidiaAI @AlisonBLowndes,… https://t.co/V6FMJQBFD7"
,,,,,,"The Indaba was an opportunity to celebrate research excellence; just see the titles of work presented! Our new post… https://t.co/WINXumXyWi"
,,,,,,"RT @OxfordStats: @konstantina_pll Spoke at the Deep Learning Indaba in Jo'burg in September. Read about her experience: https://t.co/ZiUlHC…"
,,,,,,"Some more coverage of the Indaba, on SciDev.
https://t.co/2vi53G4QLd"
,,,,,,"RT @UNICEFinnovate: 5 DAYS LEFT. Calling all start-ups with #datascience #AI tech solutions. Apply for seed funding to our Fund now: https:…"
,,,,,,"Indaba reflections: remembering the night we all first met. Fun at .@KatysPalaceBar, the Sandton skyline, and getti… https://t.co/wily4l1mXA"
,,,,,,"Indaba reflections: @AdHabb inspired us with his opening on the importance of our African contributions to AI. https://t.co/7meVMZB5Dx"
,,,,,,"RT @alienelf: I've spent all weekend trying to express how amazing the @DeepIndaba was. Life changing, literally. Every little bit of it. #…"
