NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
DngrDangerfield,253,28,"Teacher turned @cunyjschool journalist. Occasionally humorous, typically sarcastic. Making videos at @cnntech",1294193,17,"RT @GPollowitz: Prince Harry's kids will be Americans. What if one grows up to be president and is in line for the throne at the same time?…"
,,,,,,"RT @AllisonPDavis: My first @nymag cover story...in which @IAMCARDlB absolutely gave me a read. God always finds ways to keep us humble htt…"
,,,,,,"RT @jayrosen_nyu: Have you ever seen Wolf Blitzer do this? Brian Williams? https://t.co/qqBxg3EDir"
,,,,,,"RT @Gothamist: Happy 113th Birthday To Our Miraculously Still Sorta Functioning Subway System https://t.co/XFB3pZVi3S https://t.co/8gebdJ9B…"
,,,,,,"my flake detection is 1000% amazing"
,,,,,,"RT @ambiej: No one works harder than local news reporters https://t.co/VNQVQmGku9"
,,,,,,"RT @JasmineLWatkins: My goal in life is to be as rich &amp; cheap as @KingJames https://t.co/WjewwF9pqJ"
,,,,,,"@HeyLisaMichelle I'M NOT THE ONLY ONE
https://t.co/fzFdoibe5h"
,,,,,,"@MsPerson @sfiegerman @HeySamantha @aimeerawlins @HeyLisaMichelle @richbarbieri @selenalarson @heatherkelly Don't judge us. We tried."
,,,,,,"RT @macfound: #MacFellow @nhannahjones is a journalist chronicling the persistence of racial segregation in American society: https://t.co/…"
,,,,,,"RT @ltsKardashians: The most accurate thing ever said on KUWTK https://t.co/dsoubXgl1s"
,,,,,,"My reaction when a gym newbie tried to give me punching tips. https://t.co/6o0f6onQkC"
,,,,,,"RT @jodikantor: We've uncovered decades of sexual harassment allegations against Oscar collector and liberal lion Harvey Weinstein. https:/…"
,,,,,,"RT @chodger: Yes!! Eating Hawaiin barbecue in Boise, Idaho. My posts about this city are ridiculous because I've met so many fu… https://t.…"
,,,,,,"RT @JosephKahn: I won't accept an offer that makes me edit it down. I will show it in strip clubs if I have to. https://t.co/UTTFJqzfJo"
,,,,,,"RT @sza: lol i member I used to hum around the house n my ex would tell me shut up...LOL BYEE NIGGUHHH🙋🏾😂 https://t.co/4V22vTqLtW"
,,,,,,"RT @yoli_martinez: Louisiana's non-unanimous jury law has racist origins. @JustADCohen takes a closer look for Case in Point: https://t.co/…"
,,,,,,"RT @ChocoMetaphor: Me when I realize my life is a mess but it’s too late to fix anything https://t.co/bwDuYIJWsN"
,,,,,,"RT @HeyLisaMichelle: my seatmate on this flight is nonstop loling at Boss Baby &amp; his only carry-on is a giant ziplock bag of cereal... are…"
,,,,,,"RT @schmidtsam7: The door on our hotel's garage gives you a sense of the winds this morning. Some rooms are beginning to flood. https://t.c…"
,,,,,,"RT @katie_honan: Parkway Village in Kew Gardens Hills, built for United Nations staffers who faced racial discrimination in the 40s #UNGA72…"
,,,,,,"RT @sfiegerman: Apple wants to store your face. It's good there hasn't been any massive data breach in recent days that might make us think…"
,,,,,,"@julpepitone @kyurieff @HeyLisaMichelle Also, A&amp;TT is selling fliphones for $40, which is a ripoff."
,,,,,,"@julpepitone @kyurieff @HeyLisaMichelle No, sadly they do not"
,,,,,,"OMG don't eat that undercooked chicken https://t.co/5sSHAIk8cB"
,,,,,,"RT @maggieNYT: This isn't true https://t.co/sQHlh5xuPf"
,,,,,,"RT @mathewrodriguez: this is why i stay on twitter https://t.co/Q3Ul2iupeq"
,,,,,,"RT @AJEnglish: What is it like to be a Palestinian mother?  #AJShorts https://t.co/Rf4zbjs7DP"
,,,,,,"RT @JordanApps: How I feel after my daily performance of ""All That Jazz"" and ""Cell Block Tango"" in my apartment for no one https://t.co/hIi…"
,,,,,,"RT @HeyLisaMichelle: omg foolproof strategy https://t.co/EfIhzBabft"
,,,,,,"RT @kyurieff: First look at the new Essential phone, created by Android founder Andy Rubin https://t.co/20qk6PmYbj via @DngrDangerfield"
,,,,,,"RT @serenaaaaaa13: solar eclipse (2017) https://t.co/2SwdHMv2zk"
,,,,,,"RT @jaketapper: No I didn't, you dimwitted propagandists. https://t.co/Ym3g7Ssgcf"
,,,,,,"RT @HeyLisaMichelle: morning routine:
-wake up
-check twitter
-scream into the abyss
-toast bagel"
,,,,,,"RT @TRINAoverdose: @TRINArockstarr x @iamcardib on stage together ❤️💎👑 https://t.co/8ptuFNvpuR"
,,,,,,"RT @boywithnojob_: When your sister forces you to spend time with her new boyfriend: https://t.co/sKCUQjRk9X"
,,,,,,"RT @Stiflers_Mom1: AKAs when they're born https://t.co/xcCArg76M8"
,,,,,,"RT @richbarbieri: She's a really, really good editor. F--- we already miss you @aimeerawlins https://t.co/efp06fTHnh"
,,,,,,"RT @Halocarterr: Me doing the absolute bare minimum at work today #monday https://t.co/KNHhaWBRns"
,,,,,,"RT @HeyLisaMichelle: Dating in NYC: a short story https://t.co/D4kzNkyC3Z"
,,,,,,"RT @SarahMaslinNir: Witnessing the walk out in solidarity with copy editors whose jobs are at stake at @nytimes https://t.co/ibqMfw0ZYX"
,,,,,,"RT @laurenarankin: They deserve justice. 
They deserve justice. 
They deserve justice. 
They deserve justice. 
They deserve justice. 
They…"
,,,,,,"RT @SarahMaslinNir: Cleaning out my desk&amp;found the 105 NYC nail salons my amazing intern hit to figure out average price of a manicure http…"
,,,,,,"RT @sfiegerman: Bad things come in threes: first layoffs at HuffPo, then Time Inc and now Vocativ https://t.co/piwMLbzn7Z"
,,,,,,"RT @nyt_institute: “I’ll retire the day I die,” said 76 year-old James Robinson, founder of Bed-Stuy Volunteer Ambulance Corps https://t.co…"
,,,,,,"RT @arethafb: Just completed my last presentation of my high school career and this was by far the most exciting one ✨ https://t.co/3ZaetWE…"
,,,,,,"RT @richard_g_jones: They have arrived! Here's the @nyt_institute class of 2017! #nytsji17 https://t.co/B3gKAhgz1c"
,,,,,,"RT @TrumpDraws: peech https://t.co/niDSPXsJuC"
,,,,,,"RT @ShaunKing: This is the same sadistic Balch Springs Police Department that murdered #JordanEdwards tasering a handcuffed Black man for t…"
,,,,,,"RT @sfiegerman: There are a lot of happy white guys on TV right now https://t.co/7UOWFJFDFG"
,,,,,,"RT @ShaunKing: I need you to know the name #JordanEdwards

The youngest kid killed by American police this year

15. 

An amazing boy. Unar…"
,,,,,,"RT @yoli_martinez: An audit finds that the UC's Office of the President has $175 million in secret reserves https://t.co/vsjYYvvfag https:/…"
,,,,,,"@HeyLisaMichelle @VeepHBO @DavidHMandel @ramyzab omg it's amazing"
,,,,,,"RT @NatashaBertrand: At Paul Manafort rec, @SkaddenArps was hired to provide legal justification for jailing Tymoshenko.Skadden hired his d…"
,,,,,,"RT @BenBartenstein: Produce a racist TV segment in Chinatown &amp; you, too, could get a 1 on 1 with @POTUS https://t.co/gmaRf7ZFzF"
,,,,,,"RT @yoli_martinez: State legislation led these brothers to very different lives by boosting one's chances and diminishing the other's. http…"
,,,,,,"RT @katie_honan: The Lying Press will be the name of the panini shop I open in retirement"
,,,,,,"RT @ItsTimiDuhh: Y'all: You would look nicer if you smiled 

Black Women: https://t.co/pqVPsTLy5O"
,,,,,,"RT @DarbyKathleen: Tell Sen Johnson, who's threatening to report his constituents to the police for requesting a townhall, you stand w Wisc…"
,,,,,,"RT @samuelcnn: This is our teams' required wardrobe for my report on Snapchat &lt;&gt;  Así se tiene que vestir el equipo para mi informe sobre S…"
,,,,,,"RT @jk_rowling: The extraordinary and humane words of Imam Hassan Guillet, at the funeral for the victims of the Quebec massacre.

https://…"
,,,,,,"RT @selenalarson: Sergey Brin at SFO, told me he's here with protestors in a personal capacity, wouldn't give a comment."
,,,,,,"RT @lsarsour: Happening at LAX airport right now. #NoBanNoWall #NoMuslimBan #refugeeswelcome https://t.co/2KnLH8NMwO"
,,,,,,"RT @NYCMayorsOffice: LITERALLY on the ground. Volunteer lawyers are working pro-bono on a Saturday preparing habeus corpus petitions for de…"
,,,,,,"RT @yukvon: Lots of people here. Cars honking as they pass by to cheers at SFO. #MuslimBan https://t.co/K0U0Vf0TJV"
,,,,,,"RT @Gothamist: Cuomo orders Port Authority to assist detainees at New York airports as crowd at JFK continues to grow https://t.co/aGUanxH4…"
,,,,,,"RT @lsarsour: New York Taxi Workers Stand Up. Feeling proud. #Strike #NoBanNoWall #NoMuslimBan https://t.co/4SDwpiBG81"
,,,,,,"RT @lsarsour: Airport protests at JFK, LAX, SFO, Atlanta, Dulles, and O'Hare. Feeling grateful for the solidarity. People are rising up. #N…"
,,,,,,"RT @brianstelter: FYI, CNN made a conscious choice not to show the @PressSec statement live. The decision was to monitor the statement &amp; th…"
,,,,,,"RT @HeyLisaMichelle: when @DngrDangerfield and I aren't dealing with real life today https://t.co/Qyh1Kw6WQZ"
,,,,,,"RT @Cos_or_Jefe: So Malcolm X addressed Steve Harvey, Yeezy, and Ray Lewis half a century ago https://t.co/9r4ulnwuPE"
,,,,,,"RT @jaketapper: It was FBI Director Comey in a one on one who briefed PEOTUS Trump on that synopsis, we can now report. More here --&gt; https…"
,,,,,,"RT @ShaneGoldmacher: Visited the gift shop in Trump Tower today and the hats are...made in China (not official campaign merch but on sale i…"
,,,,,,"RT @RyanLizza: Trump has literally melded his personal businesses with the US government and has announced a pathway for foreigners to subm…"
,,,,,,"RT @AlizaChasan: ""We have much hacking going on,"" Trump says."
,,,,,,"RT @nytimes: O'Reilly tried to derail the career of an employee who refused his advances, according to a letter obtained by NYT https://t.c…"
,,,,,,"RT @jaketapper: CNN: Intel chiefs presented Trump with claims of Russian efforts to compromise him

 https://t.co/2RKIE9NJC8"
,,,,,,"Sen Mike Lee just explained the constitution for 4 minutes. dear god"
,,,,,,"listening to these confirmation hearings https://t.co/ZubIjuohct"
,,,,,,"RT @nytimes: Breaking News: Fox News secretly settled sexual harassment claims against Bill O’Reilly, documents show https://t.co/c8bry91eS8"
,,,,,,"RT @mviser: 1) Trump has already been briefed by intel community.

2) Submitting to such briefings should not be viewed as a favor. It's an…"
,,,,,,"RT @nytimes: New Orleans settled Katrina-era police brutality cases for $13.3 million https://t.co/iW3bO9jPRL https://t.co/I0ABqXMiwJ"
,,,,,,"RT @lamthuyvo: Afghans represent 18% of the world's refugees pop. Many arrived in Germany in 2015, but are stuck waiting on asylum https://…"
,,,,,,"RT @SopanDeb: ""In exchange, Sinclair would broadcast their Trump interviews across the country without commentary..."" https://t.co/XCAUyxvK…"
,,,,,,"RT @joanneprada: Don't tell me you love me, tell me you paid my rent."
,,,,,,"@Dropbox https://t.co/Kgk6hyrX0O"
,,,,,,"RT @monaeltahawy: #Saudi Tweeps reporting that Malak Al Shehri, a student who posted a pic of herself going out w/out headscarf and abaya,…"
,,,,,,"RT @washingtonpost: Syrian troops pull out of Palmyra as Islamic State sweeps back into ancient city https://t.co/300kjnCJqy"
