NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
DwyaneWade,7451506,103,"From Robbins, IL..I'm a father First and everything else after that...",342081,432384,"RT @cavs: Our kick game is on a winning streak too. 👀
 
MORE 📸: https://t.co/6TlRGrTdhE

#AllForOne https://t.co/ECq0dy9Hwa"
,,,,,,"RT @Adriene_Hazel_: “My belief is Stronger than your Doubt!”
-D. Wade 
@dwyanewade 
__________
Make sure your belief in yourself trumps any…"
,,,,,,"Hahaa. Dope. https://t.co/X1fvVJFJlm"
,,,,,,"Yes iam!!! https://t.co/jlPdoChK1Y"
,,,,,,"RT @Hoopslover22: The Love @itsgabrielleu have for @DwyaneWade is real and need dat kinda Love"
,,,,,,"RT @itsgabrielleu: 🤗🤗🤗🤗🤗🤗 #GBR https://t.co/yyLUW1oUwP"
,,,,,,"RT @itsgabrielleu: Terry Crews is a stand-up guy. Literally one of the nicest people in our industry. He is honest, kind &amp; true professiona…"
,,,,,,"RT @FOXSportsOH: Yes, @DwyaneWade is giving an interview but LeBron is watching the Ohio State game and you can hear him cheering on his fa…"
,,,,,,"RT @SLAMonline: There’s a reason why D-Wade has more blocks than any player under 6-5 ever 🙌🏽 (via @cavs) https://t.co/0qf3NAXZ5v"
,,,,,,"RT @itsgabrielleu: Just out here living his best life. He truly loves the game 🤗😍 https://t.co/7cDUUNHYg3"
,,,,,,"RT @itsgabrielleu: Me when they bring negative bullsh🔥t to my door... get that weak shit outta here!! https://t.co/r1mx85zUVj"
,,,,,,"RT @TomCrean: That is REAL IMPRESSIVE company for @VicOladipo to be in. https://t.co/NQVrBviFF2"
,,,,,,"Causal date night! #TheWades https://t.co/je92Zj7N2g"
,,,,,,"RT @henryian33: In honor of my idol, source of motivation and player i look up to @DwyaneWade i'm wearing this tonight for a game.#WayOfWad…"
,,,,,,"Thanks for the love and support! https://t.co/MhNF49zvGO"
,,,,,,"This game. Man oh man. This game. I would play it anywhere on God’s green earth 🌏!!!… https://t.co/WeNSZIuSRV"
,,,,,,"Prayers up for our brother @imanshumpert Good luck on that surgery my brother. Only the Strong survive!"
,,,,,,"RT @treykerby: These Li-Ning @DwyaneWade Essence 2s are straight flames. https://t.co/AgkZv24Nm4 https://t.co/ZnpxxsVR0L"
,,,,,,"RT @TiffanyHaddish: 'She Ready! From the Hood to Hollywood!' is now available on iTunes, Google Play, Amazon, &amp; on-demand! Get it here: htt…"
,,,,,,"RT @SLAMonline: Chris Bosh isn't ready to call it quits.

""I plan to keep my options open as a player"" ➡️ https://t.co/rIg5d7iO3k https://t…"
,,,,,,"RT @CuffsTheLegend: Year 15 👑🐐

28.6 PPG
8.1 RPG
8.5 APG
57.8% FG
42.3% 3PT
76.8% FT"
,,,,,,"Loyalty in sports??? Nahhhhh. It was a better way to handle a 2 time super bowl champion that doesn’t have his top… https://t.co/w4FOzbpsRe"
,,,,,,"The on court jersey exchanged has started. The NFL players do it and i love it every time i see it. It’s the bigges… https://t.co/y8CWFSGHJp"
,,,,,,"My last high school game and my last game for a year. I redshirted at Marquette that next season. https://t.co/ltWQ4HMd0G"
