NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
FHIOxford,13555,126,"Multidisciplinary research institute at the University of Oxford.  We bring careful thinking to bear on big-picture questions about humanity and its prospects.",7331,1327,"We are hiring a new Executive Assistant for Nick Bostrom - You still have 2 more weeks to apply (Deadline Dec 14) https://t.co/EB35WoUlZX"
,,,,,,"Extended application deadline - Apply for the Administrative Assistant position at FHI until next Wed, 29th of Nove… https://t.co/NjdJ18hF2z"
,,,,,,"RT @CSERCambridge: Check out this great new video - an overview of our work on existential risk:
https://t.co/eRuAf5VLpD"
,,,,,,"Two more days to apply: Join our team as our new Administrative Assistant: https://t.co/dZunWyANvh (Also still open… https://t.co/oH675WTARE"
,,,,,,"RT @willmacaskill: ""...expert’s biggest victory was over a bunch of Berkeley undergraduates, who pulled off the improbable feat of doing wo…"
,,,,,,"RT @Global_Policy: Global Policy's top downloaded article in 2017: Strategic Implications of Openness in #AI Development, by Nick Bostrom…"
,,,,,,"Watch Nick Bostrom's conversation with @danieldennett at the Pi Symposium here (with beautiful music by… https://t.co/eOr8QVksoB"
,,,,,,"RT @RoxanneHeston: A survey of AGI projects finds corporate groups focus more on benefitting humanity and are more active on safety than ac…"
,,,,,,"Here is why we should care about the future of humanity @80000Hours https://t.co/Fd9Tya5ZMC"
,,,,,,"RT @ChuritaSRM: Now on stage Nick Bostrom about the big remaining challenges in #ArtificialIntelligence at #Outthink17 #future #innovation…"
,,,,,,"RT @adigital_org: Delighted to have Nick Bostrom from @FHIOxford at #Outthink17 this evening talking about #ArtificialIntelligence #AI • St…"
,,,,,,"RT @Miles_Brundage: We're still hiring for 2 AI safety research roles at @FHIOxford, along with 2 administrative/operations roles + interns…"
,,,,,,"Interesting article by @80000Hours on talent gaps in EA. Fill FHI's talent gaps here: https://t.co/7cqTmv1vII (seve… https://t.co/amfOE3xSkO"
,,,,,,"RT @ulfgg: Daniel Dennett, Nick Bostrom, Christer Sturmark at pi-symposium https://t.co/w7qk0ADlsW"
,,,,,,"RT @CSERCambridge: The application period is now open for the world-class Emerging Leaders in Biosecurity (ELBI) Fellowship from @JHSPH_CHS…"
,,,,,,"Now sold out: Nick Bostrom talking with @danieldennett in Stockholm tomorrow, music by @_JoseGonzalez_ https://t.co/NGM4jBszE3"
,,,,,,"Nick Bostrom talking to @timurban80  (@waitbutwhy)  at #SummitLA https://t.co/tf7ctd44vO"
,,,,,,"RT @UniofOxford: Hear our research fellows Dr @anderssandberg &amp; Professor Nick Bostrom in the new @TWBBC podcast Electric Sheep here: https…"
,,,,,,"RT @CSERCambridge: Watch this incredibly sweet video of our cofounders congratulating the Arkhipovs - recipients of the first Future of Lif…"
,,,,,,"We met some great people at #EAGlobal London this weekend, check out opportunities at FHI here https://t.co/7cqTmv1vII @Effect_Altruism"
,,,,,,"RT @Effect_Altruism: Operations people are high-impact, valuable and in-demand in the EA space - Tanya Singh from @FHIOxford https://t.co/Z…"
,,,,,,"RT @effectivegiving: Practical, applied effectiveness. Very clear talk by Tanya Singh @FHIOxford on importance of strong operations managem…"
,,,,,,"RT @Effect_Altruism: “We may be entering an era where the barriers to entry for engineering biotech are dangerously low” — Andrew Snyder-Be…"
,,,,,,"RT @FLIxrisk: We're honored to have presented the inaugural Future of Life Award to Arkhipov's family Friday night https://t.co/RbZYRlOUG7"
,,,,,,"Come join our operations team! We are looking for a new Administrative Assistant, details here: https://t.co/dZunWyANvh"
,,,,,,"Nick Bostrom, @danieldennett &amp; @_JoseGonzalez_  talk AI and consciousness,  Nov 13 in Stockholm, get tickets here: https://t.co/SibHIAUrAu"
,,,,,,"We're hiring! Applications for two AI Safety research positions at FHI open now https://t.co/7cqTmv1vII https://t.co/DnsrENPQ2X"
,,,,,,"Listen to FHI's @anderssandberg on @TWBBC’s new podcast ‘Enter The Wizard’: https://t.co/kkNPFxAS21 #MyTomorrow"
,,,,,,"RT @stefanmey: This guy really put some fun into the thought on the end of the world.
#TEDxVienna https://t.co/PR5k5RGbkS"
,,,,,,"RT @TEDxVicenza: The last speaker of the day: Anders Sandberg #OnTheEdge
#TEDxVienna
#Ideasworthspreading https://t.co/ODSIanNjnU"
,,,,,,"RT @CSERCambridge: ""We owe it to future generations to carefully consider critical risks to humanity’s survival, however remote, and to tak…"
,,,,,,"RT @CSERCambridge: A great choice! https://t.co/6TkiI1SmGH"
,,,,,,"RT @anderssandberg: ""Oxford’s Dr. Anders Sandberg Combats A.I.’s Threat to Humanity with His Whiteboard"" https://t.co/aRepuEYfev (Whiteboar…"
,,,,,,"Very exciting news, congratulations @terahlyons! https://t.co/qyBVtJP6Zt"
,,,,,,"RT @DeepMindAI: Our 2nd AlphaGo @nature paper! #AlphaGo Zero learns to master the game of Go 'tabula rasa', entirely from self play https:/…"
,,,,,,"RT @anderssandberg: Stuart demonstrates how a very simple DP agent can learn to fool an observer without having a theory of mind: https://t…"
,,,,,,"Last few hours at EAGx Berlin, grab us if you want to have a chat! https://t.co/LnUWuLOQge"
,,,,,,"Want to know more about the control problem? Watch Stuart Armstrong's toy model here: https://t.co/7KpkH5Jyfb"
,,,,,,"RT @Miles_Brundage: Includes written evidence I co-authored with Allan Dafoe on behalf of @FHIOxford: https://t.co/LuaWuhjX1C"
,,,,,,"RT @LordsAICom: Catch up on yesterday's evidence sessions with @DameWendyDBE @wooldridgemike &amp; Prof Bostrom, @FHIOxford here: https://t.co/…"
,,,,,,"Watch Nick Bostrom present evidence to the UK Parliament's Artificial Intelligence Committee https://t.co/heKFvPlvTv"
,,,,,,"FHI researchers advise UK government on Artificial Intelligence https://t.co/fpTXxp2wzh"
,,,,,,"RT @80000Hours: Our new podcast with Christine Peterson (@foresightnano): Why fundamentally insecure computers create global risks: https:/…"
,,,,,,"RT @LordsAICom: Coming up first, at 3.45pm: @DameWendyDBE, Prof Nick Bostrom @FHIOxford, and Prof Michael Wooldridge @CompSciOxford"
,,,,,,"RT @LordsAICom: The news you’ve been waiting for is here! Evidence sessions start Tuesday. We'll be focusing on ‘big picture’ issues &amp; the…"
,,,,,,"RT @80000Hours: We were guests on the @FLIxrisk podcast, especially covering careers that reduce global catastrophic risks: https://t.co/5P…"
,,,,,,"RT @FLIxrisk: ICYMI: Three new papers from @FHIOxford on biosecurity existential risks... https://t.co/YSGZ26KY2d"
,,,,,,"RT @CSERCambridge: ""His coolness had saved the world from nuclear apocalypse. Or so other people said. He knew that, at the time, he had no…"
,,,,,,"FHI is celebrating that we are able to eat cake 34 years later. Happy #PetrovDay https://t.co/3YhAV23wvr"
,,,,,,"FHI is still looking for academic polymaths: Two research positions at FHI in macrostrategy closing soon (29 Sep) https://t.co/9FWdEySwfc"
,,,,,,"RT @MrDanZak: NYT confirms the death of Stanislav Petrov, who 34 years ago next week stopped a nuclear war before it could start. https://t…"
,,,,,,"RT @open_phil: We've launched an AI Fellows Program to support promising PhD students in #ai and #machine learning: https://t.co/yIc3e93Q6P"
,,,,,,"RT @80000Hours: ""...the risks are not low enough to ignore and that more ought to be done to prevent the worst-case scenarios."" https://t.c…"
,,,,,,"RT @APPG_AI: What a great panel of speakers we have today at Evidence Meeting 5: #Governance, Social and Organisational Perspective for #AI…"
,,,,,,"RT @Ox_CyberSec: At the @APPG_AI. Fantastic speakers incl. @Miles_Brundage &amp; @SandraWachter5, seriously proud of quality of discussion. #ho…"
,,,,,,"RT @Miles_Brundage: Look forward to providing oral evidence to the All Party Parliamentary Group on AI today!"
,,,,,,"RT @anderssandberg: The challenge to control complex systems. And the real reason the US became a superpower. https://t.co/xKUerYbrZf"
,,,,,,"RT @PeterSinger: Toby Ord, sets out his views on why the long-term future of humanity matters more than anything else: https://t.co/W5J7ucC…"
,,,,,,"RT @sctwea: Strongly recommend this @80000Hours podcast on the long-term future with Toby Ord &amp; @robertwiblin 

https://t.co/ECIpvB0j7H htt…"
,,,,,,"Great new 80,000 Hours podcast with FHI's Toby Ord on why we should care about the long-term future https://t.co/hzBjkRM1Nd"
,,,,,,"RT @willmacaskill: ""The welfare of future generations should be our number one moral concern..."" https://t.co/JATTX3v9ea https://t.co/OrHT4…"
,,,,,,"RT @FLIxrisk: Human Agency and Global Catastrophic Biorisks by Piers Millett and Andrew Snyder-Beattie https://t.co/TBafeksdLI"
,,,,,,"FHI is looking for interns to contribute to our work in the areas of AI policy, AI governance, and AI strategy https://t.co/qw3CoVSBtF"
,,,,,,"The New Scientist reporting on FHI's research paper: Trial without Error: Towards Safe Reinforcement Learning via H… https://t.co/j2Jde9mkuT"
,,,,,,"RT @FLIxrisk: FLI is looking to hire an AI Policy Lead. If you or someone you know is interested, please get in touch! https://t.co/tQlDpOV…"
,,,,,,"FHI is still accepting applications for two new macrostrategy research positions: https://t.co/7cqTmv1vII (deadline 29 Sept)"
,,,,,,"New paper: A Brief Survey of Deep Reinforcement Learning, w/  FHI researcher @Miles_Brundage &amp; @KaiLashArul, @mpd37 https://t.co/JgmFG8akLF"
,,,,,,"Exciting new @80000Hours podcast on pandemic risks with @robertwiblin and @HowieLempel https://t.co/fper1tGOeD"
,,,,,,"RT @Miles_Brundage: New issue of Health Security has several articles on catastrophic biological risks from researchers at @FHIOxford: http…"
,,,,,,"RT @Effect_Altruism: Owen Cotton-Barratt, Research Fellow @FHIOxford on what AI does (and doesn't) mean for effective altruism #EAGlobalSF1…"
,,,,,,"We are at #effectivealtruism Global in San Francisco this weekend, come chat to us if you are interested in careers in existential risk!"
,,,,,,"RT @OxfordNA: Demystifying the black box of #AI, w/ comments from Oxford's Anders Sandberg. 

https://t.co/PwEc80jdce

via @sciam https://t…"
