NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
FlorencePoirel,1768,627,"Innovate - Collaborate - Educate #GoogleResearchEurope Program Manager #MachineIntelligence @Google ""Nothing ventured, nothing gained!""",723171,79,"RT @samscomparin: Got to buy a mirror...styling your hair in front of the laptop camera feels too YouTubey and I ain't young anymore"
,,,,,,"RT @CatalystPart: Apple's new augmented reality platform lets you build apps just like Pokémon Go https://t.co/Glbu4Hog05 #SocialMedia"
,,,,,,"RT @googleresearch: Should the reviewers of a piece of scientific work be made aware of the identify of the authors? Check out the results…"
,,,,,,"Google urges 'fair and responsible' AI development https://t.co/KZ3Ga9XAyH via @ZDNet &amp; @eileenscyu #ArtificialIntelligence @Google"
,,,,,,"Started reading #callmebyyourname by @aaciman and I am HOOKED! Had to buy the audiobook as well so I could listen t… https://t.co/vu3xQPeH9y"
,,,,,,"Delivery robots in logistics @SwissPost https://t.co/S7FVa8rnzX I need to order something for myself to get this ti… https://t.co/vCZbmSOfh5"
,,,,,,"Mercedes plans more drone deliveries after 100 perfect flights https://t.co/YqqBPxjvx3 via @technology by @ElisBehrmann #drones"
,,,,,,"RT @RaiaHadsell: I gave a TEDx talk back in September - it's finally live! 'AI, video games, and the mysteries of the mind' ... not sure I…"
,,,,,,"A court denied a gay couple the right to adopt for a really good reason https://t.co/dZLtggV50e via @lgbtqnation by @bilerico"
,,,,,,"AI is dreaming up new kinds of video games - Despite the challenges, it’s an area that could reap major rewards in… https://t.co/t7LYwyhj93"
,,,,,,"Wednesday's Favorite: @jacobleemusic - Demons (Philosophical Sessions) https://t.co/Ss1Abavwmn via @YouTube My heart is weak...Take me away."
,,,,,,"Watch the story of the woman who used Google Street View to photograph the world without ever leaving home. @Google… https://t.co/GPvquTIULg"
,,,,,,"Valeo Unveils Artificial Intelligence, Deep Learning Global Research Center https://t.co/6jaA9v0RJZ via @wardsauto by #RemiMurrey"
,,,,,,"RT @BoseUK: How does @Niallofficial get amped before a show? With a little Fleetwood Mac. #SoundLink Micro https://t.co/xfSLjDJDvo https://…"
,,,,,,"RT @meyermat: The #googleassistant is made @ #google_ch in #Zurich. #SchweizAktuell #SRF met with my colleague @behshadbehzadi and his team…"
,,,,,,"New tools to make your job search simpler @google https://t.co/E811nKOi24 by @NickZakrasek"
,,,,,,"Happy Thanksgiving! @ Zürich, Switzerland https://t.co/hBIdMFRMKY"
,,,,,,"I did live in Dublin for the past 4 years and I have to say I loved it. Yes, many things are wrong w/ the city, but… https://t.co/rqdaivuZ9F"
,,,,,,"Disturbing film illustrates the unsettling possibilities of lethal autonomous weapons, and how “#slaughterbots” cou… https://t.co/UgVjzxnFEe"
,,,,,,"@servicepublicfr Bonjour, j'ai soumis un dossier d'inscription au registre des français en Suisse début Octobre et… https://t.co/lI8rdDI85h"
,,,,,,"RT @geekycourtney: Video from @googleresearch @douglas_eck presenting @MLconf SF last week. Cool song demo as well! https://t.co/NkO8NfKsQc"
,,,,,,"RT @antgoldbloom: Proud of how sought after strong Kaggle credentials are among elite employers https://t.co/iPvCvTKbY6"
,,,,,,"RT @KensingtonRoyal: You can watch the #StopSpeakSupport campaign animation here → https://t.co/5A35bfGWfM"
,,,,,,"RT @quasimondo: Another one. https://t.co/n7LSibIpyq"
