NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
FloydMayweather,7899415,783,,907678,2057005,"Victoria Peak
Hong Kong, China
「金錢團隊」 https://t.co/LU0PQ8mXIb"
,,,,,,"Hong Kong, China
「金錢團隊」 https://t.co/PyZinWowSs"
,,,,,,"https://t.co/6mBifyx7TF https://t.co/VADQ33MI61"
,,,,,,"https://t.co/mU9kmLzjuS https://t.co/BurrqMGBi2"
,,,,,,"https://t.co/Z1FRO8UK43 https://t.co/Z2aC3OHRS4"
,,,,,,"https://t.co/KlXdoEVw6x https://t.co/Er4vpYNhf6"
,,,,,,"https://t.co/XT987hqilw https://t.co/pCGLPR6JzS"
,,,,,,"I want to wish my son, @kingkoraun a HAPPY BIRTHDAY! 
Everyone FOLLOW and WISH @kingkoraun A HAPPY 18th BIRTHDAY! https://t.co/smzgkQIRIV"
,,,,,,"RIP Grand Dad.  I️ will always love you. https://t.co/ZBLBrmyFSK"
,,,,,,"I Will Be In China In Two Weeks. 
Can’t Wait!!!! See You Guys Soon https://t.co/jCF7uCgvGR"
,,,,,,"If you’re in Las Vegas next Saturday (11/18) meet me at the Chelsea inside the Cosmopolitan to watch an exciting ni… https://t.co/UsPVP0biRM"
,,,,,,"Let's Start Your Christmas Shopping Early And Visit @RickiBrazil Ladies Treat Yourself To Something Nice, And Fella… https://t.co/zNWlP4PIKt"
,,,,,,"RT @girlcollection: https://t.co/AgVEIrj2PU https://t.co/GdB4gqVOWH"
,,,,,,"RT @girlcollection: https://t.co/p3NCee0xEU https://t.co/xWouKieLXF"
,,,,,,"https://t.co/Jn9q34dkIT https://t.co/N8ivyWR7Vn"
,,,,,,"https://t.co/K7DY9vbPYk https://t.co/H0BrtadOoO"
,,,,,,"https://t.co/mxCyFSLWaN https://t.co/9SWBPsDdHx"
,,,,,,"https://t.co/0wP871IGw4 https://t.co/AD3f0sLbCA"
,,,,,,"https://t.co/hQxvOKhT4m https://t.co/amC2d1I4yz"
,,,,,,"https://t.co/xwx16yD8WP https://t.co/CZ8KO5h6jS"
,,,,,,"https://t.co/3HuA0AtXhC https://t.co/D5Uhgd1ARG"
,,,,,,"https://t.co/KAELb6qL5M https://t.co/HQ9GcWs3M6"
,,,,,,"https://t.co/OtSZEouNCh https://t.co/eQBTr4f5sJ"
,,,,,,"I got that bag...literally &amp; figuratively.

#Hermes
#HermesHac
#HermesDiamondHac https://t.co/8X6E4M9NQz"
,,,,,,"“ROCK-A-BYE-BABY”
https://t.co/E04XN3A9VV https://t.co/e5HF5jRw50"
,,,,,,"With 3 of my 4 children at the home opener for The Clippers vs. The Lakers game.  They are all grown up now &amp; are s… https://t.co/YupLauXpO5"
,,,,,,"https://t.co/jWUzerRgSs https://t.co/ocs170AURW"
,,,,,,"Support my girl @keyshiacole and get her new album #1111Reset now! 
@keyshiacole!! you did it! Get her new album… https://t.co/cnzluhhdWT"
,,,,,,https://t.co/WgwicxJ9HX
,,,,,,https://t.co/z6BVbn660t
,,,,,,"Like fine wine https://t.co/AsOZxFTbIk"
,,,,,,"Best Mouthguard In The Game @IcebergGuards For $99. We Send You A Personal Kit So You Can Have A Custom Fit Guard… https://t.co/tK8NBEUWUq"
,,,,,,"Born ready. https://t.co/FVliki6lnj"
,,,,,,"“MR. UNDEFEATED”
50-0 
‘Undefeated’
Music by Friyie @artofvangogh 
NOW AVAILABLE on iTunes 
GO BUY NOW! https://t.co/OGvXljvQgw"
,,,,,,"My love for the city of Las Vegas is unconditional! 
I put this city on my https://t.co/g9aYEl1IrH https://t.co/BLbYiVjc37"
,,,,,,"Billion Dollar Business https://t.co/BVy2PxCxsk"
,,,,,,"EVERYONE FOLLOW &amp; WISH @MizzMelissia A VERY HAPPY BIRTHDAY! https://t.co/ywtRyh7hTL"
,,,,,,"Exclusive timeless artwork in my Beverly Hills home

#BeverlyHills

#90210

#TBE

#TMT https://t.co/o4IVZZTmpu"
,,,,,,"On behalf of The Money Team and Myself, I want to send my sincerest condolences to the families of Mexico and to… https://t.co/Za3AZ3mmN9"
,,,,,,"Centra's (CTR) ICO starts in a few hours. Get yours before they sell out, I got mine  https://t.co/nSiCaZ274l https://t.co/dB6wV0EROJ"
,,,,,,"When it comes to luxury timepieces, Hublot is in a class of its own! As a collector of great watches,… https://t.co/hTcHcLVAzh"
,,,,,,"Spending bitcoins ethereum and other types of cryptocurrency in Beverly Hill https://t.co/q9VZ3MzpK8 https://t.co/BYyOFUnm8W"
,,,,,,"https://t.co/rFIUcblFIh https://t.co/YBjI7XnlOV"
,,,,,,"RT @lelepons: This video is so good @FloydMayweather @awkwardpuppets @rudymancuso!!!!! 

https://t.co/Je7MkSPNn8"
,,,,,,"RT @tubefilter: Fresh Off His Big Win, @FloydMayweather Sits Down With @rudymancuso’s ‘@AwkwardPuppets’ https://t.co/Qn3LVPXK8H"
,,,,,,"RT @shots: Best @FloydMayweather Interview by @awkwardpuppets via Shots Studios: https://t.co/0Z1npYb95D https://t.co/U7K0mAOR5K"
,,,,,,"I truly love &amp; appreciate my fans. This tattoo artist is unbelievable https://t.co/oJ2kHPoXAb"
,,,,,,"I truly love &amp; appreciate my fans. This tattoo artist is unbelievable https://t.co/w1ltFwVg4u"
,,,,,,"Check your local TV listing on NBC today; Monday, Sept 11, 2017 and tune in on The Steve Harvey Show  for my 1st TV… https://t.co/3cH7eEFAFA"
,,,,,,"https://t.co/ve7zkkGqId https://t.co/0TL2QW7fpN"
,,,,,,"Ladies love to be spoiled. 10 Hermes Birkin Bags cause I can. #hermes #birkin #tmt #tbe https://t.co/zx7Iz4DNQt"
,,,,,,"I do it all for them. Unconditional love. 
#family #children 

https://t.co/CtdEjfq8QJ https://t.co/LnpLrZNu3K"
,,,,,,"Follow my playlist on @Spotify https://t.co/vJUKEwz9zH"
,,,,,,"Check Out @IcebergGuards To Get The Best Mouth Guard For Athletes. #BreatheAbility https://t.co/dd0j1vE6I3"
,,,,,,"RT @awkwardpuppets: I have the first interview with the Champ @floydmayweather since #MayweatherMcGregor fight. It's coming soon to https:/…"
,,,,,,"Texting Bruce, my driver. https://t.co/m78dnq0ivC"
,,,,,,"Las Vegas, come visit @girlcollection 7 days a week. [Song is Will I See You by @Anitta] https://t.co/bhQqjJS39z"
,,,,,,"RT @HugoGloss: O @floydmayweather bem maravilhoso no stripclub dele usando #WillISeeYou de trilha no stories!! https://t.co/vQkGVOzYR5"
,,,,,,"RT @rudymancuso: Coming soon @FloydMayweather @awkwardpuppets @john @shots https://t.co/IJVtgFw4u9"
,,,,,,"I'm going in the Guinness Book of World Records for that heist. @PhilippPlein78 #TMT #TBE https://t.co/2d5AdmA9lg"
,,,,,,"Smile because life is great. #TMT #TBE https://t.co/GAblmczXj6"
,,,,,,"RT @john: thank you @idris_erba https://t.co/OzxTNAtWtB"
,,,,,,"RT @MaiaMitchell: https://t.co/Nq0qUlI0iu"
,,,,,,"@dathanvp Thank you family."
,,,,,,"50 - 0"
,,,,,,"Thank you to the great country of Ireland and all the countries around the world for supporting me."
,,,,,,"@ddlovato Thank you."
,,,,,,"Thank you everyone in Las Vegas and everyone at home who ordered PPV. Thank you @SHOsports and my team… https://t.co/7kwPA2NXRo"
,,,,,,"Without God, none of this is possible. THANK YOU"
,,,,,,"RT @JBALVIN: #TeamMayweather"
,,,,,,"RT @Anitta: #TeamMayweather"
,,,,,,"What were the odds on that? #paddypower #alwaysbetonblack ☘️ https://t.co/EPsbCygfaR"
,,,,,,"RT @lelepons: #TeamMayweather"
,,,,,,"RT @rudymancuso: #TeamMayweather"
,,,,,,"RT @inanna: #TeamMayweather"
,,,,,,"RT @HannahStocking: #TeamMayweather"
,,,,,,"RT @ElJuanpaZurita: #TeamMayweather ⚡️🔝"
,,,,,,"RT @awkwardpuppets: #TeamMayweather"
,,,,,,"RT @shots: #TeamMayweather"
,,,,,,"Head to the theaters tonight to witness me make history! For locations near you, go to https://t.co/lXsQk9LZN2"
,,,,,,"#TeamMayweather https://t.co/vtUvv0hUOp"
,,,,,,"Thank you @hublot for the unconditional support over the years https://t.co/n6MPnqSkgD"
,,,,,,"Talking doesn't win fights."
,,,,,,"RT @john: The official weigh-in with @FloydMayweather. https://t.co/wdqUbAeK4G"
,,,,,,"RT @LEllerbe: Unbelievable atmosphere at the weigh-in, can't wait until tomorrow!!!!!"
,,,,,,https://t.co/tOZDszQ2Sk
,,,,,,"Weigh-in is at 3pm PT today. Make sure to watch it live."
,,,,,,"Conor and I take will take the center stage tomorrow. Live on PlayStation®4 (PS4™). Order #MayweatherMcGregor today https://t.co/ZTqGuv9Gst"
,,,,,,"Watch me fight on @DISH Pay-Per-View. Go to https://t.co/00sSmir6JM for details on how to order #MayweatherMcGregor"
,,,,,,"God believes in me, America believes in me, even the Irish believe in 🤜☘️ https://t.co/0W6jFFfr6B"
,,,,,,"I chose @TequilaAvion, Worlds Best Tequila to commemorate my 50th fight. Grab a bottle of Avion Tequila for fight n… https://t.co/icJA5SaGcm"
,,,,,,"RT @ConorMaples: This @Spotify workout playlist from @FloydMayweather will get you amped for the gym — or for watching the fight https://t.…"
,,,,,,"You can call me Floyd Crypto Mayweather from now on #HubiiNetwork #ICO starts tomorrow! Smart contracts for sports?… https://t.co/u5ahtljk3B"
