NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
FootyFIashbacks,204093,3,"Bringing the most iconic and memorable moments of football from past years back to life.",157046,189357,"RT @WorIdOfFootball: Almost feels like cheating following @Godofgambling ! Absolutely sensational tipster! ⚽💷 https://t.co/ZA7d2ybqKY"
,,,,,,"Maradona and Caniggia combine to score a brilliant goal against fierce rivals Brazil at the 1990 World Cup!

 https://t.co/O21URCDqy4"
,,,,,,"One minute 40 seconds of Ronaldo at Barcelona. Enjoy!

 https://t.co/7rXHkoEhx3"
,,,,,,"Diego Maradona at his best. What a player!

https://t.co/yVPIQgi6O8"
,,,,,,"You didn't mess with Oliver Kahn! https://t.co/DjFEzq3E4l"
,,,,,,"Michael Laudrup was brilliant...

https://t.co/qlAvQv8l2E"
,,,,,,"8 year old Lionel Messi 🔥🔥 https://t.co/MroI6I2PoP"
,,,,,,"England's 0-0 draw with Colombia on this day in 1995 would forever be remembered for this moment...  https://t.co/3GPAl8F6kf"
,,,,,,"On this day in 2001... England 5. Germany 1.  https://t.co/s23JqatpWX"
,,,,,,"Ronaldo destroying Mourinho and Luis Enrique in a Barcelona training session!

https://t.co/jFOeHbMIjh"
,,,,,,"Paolo Maldini. What a player!

https://t.co/UFEGClyfFg"
,,,,,,"Retweet if you've ever played football on a pitch like this... https://t.co/xpGAUplLrO"
,,,,,,"The Guardian’s list of Top 20 ‘future stars’ from 2008 is awkward reading 😅😅

But they called a few of them right...
https://t.co/XZ8YYAINZX"
,,,,,,"On this day in 1998...  https://t.co/C81O3gZzxN"
,,,,,,"Matt Le Tissier scored some brilliant goals during his career!

https://t.co/5TcfQlSuY9"
,,,,,,"Real vs Atletico 1997, Seedorf from 40 yards...

https://t.co/a5ROIGEDfG"
,,,,,,"Happy Birthday Steven Gerrard...  https://t.co/3QWst3iN0W"
,,,,,,"Roberto Carlos scores a brilliant free kick vs Barcelona, 1999/2000...

https://t.co/MPLtxH5871"
,,,,,,"On this day in 1999... ""Beckham... into Sheringham... and Solskjær has won it!"" https://t.co/1IKhM7x67C"
,,,,,,"What a team 🙌 https://t.co/LTir3wcCNx"
,,,,,,"The best Serie A XI since 1990. Would you make any changes? https://t.co/EQPaD9v9np"
