NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Fritzanity,2644,304,"CEO of ClassPass. Chairman of Doppler Labs and Verst. Angel investor in Pinterest, Square, Wish and other great startups.",503727,271,"@pbjorklund_jr @OrenPizmonyLevy Congrats! Btw super interesting that confidence in education in Taipei so low... I… https://t.co/LASCJWOXDK"
,,,,,,"RT @moiraforbes: When a photo says it all: Katrina Lake holding her toddler to IPO @stitchfix -- as a CEO, as the youngest female founder t…"
,,,,,,"RT @adrianaoun: Launching @goforward LA with @Benioff ! https://t.co/HBzCVTymgc"
,,,,,,"RT @MaxLanman: THANK YOU, INTERNET! After a wild couple of weeks, Carrie finally said her goodbyes to her beloved Greenie, the used 1996 Ho…"
,,,,,,"RT @CarMax: @MaxLanman Hey @MaxLanman, you’re really good at selling cars. And we LOVE buying them. So, we put together an offer for you. I…"
,,,,,,"RT @Elise_Jordan: This bit of history destroys the myth that Robert E. Lee deserves an ounce of respect.  He should be remembered as a tort…"
,,,,,,"RT @classpass: One #ClassPass employee shares her personal story with us during #breastcancerawarenessmonth. https://t.co/GRKHBertfQ"
,,,,,,"@Google @hereplusme cc @theartofkraft @IsForAt"
,,,,,,"Really @Google?! See @hereplusme (launched 1+ year ago) vs. Google Pixel Buds announced this week. I guess ""don't b… https://t.co/hyLo6iZQGV"
,,,,,,"RT @JoeNBC: Poor leadership would be hiding at a country club golfing while fellow Americans are suffering and dying. She's not doing that.…"
,,,,,,"RT @itsjamesherring: Lawyers. This how you write a cease and desist letter to fans.

Good work Netflix. https://t.co/aUNmqWp61N"
,,,,,,"@PaigePaquette @classpass Congrats!"
,,,,,,"RT @JoannaLord: Heads up friends - @classpass is hiring for ~30 open roles in NYC, SF, London and Australia -come join us! https://t.co/A6f…"
,,,,,,"@TechCrunch K now accurately quoted but is this newsworthy for a series c startup? Cc @danprimack @smartfootball @johnolilly"
,,,,,,"@lauriekeith @classpass :) I stole that ""series of S curves"" line from @mattcohler (tho Matt I gave you credit in the actual interview)"
,,,,,,"@smartfootball @NicoleAuerbach @Bachscore @NicoleAuerbach DM me if you're willing to give me some feedback on your… https://t.co/KPoo6rKi9p"
,,,,,,"@smartfootball @NicoleAuerbach @Bachscore Thx. Follow me and I'll DM you to offline. And we hope to earn… https://t.co/fNFMDwi4ed"
,,,,,,"@danprimack LOL I did not say that. I said ""we are not profitable"" and the interviewer added ""in a traditional sense"""
,,,,,,"@TechCrunch LOL I did not say ""in a traditional sense"". @TechCrunch pls correct thx"
,,,,,,"@smartfootball @NicoleAuerbach @Bachscore 3/3 what I meant was that we generate enough gross profit that we'd be pr… https://t.co/0OeqwAZpQX"
,,,,,,"@smartfootball @NicoleAuerbach @Bachscore 2/3 see Bezos, Munger and John Malone, etc. @trengriffin writes an excell… https://t.co/aGrp24xYTC"
,,,,,,"@smartfootball @NicoleAuerbach @Bachscore @smartfootball 1/3 reinvesting profit into growth, especially in business… https://t.co/vGmpLsINFT"
,,,,,,"RT @AmberMadi: Awesome @Peoplisms session at @classpass today!  #teamclasspass rocks! @fritzanity https://t.co/RkmWppgoOW"
,,,,,,"iPhone 8 Face ID is a tough announcement for identical twins..."
,,,,,,"RT @ComfortablySmug: VIDEO: George HW Bush and Ronald Reagan in 1980 debate fighting over who would be more compassionate to children of un…"
,,,,,,"@ryanjamespasca @classpass Ppl join @classpass b/c we motivate them (make a $ commitment, book in advance, late can… https://t.co/UEwo4d8kEO"
,,,,,,"RT @MikeDrucker: Remember when people got mad that Michelle Obama said kids should eat a vegetable?"
,,,,,,"RT @SenWarren: Passing this bipartisan bill is good for every American who can’t afford $5000 for hearing aids. We’re going to help a lot o…"
,,,,,,"RT @elonmusk: @EricDiepeveen The reality is great highs, terrible lows and unrelenting stress. Don't think people want to hear about the la…"
,,,,,,"RT @jameslanman: ""Chop your own wood and it will warm you twice.""
-Henry Ford 

Go make the life you want for… https://t.co/ENq8VaED4e"
,,,,,,"Verst, the AI assisted publishing platform, just added subscriptions and ""one click"" website migration. Rad!  https://t.co/pHG4ZUo6tR"
,,,,,,"RT @kennethn: 1/ I haven’t tweeted much about healthcare because it’s a painful subject for me. But it’s important, so let me tell you my s…"
,,,,,,"RT @scottbelsky: If only investors could be measured by if/how they contributed to the inflections that made all the difference. https://t.…"
,,,,,,"Boom goes the dynamite... https://t.co/OyQUnqVxVu"
,,,,,,"Great decision and article https://t.co/WdylxpGA7o"
,,,,,,"RT @thehill: JUST IN: ObamaCare repeal bill contains exemption for members of Congress and their staffs https://t.co/zgKH5p94PM https://t.c…"
,,,,,,"RT @greenhousenyt: The Myth of Equal Opportunity—The likelihood of a child from the 1% attending an Ivy League college is 50X that of a chi…"
,,,,,,"RT @hereplusme: Welcome to our Chief Science Officer, Jim Pitkow, as we dive head first into some very important work! Read more: https://t…"
,,,,,,"Great opp for up and coming eng managers! https://t.co/9vB7hJtrNJ"
,,,,,,"@doordash order just doesn't show up. Then customer chat doesn't reply. #notawesome"
,,,,,,"@RobK wow I'm surprised they got this far as a monolithic system. Startups tend to go distributed earlier than they should. Good case study"
,,,,,,"@slazar 👊"
,,,,,,"Honored to be @PayalKadakia's partner in helping people live inspired lives and excited for the next chapter! https://t.co/oPtrMC3271"
,,,,,,"The new @anchor app is a really cool remix of radio and podcasting. Check it out."
,,,,,,"@joewilcox @TechCrunch yep s3.."
,,,,,,"@trengriffin it's abt engagement maximization (more PVs / visit) and CTA conversion (e.g. more twitter followers) - not necessarily $"
,,,,,,"@Fritzanity @trengriffin you are a prime candidate for this - check it out and lmk if you want a connect"
,,,,,,"Excited to share machine-assisted blogging with the world! https://t.co/rpbVjA9qIo"
,,,,,,"RT @uvajfrank: Super proud to be launching @VerstCo today - congratulations to our amazing team! ✌️

https://t.co/5vaE0HBmc3"
,,,,,,"@RobK lol I don't even get a discount"
,,,,,,"@RobK @hereplusme is shipping and can help :)"
,,,,,,"RT @scottbelsky: In times like these, the challenge is to speak up and speak out while staying anchored by facts and permeable. Be the bett…"
,,,,,,"Speak out / take action else be judged harshly by history. Regardless of your politics, this executive order is wrong, period. #resist"
,,,,,,"RT @harrymccracken: Doppler/ClassPass/Dwnld's @fritzanity gets it. https://t.co/eALtbj5kkS"
,,,,,,"RT @levie: On every level -moral, humanitarian, economic, logical, etc.- this ban is wrong and is completely antithetical to the principles…"
