NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
GMA,3790098,6453,"Put some GOOD in your morning! Watch GMA every morning at 7am and around the clock at https://t.co/zWNTWbVVGq!",85526,177596,"Julia Stiles writes she didn't expect people to criticize her 'ability as a mother'. https://t.co/HZpKEsQccj https://t.co/bUEwpi2rKo"
,,,,,,"Stunning timelapse shows dense fog rolling across Pittsburgh, Pennsylvania, at times completely obscuring the city… https://t.co/1069ACp6vl"
,,,,,,"RT @sramosABC: This senate tax bill is no joke. It'll impact is in one way or another either in 2018 or yrs from now. Here's our story from…"
,,,,,,"Teen's emotional reunion with parents; missing for days with soccer coach. https://t.co/FupNNjrMuE @KennethMoton https://t.co/5SICCtHmHf"
,,,,,,"Thanks for joining us this weekend! Get out there and have as much fun as @CeciliaVega! https://t.co/9JJvPNV527"
,,,,,,"Hero nanny takes down thief; catches would be robber on security camera. https://t.co/T3gtmmd6PF @TVMarci https://t.co/n03lc62k5c"
,,,,,,"New details about Matt Lauer's termination; review underway into Lauer's e-mails. https://t.co/0BmYIzeg5b… https://t.co/42wqPcfsMV"
,,,,,,"Frightening collapse on the court; players resuscitated after his heart stops. https://t.co/JwpjAGsJ0H @ABonTV https://t.co/PaeFChAuu9"
,,,,,,".@gstephanopoulos tells @GMA Pres. Trump's tweet hinting at knowledge of Flynn lying to the FBI could be ""a prima f… https://t.co/lk2r2ZKmfM"
,,,,,,"Breaking down the Senate tax bill; what's in $1.5 trillion reform plan? https://t.co/bxash2C4pg @sramosABC https://t.co/DY6CuYf0AT"
,,,,,,"Pres. Trump tweets about Flynn plea deal; says he fired him for lying to the FBI. https://t.co/gT6SLCzjMr @WrightUps https://t.co/FT7jmkvIpG"
,,,,,,"Good Morning America! https://t.co/AJw0d7a1L2"
,,,,,,"COMING UP ON @GMA: @SCStateAthletic player collapses minutes into game against @PackMensBball, needing resuscitatio… https://t.co/Fjpqdj2Byz"
,,,,,,"COMING UP ON @GMA: 'Unexpected' amendments found buried in nearly 500 page Senate tax bill. https://t.co/bxash2C4pg https://t.co/YYexiPVga2"
,,,,,,"COMING UP ON @GMA: Pres. Trump speaks out on Flynn investigation: ""There's nothing to hide."" https://t.co/gT6SLCQVb1 https://t.co/u8GAwGdxHe"
,,,,,,"Italian astronaut aboard the @Space_Station records stunning timelapse of the view from space, from Somalia to Russ… https://t.co/jX3HbK0Hli"
,,,,,,"RT @ABC: .@ABC News statement on Michael Flynn report: https://t.co/sd9TeFiiLQ https://t.co/UtHFHeuwcM"
,,,,,,"RT @ThisWeekABC: After the Senate passed the GOP’s massive tax overhaul in a late-night vote, @SenateMajLdr Mitch McConnell comes to @ThisW…"
,,,,,,"No charges will be pressed against inspectors responsible for verifying the safety of a thrill ride at the Ohio Sta… https://t.co/EpyL7vzwO3"
,,,,,,"Ten sets of twins crowded onto Santa Claus' lap earlier this week, proving that Jolly Old St. Nick can truly multit… https://t.co/JcWb5N0XB3"
,,,,,,"A homeless man came to the rescue of two small children who were trapped inside a burning apartment in Las Vegas.… https://t.co/xNdNg18vM5"
,,,,,,"POLICE WOOKIEE: Chewbacca, of ""Star Wars"" fame, joins the Fort Worth Police Department - but he didn't last long.… https://t.co/AamKpn7ByN"
,,,,,,"Stunning timelapse shows dense fog rolling across Pittsburgh, Pennsylvania, at times completely obscuring the city… https://t.co/Mf23naMOtc"
,,,,,,"Country star @Jason_Aldean, who was onstage during Las Vegas massacre, now has good news -- a baby.… https://t.co/MX4w3aI5jl"
,,,,,,"Thanks for joining us this morning! Go out and have a great day (or back to bed). https://t.co/FdVGpqbpEv"
,,,,,,"Teen phone addiction? Some tips on how to help your child put their device down. https://t.co/T3gtmmd6PF @Danbharris https://t.co/NnNoxSvgwC"
,,,,,,".@prattprattpratt takes on ""potential predator."" Star warns fans of social media imposter. https://t.co/2tnM89GNiY… https://t.co/0WMeMttGIZ"
,,,,,,"Missing Florida teen found safe; high school soccer coach charged as a fugitive. https://t.co/FupNNjrMuE https://t.co/zs20LxFMAC"
,,,,,,"Meghan &amp; Prince Harry stepping out; crowd cheers for royal couple. https://t.co/T3gtmmd6PF @ABonTV https://t.co/0X2LsmWbSs"
,,,,,,"On the impact of Michael Flynn's plea deal with Special Counsel Mueller, @MatthewjDowd tells @GMA: ""It is going to… https://t.co/EeXG6YhBRo"
,,,,,,"Pres. Donald Trump's attorney responds to Flynn plea deal; says plea only implicates Flynn in investigation.… https://t.co/LvpsgFpsmQ"
,,,,,,"Flynn takes plea deal with special counsel; says he will cooperate in Russia investigation. https://t.co/jmyBsjHxm0… https://t.co/Vv39eg6MM6"
,,,,,,"How could the changes in the GOP tax bill affect you?
https://t.co/pAO1Jgnrkl

-Elimination of Obamacare mandate
-S… https://t.co/6m3Tnza5T6"
,,,,,,"GOP tax bill passes through Senate; McConnell calls it a ""great day for the country."" https://t.co/EaU5jdYFxb https://t.co/WkgSzUiZsM"
,,,,,,"Good Morning America! https://t.co/2TaP9SlUjz"
,,,,,,"COMING UP ON @GMA: Missing Florida teen who allegedly left home with her soccer coach was found across state lines.… https://t.co/Xrv06OOAnL"
,,,,,,"COMING UP ON @GMA: Senate Republicans pass tax overhaul bill, marking first major victory for Pres. Trump.… https://t.co/UPLbHttYca"
,,,,,,"McDonald's general manager whose tip led police to the suspected Tampa serial killer will receive $110,000 reward.… https://t.co/MRv6WMVbFa"
,,,,,,"Saved By The Bell: Deer bursts through an open door at an elementary school and sprints through the halls.… https://t.co/HO0L8Dp7Nj"
,,,,,,"The art of the apology: How high-profile men have responded to allegations of sexual misconduct:… https://t.co/ZkxLGNGm0C"
,,,,,,"Woman loses nearly 80 pounds by cooking meals at home in an Instant Pot for one year. ""I didn’t think it was possib… https://t.co/zXBiFh1k9S"
,,,,,,".@CharlizeAfrica and @gzchef share step-by-step instructions for how to make the actress' favorite roasted squash s… https://t.co/tJ629X85Ig"
,,,,,,"First-time grandmother living with Alzheimer's disease able to recall a childhood Japanese song when comforting her… https://t.co/t3ksYqvPnh"
,,,,,,"Thousands of kids could lose health insurance next month if Congress doesn't act fast. https://t.co/BPsZy8lV9G https://t.co/E6UNQdgqyP"
,,,,,,"The 2017 Atlantic Basin hurricane season is over, the most active season since 2005, the year of Katrina.… https://t.co/krgmOMzsdH"
,,,,,,"RT @ABC: Jared Kushner is the “very senior” Trump transition official who told Flynn to contact Russia, sources tell @ABC. Flynn is also pr…"
,,,,,,"Feds want 'Pharma Bro' Martin Shkreli's Wu-Tang Clan album. https://t.co/mFPbUCyiCc https://t.co/RbUqAxDvsv"
,,,,,,"Grandma shines as flower girl in her granddaughter's wedding: “I had such a beautiful time. I just love every minut… https://t.co/ws2tTgalVT"
,,,,,,"Chocolate milk with 1% fat will soon be back in public schools as the Trump administration eases nutritional standa… https://t.co/Gs4tGSnRcM"
,,,,,,"Army Specialist surprises his children and gets to meet 7-month-old son upon returning home from 11-month deploymen… https://t.co/TYqLYLFBcB"
,,,,,,"For those who love guacamole, it might not hurt to mention it in your dating profiles as it could boost your chance… https://t.co/dB8zUGFKZD"
,,,,,,"SO EXCITED HE JUST CAN’T HIDE IT.
Dog experiences his first snow in Great Britain. https://t.co/Z6n7ANcWMf https://t.co/HWJgYYDhOo"
,,,,,,"WWII vet who loves hitting the pavement celebrates 100th birthday by running 100 cumulative miles with extended fam… https://t.co/wcSdFWLyWn"
,,,,,,"What does this tired two-year-old want for Christmas?
""I want to take a nap,"" she tells Santa. 😂… https://t.co/spZLEFsb9c"
,,,,,,".@GeraldoRivera apologizes to @BetteMidler for alleged groping incident: ""She has a right to speak out &amp; demand an… https://t.co/EjaYYZh8Ef"
,,,,,,"RT @starwars: Join us for a live Q&amp;A with the cast of Star Wars: #TheLastJedi! https://t.co/74MaNesMgO https://t.co/tkeZFvmvsA"
,,,,,,".@selenagomez upon receiving Woman of the Year award at @Billboard #WomenInMusic event: ""I think @therealfrancia sh… https://t.co/A3BniPIzRO"
,,,,,,".@MariahCarey recovers from respiratory infection: ""Looking forward to seeing you today at the World AIDS Day 2017… https://t.co/Q3SWlzgwhk"
,,,,,,".@prattprattpratt warns of social media impostor hitting on female fans: ""Please know, I find this behavior reprehe… https://t.co/KRwxtFHqSz"
,,,,,,"Kaley Cuoco and professional equestrian Karl Cook are engaged. ""Well after nearly two years I finally got up the co… https://t.co/Cb6otPDwTn"
,,,,,,"It's Dec. 1, which means a new list of films coming to Netflix, Hulu and Amazon for your streaming pleasure.… https://t.co/ucLsJimMXA"
,,,,,,"RT @ABC: .@GStephanopoulos: Michael Flynn ""has pleaded guilty to charges of giving false statements to the FBI. That would suggest he is no…"
,,,,,,"People are flipping out over upside-down Christmas trees this season! https://t.co/uyOzWtbtlR https://t.co/ddJXIHh1sR"
,,,,,,"@starwars @Walmart And they're both winners! Both our @StarWars superfans did so great in trivia that they both won… https://t.co/5JnexvwZVN"
,,,,,,"Meghan Markle was always interested in helping her community and serving others, her former school teachers say. ""S… https://t.co/yGQPMKes5d"
,,,,,,"100-year-old asks family and friends to celebrate his birthday by collectively running 100 miles together. ""How won… https://t.co/c0rKeSXj8d"
,,,,,,"Tom Brady sends uplifting message to high school football coach suffering from cancer: “It brought a tear to my eye… https://t.co/pYzGObpYL4"
,,,,,,"RT @ABC: Michael Flynn, the former Trump national security adviser who was dismissed earlier this year, was charged with making false state…"
,,,,,,"RT @ABC: .@ABC NEWS SPECIAL REPORT: Former National Security Adviser Michael Flynn charged by special counsel. https://t.co/3Kfn4PGF6B http…"
