NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Gimletmedia,60643,8049,"@eltshow @crimetown, @homecomingshow @heavyweight, @podcaststartup @replyall, @sciencevs @mogul @thenodshow, @thepitchshow @uncivilshow, @gimletcreative & more",1662,1504,"@nrdbrennan @heavyweight Thanks Neil! 😊"
,,,,,,"@nrdbrennan @heavyweight There is a back on that one! But thanks for the feedback, feel free to shoot us a note at… https://t.co/57uTgGCQ8X"
,,,,,,"RT @heavyweight: There are Heavyweight shirts &amp; stickers in Gimlet's holiday store if you need a gift for that special someone. You can buy…"
,,,,,,"RT @TheGreeneSpace: Want to learn what it takes to make good radio? @taperadio talks with @wendyzuk of @Gimletmedia's @sciencevs LIVE on ou…"
,,,,,,"@bombedium You're very welcome! 😊"
,,,,,,"You've been asking, and now it's here -- our first ever holiday popup shop with some limited run t-shirts and stick… https://t.co/V8x3VoH8cc"
,,,,,,"RT @crimetown: Don't miss our new bonus episode this week: Sins of the Father. 
More here: https://t.co/b3UqKFL3bW
cc: @victoryjournal @Gim…"
,,,,,,"💃  🕺 Don't miss the chance to dance to this week's episode of #StoryPirates! https://t.co/eQ4Alw9skt"
,,,,,,"Watch it live: https://t.co/0tG5JeMRF9 https://t.co/VCOOVwlobz"
,,,,,,"RT @thepitchshow: You’re probably familiar with Jillian Manus the investor—but in this episode, we dig in a little deeper to understand how…"
,,,,,,"If you've been missing some @crimetown in your life, there's a new bonus episode out! https://t.co/3WdLwKABKt"
,,,,,,"@HausUrban They dropped a new bonus episode today! https://t.co/yCpuHLHMXb"
,,,,,,"RT @crimetown: A new bonus episode of Crimetown drops tomorrow. It pairs especially well with this episode from Season 1... https://t.co/3F…"
,,,,,,"@steine01 @nazraf @flichtman @J_Goldstein @mlieber @jorgej Thanks so much! That's the fine work of the… https://t.co/wgynSLdOCU"
,,,,,,"@emmorgenstern 👋"
,,,,,,".@thenodshow's take on Meghan Markle is feeling particularly relevant today. https://t.co/z8fHzSouKS"
,,,,,,"RT @gimletcreative: Take @SeeJaneMarie, @aparnapkin, and @rude_jude with you on your Thanksgiving commute. Two servings of DTR with @Tinder…"
,,,,,,"With the holidays just around the corner, let us remind you of a very important conversation to have around the fam… https://t.co/ZHmXK4p9q4"
,,,,,,"RT @abexlumberg: Parents (and kids on twitter?) we have a new show for you! @Gimletmedia's new podcast  with @storypirates. We've got songs…"
,,,,,,"RT @thenodshow: 🎧 NEW EPISODE 🎧:: This week we settle the score on the Brittany vs. Eric rivalry ONCE AND FOR ALL. Find out what happens wh…"
,,,,,,"ICYMI and need a little breakfast time or upcoming road trip listening -- our first kids podcast is here!… https://t.co/KH9YE0PlxH"
,,,,,,"Fun fact: @eltshow is hiring a producer! Check it out: https://t.co/ERkRLksEHX"
,,,,,,"@emily_berge Cheers!"
,,,,,,"It's here! Our first kids podcast, in partnership with @StoryPirates is out! #StoryPirates Listen now: https://t.co/JbJElfaq6x"
,,,,,,"👏 DTR Season 2: dropping on Thanksgiving day. 🦃 https://t.co/wBA4e14X3b"
,,,,,,"It's here! We're partnering with @storypirates on their new season, and you can hear the trailer NOW… https://t.co/irA3UB8Q3K"
,,,,,,"@TheEojis Strange! We'd recommend unsubscribing and resubscribing, although we recognize that's a bit of a pain."
,,,,,,"@TheEojis Hmm, what app are you listening on on your phone?"
,,,,,,"We want to hear your awkward Thanksgiving stories. Right. Now. https://t.co/MJEWv9VlFc"
,,,,,,"#PeanutButterHistory is back! https://t.co/9kr6QCeRUJ"
,,,,,,"RT @ftrain: We talked to @mlieber, co-founder of podcast studio @gimletmedia, about very interesting podcast things on our podcast. If you…"
,,,,,,"🙌  Huge congrats to the amazing @heavyweight team! https://t.co/A5RjFqUCM1"
,,,,,,"RT @heavyweight: hello. we have a new episode. it is an episode called jesse. https://t.co/46GPRxJ728"
,,,,,,"This week on @thepitchshow:  https://t.co/9LTvqzD6YP"
,,,,,,"RT @thepitchshow: We're getting ready to release the latest episode - this is one you're not going to want to miss. Check out the gorgeous…"
,,,,,,"👂 Wondering what Gimlet shows you can follow here on Twitter?
We can now list them all: @crimetown @eltshow… https://t.co/qCiNN8c8oU"
,,,,,,"RT @eltshow: New Episode. Armadillos, and the DaVinci code of pasta 🍝🍝??? https://t.co/S9yUJ4AbdT https://t.co/iWCVyv45XR"
,,,,,,"@CharlotteG2016 👏 We're happy to help!"
,,,,,,"If you're not at #EntSoc17 but wish you were, or just need some fun facts this Monday, follow @eltshow!… https://t.co/UppbyNfmBv"
,,,,,,"RT @thepitchshow: In our first pitch of the season, a founder with a past tries to turn over a new leaf with investors. https://t.co/FepKxN…"
,,,,,,"RT @heavyweight: hello. we have a new episode. the episode is called christina. https://t.co/pOIvgb0ySN"
,,,,,,"@_jamestgreen 💜💖💕"
,,,,,,"RT @replyall: This week, we try to find out if Facebook is using your phone's microphone to spy on you. 
https://t.co/7Or1PfHJIa"
,,,,,,"RT @uncivilshow: We couldn’t wait a whole week to take down Gen Kelly’s Lost Cause so...

 🚨New Ep out NOW 🚨

https://t.co/TqiYB7yM0c"
,,,,,,"🎃 https://t.co/FcRruEn4Av"
,,,,,,"RT @PJVogt: We're hiring! If you have experience in producing narrative audio, please apply. https://t.co/Wh3t3fxMSJ"
,,,,,,"RT @gimletcreative: 🔥☺️ https://t.co/E9vDc2545E"
,,,,,,"RT @PJVogt: Reply All is taking phone calls today. Call us if you believe that Facebook uses your mic to spy on you for ad reasons. 3PM ET.…"
,,,,,,".@heavyweight. is. back. https://t.co/qAd1lvvbor"
,,,,,,".@thepitchshow is back! This week, meet our investors. Check out https://t.co/swo62OZ8wv for the latest episode and… https://t.co/tVndH0jwZX"
,,,,,,"Crazy about email newsletters, and want to help us make ours? We're hiring a digital editor! https://t.co/kpFg1SIdzB"
,,,,,,"RT @TheGreeneSpace: Watch NOW! @nytimes podcast club talks @thenodshow with hosts @bmluse and @eeddings: https://t.co/zzHujrP8KG"
,,,,,,"RT @ycombinator: We’re podcasting with @abexlumberg of @Gimletmedia. What questions do you have?"
,,,,,,"@martigrgic @ycombinator @abexlumberg We recommend the first season of @podcaststartup for the nitty gritty details: https://t.co/ZJM5WmaKs7"
,,,,,,"@bkbkbk Are you thinking of @ZipRecruiter?"
,,,,,,"Our amazing engineering team is at #AESNY today! 👋  @AESorg https://t.co/jWbwHil3ec"
,,,,,,"@a_coronas @heavyweight @thepitchshow It's back on October 26th!"
,,,,,,"RT @TheGreeneSpace: MONDAY! @nytimes podcast club goes inside @thenodshow's ""I Want That Purple Stuff"" ep with @bmluse + @eeddings. Tix: ht…"
,,,,,,".@replyall is back with TWO brand new episodes you have to hear. Shoutout to @dfsaracino for the illustration. https://t.co/RbDcIsFH71"
,,,,,,"@andrewgill We had a little lag in updates!"
