NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
GoAbiAryan,4117,4057,"Business Strategist who loves modelling, simulations and gadgets. Teaching #AI/#ML on weekends. Writing a book on AI+Psychology+Behavioural Econ.",12570,124,"I'd love to game all the way on my upcoming trip to NASA. @Dave2Dtv @NVIDIAGeForce #GameReadyEverywhere https://t.co/RyCP7Vsejy"
,,,,,,"RT @rctatman: I missed the talk at @UWCSSS, but this paper on causal inference for text is really interesting (think discourse-level, not s…"
,,,,,,"RT @volkuleshov: I love this chart from the AI index report. You clearly see the peak of 80's AI hype and its slow drop-off. We seem to hav…"
,,,,,,"RT @erichorvitz: First version of AI Index is out https://t.co/Qlliu9xwh0 NYTimes https://t.co/uNUOCGE6sO Expect to see metrics broadened &amp;…"
,,,,,,"RT @stanfordnlp: Wise words from @ChrisGPotts on connections between Linguistics &amp; NLP being more alive than some claim—idea transfer just…"
,,,,,,"RT @ankesh_anand: Introducing HoME: a Household Multimodal Environment for AI agents.
- 45,000 diverse 3D houses
- Vision, Audio, Physics a…"
,,,,,,"RT @pabbeel: NIPS Deep RL Symposium Schedule now available:  https://t.co/a2UEG3v7lf
includes over 70 contributed papers/posters, and invit…"
,,,,,,"RT @dustinvtran: TensorFlow Distributions. For researchers: learn about all its features, PPL: learn how DL apps leads to new designs https…"
,,,,,,"@TooManyAdrians2 I have a leaky memory but can remember bits and pieces if I have engaged with something by tweetin… https://t.co/G5KAUji5cc"
,,,,,,"@TooManyAdrians2 Not really, stuff I share/retweet on twitter are simply recent developments &amp; in some way a steppi… https://t.co/ic79R5Mg3g"
,,,,,,"@TooManyAdrians2 But I have used Google Text to Speech APIs for some fun chatbot stuff.. Should be fun to test out Amazon Transcribing too"
,,,,,,"@TooManyAdrians2 Not really! My interests lay in knowledge extraction, representation, and decision making instead… https://t.co/u3IvodpqQv"
,,,,,,"RT @nickfrosst: Our paper on explainable models and distillation is out today :) It was great getting to work with Geoff Hinton again on th…"
,,,,,,"RT @mxlearn: [R] Clustering of Time Series Subsequences is Meaningless: Implications for Previous and Future Research https://t.co/cul46iw2…"
,,,,,,"RT @xtimv: @hardmaru In this post, I have a random cross-section of a high-dimensional version of this type of objective  https://t.co/KQoh…"
,,,,,,"RT @goodfellow_ian: ML researchers, reviewers, and press coverage of ML need to get a lot more serious about statistically robustness of re…"
,,,,,,"RT @rctatman: Oh hey, @mozilla just launched its Open Source Speech Recognition Model and Voice Dataset! :D https://t.co/EmHQQmj0ad"
,,,,,,"RT @DmitryUlyanovML: ""Deep Image Prior"": super-resolution, inpainting, denoising without learning on a dataset and pretrained networks. Com…"
,,,,,,"RT @mxlearn: [R] From Imitation to Prediction, Data Compression vs Recurrent Neural Networks for Natural Language Processing. https://t.co/…"
,,,,,,"Sweet!! https://t.co/pnKvchUN42"
,,,,,,"RT @ylecun: Excellent article in Le Monde about the recent revolution  in language translation brought about by deep learning.... https://t…"
,,,,,,"RT @iamdevloper: [in a technical interview] you install a new module from npm and push your changes. your friend then pulls those changes a…"
,,,,,,"RT @nathanieldaw: Our (@marcelomattar's) new theory of which decision computations to do when, explains place cell replay and model-based p…"
,,,,,,"RT @KaiLashArul: ""Distilling a Neural Network Into a Soft Decision Tree"" by @nickfrosst and Geoff Hinton, featuring ""a hierarchical mixture…"
,,,,,,"RT @turinginst: Our live stream starts at 2pm https://t.co/gYaNTiYbl7 - join the conversation #TuringLecture #TuringAI! You can also take p…"
,,,,,,"RT @turinginst: .@DameWendyDBE says she was hugely inspired by Vannevar Bush's paper 'As we May Think' published in Atlantic Monthly 1945 a…"
,,,,,,"RT @ericjang11: New blog post on Expressivity, Trainability, Generalization problems in Machine Learning, and why RL is still very unsolved…"
,,,,,,"Interpreting Deep Neural Networks with SVCCA https://t.co/3KVINCtgLi"
,,,,,,"RT @UWMedNSI: Researchers to Explore the Probable Causes for Dementia and Alzheimer’s @Allen_Institute https://t.co/7Xt04Cl0MQ"
,,,,,,"RT @samim: The programmers of ENIAC, the first digital computer in the 1940s https://t.co/Hrulz4gI0d"
,,,,,,"RT @jakevdp: @fonnesbeck @joelgrus @CMastication @vboykis @MaximilianRoos @akm I'm being a bit facetious, but that solves the bulk of the n…"
,,,,,,"RT @awnihannun: My new article: ""Sequence Modeling With CTC"" published in @distillpub!
https://t.co/IApWKXWF6Z https://t.co/ROmwZEBKYc"
,,,,,,"RT @mxlearn: [R] Binary Logical Networks, a fundamentally different approach to backpropagation (Work in Progress, essential code available…"
,,,,,,"RT @NPRWeekend: .@nyuniversity just opened a research institute dedicated to studying the social implications of artificial intelligence.
h…"
,,,,,,"RT @fchollet: New post: the impossibility of intelligence explosion https://t.co/66kliumxI3"
,,,,,,"RT @mark_riedl: Combinatorial Creativity for Procedural Content Generation via Machine Learning https://t.co/r8ewFbmpGO &lt;&lt; Make novel stuff…"
,,,,,,"@chrisalbon @fredbenenson Test"
,,,,,,"RT @mark_riedl: Awww, there's a workshop on AI and comedy and I'm not there. https://t.co/JCL4g2wNPU"
,,,,,,"RT @Miles_Brundage: Interesting approach to ML privacy from Dong et al.: https://t.co/SdlRlM3uAE

""we migrate the first layer of deep netwo…"
,,,,,,"RT @ViliLe: Just launched an amazing real-time visualization of online #gigeconomy's geography w/ @ottokassi &amp; @martinjhnhadley! https://t.…"
,,,,,,"RT @mxlearn: [D] What are the advantages and disadvantages of having multiple GPUs in a personal Deep Learning machines? https://t.co/HhD3S…"
,,,,,,"RT @TheLeakeyFndtn: #OnThisDay in 1859, Charles Darwin published ""On the Origin of Species."" The first printing of 1,250 copies sold out on…"
,,,,,,"RT @professorbrenda: “The tyranny of school maths lies in the false promise that stuffing oneself with facts and procedures prepares you fo…"
,,,,,,"RT @PHDcomics: What to call yourself https://t.co/JDOOibNGjb https://t.co/KL35vvs8A2"
,,,,,,"[arXiv] 📄 ""I know it when I see it"". Visualization and Intuitive Interpretability by Fabian Offert https://t.co/ZqiTHfDOD5"
,,,,,,"RT @terahlyons: The United Kingdom’s latest budget proposal cites establishing the UK as a world leader in artificial intelligence as a pri…"
,,,,,,"RT @zacharylipton: For interpretable ML (i.e. XAI) to progress, we must move beyond
""The Doctor Just Won't Accept That!""  
and figure out w…"
,,,,,,"RT @ProfFeynman: Teach principles not formulas. https://t.co/sCDIRgmCJa"
,,,,,,"RT @TerryUm_ML: A new RL textbook from Sutton and Barto (445 pages)
https://t.co/MWqxh6pATA https://t.co/RiFxxz74ND"
,,,,,,"RT @gcosma1: Great! Introducing TensorFlow Feature Columns (w/ Py code) https://t.co/XPL6gBzeSv #DataScience #DeepLearning #DataMining http…"
,,,,,,"RT @chipro: https://t.co/Kv13oXF0mU is now part of the core TensorFlow API with a lot of support for data pipeline! https://t.co/biaZrk2rz4"
,,,,,,"RT @hardmaru: Most companies don’t need well-published academics. They need good engineers who make things work. Nice discussion: https://t…"
,,,,,,"RT @quasimondo: Instead of only using L1 loss, I employ a switch which randomly applies L1, Smooth-L1 or L2 loss with 50%/40%/10% probabili…"
,,,,,,"RT @geoffreyfowler: Don’t trust Silicon Valley lesson #3,578: Google collects Android phone locations even when you turn OFF location servi…"
,,,,,,"RT @ajmooch: I wrote a quick script to download all the #ICLR18 submissions, and to (poorly) extract the text from them (sans spaces or for…"
,,,,,,"RT @pwnic: Check out our recent work on weight uncertainty with implicit distributions: https://t.co/CSWy7FPboH
Code: https://t.co/t67eoAQi…"
,,,,,,"RT @jeremyphoward: So glad @smerity wrote this; this is a must-read for anyone using large softmax layers. It may well help imagenet too...…"
,,,,,,"RT @terahlyons: The @PartnershipAI hosted our first-ever Partner event in October in Berlin. On the last day, I sat down with @p_humm to gi…"
,,,,,,"RT @seb_ruder: FigureQA, a new dataset by @MaluubaInc for Visual Question Answering on graphs and pie charts; consists of 1.3M questions ab…"
,,,,,,"RT @UoE_Careers: Interested in undertaking a PhD focusing on data science? Research alongside leading experts and transform research into r…"
,,,,,,"RT @99u: What to do when your brain tries to tell you that you don't belong 
https://t.co/39myaPOEmA"
,,,,,,"RT @mxlearn: [D] in which way did pspnet improve previous pyramid pooling? https://t.co/BZjH4FhdQ4"
,,,,,,"@peterthiel all the very best for the new transition and new projects. Best wishes. I have always looked upto you a… https://t.co/8IW6G2fnAo"
,,,,,,"RT @kaggle: Looking for clean datasets to try out your ML ideas? Here's a short list of some of our favorites: https://t.co/jo8wQcIDwf"
,,,,,,"He's now planning to do a head transplant on an alive man.. Thats definitely something even ahead of CRISPR https://t.co/teWpwoekTr"
,,,,,,"I have many heroes but Sydney Brenner, Richard Feynman, Amos Tversky and Noam Chomsky stay my undisputed ones."
