NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Herbalife,308591,4465,"Official Herbalife Nutrition handle. We make nutrition products to complement a balanced diet and support a healthy, active life.",7803,14440,"Craving something sweet? Opt for Greek yogurt with fruit to keep you full and satisfy your sweet tooth. https://t.co/JiO1VIoqHD"
,,,,,,"These protein pancakes are brunch goals 🙌 (courtesy of @MyHealthyDish) https://t.co/EZpYuDWmuv https://t.co/8DbxdHL2XV"
,,,,,,"Declutter your diet tip #4: Limit refined starches and increase your fruit and veggie intake 🍎🍇🥕🥒 https://t.co/sRy5e9CUAD"
,,,,,,"@NoRiCKaB3 Hey, we understand your frustration. Can you email us at social@Herbalife.com with the details of your o… https://t.co/oEMFQMFNON"
,,,,,,"Summer 2018, #TeamHerbalife athletes take the field ⚽️🏆🌏 #ProudSponsor of @Cristiano @JaimePenedo26 @Cuadrado &amp;… https://t.co/vFkJeT7YhF"
,,,,,,"Declutter your diet tip #3: Look for whole grain breads and cereals with little to no added sugar https://t.co/jnxywqOL8X"
,,,,,,"@MissAaliyah_ We missed you! We're here if you have any questions or need any tips 👍"
,,,,,,"Declutter your diet tip #2: Buy plain frozen vegetables (vs. ones with sauces added) to reduce sodium intake https://t.co/ADyz6gqhc0"
,,,,,,"Declutter your diet tip #1: Choose plain yogurt (vs. pre-sweetened) to minimize added sugar https://t.co/Xqu9XwmXur"
,,,,,,"Brian found a powerful support network through his fit club. Tag your #FitFam and those who inspire you to work har… https://t.co/Acy62L955v"
,,,,,,"Prepare for the new year by decluttering your diet https://t.co/z7U2zduKGs"
,,,,,,"@harshitlodha Hey! Congrats on your new baby. If your wife is breastfeeding, we recommend that she talks to her doc… https://t.co/PGyeYpZG1s"
,,,,,,"RT @HerbalifeNews: Help feed kids in need this #GivingTuesday. All donations to the #HerbalifeFamilyFoundation will be matched dollar-for-d…"
,,,,,,"Green tea contains antioxidants that can help boost your immunity 🍵 https://t.co/p4EPUs1DGN"
,,,,,,"@anna_dicenzo Hi! For more information on ordering, please contact an Herbalife Nutrition independent distributor.… https://t.co/muX7LP1GLB"
,,,,,,"When it's cold outside, this apple-spiced tea is the perfect companion https://t.co/RuwSbvN2u7"
,,,,,,"Any day that starts with #HerbalifeTea is destined for greatness 💚 #MondayMotivation https://t.co/pcty5GLE7l"
