NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Hrant25,122,83,"Training neural nets at @YerevaNN",7658,40,"#datafesttbilisi is the only event in the world where the abbreviation ""CNN"" is used in both meanings :)"
,,,,,,"RT @SimonyanLab: Dr. Vania Apkarian is kicking off the last #ML4Sciences session on Computational Neuroacience https://t.co/fytLGgwgH7"
,,,,,,"Computer scientist, physicist, biologist and chemist in a panel discussing machine learning at #ML4Sciences worksho… https://t.co/c5vyi3MhKV"
,,,,,,"Jerry Hobbs: ""I wish a lot less people work on part-of-speech tagging and more people work on pronoun resolutions ..."" #ML4Sciences"
,,,,,,"and now @zacharylipton presents how ML helps to solve problems in NLP: RNNs, active learning, RL #ML4Sciences #mlarmenia"
,,,,,,"Jerry Hobbs talks about NLP problems including Winograd challenge at #ML4Sciences #mlarmenia"
,,,,,,"RT @davekale: At @YerevaNN furiously finishing my #ml4sciences slides with @Hrant25 @zacharylipton @dc_moyer. @Foundation_FAST @USC_ISI @ar…"
,,,,,,"@John__Leader https://t.co/0WCMlboLuR"
,,,,,,"RT @YerevaNN: Attempting to interpret neurons in an LSTM network https://t.co/GFERvJHDb3"
,,,,,,"@jalammar Thanks! yeah, it was quite unexpected :)"
,,,,,,"@jalammar We at @YerevaNN have included your post in our guide :) https://t.co/Xis3y6qonD"
,,,,,,"@jalammar thanks! i think it would be better to have consistent formatting for variables. lowercase w's for numbers, W for matrices etc."
,,,,,,"Better than encoder-decoders, faster than enc-dec+attention. Can use CNNs for both encoding and decoding, represent… https://t.co/c4ybktfpfo"
,,,,,,"@nalkalchbrenner any plans to release code?"
,,,,,,"How to combine CNN and RNN for spoken language identification, visualizations and code: https://t.co/xSnqWnmSaO"
,,,,,,"RT @DeepSpiker: Could a neuroscientist understand a microprocessor? https://t.co/o09MyZLdEI"
,,,,,,"My presentation on many #neural #network architectures with examples and references at STC conference in Yerevan  https://t.co/rqPfyESSwV"
,,,,,,"@emin_allahverdi i didn't say you have ""liberated"" Talish. Your special forces were there for a few hours. My info sources are far from govt"
,,,,,,"@emin_allahverdi The ""occupation"" ended for few hours in Talish and we had tortured bodies of 3 civilians. We can't let your army tobe there"
,,,,,,"Hi @AliyevBot, what do you think about Karabakh conflict?"
,,,,,,"@karpathy Once Brendan McKay (Australian N. Univ.) said ""there are 2 kinds of graph generation algorithms: fast and interpretable"""
,,,,,,"RT @demishassabis: #AlphaGo won game 3 and the match! Historic moment. In complete awe of Lee Sedol’s incredible genius, and proud of the a…"
,,,,,,"RT @cogconfluence: Q: Why did the deep net cross the road? 

A: We don't know. But look, it did it really well...

#deeplearning"
,,,,,,"Implementing Dynamic Memory Networks with a web-based UI https://t.co/Yf7PUnTIVw We reach 75% accuracy on bAbI tasks"
,,,,,,"RT @drfeifei: RIP, Marvin Minsky, one of the founders of AI. His gen. created the AI dream for us; it's our job to carry it thru. https://t…"
,,,,,,"Gulbenkian offers Armenian studies scholarships: probably the only serious sentence of today's panel #Armenians2115 https://t.co/hOLpD4TpSz"
,,,,,,"Our blog on deep learning https://t.co/glCVeGy0sm"
,,,,,,"@AmbHeffern @AmbJamesWarlick @usembarmenia @USEmbassyBaku Occupied territories surrounding New England should be returned to Mexican control"
,,,,,,"RT @LevAronian: We won the Olympiad !! So proud to be a part of a team like this! Hurray hurray hurray! Armenia rules !!!!"
,,,,,,"@carlbildt http://t.co/sLEqnpN6"
,,,,,,"@YZLand http://t.co/sLEqnpN6"
,,,,,,"40 million online users on #Skype !"
,,,,,,"#earthhour DON'T FORGET TO TURN OFF LIGHTS!!!!! Solve this  http://j.mp/hRvCwJ"
