NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
IvanRaupp,62947,1268,"Nascido em Resende-RJ, 28 anos, correspondente do @globoesportecom na Europa. Passagem pelas coberturas de Flamengo e MMA.",15958,18531,"@Duds_Junior Há um equívoco aí: não vi ninguém nu hahaha"
,,,,,,"Produção para o @jornalnacional com esse casal sensacional de Weggis. Brasil x Suíça na estreia da Copa - globoplay… https://t.co/XYAPZzXPJo"
,,,,,,"A capa de um dos principais jornais aqui da Suíça traz Neymar ao lado de @ValescaOficial e @AdrianaBombom para faze… https://t.co/7bGRiRf83U"
,,,,,,"Vaza foto de Arthur com camisa do Barça --- O que apuramos: o Barcelona tem interesse no jogador do Grêmio e promov… https://t.co/eIXSNVlyDT"
,,,,,,"”Estamos pedindo absolvição e alegando que ele não contribuiu de nenhuma forma para esse resultado positivo”, compl… https://t.co/yhRniTmRnU"
,,,,,,"Bichara Neto resumiu o julgamento: “A Fifa analisou o conjunto das provas e se convenceu de que o resultado positiv… https://t.co/jFhBWEEASE"
,,,,,,"Lembrando que a suspensão provisória do Guerrero termina na segunda-feira. Esticando mais alguns dias, Fifa terá ma… https://t.co/3GNe76scTM"
,,,,,,"Bichara Neto, advogado do Guerrero: “Semana que vem anunciam o resultado. Deverão estender a suspensão provisória d… https://t.co/oF4umz67s2"
,,,,,,"Defesa pede absolvição, e Fifa deve estender suspensão provisória de Guerrero https://t.co/Vri0LTut0v #gefla"
,,,,,,"@raifcastro Muito foda"
,,,,,,"@LucasmarquesMe5 @EuclidesFla acho, só acho, que um dia ele vai jogar no Flamengo"
,,,,,,"@edu_peixoto 😂"
,,,,,,"César merece todo o sucesso. É um cara 100% do bem, humilde e muito trabalhador. Esse brilho de hoje até demorou a… https://t.co/I23Yqt2zOw"
,,,,,,"@UrubuMatuto não sei ainda"
,,,,,,"@UrubuMatuto valeu, amigo! voltarei ao Rio já já, em janeiro mesmo!"
,,,,,,"@UrubuMatuto po mas ele tinha acabado de sair da sala quentinha, nem sentiu tanto. e quem ficou na neve durante horas direto?"
,,,,,,"@UrubuMatuto valeu, irmão! Frio? Nem sei mais como definir isso aqui hahaha tá brabo"
,,,,,,"Guerrero também disse que vai assistir ao jogo de logo mais entre Junior Barranquilla e Flamengo, pela Copa Sul-Ame… https://t.co/2474zHniNk"
,,,,,,"De acordo com Guerrero e seus advogados, o resultado do julgamento de hoje deverá ser conhecido no início da próxima semana #gefla"
,,,,,,"Guerrero estará na Copa? ""Estou resolvendo essa questão da minha carreira antes de pensar nisso. Quero resolver, po… https://t.co/xttfMaokVS"
,,,,,,"Guerrero: ""Graças a Deus provamos tudo. A Fifa descartou o uso de cocaína. Isso não conta mais. Agora só falta a decisão da Fifa"" #gefla"
,,,,,,"Guerrero: ""Estou tranquilo, porque sou inocente. Vim até a Suíça para demonstrar essa inocência. Graças a Deus cons… https://t.co/EPHqb7n0ec"
,,,,,,"Após 4 horas de julgamento, Guerrero deixa a Fifa confiante na absolvição: ''Provamos tudo''… https://t.co/GMejzEZKHd"
,,,,,,"Até crianças em frente à Fifa #gefla https://t.co/x9vzxXLBOx"
,,,,,,"Peruanos seguem encarando o frio. Estão à espera de Guerrero, que deve sair em breve #gefla https://t.co/QXtQLkK2yL"
,,,,,,"O resultado do julgamento deve sair até segunda-feira, dia em que termina a suspensão provisória de Guerrero #gefla"
,,,,,,"Vídeo com informações sobre o julgamento do Guerrero. E com a alegria dos esperançosos peruanos. Deem uma olhada -… https://t.co/edppSfQovv"
,,,,,,"Olha aí os peruamos apoiando o Guerrero na Fifa https://t.co/W4rHIfP7iE"
,,,,,,"Seguimos por aqui em Zurique. Mais tarde traremos notícias de como foi o julgamento #gefla"
,,,,,,"Vários peruanos que moram na Suíça encararam o frio abaixo de zero para dar apoio a Guerrero, maior estrela do fute… https://t.co/FGX2NUaTGH"
