NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Juandollaa,10015,121,"Juandolla Official Twitter: Wrapper, Enterpunewer.    Instagram - Juandollaa",859484,102,"nba's video https://t.co/RawHU6fnSz."
,,,,,,"RT @Liable: why do we try so hard for people who don't try for us"
,,,,,,"RT @FunnyyVine: If the Matrix was real 😂 https://t.co/o4OlxagVpg"
,,,,,,"RT @omfgcompIex: If you got me I got you"
,,,,,,"RT @changes: vodka may burn my throat but the thought of you burns my mind. i'd rather black out then stare at my empty hands that once hel…"
,,,,,,"RT @brysontlIler: the realist thing u could ever do for me is keep your word"
,,,,,,"RT @Ieansquad: When there's no milk for your cereal
https://t.co/SDkBMMUWz9"
,,,,,,"RT @anxietysmind: ""are u taken?""
me: yes taken for granted"
,,,,,,"RT @invalid: Date someone who spoils you, always says how beautiful you are, and never thinks you've had enough to eat. 

Date your grandma"
,,,,,,"RT @KDTrey5: I recognize this was a tough decision for the NBA but I respect the choice. Discrimination of any kind cannot be allowed"
,,,,,,"RT @intensetexts: biggest fear. https://t.co/5qojtGyhlK"
,,,,,,"@NoChilIVideos @NickiNunez"
,,,,,,"RT @meanpIastic: And I'm crying... https://t.co/TqC9pDsgqk"
,,,,,,"I highkey like you"
,,,,,,"""As long as my bitches love me"" https://t.co/wTIotgc8H4"
,,,,,,"RT @omfgshawty: You highkey fucking suck"
,,,,,,"RT @KFUCKINGP: Life is a fucking waste of time, time is a fucking waste of life, so get wasted all of the time & have the time of your life."
,,,,,,"RT @collegefession: ""After much consideration and experimentation. I realized that adulthood just isn't for me. Thank you for the opportuni…"
,,,,,,"RT @WallStreetWoIf: Squad Goals https://t.co/MYxHtnQKZy"
,,,,,,"RT @TommyBeer: From the #Knicks logo... Could be a long night for the home team. https://t.co/tWIeqBG1mS"
,,,,,,"RT @collegefession: ""Not even an hour into my 20th birthday and I already had to go buy Plan B."" - University of Windsor"
,,,,,,"RT @SaiIBoat: when bae says something smart to you https://t.co/noj9saETH3"
,,,,,,"RT @bummyant: eventually you'll end up where you need to be, with who you're meant to be with, and doing what you should be doing."
,,,,,,"@ONEBLOCKDOWN lol havent even announced when size 6 coming already sold out"
,,,,,,"Lol just waiting for you to see my snapstory"
,,,,,,"When you go to sleep sober and wake up drunk. Wait a minute....."
,,,,,,"RT @FunnySayings: I'm so extra but I'm so worth it, 

Kinda like guac"
,,,,,,"RT @InstantTurnOn: i love when kisses get so intense you just grab at each other bc you literally can not get any closer to each other, tha…"
,,,,,,"RT @CraziestPeoples: You Talkin to Me? http://t.co/IwivjybDde"
,,,,,,"RT @extrasexual: If alcohol labels told the truth http://t.co/b0W5N7RE05"
,,,,,,"RT @KypreeAF: WHEN YOU FIND OUT BAE HAS GUY FRIENDS http://t.co/mhB8Knm0sx"
,,,,,,"RT @KypreeAF: I hate when she on her period 😒 http://t.co/Cie3HLOTak"
