NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Kasparov63,392513,45,"Chairman of the Human Rights Foundation (@HRF). Visiting Fellow at Oxford Martin. Author, speaker, 13th World Chess Champion https://t.co/dJTDTCn37c",62752,83103,"You might still get a virus! https://t.co/BvmsKmr5LU"
,,,,,,"This is always the goal. ""Believe me, not your eyes and ears."" Difficult in a democracy, which is why we are seeing… https://t.co/HdBRuJhklh"
,,,,,,"RT @GrandChessTour: A fascinating rook endgame between MVL and Nakamura. White is up two pawns, but the h4 pawn won't survive, Black's f4 p…"
,,,,,,"[[ Online charity auction of Garry's signed and personalized board ends today! Will ship worldwide &amp; before Christm… https://t.co/QuJUcf5m2T"
,,,,,,"As shown during the campaign, increased US political tribalism means speaking only to the ~35% who believe everythi… https://t.co/tcHd9JWhQV"
,,,,,,"Trump says what he likes and his supporters and critics both assume it's what they want to hear. No credibility or… https://t.co/ozLlxVoOQD"
,,,,,,"Trump is taking his fake news, ""there is no truth"" technique to the next level. Now, don't believe what he says bec… https://t.co/umTZtO5eHb"
,,,,,,"RT @GraniTweet: Агрессивный мафиозный режим падет благодаря внешнему давлению: Гарри Каспаров об империи зла. Из выступления на вильнюсском…"
,,,,,,"RT @p_spiechowicz: @Kasparov63 - ciekawe rzeczy o Putinie w najnowszym @GQMagazine, również w kontekście Polski. ""Putin to najbogatszy czło…"
,,,,,,"RT @GrandChessTour: Tune in to watch LIVE commentary in English, Spanish and Russian on https://t.co/OACeI27c53! #LondonChessClassic #Grand…"
,,,,,,"RT @chess24com: Nakamura plays the Dragon vs. MVL! https://t.co/IjesMNYyUm #c24live https://t.co/Z78l6hppTs"
,,,,,,"RT @ClausWilke: It seems that the graduate student tax is in the senate tax bill as well. Whatever universities will do to address this iss…"
,,,,,,"Great. Goes back much further, of course. A tradition as old as technology. https://t.co/ftFMFaXkn7"
,,,,,,"RT @russianswinga: @Kasparov63 At 2.5 my daughter isn't old enough to play yet, she thinks a wall is the best defense! #winteriscoming http…"
,,,,,,"RT @GrandChessTour: Which game are you looking forward to the most in round 2?"
,,,,,,"RT @FareedZakaria: I asked @MaxBoot about his recent essay on being an immigrant under President Trump: https://t.co/mTRSbEGVnh Watch the f…"
,,,,,,"RT @BLatro: @Kasparov63 All those who manage to survive to 25 should have their slates cleaned at that point. :)"
,,,,,,"Yes, having your worst statements preserved and recycled forever used to only happen to a few. Now it's everyone! https://t.co/zwMzjnStl7"
,,,,,,"Beat them while they're young, they only get stronger! https://t.co/5hW1UTxbxE"
,,,,,,"Very kind, thank you. https://t.co/KWTnvPxF7F"
,,,,,,"RT @Evan_McMullin: Given the U.S. intelligence assessment and the ample, overt evidence of Russia's interference in Trump's favor, it's har…"
