NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Korede_TA,751,24193,"cs @drexeluniv | prev: intern @google | ex Africa semper aliquid novi 🇳🇬",67256,127,"@longlivelabi Lmao. I️ think I’ll pass"
,,,,,,"@camryboyz I’ve got an unhealthy attachment to my tabs 😭"
,,,,,,"How about No? https://t.co/lD36PTf3mm"
,,,,,,"RT @timigod: The worst night of my life was the night I slept overnight at Panti. And I'm a 100% sure I got off light. Can't imagine how it…"
,,,,,,"@ossia *whispers* what’s the base case tho?"
,,,,,,"RT @WalleLawal: We need to get these stories out. It is a crucial step in holding our police force accountable. If you’ve been victimised b…"
,,,,,,"*weeps profusely* https://t.co/NzIO9sTh00"
,,,,,,?
,,,,,,"@kehindeimasuen Same 😂😭"
,,,,,,"RT @jordanobi: happy to announce I’ve joined seasonal display-name twitter 🌲☃️"
,,,,,,"@kehindeimasuen Done listening. I think it’s pretty good for a debut project. It has a good selection of features amongst other things"
,,,,,,"RT @hardmaru: Most companies don’t need well-published academics. They need good engineers who make things work. Nice discussion: https://t…"
,,,,,,"@kehindeimasuen I haven’t quite gotten started on it yet. But I’ve heard multiple people talk about that specific s… https://t.co/f6M78Xpqyj"
,,,,,,"RT @mrmrs_: So, we downloaded snapshots of the top million websites going back to ~2004, fed the data into cssstats and graphed the changes…"
,,,,,,"@mrmrs_ Ah, excited to hear that. Looking forward to using that when it’s released!"
,,,,,,"@mrmrs_ Do you guys have any plans for other similar frameworks like Polymer or Vue?"
,,,,,,"@kehindeimasuen Whole album is about to be my soundtrack for the day"
,,,,,,"@Sureife yeah. I just don't consider Rails to be a sufficient reason to commit to learning Ruby if, like myself, on… https://t.co/IMVLnP4Acd"
,,,,,,"@JonathanZWhite MacBook Pro. People have their hang ups about it but mine has represented a huge boost in my produc… https://t.co/ijWfiKtVzA"
,,,,,,"RT @kevinabstract: saturation III"
,,,,,,"Thank God for friends that you can share your goals with"
