NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Luke_Metz,854,1234,"Researcher at Google Brain. Formerly @indicoData, @onshape, @OlinCollege
My opinions do not represent those of my employer.",3421,52,"RT @jaschasd: Learning to sample using deep neural networks! Hamiltonian Monte Carlo + Real NVP == trainable MCMC sampler that generalizes,…"
,,,,,,"@mat_kelcey @thoughtworks Congrats!!"
,,,,,,"RT @hardmaru: A Visual Guide to Evolution Strategies https://t.co/LEfMMLqZOY https://t.co/AvkjBOiWJR"
,,,,,,"RT @OriolVinyalsML: Launching StarCraft2 Learning Environment (Linux)! A3C baseline on mini &amp; full game + policies trained on 1M replays.ht…"
,,,,,,"RT @dennybritz: ELF by Facebook: An extensive, lightweight and flexible platform for game research https://t.co/ENjvod2EKS"
,,,,,,"RT @mtyka: Progress on GAN portraits: https://t.co/RAq0Qr0GwD Adding a third stage yields 4k x 4k pixels but of course details have low rea…"
,,,,,,"RT @poolio: Cool new work from @Luke_Metz on continuous control via sequential prediction in the discretized space: https://t.co/mPHxXbtoV0…"
,,,,,,"RT @coreylynch: Result of a very fun @GoogleBrain residency: Self-supervised robotic imitation of human motion https://t.co/IGZogw3abl http…"
,,,,,,"RT @colinraffel: My new paper, ""Online and Linear-Time Attention by Enforcing Monotonic Alignments"", is online! https://t.co/IYPzTQYQPR"
,,,,,,"RT @alexjc: Improved Training of Wasserstein GANs https://t.co/XTbRlQSune More stable, no hyper-parameter tuning, works on 101-ResNet! #ML…"
,,,,,,"RT @poolio: Evolution is catching up to intelligent design for neural net architectures (94.6% vs. 96.7% on CIFAR-10): https://t.co/ZCSjuBO…"
,,,,,,"RT @soumithchintala: Wasserstein GANs: loss correlates with sample quality, fix mode dropping, improved stability, sound theory: https://t.…"
,,,,,,"RT @quasimondo: A PPGN and a CGAN walk into a bar. 

2 neural networks collaborated for this series of neural abstractions: https://t.co/t5…"
,,,,,,"@ajmooch These are some awesome visualizations!"
,,,,,,"RT @karpathy: John Schulman's slides from today's ""nuts and bolts of RL"", great practical advice for getting RL to work https://t.co/HYgL68…"
,,,,,,"RT @samim: ""Fast Patch-based Style Transfer of Arbitrary Style "" (paper+code): https://t.co/fno5N1MIU3 https://t.co/9OnGUAUVgc"
,,,,,,"Come check out our poster on Unrolled Generative Adversarial Networks at @NipsConference Workshop on Adversarial Tr… https://t.co/baNVYZLiR4"
,,,,,,"@_AntreasAntonio @hardmaru @poolio @pfau Sadly no. Good luck and happy to answer any questions!"
,,,,,,"RT @gstsdn: New GAN paper with @ch402 and Jon Shlens https://t.co/ZMTqaLw0YC"
,,,,,,"Awesome work from @dumoulinv et al! https://t.co/gXRwsqHUfG"
,,,,,,"@atabakd For sure! There is a tf class to help manage shutdown of threads from start_queue_runners. Have a look at: https://t.co/xg3Ion8DAs."
,,,,,,"RT @kazunori_279: Generating new Pokemons with Neural Networks (DCGAN) https://t.co/HtdUw1jMwc https://t.co/eXVVM6Aplz"
,,,,,,"RT @hardmaru: Christmas came early this year.  https://t.co/22jBe06Qq0"
,,,,,,"RT @GregoryDiamos: I'm excited to announce the release of the persistent rnn library @ICML :  https://t.co/oitCUMZMvm"
,,,,,,"RT @dumoulinv: We released a new arXiv paper on a GAN-like model that jointly learns inference and generation: https://t.co/qymhKOo2ec"
,,,,,,"RT @open_ai: Our reinforcement learning toolkit, OpenAI Gym, is now in public beta: https://t.co/8fMRLjSJQb."
,,,,,,"RT @gdb: We've just released something new: https://t.co/QyvtqkQyyf. Looking forward to your feedback :)."
,,,,,,"@Luke_Metz heavily cherry picked samples sadly :(."
,,,,,,"Samples from cifar10 birds subset using my cppn gan rendered at 4x resolution. Still under fitting horribly :(. https://t.co/QxDGtcuSaf"
,,,,,,"They kinda look like cifar10 samples right? (cppn-gan rendered at 128x128, each quad is a different time / model) https://t.co/RAMlxz5xy0"
,,,,,,"Some mnist samples rendered at 4x resolution from a CPPN-GAN. Thanks @hardmaru for the idea! https://t.co/qQmjxY924J"
,,,,,,"RT @open_ai: The OpenAI team is growing: https://t.co/xFrpYSBhGR. Welcome, everyone!"
,,,,,,"@vintermann Yep! It was those figures that showed differences / weaknesses that made me want to see it in 1D."
,,,,,,"@amiconfusediam If I find some free time I will add those in. MSE would look so sad :(."
,,,,,,"Playing around with 1D GAN https://t.co/6ds7HMMMzI"
,,,,,,"RT @amiconfusediam: i have updated convnet-benchmarks (see README.md) with numbers for TensorFlow 0.7 + cudnn4 . Summary: https://t.co/aAXu…"
,,,,,,"RT @mrry: I got up early this morning to push Distributed TensorFlow to GitHub: https://t.co/3g4yDDr6PK"
,,,,,,"RT @tallinzen: Turns out a 2-layer LSTM with 8192 units per layer, trained for 3 weeks on 32 GPUs, makes a great language model https://t.c…"
,,,,,,"RT @mtyka: Neural net class visualization with bilateral filters: https://t.co/pHNBH73BnZ https://t.co/WdhXDpNi9R"
,,,,,,"RT @amiconfusediam: Pixel RNNs - 2D RNNs that spit out pixel values. Pretty cool stuff from DeepMind.
https://t.co/ySB4RnAbSy https://t.co/…"
,,,,,,"RT @TorchML: How to use MXNet as a (almost) full function Torch front-end: https://t.co/ERJnsngXo9"
,,,,,,"RT @drfeifei: Visual Genome: a dataset, a knowledge base, an ongoing effort to connect structured image concepts to language.  https://t.co…"
,,,,,,"RT @karpathy: Moved arxiv sanity visualization page to a more permanent location at https://t.co/AktZYxom0e Going to build this up over tim…"
,,,,,,"RT @AlecRad: When you start smelling burning plastic in the office and everyone has to panic kill their models to figure out what's happeni…"
,,,,,,"RT @AlecRad: Vector arithmetic for faces - all unsupervised :) https://t.co/emaM63bdDn"
,,,,,,"RT @amiconfusediam: generating images from captions is here :) https://t.co/HiDkFrNNSL https://t.co/hrYyF741Zf"
,,,,,,"Koi fish word embeddings tsne! https://t.co/qHc85AwcLm"
,,,,,,"RT @codeship: We took an ""Inside Look"" with @_MadisonMay_, CTO of @indicoData. Read more from Madison here:

http://t.co/AtcGyX1E6A"
,,,,,,"My life needs more AI. Shout out to get moved up in the queue! @xdotai"
,,,,,,"Spaceless Wallet — Bags -- Better Living Through Design: http://t.co/BJOw955pyZ"
