NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
MaluubaInc,4115,694,"Teaching machines to think, reason and communicate. Maluuba’s research powers a new era of #artificialintelligence. We're hiring https://t.co/oBbfJJje1F",2470,1888,"RT @gosainnn: Going to be in Long Beach next weekend for #NIPS2017. If you are interested in learning more about Maluuba and the various po…"
,,,,,,"RT @IVADO_Qc: Conversation with a machine : « What’s your favorite type of food? »  - Warm. Listening to Layla El Asri @ the #women in #Dat…"
,,,,,,"RT @IVADO_Qc: Wendy Tay on her journey to the “dark side” - from academia to working as a @Microsoft program manager #women in #datascience…"
,,,,,,"Si vous avez apprécié notre Meetup hier soir, rejoignez-nous demain soir pour entendre des femmes en intelligence a… https://t.co/1o43xBhvhe"
,,,,,,"If you enjoyed our Meetup last night, join us tomorrow night to hear from women in machine intelligence &amp; data scie… https://t.co/5A6F6zgQWI"
,,,,,,"Rewarding evening reinforcing the RL community in #Montreal. Merci à nos présentateurs: Harm van Seijen,… https://t.co/pkZ7ZdwdJU"
,,,,,,"@zafarali Thanks for coming out! 😊"
,,,,,,"@saikrishna_gvs @marcgbellemare @pierrelux Fixed! 😊"
,,,,,,"You asked, and we delivered! We will be livestreaming our ""Open Problems in RL"" Meetup tonight at 5:35 PM EST. Trou… https://t.co/0vBcysgZiy"
,,,,,,"We had a great time collaborating, learning and sharing ideas at our fall offsite last week with our Microsoft sist… https://t.co/xqEw6PSWEq"
,,,,,,"We are excited to release FigureQA: the first annotated question-answering #dataset on bar, line, and pie charts.… https://t.co/Eqy83SRB9g"
,,,,,,"Join us next Tuesday for our Microsoft Maluuba Meetup. Hear from Harm van Seijen (Maluuba), @marcgbellemare (Google… https://t.co/1aeTIXIml5"
,,,,,,".@katecrawford, @MSFTResearch Principal Researcher at our NYC sister lab, explains the urgent need to think about s… https://t.co/OBuzdTmgdo"
,,,,,,"We're co-hosting a Women in #MachineIntelligence and #DataScience cocktail with @IVADO_Qc. Rejoignez-nous pour célé… https://t.co/JASkDaH3lw"
,,,,,,"At Maluuba, our team values and enables diversity in our lab &amp; the community. We're proud to be involved in, and sp… https://t.co/5N4Tyz98E1"
,,,,,,"Our Microsoft sister lab in Cambridge, MA 🇺🇸is seeking new graduates from BS, MS and PhD programs for their ground-… https://t.co/M45b4d2IkH"
,,,,,,"@riashatislam @rllabmcgill @astro_pyotr @philip_bachman Félicitations @riashatislam @astro_pyotr @philip_bachman! See you at #AAAI2018"
,,,,,,"We're leading the way with advisor, #YoshuaBengio to ""put Canada on the map scientifically &amp; as the country for AI"" https://t.co/WmUgvA9vob"
,,,,,,"What will you do when the machines take over? 👻 #HappyHalloween https://t.co/19LXceovwT"
,,,,,,"Happy Friday from Maluuba &amp; Darth Vader! https://t.co/vsYOe3dogJ"
,,,,,,"""Intelligence artificielle: les géants technologiques pavent la voie au Québec"" @momusbah @LP_LaPresse https://t.co/PaNl8HMZ4e"
,,,,,,"RT @D3Centre: “Super intelligence is far but we need to design systems that incorporate humans into the loop.” - Rahul Mehrotra @MaluubaInc…"
,,,,,,"RT @reworkMI: Research manager @elasri_layla from @MaluubaInc speaking at the Women in Machine Intelligence Dinner. #reworkmi https://t.co/…"
,,,,,,"Proud sponsor of the @reworkdl Machine Intelligence dinner.😊 Say hi to our researchers &amp; product manager.… https://t.co/NJnzeY9pyu"
,,,,,,"RT @BenBrabyn: .@momusbah of @MaluubaInc is bringing Canadian #DeepLearning #AI expertise to bear at scale in @Microsoft #fintechmtl https:…"
,,,,,,"RT @teamrework: The #DeepLearning EcoSystem Panel has started! @mcgillu @MaluubaInc @sk121 @NRC_CNRC https://t.co/QcuZcCIDpm"
,,,,,,"We're also at #FintechMTL tomorrow! Catch Sr. Prod. Manager @momusbah &amp; Prin. Program Manager @asaunders on how AI… https://t.co/9bPh2hOuOr"
,,,,,,"Nous sommes à #ReworkDL demain. Apprenez de notre panel d'experts. @reworkdl https://t.co/xB5X0qxIq7"
,,,,,,".@JonErlichman breaks down the vanguards of the AI arms race feat. Maluuba's co-founders &amp; @Microsoft's acquisition… https://t.co/a5VqWsfgPl"
,,,,,,"RT @D3Centre: Rahul Mehrota from @MaluubaInc will be talking about amplifying intelligence at #SUMTL2017, get tickets: https://t.co/9SKdmFb…"
,,,,,,"RT @teamrework: Have you registered for the Women in #MachineIntelligence Dinner? Sponsored by our exclusive partner @MaluubaInc https://t.…"
,,,,,,"Inspiring young entrepreneurs at @DobsonCentre kickoff wih our story of many ups and downs, by CPO @momusbah &amp; Head… https://t.co/Y2lXJ7LT8v"
,,,,,,"Our Engineering Manager @macadada chatted with Montreal @EricssonNA engineers about AI and IOT. Happy Hacking! https://t.co/uCArW7yPXv"
,,,,,,"Découvrez notre travail et rencontrez notre équipe au @SUCanadaSummit 11 &amp; 12 Octobre dans MTL. #SUMTL2017 Billets:… https://t.co/j3aymvA8GK"
