NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Michael_A_Kagan,198,202,"Physicist @slaclab @stanford, looking for new particles @CERN, bringing #ML into physics",3059,86,"@black_reeves @goodfellow_ian @CERN Yup, you can find it here https://t.co/uBb3OzE6i7"
,,,,,,".@goodfellow_ian seminar at @CERN today on challenges for GANs. Thanks for the fascinating talk! https://t.co/5rppI7GJXG"
,,,,,,"RT @WonderMicky: The call for papers for the “Deep Learning for Physical Sciences” workshop at #NIPS2017 is open! https://t.co/z7nLLKNEWB…"
,,,,,,"RT @KyleCranmer: The website for our #nips2017 workshop #DeepLearning for Physical Sciences is now up with call for papers. Please RT
https…"
,,,,,,"@kchonyc @NYUDataScience Thanks for having me, it has been great to visit!"
,,,,,,"@DeepSpiker Thanks for having me, it was fantastic!"
,,,,,,"RT @FiveFreedoms: NEFAC's @LiaErnst17: ""Our work is more important now than ever before. But we need your support."" https://t.co/UJMZdCPwXJ…"
,,,,,,"RT @jakevdp: Slides from my #PyCon2017 Keynote! https://t.co/qydjVaWqno"
,,,,,,"RT @WonderMicky: Hey #HEP people, tune in! @DataScienceHEP #DSHEP Help me share it @xmpierinix @HEPfeickert @micfloris @Michael_A_Kagan htt…"
,,,,,,"RT @GaryMarcus: If you care about fairness, bias, and machine learning, read this, by
@blaiseaguera @mmitchell_ai  Alex Todorov https://t.c…"
,,,,,,"RT @HScienceAdvisor: #DeepLearning &amp; Vision @CERN lecture: Jonathon Shlens @googleresearch organised by @theportatcern member @Michael_A_Ka…"
,,,,,,"RT @HEPfeickert: The slides AND the video recording of @Michael_A_Kagan's talk on #MachineLearning are publicly available from @CERN: https…"
,,,,,,"RT @claranellist: Clear indication that there's a demand for #machinelearning @CERN given the packed room for the academic lecture by Micha…"
,,,,,,"RT @glouppe: Full crowd for @Michael_A_Kagan lectures on machine learning at @CERN https://t.co/NxY5cT0x3X"
,,,,,,"@vir_azzolini @DataScienceHEP Thanks! Absolutely, see you @DataScienceHEP !"
,,,,,,"@joeri_hermans @glouppe I'll have to join you next time, next week?"
,,,,,,"RT @ATLASexperiment: Happy #InternationalWomensDay from the ATLAS Collaboration! Here are just some of the women working to push the bounda…"
,,,,,,"RT @dhpmrou: Connect The Dots / Intelligent Tracker #ctdwit starts today at @LALOrsay . 100 #HEP tracking world experts. Slides https://t.c…"
,,,,,,"RT @dustinvtran: Rajesh Ranganath, Dave Blei and I released ""Deep and Hierarchical Implicit Models"" on arXiv https://t.co/AFx7OTSnnx https:…"
,,,,,,"@HEPfeickert Thanks! and I agree, @jonathonmorgan was an excellent interviewer"
,,,,,,"@partiallyd it was great being on the show! https://t.co/fdqa6UlYSG"
,,,,,,"Fantastic announcement by @NASA,  very excited to see this great #science! #exoplanets https://t.co/ghtmllrPR6"
,,,,,,"New lightweight compiled @tensorflow with XLA! @dhpmrou, potentially exciting tool for model execution in Athena?… https://t.co/JXgiSxLSGA"
,,,,,,"Jeff Dean's nice keynote on the history,  successes, and future features of #TensorFlow. #tfdevsummit https://t.co/MoB4BauwFf"
,,,,,,"@partiallyd and @jonathonmorgan, thanks for having on me on the show today! Great fun talking with you about the #LHC and #datascience"
,,,,,,"Joined @data4democracy, organize, analyze, improve society"
,,,,,,"RT @joeri_hermans: New CERN blog post on parallelizing gradient descent with data parallel methods w/ @ApacheSpark &amp; @fchollet 's Keras htt…"
,,,,,,"@dhpmrou Absolutely, it's a cool application of GANs (+ jet images)! Nice work @lukede0 @WonderMicky"
,,,,,,"UX design and digital strategy Meetup @impacthubgeneva - power of personal stories in design strategy @unhcr… https://t.co/5j03BIR5vR"
,,,,,,"GANs for generating particle physics data! ""Learning Particle Physics by Example..."" https://t.co/0ZZ3UhsqRh"
,,,,,,"RT @liaernst17: Showing up in #Montpelier for #WomensMarch #womensmarchonmontpelier https://t.co/kaqvqulNVU"
,,,,,,"RT @data4democracy: We’ve been running our experiment for about a month, here’s how it’s going. https://t.co/ILq0i91bv6"
,,,,,,"Very cool news! https://t.co/z0mS0lP5mU"
,,,,,,"RT @betatim: Are you a Zurich based data-science company/startup? Want to host #PyDataZRH this month? https://t.co/Wgp04Z37Dt"
,,,,,,"RT @glouppe: The boosting strikes back! ""AdaGAN: boosting generative models"" https://t.co/R2qrtfl8Jw"
,,,,,,"RT @whitehouseostp: Today we honor Vera Rubin, who did groundbreaking work on dark matter &amp; encouraged women to pursue #science  https://t.…"
,,,,,,"RT @mcnees: RIP Vera Rubin. Her work on galactic rotation revealed a fundamental problem and revealed existence of Dark Matter.
https://t.c…"
,,,,,,"RT @AndrewYNg: Come see 300 AI/ML projects! Stanford's on-campus ML class poster session, tomorrow 8.30-11.30am. https://t.co/xO0R5OFdaF"
,,,,,,"RT @ATLASexperiment: ATLAS physicists at #kruger2016 'Discovery Physics at the LHC', South Africa, many of whom presenting latest results f…"
,,,,,,"RT @StatMLPapers: Deep learning in color: towards automated quark/gluon jet discrimination. (arXiv:1612.01551v1 [hep-ph]) https://t.co/h9ib…"
,,,,,,"Gave the @SLAClab  #AI seminar, about deep learning in high energy physics! Great fun to talk about this, especiall… https://t.co/w5VcWRUeeX"
,,,,,,"Cool upcoming talk @NipsConference by @KyleCranmer on the interface of physics and ML! https://t.co/vY8ZssgHqp"
