NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
MoRosement,6594,33563,"Futbol enthusiast. I tweet in English, Spanish and sometimes French. Messi, Pep i Jan.

IG: Morosement_ 
#PalestinaLliure",12017,4553,"#A8² https://t.co/w3koKFLJH6"
,,,,,,"@ShelleyOzzy We have what we have, no point in complaining now. I expect a signing in Jan though"
,,,,,,"The moment luck got transferred from one bald head to another https://t.co/5lSBS6cY4U"
,,,,,,"@ShelleyOzzy Well to his defense it seems he thinks/knows how much stats would give the fans a different perception… https://t.co/F0ajVyVAH3"
,,,,,,"@MadridVoice Maybe. Or maybe they despise the fact that Cristiano isn't breastfed continuously by Isco. Notice the… https://t.co/Bb2mjkfMrm"
,,,,,,"@BusiFC I try"
,,,,,,"@AwayFrom234 @negretagarbo That's a compliment to me"
,,,,,,"@iCarlosVP 3 days ago I would've said Roberto. Today Semedo. Let's see what happens midweek."
,,,,,,"Messi needs help because at times he doesn't touch the ball in the last 35 or 40m of the pitch &amp; the movement aroun… https://t.co/PLM4ChvIYX"
,,,,,,"👇👇👇 https://t.co/vy9SyV2PNM"
,,,,,,"Ramos excelled &amp; held the backline together when he was paired with Pepe, Varane or Nacho last season. Time for Piq… https://t.co/HDUaHUDsbs"
,,,,,,"@FCBarcelona_es Semedo"
,,,,,,"@_LM_010 Simple"
,,,,,,"So when the MF create chances for Ronaldo to score, he wins Ballon d'ors
When Madrid don't create, he's excused?

W… https://t.co/Fm4AxeUnio"
,,,,,,"That's 1 specific role. The other is the one he played at Turin, San Mames or at the Mestalla. The one where he sta… https://t.co/GLA1BxRXu9"
,,,,,,"Its important Valverde reminds him he's essentially a bench player with a few specific roles. Judging by how awful… https://t.co/UUMC9HDtoi"
,,,,,,"Paulinho should not let his stats get to his head. Yesterday was his worst match in a Barca shirt (especially tacti… https://t.co/JZpP818k6s"
,,,,,,"@PogbaRightFoot Not many more. Between 1 &amp; 2 thousand euros in total"
,,,,,,"@JacobTuf For a system, Villa. W/ lesser players Suarez"
,,,,,,"❤️❤️ https://t.co/x4mwCAKvvU"
,,,,,,"RT @Berlustinho: Analfabetismo es esto: https://t.co/V3J83UtAzi"
,,,,,,"@MDS_Arshaq @FCBNewsRoom Roberto over Rak. Paulinho is a must in this set-up, especially in tight &amp; cagey tactical encounters"
,,,,,,"@MadridVoice Your fanbase would rather see Gareth Bale roadrunning I cant even bro"
,,,,,,"RT @MoRosement: Madrid journalist:

""When the ball arrives at Messi's feet, you think Barca can win. When it arrives at Cristiano or Benzem…"
,,,,,,"@FCBNewsRoom As for balance, its up to the players to compensate better (as they did vs Valencia &amp; didnt do yesterd… https://t.co/sUWBGgTNfD"
,,,,,,"@FCBNewsRoom I thought he was different class vs Valencia too. Until Dembele comes back, he's our only real threat.… https://t.co/pekDGvSfHX"
,,,,,,"@FCBNewsRoom That being said, these last 2 games have seen Messi touch the ball the most this season. Width is cool… https://t.co/OuKEvBaQQp"
,,,,,,"@ivanrakitic @LMessiBoy FUERA PAQUETE, ERES MUY MALO"
,,,,,,"@madaan9 He was far from ""bad"". Don't just watch the final 3rd of the pitch"
,,,,,,"@LaCroqueta6 Yeah I know but people don't actually get the importance he has in his team."
,,,,,,"@BleedBarca I said almost haha"
,,,,,,"I rewatched the Madrid derby &amp; then Atleti vs Barca. Cholo went man to man vs Barca in the build-up (w/ extra empha… https://t.co/SP6wayUsn8"
,,,,,,"If Isco had more numbers in his game, he'd *almost* challenge Messi for the best in the world tag. Look at him read… https://t.co/k92oX42t03"
,,,,,,"@samumtiti REVIENS VITE SAMUEL JE T'AIME"
,,,,,,"@Srid0 Nope"
,,,,,,"@ChrissyFooty Come to think of it, you may be right. Paulinho has Messi, he gives meaning to every play. Isco has t… https://t.co/Sjc9Q4dFg5"
,,,,,,"@PogbaRightFoot Step by step. I have like 5 or 6 machines in it, a plasma TV, a ps4. Step by step, 1 machine at a time"
,,,,,,"@RoyalMadrid_FC Believe it or not, I used to be a huge Cristiano fan. I used to love watching him play, until 2013… https://t.co/i205e6Zw4q"
,,,,,,"@RoyalMadrid_FC Why thank you 🙂"
,,,,,,"@SergioBiscuit 😂😂😂"
,,,,,,"@SergioBiscuit Yeah I hate being conditioned so I built my own gym. I dont like people"
,,,,,,"@DoubleMZ99 @JamieFarty 🙏"
,,,,,,"RT @MessiZone: Messi vs Celta. Arguably Messi's best performance of the season thus far. Yet another masterclass from the greatest ever. ht…"
,,,,,,"@EedenAzar @zeiadelaarag I was talking about athleticism. You dickhead it seems you cant read properly"
,,,,,,"@TheBenzemistas @Kroosology Es dificil con Benz y Cris. Con Asensio jugaba partidazos. Benz y Cris no asocian y se… https://t.co/31TCtSBMAz"
,,,,,,"@dembouzfan @josepintoj No one is"
,,,,,,"@Kroosology @TheBenzemistas Cant believe this is debated. Only Isco can rival Leo this season in La Liga. He has mo… https://t.co/NB7aevlhpc"
,,,,,,"@RoyalMadrid_FC I wish he did. Hate when it defines him"
,,,,,,"@josepintoj @dembouzfan Loooool lv u bro"
,,,,,,"@neurophate_ I want one here tho"
,,,,,,"@JohnLee176 Nope"
,,,,,,"@SergioBiscuit I have to gym bruv its almost midnight"
,,,,,,"@TheBenzemistas @Kroosology Isco ha sido el mejor del Madrid este temporada. Genera, ayuda en la salida, juega y ha… https://t.co/eJTm0sZWnD"
,,,,,,"@josepintoj @dembouzfan He's usually fair with Leo, doesnt usually fanboy him or say he's better than Cris."
,,,,,,"@josepintoj @dembouzfan Not usually."
,,,,,,"Its almost midnight &amp; no has done a 2:20min Messi video of today's masterclass smh.."
,,,,,,"@TheBenzemistas @Kroosology LOOOOOOOOOOOOL lo dice ""the benzemistas"""
