NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
NickiNunez,13016,2030,"Instagram- nickynunez",1148067,757,"@franklong13 Or maybe that you had never met them in the first place 😵"
,,,,,,"RT @glenda723: Gonna rt so i can stare at this dude on the daily https://t.co/zCIHredawy"
,,,,,,"RT @marcorubio: Just a few weeks after this meeting and tweet her husband @leopoldolopez was rushed from jail to hospital in grave conditio…"
,,,,,,"RT @elcitizen: Información,traslado de Leopoldo Lopez desde Ramo Verde al Hospital Militar, sin signos vitales. Régimen maneja hipótesis de…"
,,,,,,"RT @LilBoat: was raised to depend on myself"
,,,,,,"RT @LilBoat: It ain't a secret, but it ain't your business either."
,,,,,,"@carlitosrojas_  avid twitter user"
,,,,,,"RT @JoannTheScammer: Don't tell me you love me, tell me you paid my rent. https://t.co/cipXBXPLgw"
,,,,,,"RT @GasStationVines: What you tryna make money doing?  https://t.co/GE3PIHZWqU"
,,,,,,"RT @JoannTheScammer: I'm trying to hack FASFA and my ex boyfriend won't leave my home 🙄 https://t.co/pKU47MD487"
,,,,,,"RT @JoannTheScammer: Answering questions from the lower class. https://t.co/SaTQmsMttF"
,,,,,,"@Sergioperdomo11 😂😂😂😂"
,,,,,,"shout out to the birds 🙄🙄"
,,,,,,"RT @mythoughtsftu: in a relationship, there's gonna be girls badder than ur girl or guys doin better than ur man.. that's where the loyalty…"
,,,,,,"RT @FreestyIeRaps: Kanye took a L by cutting this verse off 'famous'
https://t.co/vmBnONcePd"
,,,,,,"RT @TheTumblrPosts: I love iOS 10 https://t.co/TE07WfcqZ8"
,,,,,,"RT @FAMILYGUYCLIPZ: 😂😂😂😂😂😂😂 https://t.co/KuPTTweoZb"
,,,,,,"RT @ClareDrugs: If your girlfriend/boyfriend is gorgeous &amp; loyal. Why flirt with others? Why cheat? It's like throwing away a diamond, and…"
,,,,,,"RT @CLAPBACK2016: ""What that mouth do?""
Me: https://t.co/ckPB6PRTCU"
,,,,,,"RT @septicals: When you get your way and he hits you with that ""anything for my princess"" https://t.co/xMRjIvsefq"
,,,,,,"RT @septicals: date a girl who gets distracted by dogs"
,,,,,,"RT @couplevideos: when both of you hood af https://t.co/yc4OzEfkSo"
,,,,,,"Must read books by @jeffersonbethke &amp; @alyssajoybethke for ANY couple!
#31creativeways https://t.co/t0GpkWDGTV  https://t.co/Y2ZYSbrAG2"
,,,,,,"RT @SexualGif: Every time I lay eyes on my man https://t.co/l9SyGQUDJk"
,,,,,,"RT @noheartfound: give her all your attention or someone else will"
,,,,,,"RT @_ginaocampo: funniest shit ever https://t.co/GexuKw0Hn5"
,,,,,,"RT @inactive: Goals 😭😭💕 https://t.co/wg7NpgsVJg"
,,,,,,"RT @mouqeet_: when you find out you've caught feelings for a hoe https://t.co/2crYvHbKPs"
,,,,,,"@Sergioperdomo11 @NickyNunez you deleted me on snap 😪"
,,,,,,"@Sergioperdomo11 @NickyNunez shhhh😤😤😤😤😤😤"
,,,,,,"Follow my insta @nickynunez https://t.co/TST5KvRV70"
,,,,,,"RT @TheTumblrPosts: Me after lurking through baes favorites and getting my feelings hurt https://t.co/pooPRlT5Hx"
,,,,,,"RT @HeartIessly: You are the first thing I think of every morning, the last thing that stays on my mind every night."
,,,,,,"RT @TheTumblrPosts: THIS !!!!!!!!!!! this guy can write oh my. deep in the feels now https://t.co/gXeG79XABs"
,,,,,,"RT @TheTumblrPosts: me: oh you don't wanna reply for an hour? guess I'm not replying for an hour eith-
-DING-
me: https://t.co/mjoPycZ7NQ"
,,,,,,"RT @TheTumblrPosts: when bae talking to u and ur staring at them pretending to listen but all u can do is think about how fine they are htt…"
,,,,,,"RT @anxietysmind: stop asking me to trust you when i'm still coughing up water from the last time you let me drown."
,,,,,,"RT @TheTumblrPosts: this is my new favorite video on the Internet 😍😭 https://t.co/eqNcdkEPlN"
