NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
RandomlyWalking,5196,434,"Academic @InfAtEd. Fellow @turinginst. Visitor @MSFTResearch.  Machine learning, deep learning, programming languages, software engineering.        ❤️s:🐱🐶☕️",372153,710,"RT @SenFeinstein: UPDATE: Republicans rejected our motion to adjourn until Monday so senators could read the bill they just introduced.
 
R…"
,,,,,,"RT @Kasparov63: US tax code is far from my lane, but hitting grad students and US higher ed, a crown jewel, is suicidal. A top national pri…"
,,,,,,"RT @bengoldacre: Well, here we go.

The over-60s, the only age group to favour the Tories, the age group who most need the NHS... command n…"
,,,,,,"RT @stangelid: Our forthcoming TACL paper on fine-grained sentiment analysis w/o fine-grained supervision is now up on arXiv: https://t.co/…"
,,,,,,"RT @latimesopinion: I'm on the FCC. Please stop us from killing net neutrality, writes @JRosenworcel
https://t.co/73rKcbtHB5"
,,,,,,"@Pinboard Um? Isn't the entire point of UBI that work is about identity, community, and purpose rather than just survival?"
,,,,,,"RT @driainmurray: As @roydanroy says, ""Just say no if they ask you to join the editorial board"". I won't be reviewing for them. https://t.c…"
,,,,,,"Great programme if you are looking for a PhD! Topics include machine learning, NLP, databases, computer vision, spe… https://t.co/ehHRpTksgq"
,,,,,,"@michaelhoffman +1. FWIW mine used to be no spaces around em dashes — but then I changed my mind"
,,,,,,"@sleepinyourhat I'll go so far as to say in my view ""don't cite"" is a silly overreaction as long as no author overl… https://t.co/GsWrBt5CPz"
,,,,,,"@sleepinyourhat Cite, with trumpets. ""Subsequently, X et al have extended our work... "" If reviewer sees that, look… https://t.co/x2aeWkHaJc"
,,,,,,"RT @yaringal: Dear research community, please keep machine learning open access @NipsConference @icmlconf @iclr2017 JMLR
https://t.co/w3tJq…"
,,,,,,"RT @lawrennd: But where were Nature in 2001 when JMLR was launched? 

https://t.co/NeXWOAHEgA"
