NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
RanjithaSKumar,377,325,"Assistant Professor @IllinoisCS. Formerly founder & Chief Scientist @apropose. #datadrivendesign #trendsetter",136516,455,"One of the greatest learnings from @apropose: far fewer small businesses need (or want!) a website these days. https://t.co/uNguPxk8Pc"
,,,,,,"RT @jerrytalton: I was fortunate enough to chat with David Kelley of @kelleybros and @ideo fame a few years back, and one thing he said has…"
,,,,,,"@jongold @andpoul @sarah_edo @DynamicWebPaige @EmilWallner OMG that would be amazing @jongold! 😍 The main reason we… https://t.co/T9BbI5E7Wd"
,,,,,,"@jongold @vnessified @vnessified thanks for mentioning our project—happy to chat further with you both about doing… https://t.co/UekQHdzQAh"
,,,,,,"Our group’s work on identifying fashion influencers on social media covered in @CNN future of #fashion article https://t.co/UIncrVKJ4I"
,,,,,,"Congrats to #datadrivendesign group’s @biplabdeka for successfully defending his PhD thesis! 👏 @ECEILLINOIS https://t.co/vSxKgHRqVQ"
,,,,,,"RT @EngineeringAtIL: CS Prof. @RanjithaSKumar led a team to establish the largest dataset of mobile app designs https://t.co/r7cFkEbGA4 #En…"
,,,,,,"RT @ronnyk: Two years ago at @CODEConference, we handed out #HiPPOs @sinanaral  @erikbryn @claudia_perlich
https://t.co/LKZtLW4LXC https://…"
,,,,,,"What can you do with a dataset of over 72K mobile UIs? Train a UI layout/semantic embedding.… https://t.co/fSH3YdK2cn"
,,,,,,"@andresmh @pgbovine @merrierm @jwnichls I’ve found that it’s often easier for companies to do research on data they don’t own. 😉"
,,,,,,"RT @Airbnbdesign: Converting sketches to code—our design technology team shares their first exploration into AI assisted design ✏️💻 &gt; https…"
,,,,,,"RT @merrierm: Awesome that UIUC and Google shared an Android app UI dataset for HCI research at #uist2017 https://t.co/rsQppC55SM"
,,,,,,"Want to understand how #mobile #design patterns perform? Benchmark your #app design against competitors? Try ZIPT!… https://t.co/Hq3dEPVkno"
,,,,,,"To learn more, come see our #uist2017 talks in the Code/Education (1.30p) and Crowdsourcing (3.40p) sessions today! https://t.co/5TGPVSRTG9"
,,,,,,"RT @NEA: NEA's @rickyang weighs in on @stitchfix and other cos. that are changing shopping with innovative #ecommerce models: https://t.co/…"
,,,,,,"RT @joshelman: People still download apps. “No new downloads” is a myth. hard to break in to becoming a new daily habit since so many use c…"
