NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
RobertIger,47198,118,"Chairman and CEO The Walt Disney Company",69392,236790,"RT @ThomasFarley: I asked @RobertIger if he was a @Disney fan growing up. He said ""I always dreamed of going to @WaltDisneyWorld as a kid,…"
,,,,,,"Congrats to #Pixar &amp; Lee Unkrich for #Coco--a heartwarming, gorgeous tale about love, respect and appreciation.  Happy Thanksgiving!"
,,,,,,"My father, Arthur Iger. Radio Operator USN ‘44. Honor, respect, appreciate our Vets! https://t.co/u6VM4sYqKv"
,,,,,,"@EpsteinJeffrey @nytimes I'm flattered!"
,,,,,,"#VietnamWarPBS is one of the best doc series I've ever seen and a true reminder of how we must respect and appreciate our veterans."
,,,,,,"A senseless, horrific, act, and a terrible loss for so many. We mourn a wonderful member of the Disney family: Carrie Barnette. Tragic."
,,,,,,"One of the many highlights of the  Apple announcement today. https://t.co/DDXv2up3Ta"
,,,,,,"Rescinding DACA is cruel and misguided. Dreamers contribute to our economy and our nation. Congress must act fast to protect them!"
,,,,,,"#KTRK HOUSTON &amp; #ABC NEWS: Thank you for your brave &amp; excellent coverage of Hurricane Harvey. We are proud of you!"
,,,,,,"Introducing Dean Willow Bay @uscannenberg  ​and my wife! With Pres Nikias! https://t.co/fJL7tyIHlL"
,,,,,,"@mrbarnard1 @jonfavs @travisk @elonmusk Yes I did...over Paris....."
,,,,,,"RFK re: MLK: Let's dedicate ourselves to what the Greeks wrote yrs ago-""Tame the savageness of man &amp; make gentle the life of this world."""
,,,,,,"RT @DatelineDisney: Disney CEO @RobertIger on passing of Disney Legend Marty Sklar: “Everything about Marty was legendary” https://t.co/PE0…"
,,,,,,"Congrats Disney Legends Wayne Jackson, Clyde Geronimi, Manuel Gonzales"
,,,,,,"Disney Legend #garrymarshall accepted by Scott &amp; Kathleen Marshall https://t.co/RfFGtDKk5a"
,,,,,,"Disney Legend Jack Kirby accepted by his son, Neal https://t.co/hjHlS1llsJ"
,,,,,,"Disney Legend #stanlee https://t.co/YE0tshWAUv"
,,,,,,"Disney Legend, #julietaymor https://t.co/n5Shu0zH1h"
,,,,,,"Disney Legend, the great #WhoopiGoldberg https://t.co/UCI829K470"
,,,,,,"Disney Legend, Luke Skywalker himself, #markhamill https://t.co/tLF7l8pWel"
,,,,,,"Loved naming my dear friend, #oprah a Disney Legend! https://t.co/HEaXvM0YvG"
,,,,,,"RT @DisneyD23: The @DisneyParks #StarWars-themed land model is OUT of this world and you have to see it at #D23Expo https://t.co/87hg206TSI"
,,,,,,"RT @Disney: Get a Sneak Peek at These Models of the @StarWars-Inspired Lands Coming to Disney Parks: https://t.co/PBrDWBTDkg 💫 https://t.co…"
,,,,,,"#ShanghaiDisneyland HAPPY ANNIVERSARY! https://t.co/a9uKmUzPvH"
,,,,,,"Congratulations #ShanghaiDisneyland! What a spectacular 1st year! https://t.co/n2p2TCo71s"
,,,,,,"#Cars3Premiere  at #Carsland https://t.co/484Ea4Vm5S"
,,,,,,"Navy Seal Foundation Patriot Award! So proud to receive this award! #navysealfoundation. 
Go Seals! 
with… https://t.co/fegtdTghhU"
,,,,,,"As a matter of principle, I've resigned from the President's Council over the  #ParisAgreement withdrawal."
,,,,,,"I am definitely not Groot! https://t.co/7RnIgSAzHQ"
,,,,,,"Congratulations to James Gunn @JamesGunn and the entire Marvel Studio team for their newest hit! Proud of them!"
,,,,,,"I'm thrilled to hear about the deal with the Writer's Guild and grateful to all participants."
,,,,,,"RT @jimmykimmel: on behalf of my family, thank you for the lovely and loving tweets about our son Billy and for your donations to https://t…"
,,,,,,"RT @ProductionEARS: My #PiratesLife is complete. #PiratesoftheCaribbean #JohnnyDepp #CaptainJackSparrow #DeadMenTellNoTales #Disneyland #Di…"
,,,,,,"@IndyinDC Have to end the show with a grand finale!"
,,,,,,"Gives me the chills! https://t.co/ZCZdaHXZ7S"
,,,,,,"Interviewed by this beautiful woman today. Thanked her with a kiss.#willowbay https://t.co/bnZszLzSaW"
,,,,,,"RT @jessp: So fortunate to have @Willow_Bay (Dean of @USC Annenberg) interview @RobertIger (CEO Disney) at #USCScale. See also: Relationshi…"
,,,,,,"@shannbon Thank you!"
,,,,,,"@InsideDisney407 Very nice of you!"
,,,,,,"Very thankful to all who've seen it, and so very proud of our wonderful new film, #BeautyAndTheBeast! The people have spoken!!!"
,,,,,,"Today we open Beauty and the Beast, a beautiful ""tale as old as time."" Very proud of this film! #BeautyAndTheBeast"
,,,,,,"Wow! I'm married to a Dean! Consider me a proud husband! https://t.co/U1Mgvptf6W"
,,,,,,"Very proud of Zootopia, Piper, Jungle Book, OJ, and Jimmy Kimmel! A great night...with a wild ending!"
,,,,,,"Remembering Steve Jobs today on his birthday! https://t.co/B55pb5EkYA"
