NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Rock_Health,57792,2455,"The first venture fund dedicated to digital health. Join us and #buildsomethinguseful",1295,1881,"RT @Collective: ""We couldn’t just be another layer on top of a broken system. We needed to fix the most broken part—how we pay for care. 4…"
,,,,,,"All eyes on @CVSHealth and @Aetna as a potential $66B+ acquisition deal appears to be moving closer to reality:… https://t.co/jdlZ1HbAqr"
,,,,,,"This 84-year-old New Hampshire doctor's inability to use a computer—and the state's mandatory electronic drug monit… https://t.co/LwTr39FiNr"
,,,,,,"@EricTopol @AndrewYNg Let's make it happen!"
,,,,,,"Excited to see @StrideHealth featured in @WSJ for bringing health insurance to entrepreneurs and freelancers! (Psst… https://t.co/vNv3wFljux"
,,,,,,"Will radiologists be replaced by algorithms? Industry experts weigh in—hear @AndrewYNg dive deeper on AI's use case… https://t.co/ekSd0aDa0T"
,,,,,,"What do #digitalhealth's middle innings require? Here's what we learned at this year's Rock Health Summit:… https://t.co/pNY9BsN47s"
,,,,,,"We're incredibly grateful for all the work the #digitalhealth community does to make healthcare massively better. Happy Thanksgiving!"
,,,,,,"What does the @CMSGov MDPP ruling really mean for patients and #digitalhealth? Our summary and suggestion on a path… https://t.co/mIcIJETd5j"
,,,,,,"Hear how the @AARPCares 2017 Aging in Place $50K Challenge finalists are creating solutions for low-income, older a… https://t.co/0dtmhdlnSU"
,,,,,,".@CMSGov dealt a blow to #digitalhealth by announcing it will not yet reimburse for virtual delivery of the #MDPP—b… https://t.co/6OLfGXJ52q"
,,,,,,"This digital health unicorn picked up $500M along the way to ""Oz"" (the exam rooms of 40K doctor's offices)—now its… https://t.co/mDA5xjtjtg"
,,,,,,"#FF The individuals and organizations nominated for this year's Top 50 in Digital Health—and vote for them before 1… https://t.co/a0dYDEFnuv"
,,,,,,"""'The reason why people buy wearables is for the outcomes—it's not about the device. The device is an unfortunate n… https://t.co/5ktQXpfSTk"
,,,,,,"Celebrating the health conscious—huge congratulations to @munjalshah and the @healthiqinsure team on the success an… https://t.co/gVzyexAx7Z"
,,,,,,"RT @exygy: As a health system, if you're adopting tech, you can't just use it for commercially insured patients. Digital health services ne…"
,,,,,,"Tonight in SF: head over to @exygy HQ for a panel conversation with @kpinnovation, featuring our very own… https://t.co/FvP28oNSZw"
,,,,,,"Where is innovation at work in the Medicaid market—and where are the untapped opportunities for #digitalhealth? Gre… https://t.co/l4HrWYGoqU"
,,,,,,"Under an expedited review process, @US_FDA has cleared a wearable claiming to block the pain of opioid withdrawal—b… https://t.co/lBnryauxms"
,,,,,,"Who's your favorite go-to expert covering the healthcare beat? Cast your votes for this year's Top 50 in Digital He… https://t.co/9fsWUbA6P0"
,,,,,,"""On a daily basis, we should be looking at the key work we're doing and say, 'What assumption should I be throwing… https://t.co/BjbydLQXXK"
,,,,,,"In a big move to combat medication non-adherence, @US_FDA has approved the first-ever digital pill—but for many, th… https://t.co/E1Q8R3K1aN"
,,,,,,"Weekend long read from @ArthurAllen202: a profile of a hospital with no beds, where specialists remotely care for p… https://t.co/Yonfpre9fs"
,,,,,,"We're honoring the individuals and organizations who make #digitalhealth thrive. Who's got your vote for this year'… https://t.co/O7w4QyQIKx"
,,,,,,"RT @EricTopol: Bitter Irony: when even an @ONC_HealthIT official cannot get her medical data https://t.co/UjU6BY6jya @AHIMAResources https:…"
,,,,,,"In our latest report, we found that women make up just under 11% of #digitalhealth partners. #FF Meet a handful wom… https://t.co/sV7ZtxXxkD"
,,,,,,"Huge congrats to the @WelkinHealth team, who just snagged a fresh $8M in Series A funding to help even more compani… https://t.co/TLyki7ZoWg"
,,,,,,"We're thrilled to announce the finalists for the @AARPCares 2017 #AgingInPlace $50K Challenge—@DispatchHealth,… https://t.co/tfXiwvx8wc"
,,,,,,"Could Snapchat be falling in step with fitness tracking? A new patent awarded to $SNAP suggests it's a possibility.… https://t.co/6b4xitQ7tS"
,,,,,,"Why did these prominent East Coast healthcare experts pack their bags for Silicon Valley—and what have they learned… https://t.co/iGhxrymLYN"
,,,,,,"Get the finger-clickin' good Rock Weekly for a heaping helping of #digitalhealth news. https://t.co/bCLi1SoNnh https://t.co/u7XRMAIITi"
,,,,,,"This week, @US_FDA announced it will streamline the approval process for direct-to-consumer genetic health risk tes… https://t.co/qjeroMMaqM"
,,,,,,"The House has passed the VETS Act, which would allow @DeptVetAffairs physicians to practice telehealth across state… https://t.co/DLijicVI0k"
,,,,,,"Voting is now open for the Top 50 in Digital Health. Here's your chance to help determine this year's #Top50DH:… https://t.co/e4IbDMrAsA"
,,,,,,"Great discussion last night to kick off @StartupHoyas and @GUMedicine's Healthcare Innovation &amp; Entrepreneurship Se… https://t.co/3W7hIPgzzc"
,,,,,,"NIH's All of Us program selects @fitbit for study, with Scripps giving devices to 10K volunteers to wear for a year… https://t.co/0A4ErhrZJa"
,,,,,,"From the NIMH to Silicon Valley: Thomas Insel shares his thoughts on what's next for tech &amp; healthcare in @nature. https://t.co/PbXWxAWfDT]"
