NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
RogerGrosse,996,40,,1133,2529,"The real issue is that ""A works better than B"" is not a scientific claim. Neither is ""A is easier to tune than B.""… https://t.co/c5xBXGKYKJ"
,,,,,,"Great to see more quantitative evaluation of GANs. Please don't dismiss log-likelihoods, though. The fact that peop… https://t.co/BzEXqprGOC"
,,,,,,"Great blog post by @fhuszar explaining my Theorem 2 challenge and why the result is surprising. Generalizes the res… https://t.co/Z8V3L9zWvU"
,,,,,,"@lzamparo @ryan_p_adams @roydanroy @gershbrain @DavidDuvenaud The nice thing about deep learning is that authors ca… https://t.co/bpJqMFE1ux"
,,,,,,"RT @VectorInst: New York Times: A New Way for Machines to See, Taking Shape in Toronto https://t.co/jUWZykTGOw"
,,,,,,"Should be understandable by the ML community. Time limit: 1 year from today."
,,,,,,"Theorem 2 of my moment averaging paper is one of the most surprising mathematical results I've seen in machine lear… https://t.co/k1IYLQqimc"
,,,,,,"Amazing how much you can learn about Bayesian neural nets by trying to fit the 1-D function y = x^3. Still challeng… https://t.co/Ff8UcSN30I"
,,,,,,"RT @yaringal: How JMLR came to be open access, and how it operates without making money
""There are costs, but they are all provided through…"
,,,,,,"New magazine. https://t.co/XJvhtqIBH2"
,,,,,,"Students interested in getting into AI safety/alignment: CHAI's reading list is a great place to start. Also, Nick… https://t.co/ee6d6ru9DZ"
,,,,,,"RT @Yuhu_ai_: This is always one of my favorite papers. https://t.co/Q50JDJJ8IU"
,,,,,,"RT @DavidDuvenaud: Landmark paper ""Logical Inductors"" shows how to coherently reason about your own reasoning.  Resolves several paradoxes…"
,,,,,,"RT @kinggary: Dan Koretz utterly destroys high stakes testing. And if you've ever seen a kid waste months trying to learn irrelevant facts…"
,,,,,,"A Silicon Valley libertarian is someone who thinks a planned economy is just dandy as long as it's planned by a private corporation."
,,,,,,"RT @pabbeel: Newscast from a (undesirable) future:
https://t.co/U10FHQpdWj
A wake-up call produced by @UCB_EECS @berkeley_ai 's Prof. Stuar…"
,,,,,,"To US universities complaining about the GOP tuition waiver tax: why charge such high grad student ""tuition""?  Requ… https://t.co/lUTXdFqMLK"
,,,,,,"AI alignment is an area where thoughtful and well-informed outsiders have a good chance of finding important insigh… https://t.co/1l1vTuFUcY"
,,,,,,"@volkuleshov You raise a very important point in Section 3.1: IW-based estimators can underestimate w/ overwhelming… https://t.co/4Ua8qXE2dS"
,,,,,,"RBMs may have lost steam partly because we understand a lot about them mathematically, so we're stuck using algorit… https://t.co/XBhpfcpCG8"
,,,,,,"Start with a CD1-trained RBM that gets -125 nats on MNIST (https://t.co/QL0cm6qrvI). Compute the data-conditional m… https://t.co/8TOdg7TXxU"
,,,,,,"@cjmaddison RBMs are due for a comeback in 2022 (assuming 20 year cycles)."
,,,,,,"@anirudhg9119 We interpreted RAISE as a directed generative model w/ stochastic inference net (Fig. 2). IIUC, the n… https://t.co/LY2q9Dfv0v"
,,,,,,"Interestingly, Variational Walkback (https://t.co/bpjEoWJPjp) is based on the same reverse annealing procedure and… https://t.co/qeriKL7Wkm"
,,,,,,"RT @awiltsch: Just released Tangent, a source-to-source autodiff library for Python! It lets you see and debug your gradients. https://t.co…"
,,,,,,"Having spent time at US and Canadian universities, I think there's a real diff in the research envts for core ML. https://t.co/hzbTX0lwOy"
,,,,,,"Lowering the risk of nuclear war for 11 minutes probably saves at least a few human lives, in expectation."
,,,,,,"Toronto ML is taking students. https://t.co/7XJE9HxG1v"
,,,,,,"Reviewing all the ICLR submissions will probably require &gt; $1 million worth of volunteer time."
,,,,,,"Minimum description length is a useful principle in Bayesian Deep Learning, but max 3 pages?  Really?"
,,,,,,"RT @ryan_p_adams: I have seriously mixed feelings about the use of ""autograd"" as a synonym for ""automatic differentiation"". cc @SingularMat…"
,,,,,,"RT @roydanroy: Excited to welcome new members at the Vector Institute! https://t.co/So6fOeCyYo"
