NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
SardarzadaMujt1,442,136,"Baloch student studying in London. FC Barcelona fan. Leo Messi = Magic ❤️.",62373,94,"@miraculous017 @INFOSMESSl Check Total Sportek"
,,,,,,"@Suefairyz Same here 😂. Messi without a doubt  is the GOAT how many times does he need to prove this ? 😍😍❤️❤️"
,,,,,,"RT @INFOSMESSl: Let's settle this once and for all.
RT IF HE'S THE GREATEST EVER. https://t.co/6WQ6Py40Q4"
,,,,,,"RT @messi10stats: HATTRICK in a must win game to take his country to Russia 2018, when his team is down 1-0 in 1st min. BANG https://t.co/U…"
,,,,,,"RT @GaryLineker: He's only gone and scored a hat-trick. If Messi is not the GOAT then I'm a fucking chicken."
,,,,,,"RT @INFOSMESSl: This is everything for Messi, the passion ❤️ https://t.co/5GfnX8nbyH"
,,,,,,"RT @INFOSMESSl: Messi tonight https://t.co/W9LrrDKiZw"
,,,,,,"RT @dancolosimoo: Argentina's new flag https://t.co/Xvq8sdvNvd"
,,,,,,"RT @messi10stats: HISTORY! Messi with 20 goals is the player with most goals in SouthAmerican qualifiers history. https://t.co/FcWiyQqf2Q"
,,,,,,"RT @messi10stats: Messi for Argentina summed up in one video https://t.co/Et0lFiMniU"
,,,,,,"@Messician So true man 😍. Hope he stays like this 👌👌"
,,,,,,"@Messician 😂😂can't believe this is FC Barcelona  1st team bench 😰"
,,,,,,"@futbolbabes Not for Barca fans 😄"
,,,,,,"@Messician Allie 😅"
,,,,,,"@Messician Lol exactly one of Barcas biggest mistake to let him go 😰"
,,,,,,"RT @Messician: Dani is good that he made Higuain score"
,,,,,,"RT @Footy_Community: Classic. 😂😂😂 https://t.co/RXDBG5tZBY"
,,,,,,"RT @ArdaTuran: If it's about being a legend there is no difference between 500 goals and a single one. Proud to be a teammate of you both.…"
,,,,,,"RT @BarcaWorldwide: RT IF YOU STILL HAVEN'T STOPPED CELEBRATING AND CAN'T CONTAIN YOUR HAPPINESS. https://t.co/oIps3meFB3"
,,,,,,"@messi10stats Thats why he's a magician 😍😜"
,,,,,,"RT @INFOSMESSl: No Offside Goals! No Party! https://t.co/rRGRzIfAKC"
,,,,,,"@Messician Hopefully 😍"
,,,,,,"RT @Messician: Barcelona are going to win Laliga on Head2Head bases 😇"
,,,,,,"RT @BarcaWorldwide: BOW BEFORE YOUR KING! https://t.co/R0pGxQI7Le"
,,,,,,"@Messician 😅😅 https://t.co/rCGZ52t3Zt"
,,,,,,"RT @BashirB1065: 90' at Camp Nou last more than 90'
Barcaa Barcaa"
,,,,,,"RT @INFOSMESSl: The Biggest Robbery Of All Time

(Video made by @MagicOfBarca) https://t.co/NdFeOzcUik"
,,,,,,"RT @Messician: Ronaldo to the ref be like... 'no more penalties, just offside goals'"
,,,,,,"@BashirB1065 @Messician Yah man if we win all the remaining La Liga games including the El Classico and Madrid lose… https://t.co/uwWjpZ8RIn"
,,,,,,"@BashirB1065 @Messician True that poor performance from most of the Players 😞"
,,,,,,"@Messician @BashirB1065 Ur peak 😂. True though shit guy. Did u see that miss by him ? Messi's beautiful pass but ruins everything 😤"
,,,,,,"@Messician Exactly man ffs 😰😤"
,,,,,,"@BashirB1065 well said bro 👌"
,,,,,,"RT @BashirB1065: Don't live to outlive or outdo but to give happiness till you breath last. 
Bashir Baloch"
,,,,,,"@Shamsudinshar10 @OfficialFPL he was alright but City 😂 drawing against Liverpool at home 😄 disgusting"
,,,,,,"@Messician against Deportivo 🙁"
,,,,,,"RT @S14__3: Greatest attacking duo in recent football history https://t.co/1RZWhvxneL"
,,,,,,"We did it guyss ! Magisterial Comeback. Best team in the world proving haters wrong once again 👌💪🏻! Proud ❤ Visca E… https://t.co/ncKQh9ArsT"
