NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
SebastianThrun,58146,23,"Founder, President Udacity.",165091,9963,"Check out https://t.co/8e2Fda9b5e for some provocative thoughts on Artificial Intelligence...."
,,,,,,"RT @CharlieThrun: Switching from Twitter to https://t.co/eLuLSUQ9UT"
,,,,,,"Check out the new @udacity student success page: https://t.co/vj6hauZNo6 .  Makes me proud how great our students are!"
,,,,,,"Thank you @googledevs . 50,000 scholarships available with @udacity . https://t.co/PvCv2dvMYN"
,,,,,,"RT @CharlieThrun: https://t.co/SJIVm6RZee"
,,,,,,"RT @CharlieThrun: Just had my bath.... https://t.co/SdP49DJ7jX"
,,,,,,"RT @udacity: Thanks, @SmartHeroGismo, for the encouraging post for #GoogleUdacityScholars! Scholarship recipients, give this a read: https:…"
,,,,,,"I find this story very inspiring: https://t.co/kK9u0rNogo"
,,,,,,"Five Technologies That Will Rock Your World https://t.co/rT3GxPAxFk"
,,,,,,"RT @olivercameron: 🎉 Huge congrats to Team @Waymo on the historic milestone of deploying totally driverless cars on public roads. https://t…"
,,,,,,"Take my lesson on how my @stanford research team used neural networks to detect + classify skin cancer! https://t.co/IrSq21BxNa"
,,,,,,"@udacity is Silicon Valley'c choice for Deep Learning education: https://t.co/wn1717ViSd"
,,,,,,"RT @plagem: Breaking news: Big updates to Udacity's Deep Learning Foundations after more than 10.000 students have enrolled!
https://t.co/u…"
,,,,,,https://t.co/Ha6oXijD7I
,,,,,,"@yuri_milner is a great guy! https://t.co/JCIyI7vaWx"
,,,,,,"RT @udacity: We're proud to be included on the #LinkedInTopCompanies Startups List! https://t.co/8yKb24pzBX https://t.co/56moXY6MdT"
,,,,,,"We made the list! #19. Go @udacity: https://t.co/OrnmcZB4qv"
,,,,,,"Yet another reason to sign up to @udaciy: https://t.co/MOVHK6sD8i"
,,,,,,"RT @CharlieThrun: https://t.co/ANM3GnqqDc"
,,,,,,"Stop the crime! https://t.co/ta5BQn5kRi"
,,,,,,"Wait. Give me one more reason not to enroll in @udacity.  https://t.co/WrM4ED1mrv"
,,,,,,"@CharlieThrun Wau wau"
,,,,,,"RT @udacity: Learn To Become A Machine Learning Engineer &amp; Start Making Predictive Models. Start With A One-Week Free Trial! https://t.co/n…"
,,,,,,"RT @udacity: For humans, identifying road lane markers is fairly routine; for #selfdrivingcars, it's a little more complicated. https://t.c…"
,,,,,,"RT @CharlieThrun: @UCBerkeley getting ready for the big game. https://t.co/iGLjv8Yjmi"
,,,,,,"RT @udacity: Data analysis skills are valuable in industries far beyond Silicon Valley. https://t.co/Q6GaPQYWx7 https://t.co/Bzmp4g3uNC"
,,,,,,"@LyftLevel5, thanks for having me at your Level 5 opening event! Eager to improve access to self-driving education https://t.co/FtVkOawjVW"
,,,,,,"RT @CharlieThrun: Guilty as charged @SebastianThrun https://t.co/TG50rSNxk7"
,,,,,,"RT @CharlieThrun: Learning to play papa's piano @SebastianThrun https://t.co/kjzCbrj0Kf"
,,,,,,"@CharlieThrun https://t.co/o6cCyqSrMa"
,,,,,,"@CharlieThrun being happy. Happy dog OMG. https://t.co/C7Ljv215ct"
,,,,,,"RT @barkbox: Shout out to @SebastianThrun for showing up to #TCDisrupt with a dog in a bjorn. We like your style sir. @TechCrunch https://t…"
