NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
SergeBelongie,2883,150,"Professor of Computer Science specializing in Computer Vision and Machine Learning",11667,838,"RT @FerGomezBaquero: Do you have a PhD, have an amazing idea for a company in digital technologies, and want to get paid (yes, really) to c…"
,,,,,,"Do convnets really need a fixed feed-forward structure? What if they could learn specialized layers and only execut… https://t.co/ll0PE7DZJO"
,,,,,,"RT @uruvideo: Marvelous video about #DeepTech at @cornell_tech featuring Uru and our A++ #CVML advisor @SergeBelongie! @CornellEng https://…"
,,,,,,"@betaworks visioncamp Computer Vision accelerator (successor to botcamp and voicecamp) is open for applications https://t.co/cclFErl1la"
,,,,,,"@compoundeyeinc is hiring in Vision/SLAM https://t.co/TSAmzkVhAE"
,,,,,,"RT @krajabi: When @Cornell Prez Martha Pollack makes a surprise appearance during @deborahestrin's Studio discussion about NLP &amp; aging @cor…"
,,,,,,"The “stuff” of modern Computer Vision research https://t.co/121REHvwAJ"
,,,,,,"Subscribe to @cornell_tech Learning Machines Seminar Series listserv: email cornell-lmss-l-request@cornell.edu w/ subject ""join"""
,,,,,,"Announcing the Learning Machines Seminar Series @cornell_tech kicking off Friday Oct. 6 with Ray Mooney (UT Austin) https://t.co/ouqfJwNTs0"
,,,,,,"Lots of COCO news! Competition w/new Stuff Segmentation track, deadlines Sept. 30 and Oct. 8, new website https://t.co/vCrCclR1X9"
,,,,,,"RT @uruvideo: Introducing Uru's Engineering Blog! In post #1, @nutella50g explores generating synthetic data for motion tracking:
https://t…"
,,,,,,"Farming robotics startup founded by UCSD alumni now hiring! https://t.co/pL19gVtqDX https://t.co/lYdBRSYhuh"
,,,,,,"RT @uruvideo: Uru is excited to teach this media #AI workshop here at @GCTech on 9/29 as part of the @nycmedialab #NYCML17 summit: https://…"
,,,,,,"Congratulations Dan! https://t.co/9EZVr4cEGK @cornell_tech"
,,,,,,"App combines computer vision and crowdsourcing to explore Earth’s biodiversity @inaturalist @GBIF #visipedia https://t.co/WbimM0tN4j"
,,,,,,"Something cool is coming to @PlayOsmo

https://t.co/wtAq5Dqkq9"
,,,,,,"Perfect weather for recording interview clips for the Bloomberg Center opening festivities @cornell_tech https://t.co/7EzoLjINPB"
,,,,,,"RT @dallandrummond: This is a moth, Paranthrene dollii. It mimics a paper wasp well enough to fool predators, me, and the @inaturalist algo…"
,,,,,,"RT @BayNature: Using ""computer vision"" to identify any kind of life anywhere on Earth. It's an amazing world, @inaturalist! https://t.co/a8…"
,,,,,,"RT @matthewlbrady: @inaturalist The new auto ID feature is UNREAL. It correctly ID'd fire ants from a picture of basically dirt: https://t.…"
,,,,,,"Thumbnails &amp; @GBIF IDs for the 5,089 @inaturalist FGVC challenge categories at-a-glance, courtesy of David Rolnick… https://t.co/2FxMeSq0qG"
,,,,,,"iNaturalist &amp; iMaterialist Challenges deadline July 7 https://t.co/Aw2UhnCd7q Sponsored by @googleresearch hosted b… https://t.co/MjG5UYq8bC"
,,,,,,"Announcing the iMaterialist competition at FGVC, counterpart to the iNaturalist competition for clothing attributes… https://t.co/ILw1zhrlRC"
,,,,,,"Read about the @iNaturalist 2017 Species Classification Challenge
Sponsored by @Google - Hosted on @Kaggle
https://t.co/27ictONcyj"
,,,,,,"RT @NandoDF: For the first time ever, ACL will be offering on-site childcare at the conference hotel.  @NipsConference @icmlconf  https://t…"
