NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
SpaceX,5378475,60,"Official Twitter for SpaceX, the future of space travel. SpaceX designs, manufactures and launches the world’s most advanced rockets and spacecraft.",225564,792659,"Though we’ve preserved the range opportunity for tomorrow, we’ll take the time needed to complete the data review a… https://t.co/qKyKt5SP4I"
,,,,,,"Standing down on Zuma mission to take a closer look at data from recent fairing testing for another customer."
,,,,,,"Falcon 9 and Zuma went vertical last night on Pad 39A. Now targeting November 16 for launch — rocket and payload re… https://t.co/qSy41jhbfQ"
,,,,,,"Static fire test of Falcon 9 complete—targeting November 15 launch of Zuma from Pad 39A in Florida."
,,,,,,"Today we honor all who have served, sacrificed and continue to make a difference. Thank you for your service. https://t.co/8qv1JwuTls"
,,,,,,"More photos from Falcon 9's launch of Koreasat-5A to orbit → https://t.co/095WHX44BX https://t.co/Ski0UWeK8d"
,,,,,,"Successful deployment of Koreasat-5A to geostationary transfer orbit confirmed."
,,,,,,"Back live for satellite deployment → https://t.co/gtC39uBC7z"
,,,,,,"Final second stage engine cutoff nominal. Webcast returns in ~5 minutes for satellite deployment."
,,,,,,"Back live for final burn → https://t.co/gtC39uBC7z"
,,,,,,"Webcast returns in ~15 minutes for second stage engine restart."
,,,,,,"Second stage and satellite now in coast phase."
,,,,,,"Falcon 9 first stage has landed on the Of Course I Still Love You droneship."
,,,,,,"Second stage engine cutoff confirmed."
,,,,,,"First stage entry burn complete. Second stage continuing nominally to geostationary transfer orbit."
,,,,,,"Fairing has deployed."
,,,,,,"Main engine cutoff and stage separation confirmed. Second stage engine burn underway."
,,,,,,"Liftoff! https://t.co/gtC39uBC7z https://t.co/SPrwIpeOQ6"
,,,,,,"T-60 seconds until launch → https://t.co/gtC39uBC7z"
,,,,,,"Webcast of Falcon 9 launch is now live → https://t.co/gtC39uBC7z"
,,,,,,"~1 hour until launch of Koreasat-5A. Launch webcast will go live about 15 minutes before liftoff → https://t.co/gtC39uBC7z"
,,,,,,"Falcon 9 and Koreasat-5A went vertical last night on Pad 39A. Today’s launch window opens at 3:34 p.m. EDT →… https://t.co/ONeLdbLUuF"
,,,,,,"Static fire test of Falcon 9 complete—targeting October 30 launch of Koreasat-5A from Pad 39A in Florida."
,,,,,,"RT @elonmusk: BFR AMA on r/space in 2 hours"
,,,,,,"More photos from today’s Falcon 9 launch and first stage landing → https://t.co/095WHX44BX https://t.co/ZWzr7kWJsZ"
,,,,,,"Successful deployment of EchoStar 105/SES-11 to geostationary transfer orbit confirmed. https://t.co/gRA7Rb1MM4"
,,,,,,"Back live for satellite deployment → https://t.co/gtC39uBC7z"
,,,,,,"Final second stage engine cutoff nominal. Webcast returns in ~8 minutes for satellite deployment."
,,,,,,"Back live for final burn → https://t.co/gtC39uBC7z"
,,,,,,"Webcast returns in ~15 minutes for second stage engine restart."
,,,,,,"Second stage and satellite now in coast phase."
,,,,,,"Second stage engine cutoff confirmed."
,,,,,,"Falcon 9 first stage has landed on Of Course I Still Love You — third successful mission with a flight-proven orbital class rocket."
,,,,,,"First stage entry burn complete. Second stage continuing nominally to geostationary transfer orbit."
,,,,,,"Fairing has deployed."
,,,,,,"Main engine cutoff and stage separation confirmed. Second stage engine burn underway."
,,,,,,"Liftoff! https://t.co/gtC39uBC7z"
,,,,,,"T-60 seconds until launch  → https://t.co/gtC39uBC7z"
,,,,,,"Webcast of Falcon 9 launch now live → https://t.co/gtC39uBC7z"
