NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Space_Station,1932702,6220,"NASA's page for updates from the International Space Station, the world-class lab orbiting Earth 250 miles above. For the latest research, follow @ISS_Research.",89503,69541,"RT @AstroKomrade: Pizza delivery to @space_station!  Our Expedition 53 crew had a blast channeling our inner chef by building #tasty pizzas…"
,,,,,,"RT @AstroKomrade: Good morning from @Space_Station.  Mount Rainier and Seattle. #mountrainiernps #visitseattle https://t.co/iClf0tzMaP"
,,,,,,"RT @AstroKomrade: Our @Space_Station likes to photobomb things in this Solar System.  Where to next?

Photo Credit:
NASA J. Kowsky @jakowsk…"
,,,,,,"RT @AstroKomrade: Beautiful moonrise to get you motivated for the #supermoon tonight.  We have a front row seat from @Space_Station, not a…"
,,,,,,"RT @AstroKomrade: Good night from @Space_Station.  Istanbul Turkey https://t.co/ixmDdBRA1b"
,,,,,,"RT @AstroKomrade: Wow! A moon so bright you can see the colors and features across Africa. The lights of the Mediterranean give a powerful…"
,,,,,,"The @OrbitalATK​ #Cygnus resupply ship is packed with over 5,500 pounds of trash and ready to leave Dec. 6 to burn… https://t.co/TD1xMFQ2dK"
,,,,,,"The next crew to launch to the station is in Russia today for traditional ceremonies before their Dec. 14 liftoff f… https://t.co/ectDfHMf1a"
,,,,,,"RT @csa_asc: Ask your questions using #AskAstroDavidS and he will answer some of them LIVE tomorrow! https://t.co/dNtxMuMKZP"
,,,,,,"Keep an eye on our Facebook page this morning for a live chat with @Astro_Wheels from our Destination Station exhib… https://t.co/yLKEuKQulR"
,,,,,,"RT @AstroKomrade: Better lucky than good.  The sun was still shining on @Space_Station so Earth was nearly black, but we spotted Baltimore,…"
,,,,,,".@NASA photographer @IngallsImages went out to #SpotTheStation orbiting over the Washington National Cathedral toda… https://t.co/jyfzRqrj6a"
,,,,,,"RT @AstroKomrade: @NASA @Space_Station Coming your way DC, Philly, NYC, and Boston – will you see us? #SpotTheStation   Here are some recen…"
,,,,,,"RT @NASA: On US East Coast? In 30 mins, go out to #SpotTheStation as @Space_Station flies over

5:34pm ET
Charleston, SC
Raleigh
Richmond
W…"
,,,,,,"RT @AstroAcaba: Happy it was successful and such a positive experience for the students. 

Me da gusto que fue una experiencia exitosa y po…"
,,,,,,"RT @SergeyISS: The #Panama Canal is an artificial 77 km waterway in Panama that connects the #Atlantic Ocean with the Pacific Ocean. The ca…"
,,,,,,"RT @SergeyISS: Mount #Fuji located on Honshu Island. Mount Fuji's exceptionally symmetrical cone is a well-known symbol of #Japan and it is…"
,,,,,,"RT @Astro_Sabot: Any guesses where this is?  (Hint:  Really far south.)  Spotted while waiting for a satellite to deploy.  Nice to see a br…"
,,,,,,"RT @astro_paolo: This goes to my family back on #Earth, who I'll see very soon! // Questa la dedico alla mia famiglia rimasta a Terra, ci v…"
,,,,,,"RT @astro_paolo: Thanks to all the #MissionX students gathered at @ASI_spazio today for the interesting chat! We'll talk again in 20 years,…"
,,,,,,"RT @AstroKomrade: Spectacle of lightning strikes followed by alluring city lights and fishing boats around the Sea of Japan in this @Space_…"
,,,,,,"The station is orbiting slightly higher today to get ready for a pair of crews swapping places in December.… https://t.co/9SugBsdtpt"
,,,,,,"RT @ISS_Research: Students in Venezuela had one chance to make an historic ham radio contact with @AstroAcaba via @ARISS_status. Would it b…"
,,,,,,"On US East Coast? Tonight, go out to #SpotTheStation as @Space_Station passes over:

5:34pm ET
Charleston, SC
Ralei… https://t.co/ffF2huMt9z"
,,,,,,"RT @AstroKomrade: Good morning from @Space_Station.  Bahamas #Bimini #GrandBahamaIsland #Exumas #Eleuthera #Abacos #Nassau #ParadiseIsland…"
,,,,,,"The Expedition 53 crew is configuring the space station for a pair of cargo missions and a crew swap in December.… https://t.co/AnDpbmIWCG"
,,,,,,"RT @AstroKomrade: Sometimes on a #spacewalk, you just have to take a moment to enjoy the beauty of our planet Earth. https://t.co/liTnCB60c9"
,,,,,,"RT @SergeyISS: Вулканический полуостров Банкс (Новая Зеландия) - это одно из любимейших и красивейших мест на нашей планете. // Volcanic Pe…"
,,,,,,"RT @SergeyISS: The Territory of #Heard Island and #McDonald Islands is an Australian external territory comprising a volcanic group of barr…"
,,,,,,"RT @astro_paolo: #Bangkok and the Gulf of Siam at night with some thunderstorms in the distance. And those green dots? Nothing fishy about…"
,,,,,,"RT @AstroKomrade: When we take a picture of somewhere on Earth we are unfamiliar, @Astro_Sabot shows how we look it up and learn where we w…"
,,,,,,"RT @AstroKomrade: Good Morning Dallas &amp; Houston. God Bless Texas! https://t.co/HosF2PwMaq"
,,,,,,"RT @NASAedu: .@AstroAcaba explains to @WestPoint_USMA cadets how @NASA_Astronauts combat the effects of microgravity on the body while livi…"
,,,,,,"RT @NASAedu: .@Astro_Sabot was supposed to rest his 1st day on @Space_Station, but after getting to space, no way could he close his eyes!…"
,,,,,,"RT @NASA: Its #CyberMonday and we're putting the space back into CyberSpace! Did you know that the world wide web came to @Space_Station in…"
,,,,,,"RT @oculus: There’s only one way to celebrate the International Space Station’s 19th birthday - by going on a space walk! Put on your Gear…"
,,,,,,"The @OrbitalATK #Cygnus in its final week at the station and two astronauts are training for its departure next wee… https://t.co/GbHZeqNlP3"
,,,,,,"The meal included some traditional dishes processed for spaceflight and a special treat of lettuce grown and harvested in space!"
,,,,,,"The crew enjoyed Thanksgiving dinner as they orbited the Earth at an altitude of 250 miles. Their turkey day dinner… https://t.co/vorXvXVnk2"
,,,,,,"@bem5of7 @SpaceX @Astro_Sabot @space_tango Dirty clothes are disposed of inside cargo crafts which re-enter Earth's… https://t.co/O7MBMdtsX0"
,,,,,,"Crew celebrates #Thanksgiving in space ""eating lots of food and taking a nap."" #SpaceToGround https://t.co/7JsIyYgBNJ"
,,,,,,"Happy Thanksgiving from the space station crew! @AstroAcaba @AstroKomrade @Astro_Paolo &amp; @Astro_Sabot explain what… https://t.co/x6HA0LDXNi"
,,,,,,"The crew heads into #Thanksgiving studying humans in space, packing the #Cygnus cargo craft and preparing for the n… https://t.co/FmhwR2BNFT"
,,,,,,"RT @AstroKomrade: The impressive Petronas Towers from Kuala Lumpur, Malaysia.  #OneWorldManyViews https://t.co/ZQUwaLS9cb"
,,,,,,".@AstroKomrade @AstroAcaba &amp; @Astro_Sabot share some of their favorite Thanksgiving memories from Earth as they cre… https://t.co/Bo88UG4JNf"
,,,,,,"RT @astro_paolo: The maze of canyons, mesas, and mounds of the #Canyonland National park in #Utah, created by the #ColoradoRiver and the Gr…"
,,,,,,"RT @SergeyISS: Вот так мы отмечали на Станции мой День рождения - с праздничным пирогом и вкусными подарками, которые быстро закончились :)…"
,,,,,,"The space station crew is enjoying a Thanksgiving meal too, but the prep is a little different than on earth! https://t.co/1qPyveZKdD"
,,,,,,"RT @AstroKomrade: Sorry to miss your birthday for the same reason again my little Princess, I wish you the Happiest of Birthdays, Papa will…"
,,,,,,"RT @ISS_Research: Catch up on some of the #science happening aboard @Space_Station recently in the science recap: https://t.co/34WJc1smC8 h…"
,,,,,,"More CubeSats were ejected today while the Expedition 53 crew worked inside #BEAM and conducted vision checks.… https://t.co/bu2YLQGEp1"
,,,,,,"RT @ISS_CASIS: NEWS: 13th SpaceX Commercial Resupply Mission Will Be Packed with Space Station Research→ https://t.co/0oOzDeTZrf https://t.…"
,,,,,,"The space station crew is having a Thanksgiving meal just like us! Learn how to make space food cornbread dressing… https://t.co/qnN7YbrWfb"
,,,,,,".@AstroKomrade @AstroAcaba &amp; @Astro_Sabot share some of their favorite Thanksgiving memories from Earth as they cre… https://t.co/126uGJoHkm"
,,,,,,"RT @NASAedu: Celebrating #Thanksgiving in space is similar to Thanksgiving on Earth—lots of good food, and connecting with family! https://…"
,,,,,,"RT @ISS_Research: ""That's what this whole orbiting laboratory is for."" From combustion to plant grown, @AstroKomrade describes some of the…"
,,,,,,"RT @NASAedu: How do @NASA_Astronauts exercise without floating away? @AstroKomrade explains: https://t.co/tiqhtFv1l4"
,,,,,,"RT @NASAedu: Do you know how long @NASA_Astronauts have to train before going to the @Space_Station? @Astro_Sabot answers: https://t.co/umz…"
,,,,,,"RT @NASAedu: Bungee cords &amp; velcro help @NASA_Astronauts keep their equipment attached to the walls inside the @Space_Station. https://t.co…"
,,,,,,"The @BigelowSpace #BEAM is being prepped for cargo, tiny satellites were ejected into orbit and crew members scanne… https://t.co/95vVjDnrhW"
,,,,,,"RT @SergeyISS: #Crater Lake is a caldera lake in south-central Oregon in the western United States. It is the main feature of Crater #Lake…"
,,,,,,"RT @SergeyISS: Тени от облаков на закате. Ну не красота ли?! 😉
//
Shadows from the clouds at sunset. It's beautiful, isn't it 😉? https://t.…"
,,,,,,"RT @SergeyISS: The #mines from the International Space Station. On the photo you can see one of the mines located in the United States. htt…"
,,,,,,"RT @SergeyISS: Lake #Sevan is the largest body of water in Armenia and the Caucasus region, and one of the largest freshwater high-altitude…"
,,,,,,"RT @astro_paolo: #LakeMead, in #Nevada and #Arizona, has to have some really jaw-dropping surroundings with the colours and shades I'm seei…"
,,,,,,"RT @astro_paolo: Sand dunes in southern Libya... Mind blowing what wind and sand can create when dancing together! 
#Vitamission https://t.…"
,,,,,,"RT @astro_paolo: In the High Plains, just east of the Front Range of the #RockyMountains, the Mile-High city... Hello #Denver! #VITAmission…"
,,,,,,"RT @AstroKomrade: The holy city of Mecca, where the Kaaba is clearly visible even from orbit. https://t.co/eVAUBcP0C5"
,,,,,,"RT @AstroKomrade: Fuji-San or Mt Fuji, from any altitude an iconic symbol of Japan, rising 3,776m above the ground just west of Tokyo. #One…"
,,,,,,"RT @ISS_CASIS: NEWS: CASIS and @NSF Announce Funding Opportunity In Tissue Engineering Research Onboard the International Space Station→ ht…"
,,,,,,"How will the space station crew celebrate Thanksgiving this year? @AstroAcaba, @AstroKomrade, @Astro_Paolo, and… https://t.co/h85uKn6i8e"
,,,,,,"RT @NASAedu: TODAY at 10:05am ET:  Tune into NASA TV to see @WilsonK12Tn students talk to @Astro_Sabot &amp; @AstroKomrade about what it's like…"
,,,,,,"RT @NASA_Johnson: How exactly does weather affect human spaceflight launches, landings, tests, and training? ""Houston We Have A Podcast"" fi…"
,,,,,,"RT @AstroKomrade: Buona Notte Italia!  Good night from @Space_Station. https://t.co/1UJZ6id9U3"
,,,,,,"RT @AstroKomrade: Japan is a very beautiful country, and it becomes even more spectacular at night! Good night from @Space_Station. https:/…"
,,,,,,"RT @astro_paolo: And here a closer look! Make a wish... I already did 😉 // E qui visto da più vicino! Esprimete un desiderio... Io l'ho già…"
,,,,,,"RT @astro_paolo: Way down we go... to the tip of #Italy's boot: #Puglia! #VITAmission https://t.co/qrwRmR07Am"
,,,,,,"RT @astro_paolo: The #Cordillera Occidental of the #Andes and the #Peru coastline around Pisco! #VITAmission #EarthfromSpace https://t.co/F…"
,,,,,,"RT @NASAedu: We teamed up with @4H to create a series of videos &amp; lesson plans that will help you learn &amp; practice the same skills @NASA_As…"
,,,,,,"RT @AstroAcaba: We rely on more than technical skills @Space_Station. Learn what life skills come in handy and you can use them too! https:…"
,,,,,,"RT @AstroKomrade: In space massive objects can be moved around like toy blocks.  Watch this #timelapse to see how we swap racks on @Space_S…"
,,,,,,"RT @AstroKomrade: Winter is strikingly beautiful in the mountains just north of Iwakuni and Hiroshima, Japan. #OneWorldManyViews https://t.…"
,,,,,,"RT @AstroKomrade: Last week @Astro_Paolo practiced on our simulator to grapple the SS Gene Cernan @OrbitalATK #Cygnus cargo vehicle with @S…"
,,,,,,"This week on #SpaceToGround, the @OrbitalATK #Cygnus cargo ship rocketed to the station stuffed with new science ex… https://t.co/AP6R39hFxu"
,,,,,,"RT @SergeyISS: Even from space, you can see how skyscrapers in #Chicago tower above the rest of the city and cast a shadow over Lake #Michi…"
,,,,,,"RT @SergeyISS: Mount #Kilimanjaro is a dormant #volcano in Tanzania. It is the highest mountain in Africa, and rises approximately 4,900 me…"
,,,,,,"RT @astro_paolo: Far volare un #Cygnus nello spazio non è facile... ma nemmeno catturarlo al volo! // Sending a #Cygnus into space is not e…"
,,,,,,"RT @astro_paolo: An eerie view of the #GreatSaltLake area... it feels like a shot from another planet👽🛸! #Vitamission https://t.co/xsniOAwi…"
,,,,,,"RT @astro_paolo: We see many meteors from the @Space_Station but I was never able to get one on camera... this time I got  lucky and filmed…"
,,,,,,"RT @AstroKomrade: When you travel to Japan, the amazing city of Kyoto should not be missed.  #OneWorldManyViews https://t.co/8KU0Lvug0T"
,,,,,,"RT @AstroKomrade: .@Astro_Paolo goes for orbital rack diving Gold medal with his dive not behind, but into the rack to repair our carbon di…"
,,,,,,"RT @AstroKomrade: Why stand and work on the floor when you can work on the ceiling? @Astro_Sabot demonstrates the ease of floating to where…"
,,,,,,"RT @AstroKomrade: Home Improvement @Space_Station Style.  Installing ducting and fan to use when we have a new @Commercial_Crew vehicle doc…"
,,,,,,"RT @BoeingDefense: .@NASA_Astronauts award #Boeing Test &amp; Evaluation @NASA’s #SilverSnoopy for leadership in human spaceflight testing. #Bo…"
,,,,,,"Expedition 53 checked out an advanced microscope, worked on the station’s toilet and continued unpacking the new Cy… https://t.co/lYYwTyubEO"
,,,,,,"More space podcasts to make your morning commute or holiday travel even better! https://t.co/RlDSwQeoJt"
,,,,,,"RT @NASA: Did you watch #BeyondYearinSpacePBS? Learn more about the Twins Study and @StationCDRKelly’s #YearInSpace here: https://t.co/yiKC…"
,,,,,,"This imagery can give you a sense of why we're working off the Earth for the betterment of humankind. https://t.co/m8wTkVKoMg"
