NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
SteveCase,798579,2,"Author of The Third Wave: An Entrepreneur's Vision of the Future. Chairman of Revolution. Chairman of Case Foundation. Co-founder of AOL. @ThirdWaveBook",166330,787,"RT @Forbes: How Under 30 scientists, entrepreneurs, artists, educators and financial titans are trailblazing toward the future: https://t.c…"
,,,,,,"RT @BradSmi: 9 years before electricity lit the White House, innovators in the nation’s heartland harnessed the river to electrify #WI. Tha…"
,,,,,,"It’s Time to Move Some Federal Agencies Out of D.C. https://t.co/0kj4RCPB2P #RiseOfRest https://t.co/QGD7VnBXil"
,,,,,,"RT @ThirdWaveBook: ""America's Heartland is becoming a scene for fast-paced #startup innovation and consequently, a focus for investors."" #R…"
,,,,,,"RT @SteveCase: Why I Left DC https://t.co/G9d2LW7BTs @WalterIsaacson: ""At a certain point it makes sense to go home"" #RiseOfRest @AspenInst…"
,,,,,,"RT @TheEconomist: America’s economy is not just weaker and less equal than it used to be; it is also less dynamic https://t.co/ZyojcbS8tX"
,,,,,,"RT @KauffmanFDN: ""We need to get about the business of building innovation and some #startup culture into regions of the country that have…"
,,,,,,"RT @1776: Entrepreneurs along the #NECorridor are transforming industries, from healthcare to business intelligence. https://t.co/TujVMS6Xmg"
,,,,,,"RT @matteroffacttv: 13 million kids in America don’t know when they’ll get their next meal. Being hungry hurts their ability to learn but s…"
,,,,,,"RT @SimonBooks: One of the most critically-accalimed books of the year, #LeonardoDaVinci by @WalterIsaacson. What can we learn today from L…"
,,,,,,"RT @revolution: Tune in to @HowIBuiltThis to listen to the @Framebridge story from founder @SusanRTynan! ""Framebridge is now three years ol…"
,,,,,,"RT @RoadsKingdoms: Let's re-enjoy this immersive, action-packed dispatch from @chefjoseandres in Havana, featuring some serious kitchen her…"
,,,,,,"RT @RayDalio: Over time, I’ve learned that everyone struggles, including those who are very successful. The key to success is knowing how t…"
,,,,,,"RT @ThirdWaveBook: There's a lot you can learn from Silicon Valley ... but don't imitate it. #RiseOfRest https://t.co/NVXl53905B"
,,,,,,"RT @CityLab: A relatively simple way to address inequality, @Richard_Florida writes, would be moving federal-government operations to small…"
,,,,,,"RT @ericschmidt: Amazing! 3D maps of coral reefs .. could help scientists understand them and conservationists save them. https://t.co/sseF…"
,,,,,,"RT @SteveCase: Great @NYTimes review of the great #LeonardoDaVinci book by the great author (and a great friend) @WalterIsaacson. Worth a r…"
,,,,,,"RT @qz: Research shows jerks get ahead in spite of their jerkiness, not because of it https://t.co/eD5ZzfnDV9"
,,,,,,"RT @smithsonian: Follow @SmithsonianLive for live tweets from #TheLongConvo today. https://t.co/Z97ZgYOj2a"
,,,,,,"Great to be at @Smithsonian for #TheLongConvo as @DavidJSkorton talks with #DC Mayor @MayorBowser… https://t.co/dvypZGmUfK"
,,,,,,"RT @longnow: In DC + via webcast Friday, Dec 1 @smithsonian hosts a 25-person #Longconvo including @YoYo_Ma @SteveCase @KenCenPrez and @che…"
,,,,,,"RT @GreenBiz: 10 Minutes with @kirstentobey,  founder &amp; chief impact officer of Oakland-based @RevolutionFoods https://t.co/yiebdN1ttJ by @…"
,,,,,,"RT @CaseFoundation: On #FearlessFriday, watch @SpecialOlympics' #BeFearless story https://t.co/mXEt8PSIbG"
,,,,,,"RT @smithsonian: Watch the conversation about our future live now: https://t.co/vYqBquEuih https://t.co/bZmYTyCe8T"
,,,,,,"RT @Entrepreneur: Entrepreneurs Could Be the Key to Rejuvenating Areas of the Country That Have Been Left Behind | by @bfeld https://t.co/Z…"
,,,,,,"RT @smithsonian: Today at 2 ET: What will the Smithsonian look like in 5 years?

Join Secretary @DavidJSkorton, @NMNH Director Kirk Johnson…"
,,,,,,"Why I’m leaving Silicon Valley https://t.co/0h2JP0w6Qj ""You don’t have to be in Silicon Valley to change the world""… https://t.co/ofnYNTmsig"
,,,,,,"RT @FastCompany: This photo series reveals just how much sugar is hiding in the food you eat https://t.co/wiNGpCk1eY https://t.co/oySQey5S3k"
,,,,,,"RT @KauffmanFDN: In the latest Kauffman Index, Columbus ranks third among 40 metropolitan areas in growth entrepreneurship. @SteveLohr @nyt…"
,,,,,,"RT @qzafrica: African women are starting to take a lead in agricultural research https://t.co/nFkXdpKWP3 via @qzafrica"
,,,,,,"Why I Left DC https://t.co/G9d2LW7BTs @WalterIsaacson: ""At a certain point it makes sense to go home"" #RiseOfRest… https://t.co/a3kE46f1mA"
,,,,,,"RT @merbalenske: Rhode Island entrepreneurs form coalition to unite the state’s startup efforts https://t.co/pl370nnfLq @VentureBeat @Riseo…"
,,,,,,"How to Get Your Mind to Read https://t.co/WVuhQ0yHul https://t.co/3BGrcv0t0q"
,,,,,,"RT @NatGeo: So many things in our lives are reduced to what we can see and do on a screen. Animals are a healthy antidote to that. https://…"
,,,,,,"RT @TechOhioGov: Ohio cities among the best in the nation for startups. #OhioIsForStartups https://t.co/6CImm1dRPk"
,,,,,,"RT @HowIBuiltThis: .@susanrtynan once read that how fast you can jump up from a burpee is directly related to your life expectancy. She use…"
