NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
SvenKums,10104,4723,"⚽️ Rsc Anderlecht  👔 Ambassador Danone Nations Cup BE",5414,10729,"@dncbelgium @dncbelgium Good luck everybody!! Enjoy and give the best of yourself"
,,,,,,"RT @dncbelgium: Danone Nations Cup in the Football Stadium of Ouderghem - Place to Be - National Final! #DNC2017 #BelieveInYourDreams @Sven…"
,,,,,,"RT @C_Declercq: Stem ons Jolien en haar bbq boys naar de overwinning! Sms vanavond 'tjops' naar 6677 of stem via de #vtm app. #tjops #mijpo…"
,,,,,,"2 years ago 😢
We will never forget you!! RIP 🙏 https://t.co/j3t4yQh9hW"
,,,,,,"Wa nen topper!!! @SammyBossut1 https://t.co/8dwGmj01xf"
,,,,,,"@vdkerckhovero @BDejaegere dat wist ik al langer als vandaag ze #topper"
,,,,,,"RT @devliegergeert: From friday 10/3 new #Hoogvliegers @playsports with @SvenKums https://t.co/SZKsziq8zc"
,,,,,,"Yes you can!! @KAAGent"
,,,,,,"RT @KAAGent: Thank you @bryanruizcr, @SvenKums, @hannesvdb, @deketelekenny, @evivanacker and Randall Azofeifa for the support! #Ghentennial…"
,,,,,,"RT @dncbelgium: #FairPlay #DNC2017 https://t.co/GuTy0EMj2n"
,,,,,,"Buffaloooooo @KAAGent"
,,,,,,"Come on @kaagent!! The sky is the limit!! #believe#in#what#you#want#to#achieve #europaleague #gent… https://t.co/sc1MPpXX1h"
,,,,,,"#tbt #DNC2016 #LetsStartDNC2017 https://t.co/65MF9zCD5M"
,,,,,,"RT @Stefan_gent: Persverantwoordelijke @MLysebetten verlengde zojuist zijn contract bij @KAAGent tot 30/6/2020! Proficiat Marc! #topper 👌📑🖊…"
,,,,,,"Félicitations mon ami!!@Sebastiensiani #respect"
,,,,,,"RT @devliegergeert: On the road with @SvenKums  @Udinese_1896 🇮🇹#Hoogvliegers https://t.co/O6MJIoCwhu"
,,,,,,"Veel sterkte aan @ThomasBuffel en familie!!"
,,,,,,"Gouden Schoen Kums spoort kinderen aan om te voetballen https://t.co/an633gfR7O"
,,,,,,"De DNC 2017 is begonnen! Wil je ook deelnemen? Vorm een ploegje met je school en doe mee aan de provinciale finales… https://t.co/mWkbGxjApp"
,,,,,,"La DNC 2017 a commencé! Envie d'y participer? Formez une équipe via votre école et participez aux finales provincia… https://t.co/6artpu0hml"
,,,,,,"Good luck my friend!! ⚽️@hannesvdbruggen #topper #echteprof #transfer #kvkortrijk https://t.co/ARicBUf0s4"
,,,,,,"2016 was a year full of emotions. Let's try to keep up the positive ones in 2017!! 🎁🎉
#newyear #2016 #2017… https://t.co/G45OuXzL8L"
,,,,,,"@Milicevic_D félicitation mon ami!! #grandjoueur #EuropaLeague"
,,,,,,"Jaaaaaa!!!!!! @KAAGent"
,,,,,,"DNC je was geweldig! Wil je er volgend jaar ook bij zijn? Volg dan @dncbelgium voor alle info!#ambassadeur https://t.co/fSIrjzfeGA"
,,,,,,"Well done boys!! You can be proud of what you achieved!! #believeinyourdreams @dncbelgium @danonenationcup https://t.co/UmVW9xUVfJ"
,,,,,,"RT @Danone_Be: Well done! 👍 #DNC2016 https://t.co/H3r4gSpNBk"
,,,,,,"RT @castagne_thomas: @SvenKums @dncbelgium Believe in your Dreams and enjoy comme nous en 2015 ! Go Belgium !"
,,,,,,"@dncbelgium well done boys!! Keep on going👍👏"
,,,,,,"RT @dncbelgium: België-Bulgarije 1-0! Yes! #DNC2016 https://t.co/gvMS0PlVYT"
,,,,,,"RT @dncbelgium: Klaar voor onze eerste match van vandaag! #DNC2016 https://t.co/DBCmvW2UAo"
,,,,,,"@dncbelgium kop op jongens!!! Vlug vergeten en alles geven de volgende matchen!! #believe"
,,,,,,"Good luck today boys!! Make Belgium proud!! @dncbelgium https://t.co/7yfnzno5FM"
,,,,,,"RT @dncbelgium: @SvenKums Onze planning voor morgen! Notre planning pour demain! #DNC2016 https://t.co/hwEqmQ23y3"
,,,,,,"RT @dncbelgium: @SvenKums this is what we'll look like when playing in #stadedefrance #DNC2016 https://t.co/KMyCvda9rN"
,,,,,,"Good luck buffalo's!!!! #cobw @KAAGent"
,,,,,,"Proficiat @KAAGent met jullie topprestatie!! Dubbel gelukkig vandaag!!"
,,,,,,"Happy with the result!! Up to next week!! @Udinese_1896 https://t.co/MBpigDRSGr"
,,,,,,"Bedankt Buffalo's!! @KAAGent https://t.co/QPw9A5akQO"
,,,,,,"RT @AnnekatrienDS: @SvenKums I think I will probably support our wonderfull Belgian team...! https://t.co/z5Hy8Yt5Sm"
,,,,,,"Wauww!! Gold!! @thiam_nafi"
,,,,,,"Niets dan respect voor mijn doorzettertje!!! #dodentocht #100km #wandelen #respect #proud https://t.co/HZ5tXjadY8"
,,,,,,"RT @danonenationcup: 🇧🇪 Find out the #DNC2016 Belgian ambassador: the football player @SvenKums ! Thank you for your support! https://t.co/…"
,,,,,,"#PrayForNice https://t.co/3uNb0tcRUC"
,,,,,,"RT @voetbalindestad: Vind je ontbrekende #euro2016 #panini stickers en help zo @MissingChildEU https://t.co/sUujypAOxX #COBW https://t.co/o…"
,,,,,,"Retweet en maak kans op deze voetbalschoenen!! @KAAGent #succes https://t.co/Y5iiatGAgo"
,,,,,,"New season... New shoes!! Thank you adidas https://t.co/Z6rJa9XSqd"
,,,,,,"RT @voetbalindestad: Wij steunen met de hele @KAAGent community thuislozen en wensen hen een woning en veel voetbalplezier #mygoalisahome h…"
,,,,,,"Breakfast in bali!! #enjoy #vacation #fantastic #alilaubud alilaubud https://t.co/5pLTRKdVtG"
,,,,,,"RT @ThomasFoket: Ik speelde dit seizoen mijn 100e wedstrijd in de JPL! RT en maak kans op dit 100-truitje van mij. https://t.co/lhJSysA6m9"
,,,,,,"RT @castagne_thomas: #DNC2016 Super reportage de télévesdre  sur la finale nationale de la danone cup 2016 ! 

https://t.co/dlGrvh2ALP"
,,,,,,"Surf dan naar https://t.co/NitAEfsnbl OF volg ons op sociale media!! #ambassadeur #DNC2016 (2/2) https://t.co/O9daRkbbwv"
,,,,,,"Genoten op de danone nations cup vandaag!! Wil je er de volgende editie ook bij zijn? (1/2) https://t.co/2HQamGnRSm"
,,,,,,"Team oost-vlaanderen!! Nog niet gewonnen, maar wat een teamspirit!! #DNC2016 https://t.co/GQlZU7mirw"
,,,,,,"De winnaars van vorig jaar!! Luik!! #DNC2016 @oliviertomezzo1 https://t.co/BIS3mlikRg"
,,,,,,"Supporteren voor het team van vlaams-brabant. #DNC2016 https://t.co/PjwQSWxhjs"
,,,,,,"RT @AlexMilone: Hi @KAAGent, greetings from Milano! Nice to see captain @SvenKums in @ChampionsLeague 2015/2016 celebrities! https://t.co/l…"
,,,,,,"RT @VTMStadion: Ook @KAAGent en @SvenKums zijn er een beetje bij in Milaan https://t.co/1lETyPHUgQ #UCLfinal https://t.co/rd45j2y1Y0"
,,,,,,"RT @BrilBroeder: Proud to be a Buffalo #cobw @SvenKums @KAAGent https://t.co/NuBTYDMV5A"
,,,,,,"Kijk uit naar de @dncbelgium zaterdag te Oudergem!! Mijn trofee heb ik alvast nog!! #ambassadeur #DNC2016 #trots https://t.co/yjNZlzSVI0"
,,,,,,"RT @KAAGent: 👉🏼@realmadriden &amp; @Atleti will be in good company for the @ChampionsLeague final next Saturday! 😁 #COBW https://t.co/jVfwYyXJTC"
,,,,,,"RT @dncbelgium: So happy to announce @SvenKums as our Belgian #DNC2016 ambassador! Join us at the national final 28/05! https://t.co/HEhF84…"
,,,,,,"About last night... 
Proficiat boyke matzsels en @SofianeHanni #profvoetballer #gala #love https://t.co/fUs4djd2Uf"
,,,,,,"RT @KAAGent: Dik verdiend @MatzSels!  https://t.co/SIqG7aAGFp"
,,,,,,"RT @KAAGent: Na de Gouden Schoen wordt  @SvenKums ook door de kijkers van @VTMStadion tot beste speler vh seizoen verkozen! #COBW https://t…"
,,,,,,"RT @KAAGent: Congratulations mister Nana Asare, elected MVP of the season by the fans! Well deserved for your incredible season!… https://t…"
,,,,,,"RT @KAAGent: 💪🏼 Three @kaagent players in the @easportsfifa Benelux Team of the season: @matzsels, @SvenKums &amp; Nana Asare! 👏🏼👏🏼👏🏼 https://t…"
,,,,,,"RT @C_Declercq: Als het moeilijk gaat bij @KAAGent zingen de supporters! Da's échte clubliefde! #respect"
,,,,,,"Wat een fantastische fans hebben wij toch!! Duizend maal bedankt voor de steun!! Dit is echte clubliefde!! Respect @KAAGent"
,,,,,,"Gameday playoff 1!!! #cobw #tousensemble @kaagent https://t.co/xKr6BaKt1X"
,,,,,,"RT @KAAGent: Rust zacht Frans Babbelaar. Schone mens, vriend van iedereen, Buffalo Forever.
We gaan je verdomme hard missen 😞 https://t.co/…"
,,,,,,"Chapeau voor de mensen die zich dagelijks inzetten om dit te bereiken!!  https://t.co/qcMN8NFxng"
,,,,,,"Workout with my friend lnielsen88 #adidas @kaagent https://t.co/sBhmehQFub"
,,,,,,"One year ago...😢 we will never forget you neefke!! https://t.co/wbVtGh3EFq"
,,,,,,"RT @jeanine102030: @SvenKums @KAAGent Geweldig gedaan en dat met 10 man.
Niks meer laten liggen nog een handvol matchen niet plooien .PROFI…"
,,,,,,"RT @vdkerckhovero: @SvenKums @renatoneto_ hoe jullie zelf met 10 zoveel controle hadden over het middenveld. Chapeau! 👏🏻 💪🏻 #heersers #gnkg…"
,,,,,,"Great victory!! Great spirit!! #cobw @kaagent #po1 https://t.co/ukd4VyHbyD"
,,,,,,"Gameday!!! Vamossss⚽️⚽️ #po1 #tousensemble #oneteamonedream @kaagent https://t.co/9UVBTwhKqb"
,,,,,,"RT @miguelwiels: Heel plezant interview gedaan met held @SvenKums. Over witte wijn. En K3. Volgende week in @Nieuwsblad_be @kaagent https:/…"
,,,,,,"Bedankt @CampariCarbon &amp; @GunterMagits voor deze nieuwe scheenbeschermers. #gregorymertens #neverforgetyou https://t.co/YLulPWAT4t"
,,,,,,"RT @SporthouseGroup: Get well soon @BDejaegere ! We gathered some messages for you.. #kaagent
https://t.co/6mnSrBOnfT"
,,,,,,"Rip legend #cruyff #14 https://t.co/ANGdlWelQk"
,,,,,,"🙏 Brussel❤️"
,,,,,,"Wat een straffe mol!! #vier #demol"
,,,,,,"RT @BDejaegere: Woorden kunnen m'n gevoelens op dit moment niet beschrijven.. Thx iedereen voor de steun, ik zal sterker terugkomen. https:…"
,,,,,,"Spoedig herstel kleine!! Je zal nog sterker terugkeren als voordien!! #topper #krijger @KAAGent https://t.co/bOK8FzvjNm"
,,,,,,"RT @BDejaegere: Wie kan mij helpen en weet wie deze jongen is? Ik zou hem heel graag mijn truitje kunnen geven!! #kaagent https://t.co/RowN…"
,,,,,,"Very happy that our press officer @MLysebetten is staying longer with us!! #topper @KAAGent https://t.co/9xiC36ccfn"
,,,,,,"RT @OptaJohan: 498 - Most passes completed this Champions League season:
Thiago Motta - 636
Toni Kroos - 560
@svenkums - 498.
Architects."
,,,,,,"It was an unforgettable experience. Especially the win against Zenit that led us to the last sixteen @ChampionsLeague @KAAGent #ucl #cobw"
,,,,,,"Come on boys!! Let's go for it!! #championsleague #cobw @kaagent https://t.co/na2dqXIOTj"
,,,,,,"Ontzettend trots op mijn titel ""ereburger van dilbeek""
Bedankt @GemeenteDilbeek voor deze prachtige erkenning!! https://t.co/bhKjtOVpDE"
,,,,,,"RT @Stijn_Matthys: 6 @KAAGent players in top20 covered distance in @ChampionsLeague 😳 https://t.co/57cTvMSr2i"
,,,,,,"Bedankt voor alle verjaardagswensen!! Now focus on the game!! Let's go for victory!! #cobw #tousensemble @kaagent https://t.co/L22j0DUt3M"
,,,,,,"RT @voetbalindestad: De grote boodschap van @SvenKums: @StopDarmkanker https://t.co/VCzRiKORgJ Pak het aan voor het jou aanpakt. #COBW http…"
,,,,,,"Goed nieuws!! De tas is terecht!! Bedankt iedereen voor de hulp. @KAAGent"
,,,,,,"""Wie meer weet, contacteer me via DM of breng de zak terug naar de balie van de Ghelamco Arena bij Wouter aub."
,,,,,,"Dubbele teleurstelling gisteren. Na het verlies, ook merken dat je voetbaltas met al je bezittingen is gestolen. https://t.co/3O4bLG6H4g"
,,,,,,"Gameday!! Let's write some history together!! #cobw #championsleauge #tousensemble @kaagent https://t.co/dJIayRyNiZ"
,,,,,,"Gameday!! Let's go for victory!!! #cobw #tousensemble @KAAGent https://t.co/kIPZkSIF6G"
,,,,,,"Wat een topper toch die @StevenGoegebeur #magikukussen #een"
,,,,,,"RT @KAAGent: Op #Wereldkankerdag halen we onze tomahawk boven en trekken we #SamenTegenKanker ten strijde #COBW https://t.co/7P9tWKNW9O"
,,,,,,"Happy with my new contract @kaagent #oneteamonedream https://t.co/kdEw2WlknA"
,,,,,,"Gameday!! #crokycup #roadtothefinal #tousensemble @kaagent https://t.co/Qq1M8MQ1Om"
,,,,,,"Happy birthday neefke!! We will never forget you!! ❤️ #gregorymertens #rip https://t.co/FnrNP6UCPL"
,,,,,,"Gameday!! Let's go for victory!! #COBW🔵⚪️ #tousensemble @kaagent https://t.co/h2McYtIKiI"
