NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Taylor_Kubota,511,105,"Science journalist in California. #SHERP grad. Science writer for @Stanford. Tweets are my own.",545753,158,"@Sarah_Derouin I have already expressed my condolences to every retail worker I've spoken with in the last two weeks."
,,,,,,"@PrakashLab needs your help to map mosquitoes: https://t.co/hAxoLRNxs5 via @SmithsonianMag @randyrieland (feat. @morde)"
,,,,,,"This is my kind of #holidaytravel game! https://t.co/856VSkgH9M"
,,,,,,"RT @BhamlaLab: A hundred years ago, the peculiar behavior of these insects charmed Mark Twain, who wrote in his travel memoir, “Roughing It…"
,,,,,,"Oh no. I've just discovered #MyOneScienceTweet and can't possibly share all the great tweets! But I've said this on… https://t.co/soJ7M2P64O"
,,,,,,"@wheatgrower Thanks so much. And back at you. ❤"
,,,,,,"@wheatgrower I haven't seen footage of our exact street but I've seen the edge of the neighborhood and it's gone. I'm so sorry."
,,,,,,"@wheatgrower Glad to hear that. And nice to know not everything is gone."
,,,,,,"@wheatgrower Yeah. There are very few homes that I've heard of that aren't in danger. It's shocking."
,,,,,,"@wheatgrower Me too. It's a really hard place to lose."
,,,,,,"@wheatgrower Thank you so much. I will let them know."
,,,,,,"@wheatgrower Exactly. It hurts to imagine such a beautiful, loving neighborhood gone."
,,,,,,"@wheatgrower I haven't heard but that whole area sounds like it's gone."
,,,,,,"@wheatgrower I still can't really wrap my head around it but I just hope everyone is safe. The loss of homes is dev… https://t.co/sS6a1lIOOt"
,,,,,,"@wheatgrower My parents and brother's family are safe but the homes are probably gone. The Chu's nextdoor are safe… https://t.co/572zINbvPb"
,,,,,,"RT @MIT: Weiss. Barish. Thorne. The 2017 physics #NobelPrize-winners in LEGO! Photo: @20tauri https://t.co/djjCO38tWO"
,,,,,,"A bold move by @BioDivLibrary in the #SeaOtterTweetOff https://t.co/4pErWvHATe"
,,,,,,"Kiwis were the subject of my first research paper in 4th grade and I've loved them ever since. I dare say this cove… https://t.co/ZSctlyU9Tm"
,,,,,,"RT @coreyspowell: 40 years ago #today, Voyager 1 looked back and took the first-ever snapshot of Earth &amp; Moon together in space. https://t.…"
,,,,,,"RT @BadAstronomer: This is a wonderful collection of Saturn pix chosen by the members of the Cassini team themselves. https://t.co/Wlb38TFq…"
,,,,,,"RT @PrakashLab: To get ready to ship #Foldscope v2.0, I am looking for volunteers to translate instructions in 100's of languages. Pls DM m…"
,,,,,,"This is a great overview of #Cassini but it still makes me sad https://t.co/uHmoy94G94"
,,,,,,"Truly fascinating story about @StanfordLaw 's Deborah Rhode via @stanfordmag https://t.co/ktNlp0fITS"
,,,,,,"@TadashiFukami Thanks Tad! It was such a pleasure to learn about and share your wonderful work and teaching."
,,,,,,"Come to learn about #microbes in nectar, stay for the hummingbird videos https://t.co/psCMYzQW9q"
,,,,,,"RT @Docteur_Drey: #Ciliates in polarized light it's like #Christmas in a petri dish🎄 #protozoa #unicellular https://t.co/tufukskde3"
,,,,,,"RT @iamscicomm: What's something you wish the general population knew about your field of study? #SciComm 📢"
