NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
TheEconomist,22475749,303,"News and analysis with a global perspective.  Subscribe here: https://t.co/owztJzwlmm",13766,19753,"Sceptics decry electric aircraft. But few people predicted the pace of electrification in other areas  https://t.co/SNSnZQ6rAu"
,,,,,,"China is wrong to treat its citizens moving from rural areas into the cities as a problem https://t.co/rBLbWsDuFg"
,,,,,,"A recording obtained by The Economist seems to show evidence of intended vote-rigging. Read the transcript: https://t.co/LxxI8FwKmV"
,,,,,,"Nancy Pelosi's patronage network and controlling leadership style are obstacles to reform https://t.co/ZUIMiXMhGO"
,,,,,,"“No one criticises the events,” Mega Blaqaut, a rapper, declares in one song. “The Years of Lead…are here forever” https://t.co/ImiugRb4Nx"
,,,,,,"A fierce online reaction has broken through the divisions that separate middle-class scandals from those affecting… https://t.co/VgnnqXNSGT"
,,,,,,"This week's cartoon from KAL https://t.co/9I2k2pXjyD"
,,,,,,"A Russian cleric’s turn of phrase evokes some dark memories https://t.co/VbjRVQVh8D"
,,,,,,"The Yemenis have become the pawns in the regional power-struggle between Saudi Arabia and Iran https://t.co/Hzn0LaaLt5"
,,,,,,"For the past three decades, Mr Haneke’s provocative dramas have been unsparing in their depiction of bloody violence https://t.co/rGkyXq0mJi"
,,,,,,"After decades of inflated hopes, America is back to its old cold-war policy of containment and deterrence https://t.co/tpnkibnc0S"
,,,,,,".@em_dash3 has written a book about her experiences as copy-chief of BuzzFeed. It may surprise some traditionalists https://t.co/pp37tdqRUc"
,,,,,,"America’s economy is now impaired by policies which both reduce growth and increase inequality https://t.co/8ZbTkn7m5e"
,,,,,,"""As a middle power, Canada has a vital interest in a rules-based order""—@cafreeland https://t.co/R54MXzCQnv https://t.co/kDeb6GIh1Y"
,,,,,,"Not everyone agrees on whose heritage is being protected in China https://t.co/1bYaWC6KAC https://t.co/Qc7guwzR1f"
,,,,,,"Has the Honduran election been rigged? https://t.co/R0n0Dbt7QE"
,,,,,,"Why New York is the world leader in public art https://t.co/OVHtqX090y From @1843mag https://t.co/jLPkjinSWL"
,,,,,,"Abandoning an invisible border would make both Britain and Ireland poorer, and put the peace process at risk https://t.co/po93Ow4HTT"
,,,,,,"How artists have depicted the grim reaper https://t.co/wLHFf2Dg89 From @1843mag https://t.co/Hd6goZKIy2"
,,,,,,"Justice Sonia Sotomayor said handing mobile phone data to the state could open the door to more egregious privacy v… https://t.co/WFyIIuH8C0"
,,,,,,"France's new budget has little sign of the structural change that Mr Macron previously said he would deliver https://t.co/OWfmE3aZrP"
,,,,,,"The subsidised credits that helped Brazil's economy overcome the financial crisis are on the chopping block https://t.co/A8ao9Ealws"
,,,,,,"It's time for Africa to rethink its electoral processes, argues Stella Nyanzi https://t.co/iXwpovghMJ"
,,,,,,"Offering observations and recollections between songs, @gabrielkahane shapes a larger narrative about travel and di… https://t.co/nRNS9iOGgH"
,,,,,,"""South Africa's post-apartheid paradise dissipates every year"" - @SizweMpofuWalsh https://t.co/Sayc5jJpxy https://t.co/KEXHDFYzzN"
,,,,,,"Banks will have to open their customers' accounts to outside competition https://t.co/HgpGdIrAhu"
,,,,,,"Naruhito will struggle to fill his father's shoes https://t.co/IsHnmwIleT"
,,,,,,"Some analysts suspect Mr Erdogan's enthusiasm for the deal has more to do with his fear of another attempted coup https://t.co/5DPqZxDksK"
,,,,,,"Most earlier attempts were private members’ bills, but the state government proposed this one. That might have been… https://t.co/3hUGFnCBqR"
,,,,,,"In the Senate, Democrats face a brutal map in the 2018 mid-term elections https://t.co/YJzKpcShpN https://t.co/cH5a0qSjER"
,,,,,,"A new gadget promises to be a breath of fresh air for medical diagnostics https://t.co/XfVOSfqcaZ"
,,,,,,".@tolokno was imprisoned for speaking out against Vladimir Putin's presidency in Russia. She speaks to us about Mr… https://t.co/LGJr0KuI6p"
,,,,,,"Ireland's government aims to cover 18% of its land area with forests by 2046 https://t.co/5n1Mz56qPt"
,,,,,,"After the crisis foreign consumers threw the euro zone a lifeline—now the monetary union needs to use its current g… https://t.co/hn9OO9HTtb"
,,,,,,"Lee Kum Kee bought the “Walkie Talkie” office tower for £1.3bn, the highest price ever paid for a British building https://t.co/3Dvb8ZAhPt"
,,,,,,"Anticipating changes to political and social norms is hard. But that is a vital part of the CEO's job description… https://t.co/OZfnv2ud8z"
,,,,,,"At least 10,000 people have been killed by bullets and bombs, but many more have died from a lack of food and medic… https://t.co/PPYCdtqNIR"
