NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
TheOnion,10783124,1,"America's Finest News Source.",121658,294698,"Frustrated Man Doesn’t Know What Else He Can Do To Get Cat Purring https://t.co/kMA2XEs5JZ https://t.co/MCD9Qrig1P"
,,,,,,"Study: 63% Of All Human Speech Occurs Under Breath https://t.co/sXnVfqqiCV https://t.co/kUjbWFV733"
,,,,,,"Teacher Frustrated No One In Beginner Yoga Class Can Focus Chakras Into Energy Blast https://t.co/euO9v6o7MC https://t.co/yq0d20fcOb"
,,,,,,"Area Man Locked In Protracted Battle With Sweatshirt Neckhole https://t.co/u6xrLGbdJy https://t.co/TSeuDwACqh"
,,,,,,"Al Roker Stares Crestfallen At Matt Lauer Tattoo On Own Torso https://t.co/N88ZQirJll https://t.co/TxKEnZacGt"
,,,,,,"Local Applebee's Removes Photo Of Underperforming Pop Warner Team https://t.co/gPE9WSTEVa https://t.co/79eUujYUj4"
,,,,,,"Perfect One-Pot, Six-Pan, 10-Wok, 25-Baking Sheet Dinner https://t.co/SFmqD0JtaC"
,,,,,,"Single Mother Working 3 Minimum-Wage Jobs Just Trying Not To Live In The Moment https://t.co/q6DTIiAndF https://t.co/IvtSrXIbFO"
,,,,,,"Prince Harry Engaged To Woman Who Will Never Love Him The Way 29-Year-Old Idahoan Graphic Designer Jennie Hoffman D… https://t.co/9AON0ORIhO"
,,,,,,"Rising Income Inequality Causing Wealthy Americans To Take On Second Sailboat https://t.co/PVoLA6cmH6 https://t.co/LQOFOvij8V"
,,,,,,"RT @TheOnion: GOP Leaders Celebrate Passing Point Of No Return https://t.co/cWiYMhGf1L https://t.co/biMT70T4Tp"
,,,,,,"Encouraging Study Finds It Now Easier Than Ever For American Dollars To Rise Into Upper Class… https://t.co/tHgJVeUnou"
,,,,,,"New GOP Plan Offers Tax Breaks On All Contributions Tucked Into Congressmen’s Suit Breast Pocket… https://t.co/IbyjoAO3sR"
,,,,,,"RT @ClickHole: Incredible: This Inner-City Teacher Can Finally Use The Private Jet Tax Credit To Take Her Kids On A Field Trip To The Louvr…"
,,,,,,"'You're Right' Host Sebastian Moore Bravely Steps Outside His Liberal Bubble By Joining The KKK https://t.co/OHb1YbDOgZ"
,,,,,,"Sad 38-Year-Old Googles 'Jobs Caring For Baby Animals' https://t.co/pZxpCjMJre https://t.co/N1IKJgJoVs"
,,,,,,"GOP Leaders Celebrate Passing Point Of No Return https://t.co/cWiYMhGf1L https://t.co/biMT70T4Tp"
,,,,,,"Kidnapped Boy Found Safe, Imagines Kidnapped Boy https://t.co/ew42meVAkm https://t.co/GxDBqnwqJX"
,,,,,,"President Trump reportedly told the White House cockroach infestation on Friday that it alone truly understood him.… https://t.co/XLTs2HNOEE"
,,,,,,"How To Make Your Marriage Last https://t.co/lzjYAp9jPK"
