NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
TonyaMosley,3716,4646,"Silicon Valley Bureau Chief @KQED - John S. Knight Fellow @Stanford, 2016. Emmy Award Winning Reporter TV. Radio. Interwebs. tmosley@kqed.org",17491,324,"RT @farai: How do we calculate the cost of gender and race-based discrimination in newsrooms on the fiscal bottom line: lost productivity,…"
,,,,,,"@JuleykaLantigua @ConanOBrien @BarryandJoeTAS Congrats @JuleykaLantigua !"
,,,,,,"RT @JSKstanford: ""The JSK fellowship offers a chance to disrupt the status quo. It offers the gift of boundless exploration to find solutio…"
,,,,,,"RT @Blavity: Congressional Black Caucus prods Facebook into making sure its ads don't discriminate against minorities https://t.co/2UF6enaC…"
,,,,,,"Harrison Keillor, ya'll."
,,,,,,"What the Tax Bill Would Look Like for 25,000 Middle-Class Families https://t.co/KF4bbEI7T6"
,,,,,,"Official statement from NBC. https://t.co/PRnl7hJzb7"
,,,,,,"Silicon Valley's Atherton tops the list. #siliconvalley https://t.co/tZ09iYFFBV"
,,,,,,"Matt Lauer ya'll."
,,,,,,"Want to experience one of the best yrs of your life? Apply! https://t.co/bspR5bGtmm"
,,,,,,"The Silicon Valley Founder With a Pocket Full of Visas https://t.co/JorimoAnFY"
,,,,,,"24hrs late but - @RonDeVoe legit needs to have his own fitness empire, supplements, health food company...something. #SoulTrainAwards2017"
,,,,,,"@dradambanks 😩"
,,,,,,"RT @Ariana_Tobin: Facebook says they're taking that whole discriminatory ads issue seriously.

We checked dozens of categories from religio…"
,,,,,,"Uber Hid 2016 Breach, Paying Hackers to Delete Stolen Data https://t.co/MNyfLMmjso"
,,,,,,"#MeToo: Share Your Stories of Sexual Harassment in Silicon Valley https://t.co/1q286j2Zok #siliconvalley"
,,,,,,"Analysis | President Trump and accusations of sexual misconduct: The complete list https://t.co/9ljGy82qW5"
,,,,,,"F.C.C. Is Said to Plan Repeal of Net Neutrality Rules https://t.co/IPzzwevfNz"
,,,,,,"This little girl is hilarious. #veganscantbetrusted - says Lamira. #NYTimes https://t.co/Zc54z157Me"
,,,,,,"No #SiliconValley towns on this list. https://t.co/8hGJbDX9YW"
,,,,,,"#MeToo: Share Your Stories of Sexual Harassment in #SiliconValley https://t.co/1q286j2Zok"
,,,,,,"Perspective | What’s the point of sexual harassment training? Often, to protect employers. https://t.co/DMTIYKuzr9 #metoo #siliconvalley"
,,,,,,"How to Overthrow the Patriarchy as a Working Mom https://t.co/cdlVnLGAka"
,,,,,,"Apple’s first diversity chief is leaving after less than a year https://t.co/42huE3023l #SiliconValley"
,,,,,,"Excited to meet listeners with KQED's Bay Curious Reporter @oallenprice at the San Jose Farmers Market today! Come… https://t.co/QVkJTmaWQI"
,,,,,,"RT @oallenprice: Excited to meet listeners with KQED's Silicon Valley Editor @TonyaMosley at the San Jose Farmers Market today! https://t.c…"
,,,,,,"RT @_trustproject: Excited to share: Dozens of news sites will show #TheTrustProject Indicators to help readers identify #news they can tru…"
