NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Twitter,62176689,5227,"Your official source for what’s happening.

Need a hand? Visit https://t.co/jTMg7YsLw5",283385,199759,"Check out this week’s fire Tweets. 😎

https://t.co/qG9sLoMg20"
,,,,,,"RT @TwitterVideo: It’s not just dogs, people. It’s cats, too. 

Check out this week’s @Twitter video recap!

https://t.co/4zMbDB4x9D"
,,,,,,"RT @DisasterArtist: We’re LIVE at @TwitterSF for an exclusive Q&amp;A with James and Dave Franco! #TheDisasterArtist https://t.co/lu3nAmT5xR"
,,,,,,"@micah_c2 Hot take 🔥"
,,,,,,"@azwarashid96 Honestly, that's the best living."
,,,,,,"We’re bringing Twitter Lite to the Google Play Store in 24 more countries!

It minimizes data usage, loads quickly… https://t.co/9vmeEP2gEU"
,,,,,,"@chrissyteigen @johnlegend Thanks for the @, John. We gotchu. 

Oh, and happy birthday, Chrissy. 😘"
,,,,,,"By turning Direct Messages into poems, writer @morganhnichols is building a community through poetry on Twitter.
https://t.co/SFNQqVdYm5"
,,,,,,"@newrulesdinah Well the 'like' button IS a heart... 😉"
,,,,,,"@C_A_Guardiola Same."
,,,,,,"@DavidIAdeleke Congratulations in advance."
,,,,,,"@DUALIPA 4. Twitter is free 😉"
,,,,,,"RT @TwitterLive: Clear your schedule, you’ve got plans. 

Check out some of what’s streaming LIVE this week on Twitter. Don’t miss a beat w…"
,,,,,,"RT @Twitter: @starwars Thanks for visiting us #RianJohnson 

Is it December 15th yet? #TheLastJedi https://t.co/ACADenA4gw"
,,,,,,"@starwars Thanks for visiting us #RianJohnson 

Is it December 15th yet? #TheLastJedi https://t.co/ACADenA4gw"
,,,,,,"RT @starwars: ⚡️ Live Q&amp;A with #RianJohnson, writer and director of #TheLastJedi. 👀

https://t.co/zIAmc650Ep"
,,,,,,"@rianjohnson But not that sorry. 😎 #PorgLife"
,,,,,,"@sammynickalls The official #WeMetOnTwitter guide in 280 characters or less."
,,,,,,"@AndrewCrow 9. Go back in car at end of day.
10. Stare at cold coffee. Think about Tweeting a photo.
11. Go home
12… https://t.co/SrXqNAi8Bd"
,,,,,,"@benstokes38  https://t.co/xCGPfcEkNY"
,,,,,,"@joshgroban YOU GET A LIKE! YOU GET A LIKE! YOU GET A LIKE!"
