NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
VerizonNews,362483,610,"Verizon news and information on services, devices and communities which empower and enhance the lives of our customers.",4171,4517,"How the Internet of Things can create congestion-free cities: https://t.co/jlDZx0haEr https://t.co/q3Wecdm4IZ"
,,,,,,"Our intelligent network of sensors will give cities the ability to analyze the flow of traffic for easier rush hour… https://t.co/skdfLPquMb"
,,,,,,"Our advanced network enables tracking technology to monitor temperature changes in foods, helping reduce the risk o… https://t.co/qyCpQNLBuu"
,,,,,,https://t.co/TQli3WR08J
,,,,,,"Verizon to launch 5G residential broadband services in up to 5 markets in 2018 https://t.co/LKcEVFSQYu"
,,,,,,"RT @JohnOMalley_PR: Post Irma: Florida public safety officials learn how Verizon’s network performed https://t.co/LiV9egO5NO via @verizon #…"
,,,,,,"RT @JeannineBrew: Nicola Palmer leads the discussion on 5G, partnerships, small cells, STEM and more! #FWNEXTGEN17 https://t.co/wUCgrV4q24"
,,,,,,"A woman didn’t know how she was going to thank her mother for giving her the best birthday gift. 

Then she scored… https://t.co/mPDPl7DPAy"
,,,,,,"RT @H20_hwaterman: In more cities like Atlanta, Boston, Chicago, Dallas Denver, NYC, San Fran, Washington DC... #Verizon continues to be No…"
,,,,,,"In more metro areas, Verizon's network keeps you connected. Check out the latest @Rootmetrics ratings… https://t.co/L3ZM9Fq1J8"
,,,,,,"Congratulations to Verizon's @diegoscotti on being named to the Adweek 50! https://t.co/sCH3jyVEnz"
,,,,,,"AR, robots, and droids! A Houston school rolls out 1-to-1 tech for its students https://t.co/iyp3MCw85G https://t.co/Jf6NkmMnIX"
,,,,,,"RT @verizon: This Cyber Monday, shop smarter, not harder. Get Google Pixel on the best network.  https://t.co/oD1ECp1paF"
,,,,,,"RT @andrewtesta: #BlackFridayWeekend deals at @verizon are still going strong. But if you're planning for #CyberMonday, there are even MORE…"
,,,,,,"RT @VerizonNews: #BlackFriday is almost here and Verizon is offering the latest smartphones, tablets and smart home tech at a great value…"
,,,,,,"RT @verizon: To every first responder away from home, thanks for all you do. Today, and every day. https://t.co/Wnq06DSDpV"
,,,,,,"A message from our Chairman &amp; CEO, Lowell McAdam:  https://t.co/Khacl34dfb #HappyThanksgiving"
,,,,,,"RT @Lavernecox: During the holidays, I like to take a break to connect with family, friends &amp; fans. @Verizon has great deals on Black Frida…"
,,,,,,"Verizon and NBCUniversal expand partnership for Macy's Thanksgiving Day Parade® https://t.co/c5WKs6zk9M"
,,,,,,"#BlackFriday is almost here and Verizon is offering the latest smartphones, tablets and smart home tech at a great… https://t.co/pBmBuFvKoO"
,,,,,,"Our “Holiday House” showcases smart home tech and connected gifts galore: https://t.co/Na1byjElht https://t.co/Z4FPmxydox"
,,,,,,"The holiday shopping season kicks off this coming weekend, and Fios is offering its first ever #BlackFriday offer https://t.co/09Sc9psvba"
,,,,,,"We’re thankful for customers like you: https://t.co/rCD1kLQ14B https://t.co/GyMiyhwEXi"
,,,,,,"Socioeconomic factors are creating a gap preventing more than 1,000,000 classrooms from proper access to technology… https://t.co/1QuCZVSzMI"
,,,,,,"RT @JNels: 2017 Holiday Retail Index by Verizon tracking digital commerce traffic https://t.co/GrqO0ZOxt5 via @verizon"
,,,,,,"RT @H20_hwaterman: Connected During a Crisis. When Survival Depends on a Better Network https://t.co/eoPnxgxSzN via @HuffPostBlog"
,,,,,,"Connected during a crisis: When survival depends on a better network https://t.co/N5QzYN4TLA (via @HuffPostBlog) https://t.co/AlQxGEVBGQ"
,,,,,,"RT @ALawNC: Facebook Live happening right now @Verizon.  Behind the scenes look at our lab!  Check it out! https://t.co/tLrcXrfO0C"
,,,,,,"Hiking 101: A veteran hiker shares the tech item he won’t hike without 🤔 https://t.co/TMhG9G7HFK https://t.co/7TYl90GEsM"
,,,,,,"RT @JasonSmallChats: How real Verizon engineers ended up in  the new Google Pixel 2 Commercial https://t.co/NuYHoCVcEg via @verizon https:/…"
,,,,,,"How storytelling pioneers created Emmy Award-winning RYOT Studios, producing next-generation content with a presenc… https://t.co/6ytwAlSIhP"
,,,,,,"U.S. Veterans continue to serve and protect https://t.co/5hYWhGDdmR #VeteransDay2017 #VeteransDay #proud2bVZvets https://t.co/g5T62qpWbD"
,,,,,,"Army Reservist and Verizon employee Tory Anderson describes his experience helping others during Hurricane Harvey… https://t.co/MwohuwW2O1"
,,,,,,"For these two Verizon team members, working with veterans is part of the job https://t.co/3OQfXEXWCR… https://t.co/USGSJ1sbaj"
,,,,,,"RT @scottcharlston: Screen cracks happen, but you can recover fast @Verizon. Prepare your phone for the worst. Get Total Mobile Protection…"
,,,,,,"How real Verizon engineers ended up in the new Google Pixel 2 Commercial https://t.co/TabLXI0ELi https://t.co/vJsOXio1UO"
,,,,,,"RT @H20_hwaterman: First responders in VA see the present and future of public safety support https://t.co/xnuYXbJysw via @verizon"
,,,,,,"Kat Hardy used her computer technology background in the U.S. Marines to build a successful career at Verizon… https://t.co/mrxokaeVCU"
,,,,,,"RT @mcconvilleray: JD Power ranks Verizon #1 in the East in  2017 U.S. Residential TV and Internet Satisfaction Studies https://t.co/fkSNfk…"
,,,,,,"RT @ericwilkens: Army Reservist and Verizon employee Tory Anderson describes his experience helping others during Hurricane #Harvey. https:…"
,,,,,,"Kat Hardy used her computer technology background in the Marines to build a successful career:… https://t.co/4ns3JaMs6S"
,,,,,,"For these two Verizon team members, working with veterans is part of the job https://t.co/3OQfXEXWCR #VeteransDay https://t.co/jZ0qceYti6"
,,,,,,"RT @bvar: Beginning 8 am ET... webcast with Verizon’s John Stratton at the Welks Fargo conference $VZ https://t.co/XyVL49dC6t https://t.co/…"
,,,,,,"Verizon Chairman &amp; CEO Lowell McAdam is speaking live @techonomy #techonomy17 https://t.co/LEpnurTqO8"
,,,,,,"RT @heidiflato: Verizon commits $500,000 to North Bay wildfire relief. Proud to support those hardest hit by the disaster. https://t.co/Ifm…"
,,,,,,"Mariana Agathoklis named communications vice president at Verizon https://t.co/k309nU8KEQ https://t.co/KQdLnglQK1"
,,,,,,"Verizon’s John Stratton to speak at Wells Fargo conference Nov. 7 https://t.co/YtRuyAst0W"
,,,,,,"RT @JNels: Verizon contributes to rebuilding Puerto Rico and the U.S. Virgin Islands with $5 Million https://t.co/VAYEXNGSEY via @verizon"
,,,,,,"Verizon is supporting hurricane relief to Puerto Rico and the U.S. Virgin Islands with a $5 million contribution:… https://t.co/tHxWTs4sWD"
,,,,,,".@Lavernecox visited our Holiday House this evening to show off some of her favorite holiday gifts 🎁 https://t.co/ZTnO0w31VQ"
,,,,,,"Film buffs react to the N.Y. Film Festival screening of ""Without a Net - The Digital Divide in America"" https://t.co/IuvKBnDlJg"
,,,,,,"RT @VZUpToSpeed: Verizon's @HansVestberg_ shares his vision of a connected world in this episode of the Up to Speed podcast. https://t.co/6…"
,,,,,,"RT @AdriaTomasz: The Greg Norman Company, Verizon and Club Car Announce ‘Shark Experience’  https://t.co/9UDL3Rnt8o via @verizon"
,,,,,,"RT @VerizonPolicy: Here's a simple policy that can speed up fiber and #5G network deployment. It's called One-Touch Make-Ready. https://t.c…"
,,,,,,"Not your great grandfather’s real estate company: https://t.co/YY2JFP0oq3"
,,,,,,"RT @JNels: Chief Network Officer Nicola Palmer on how Verizon Wireless deals with natural disasters . https://t.co/nynR0wPqt0 via @WSJ"
,,,,,,"#weneedmore Emoji makers: Students find new forms of expression through design https://t.co/mX9ABD6rbB https://t.co/vf8kQXYqRc"
,,,,,,"RT @JNels: iPhone X✔ Verizon Unlimited✔ Preorder starts 10/27✔ Big smiles✔ https://t.co/PgwmruFAZu"
,,,,,,"Verizon &amp; Ericsson reached another milestone in 4G LTE Advanced Tech. that will serve as a stepping stone to 5G… https://t.co/vT33zPBmbS"
,,,,,,"Film buffs react to the New York Film Festival screening of ‘Without a Net - The Digital Divide in America'… https://t.co/ZPwsXADkSN"
,,,,,,"Why “distracted walking” could soon be illegal: https://t.co/E5FPqEbuqW https://t.co/pgprJPhbPu"
,,,,,,"iPhone X arrives at Verizon on November 3 (pre-order October 27)  https://t.co/EsoK0seFVN https://t.co/znUxqmU0kW"
,,,,,,"A fire is nearing your home. You need to evacuate. 

What do you grab? 

For Laura Waldbaum the decision was easy:… https://t.co/wxiugbOwgf"
,,,,,,"Moviegoers react to the New York Film Festival screening of ‘Without a Net - The Digital Divide in America”… https://t.co/jWAOUFgcg2"
,,,,,,"🙌 https://t.co/LcjSVQXFn4"
,,,,,,"RT @GLKCreative: It's time! Get your @Google Pixel 2 on @Verizon and find out why its being called the ultimate Android experience. https:/…"
,,,,,,"Moviegoers react to the New York Film Festival screening of ‘Without a Net - The Digital Divide in America”… https://t.co/nxvd4pKkIe"
,,,,,,"RT @bvar: Verizon builds on 2Q momentum with strong 3Q results https://t.co/mquSPgU1WX via @verizon $VZ"
,,,,,,"RT @scottcharlston: Cracked screens are a pain, but the fix is easy @verizon. New lower deductible--just $29 https://t.co/ErVP0DX0hY enroll…"
,,,,,,"What makes a city “smart?” https://t.co/Ba7cHcZbe6 https://t.co/d6QSUu9zQX"
,,,,,,"RT @AdriaTomasz: Verizon, Qualcomm and Novatel collaborate to expedite trials &amp; commercial deployment of 5G NR mmWave technology  https://t…"
,,,,,,"RT @TechNinjaSpeaks: This is the Pixel XL Review. The closest thing to perfection we've seen yet on Android. RT! 

https://t.co/8Hd4pnvIZ6…"
,,,,,,"RT @my3screens: N. California Wildfires: Verizon and @AmericanAeroInc conduct airborne mission for cell site inspections  https://t.co/nrHV…"
,,,,,,"A message from our Chairman and CEO, Lowell McAdam: https://t.co/jR349uMBz6"
,,,,,,"How rescuers are giving dogs and cats a second chance at life https://t.co/LdBO3tboXy https://t.co/jfNcmydEmA"
,,,,,,"RT @cschamz: Update: Verizon extends data relief for customers in areas impacted by Northern CA wildfires https://t.co/DZkAv314wl via @veri…"
,,,,,,"RT @ItsMegSchaefer: We all know that feeling after getting into a 🚗accident: scared&amp;frozen. But imagine not having to feel that alone? http…"
,,,,,,"How one Australian startup is revolutionizing childcare https://t.co/K9vhVjV1uw"
,,,,,,"A man was driving home when he hit a deer. 

He slammed on his brakes. 

That's when a second deer hit his car.… https://t.co/QndD9WiLPq"
,,,,,,"RT @JNels: NEWS UPDATE: Free data for @verizon customers in Northern California wildfire areas extended through Oct 15. @heidiflato has reg…"
,,,,,,"Verizon’s network team has restored 98% of network coverage to areas affected during Northern California wildfires https://t.co/SqvJ7barnA"
,,,,,,"Verizon is offering data relief for customers in areas impacted by Northern California wildfires… https://t.co/vPW7fcXGIH"
,,,,,,"RT @JeannineBrew: Are you ready to reach new heights this week? #MondayMotivation #HotAirABQ17 https://t.co/4WoE0bs2SE"
,,,,,,"How rescuers are giving more than 35,000 dogs and cats a second chance at life: https://t.co/LdBO3tboXy https://t.co/5GrP3OiBTr"
,,,,,,"Celebrating #HispanicHeritageMonth together: https://t.co/TpXY476oum https://t.co/3JT5A4NUKl"
,,,,,,"RT @bvar: Marni Walden, EVP and president of Global Media, announces plans to leave Verizon https://t.co/JlYOSw6KXX via @verizon $VZ"
,,,,,,"RT @GLKCreative: .@Verizon is the official wireless partner for the Google Pixel 2. Preorder yours today on the My Verizon app. https://t.c…"
,,,,,,"RT @JNels: The @verizon exclusive has deep integration that makes the @google #Pixel shine the way it deserves. No tantrums, #DiscountNetwo…"
,,,,,,"RT @verizon: Verizon customers can text to support Las Vegas victims and their families. https://t.co/XmacYAO4zb"
,,,,,,"Text the word VEGAS to 20222."
,,,,,,"Verizon customers can text to support #LasVegas victims and their families https://t.co/W27r0dAvwD"
,,,,,,"RT @andrewtesta: Now the whole family can stream hassle-free with @verizon Prepaid Family Account. DETAILS:  https://t.co/skhWKFmQDV https:…"
,,,,,,"UPDATE: @VZFoundation is committing an additional $4 million to Puerto Rico and U.S. Virgin Islands… https://t.co/PooWWKtbLt"
,,,,,,"RT @verizon: Millions of kids lack the tech they need. Watch this documentary and help #closethedivide https://t.co/GpoZSBVmDA"
,,,,,,"Closing the Digital Divide in America, an Up to Speed podcast 🎙️ https://t.co/qevVEOLaTG"
,,,,,,"RT @DenaliNPS: #DidYouKnow researchers are studying the impact of human-made noise on wildlife @DenaliNPS? #science #wildlife https://t.co/…"
,,,,,,"RT @VerizonCareers: We're proud to be named a 17 time @_WorkingMother_ 100 Best Company! https://t.co/wm1aVY5EPx #WM100Best #VZCareers #Ins…"
,,,,,,"Premieres tonight on @NatGeoChannel at 10 p.m. ET 👇 https://t.co/8t6DkcXsB1"
,,,,,,"RT @verizon: Our hearts go out to all affected by #HurricaneMaria. To support relief efforts in PR, we are  pledging $1 million. https://t.…"
,,,,,,"RT @JasonSmallChats: Premieres tonight: New documentary shows how millions of kids are denied technology -- and a future. https://t.co/Xz9y…"
,,,,,,"Verizon Foundation commits $1 Million to support Puerto Rico in wake of devastating Hurricane Maria https://t.co/Zi7wSxMmYR"
,,,,,,"New documentary shows how millions of kids are denied technology -- and a future https://t.co/eXUDPdgS8z https://t.co/DSZSiOeBy2"
,,,,,,"""Without a Net: The Digital Divide in America,"" a new documentary from Rory Kennedy &amp; Verizon, premieres on @NatGeo https://t.co/ZXsWZZwqvO"
,,,,,,"RT @oath: To make a long story short… We build brands people love. #BuildYourBrand https://t.co/srn0CLVZct https://t.co/A3T9W6iGTP"
,,,,,,"RT @KateHarrisJay: Visiting with our Florida network team, who worked nonstop before, during &amp; after #HurricaneIrma to ensure our customers…"
,,,,,,"Using STEM skills, these high school seniors secured over $1 million in college scholarships #weneedmore… https://t.co/vB4qgqyC8f"
,,,,,,"RT @OliviaPaladino: A network of environmental researchers study the role of sound in the 6M acre @DenaliNPS @penn_state https://t.co/nKvqR…"
,,,,,,"RT @VerizonPolicy: Verizon CEO Lowell McAdam's letter: ""Urging Congress to Adopt Rational, Comprehensive Immigration Reform"" #DACA https://…"
,,,,,,"There are 5⃣ ways autonomous vehicles will change our streets: https://t.co/5YdBtq1G37 https://t.co/oC288PlhJf"
,,,,,,"Verizon customers with family and friends in Mexico can connect for free following powerful earthquake… https://t.co/zWXs2QRtRU"
,,,,,,"A behind-the-scenes look at Verizon's innovative work, on display at #MWCA17. https://t.co/0M2met2euM"
,,,,,,"How 5G will make the world safer, faster and more efficient: https://t.co/VrobvmTAgw https://t.co/o3HO8frOKD"
,,,,,,"5 takeaways you missed at #MWCA17: https://t.co/e9uux6nHVV https://t.co/05wQYvrbNq"
,,,,,,"RT @diegoscotti: VZ made a big statement at #MWCA17. We aren’t waiting for the 4th Industrial Revolution - we’re building it. https://t.co/…"
,,,,,,"Rima Qureshi named chief strategy officer for Verizon https://t.co/OFZJ70jXiX https://t.co/qHAuSp4YV1"
,,,,,,"The Fourth Industrial Revolution will change the economy in 3 fundamental ways: https://t.co/pGto4spZSE (via… https://t.co/kEbazRrfcC"
,,,,,,"A network of environmental researchers &amp; social scientists study the role of sound in the 6,000,000 acre @DenaliNPS… https://t.co/wetFqG4bmT"
,,,,,,"RT @VerizonNews: Verizon’s new AdFellows program targets 90% job placement for diverse candidates in marketing https://t.co/nBj5Szb5Es http…"
,,,,,,"This is the way to avoid missing out: https://t.co/CKJdfqZ6lt https://t.co/S5r2FNfasm"
,,,,,,"RT @JasonSmallChats: Couple drives into #HurricaneIrma to help Florida strangers https://t.co/nJKbzUUnsN via @verizon"
,,,,,,"Verizon’s new AdFellows program targets 90% job placement for diverse candidates in marketing… https://t.co/CHZXGUAjEh"
,,,,,,"iPhone 8, iPhone 8 Plus, Apple Watch Series 3 arrive at Verizon on September 22 https://t.co/suwQYiDDQW https://t.co/wewLT7nmYS"
,,,,,,"Verizon booth staff at #MWCA17 https://t.co/VPaZ7l0Sin"
,,,,,,"A middle schooler surmounts his struggles with math and pursues a future in engineering https://t.co/yAmZhVmUBp… https://t.co/aehqn3tcdP"
,,,,,,"“As we get to autonomous vehicles, we need to get to more robust networks with lower latency.” @Verizon Telematics’ Kelly Frey #MWCA17"
,,,,,,"“We have invested more than $160MM in our Verizon Innovative Learning Programs ... and every bit of it is worth it.” Rose Kirk at #MWCA17"
,,,,,,"“We are committed to giving the best experiences and tech to teachers and children 24/7.”    @VZFoundation’s Rose Kirk at #MWCA17"
,,,,,,"“We’re now at this point where we’re moving beyond admiring the tech to contemplating how we can use it to transform” @RonanDunneVZW #MWCA17"
,,,,,,"“That north star for us as a business is to turn connectivity into possibilities for everyone—and everything.”
@RonanDunneVZW #MWCA17"
,,,,,,"RT @KateHarrisJay: #Verizon offers data relief for coastal Georgia customers impacted by #HurricaneIrma https://t.co/1KJVHfYy1D via @verizon"
,,,,,,"“It’s our job to take the tech possibilities of 5G and turn it into  something that is real for customers.” -- CNO Nicki Palmer at #MWCA17"
,,,,,,"“I’m really happy to report that in Florida, 92% of our sites are back up &amp; online.” Verizon’s Chief Network Officer Nicki Palmer at #MWCA17"
,,,,,,"RT @bvar: Verizon CEO Lowell McAdam to speak at Goldman Sachs Communacopia conference Sept. 14. Webcast: https://t.co/ismaBAo5K4 via @veriz…"
,,,,,,"Get iPhone 8 on @Verizon for up to $300 off when you sign up for unlimited and trade in select phones. Preorders st… https://t.co/5bxkfbIqgr"
,,,,,,"Get a full report on all things #IoT and how it's transforming our world. https://t.co/qDhY9CTUL3"
,,,,,,"RT @AdriaTomasz: Packed house @GSMA Mobile IoT Summit! Getting ready to hear Verizon's @MarkBartolomeo talk IoT networks https://t.co/j9eQU…"
,,,,,,"RT @KateHarrisJay: #HurricaneIrma: Florida network update as of 1 p.m. EST  https://t.co/cGpckvR7UO via @verizon"
,,,,,,".@Verizon call center reps will staff the phones for hurricane relief telethon: https://t.co/I5jldXgfSz #handinhand"
,,,,,,".@Verizon and @MSDF_Foundation underwrite Harvey Telethon: https://t.co/UKOJhnAXBH #handinhand"
,,,,,,"Verizon is offering data relief for customers in Florida: https://t.co/2dEGGgrKAX #IrmaHurricane2017"
,,,,,,"RT @KateHarrisJay: In the path of #IrmaHurricane?  Charge devices &amp; create a list of emergency contacts now. More tips: https://t.co/BHqFLt…"
,,,,,,"Verizon is ready to serve our customers and the community as Hurricane #Irma threatens the U.S.… https://t.co/B36ZRXJbda"
,,,,,,"Verizon customers connect with friends and family in the Caribbean for free: https://t.co/gXhQhBG5da #Irma"
,,,,,,"For network information during #IrmaHurricane, please follow @KateHarrisJay"
,,,,,,"RT @JeannineBrew: @Verizon is serving South Texas with COWs, CROWs &amp; more! https://t.co/iHI6F8DRjl via @verizon"
,,,,,,"Hurricane #Harvey Aftermath: Drones check communications structures https://t.co/wJnMNrvWiV https://t.co/DnMSSdwr3s"
,,,,,,"RT @JeannineBrew: Verizon retail stores in South Texas reopen after Hurricane Harvey https://t.co/XVUf2EInV3 via @verizon"
,,,,,,"RT @JeannineBrew: Meet #Spiderman. He's fortifying coverage at #HoustonStong Katy High School where @NationalGuard is working on #harvey re…"
,,,,,,"RT @VerizonPolicy: Let's find a way to preserve #DACA, says @verizon general counsel @craigsilliman https://t.co/C0HibHN5Dr"
,,,,,,"Verizon announces three grant recipients for its $10 million commitment to support Hurricane #Harvey relief efforts https://t.co/XtLgQ4c1m1"
,,,,,,"Verizon is committing $10 million to support Hurricane #Harvey relief efforts https://t.co/ZBYlan6n3p https://t.co/VcUPzO2cW8"
,,,,,,"A primer on network testing: https://t.co/rpRNhB8Byx https://t.co/0pkssQo2Gp"
,,,,,,"RT @JeannineBrew: Headed to @kbhccdallas? Need Charging, Calls or Internet? @Verizon team is ready for you. #TexansHelpingTexans #HoustonSt…"
,,,,,,"Verizon is ready as potential tropical storm threatens coastal Carolinas #Irma https://t.co/nOWCHJ6FK7"
,,,,,,"Verizon &amp; others team up to showcase first end-to-end band 48 CBRS carrier aggregation demonstration https://t.co/TKoSBia1WM"
,,,,,,"Work out in a whole new way with Fitbit Ionic, the watch designed for your life https://t.co/mnbicMTrF9 https://t.co/HRpg4cYTE2"
,,,,,,"RT @JeannineBrew: Thinking of those impacted by #HurricaneHarvey &amp; the incessant flooding. We want to take away one of your worries. https:…"
,,,,,,"Verizon offers data relief for customers in Hurricane #Harvey impacted areas https://t.co/KDsK4Hp2im https://t.co/J8gGZpnyny"
,,,,,,"RT @JeannineBrew: Because we appreciate you &amp; want to show our support, FREE DATA for postpaid #SouthTexas #Verizon customers thu Sept. 8.…"
,,,,,,"RT @VerizonNews: 6 tips for staying connected during Hurricane #Harvey https://t.co/ylivWLvwmD #Harvey2017"
,,,,,,"Important safety information for your family during Hurricane #Harvey https://t.co/qllWuOsrr6 #Harvey2017"
,,,,,,"Network reliability customers can count on during Hurricane #Harvey https://t.co/hrXBTXLHVv #Harvey2017"
,,,,,,"6 tips for staying connected during Hurricane #Harvey https://t.co/ylivWLvwmD #Harvey2017"
,,,,,,"For network information during Hurricane #Harvey, please follow @JeannineBrew"
,,,,,,"RT @verizon: Only Verizon is rated @JDPower’s Highest in Wireless Network Quality Performance V2 based on customer satisfaction. https://t.…"
,,,,,,"Making technology more human at our Next Gen stores: https://t.co/n1f1zz3c7d https://t.co/UcpIeZ8aSX"
,,,,,,"RT @GLKCreative: The Samsung Galaxy Note8 will be available for pre-order from @Verizon starting tomorrow. #unpacked2017 https://t.co/emsAo…"
,,,,,,"Introducing the Samsung #GalaxyNote8: Infinite creative inspiration in the palm of your hand https://t.co/l0tOjYbYWt https://t.co/MNByNFbcAM"
,,,,,,"We’re expanding our unlimited plans to even more customers: https://t.co/hovMCS4aQp"
,,,,,,"A new unlimited battle? Verizon revamps unlimited plans with two new options https://t.co/hZrrX79haT"
,,,,,,"RT @Wirelessmom4: A new unlimited battle? Verizon revamps unlimited plans with two new options https://t.co/8M5slCUSOp via @usatoday"
,,,,,,"RT @VerizonNews: The tech behind the rewards:

A look at what’s happening behind the scenes of Verizon Up: https://t.co/7A8mwf5cUj https://…"
,,,,,,"Verizon to build dedicated network core for public safety https://t.co/b5PUYH8vt9"
,,,,,,"RT @VerizonNews: The way to avoid missing out: 

Entertainment topics are driving FOMO on social media https://t.co/a8vXfYRhAA #VZup https:…"
,,,,,,"RT @bvar: Verizon releases Transparency Report for the first half of 2017 https://t.co/KG2euTLOlq via @craigsilliman $VZ"
,,,,,,"Verizon Unveils Personalized Rewards Program With Lady Gaga: https://t.co/SimiJ2TXmV"
,,,,,,"RT @ericwilkens: **IMAGINE**
You're at a @ladygaga concert. 
@RyDoon &amp; @carlyincontro are near you.

#VZup makes this possible. https://t.c…"
,,,,,,"Get the Moto Z2 Force Edition and exclusive Moto Mods and unlock unlimited possibilities https://t.co/s2lLLNo2dE https://t.co/mF1BHFsYx2"
,,,,,,"The way to avoid missing out: 

Entertainment topics are driving FOMO on social media https://t.co/a8vXfYRhAA #VZup https://t.co/2leHKcGy9y"
,,,,,,"RT @ericwilkens: For more than a year, a collaboration of more than 200 people worked to launch the new #VZup program https://t.co/nAPFQlur…"
