NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
VlSCABARCA,7463,340,"Posting videos and stuff",19404,0,"RT @MessiWorId: Open for a surprise https://t.co/6J4AcmpjnY"
,,,,,,"RT @MessiWorId: Pep Guardiola FC. Master of late goals"
,,,,,,"RT @MessiWorId: Valencia lost!! Barça 5 points clear on top of La Liga table."
,,,,,,"RT @MessiWorId: 2.9% conversion rate 😂 https://t.co/gB1aQEqnmF"
,,,,,,"RT @MessiWorId: HAHA MADRID"
,,,,,,"RT @MessiWorId: Get well soon Umtiti. You'll come back stronger than ever. We love you ❤️ https://t.co/bHKuVlffWr"
,,,,,,"RT @MessiWorId: It's Florentino Perez's corrupt world and we're just living in it. 
Barça robbed off 4 points robbed in last two matches 💵💸…"
,,,,,,"RT @MessiWorId: THE MOST CORRUPT LEAGUE IN THE WORLD"
,,,,,,"RT @MessiWorId: BREAKING: Umtiti out injured for two months according to Catalunya Radio. 

😭😭😭😭"
,,,,,,"RT @MessiWorId: Group D

1. Argentina
2. Iceland
3. Croatia
4. 

#WorldCupDraw"
,,,,,,"RT @MessiWorId: Group D:
🇦🇷 Argentina
🇭🇷 Croatia 
🇮🇸 Iceland
🇳🇬 Nigeria
#WorldCupDraw 

Park the Bus against Argentina group"
,,,,,,"RT @MessiWorId: Not even exaggerating but honestly university = death."
,,,,,,"RT @MessiWorId: Umtiti 😂😂 https://t.co/VXmpvddw3d"
,,,,,,"RT @MessiWorId: King Messi 👑 ❤️ https://t.co/mA8rHGeIeU"
,,,,,,"RT @MessiWorId: Happy birthday to Real Madrid's daddy https://t.co/nNbK3DnQg3"
,,,,,,"RT @MessiWorId: Today 7 years ago, Barça 5-0 Madrid.
The most dominant performance in a Clasico. What an amazing match. https://t.co/7Ctyv2…"
,,,,,,"RT @MessiWorId: Today in 2010 https://t.co/GOMLfuKxAX"
,,,,,,"RT @MessiWorId: Real Madrid can't even beat a third division team at Bernabeu 😂😂"
,,,,,,"RT @MessiWorId: Dembélé training with the ball ❤️https://t.co/6fuILz3Jdk"
,,,,,,"RT @MessiWorId: MESSI WHAT A PASS"
,,,,,,"RT @MessiWorId: WHAT AN ASSIST FROM MESSI!! THE BEST PLAYMAKER OF ALL TIME"
,,,,,,"RT @MessiWorId: BARÇA ROBBED"
,,,,,,"RT @MessiWorId: LFP - LIGA FLORENTINO PEREZ https://t.co/Hx2aCycvSb"
,,,,,,"RT @MessiWorId: Referees should be fired for performances like these"
,,,,,,"RT @MessiWorId: Midfielder and wins the Golden Boot https://t.co/xb52qDhfmE"
,,,,,,"RT @MessiWorId: Messi: ""I don't consider myself a forward. I've been lucky enough to get goals. I have grown in the field, I have been impr…"
,,,,,,"RT @MessiWorId: The best ever 
https://t.co/PLJCQt4OQj"
,,,,,,"RT @MessiWorId: Barça president and Bartomeu https://t.co/syqaQyC3LG"
,,,,,,"RT @MessiWorId: Beautiful ❤️❤️❤️ https://t.co/tu4Whuelk3"
,,,,,,"RT @MessiWorId: Woke up to the news of Messi renewing his Barça contract until 2021. https://t.co/CcfbWBZjTH"
,,,,,,"RT @MessiWorId: The greatest footballer of all time ❤️👑 https://t.co/cOTdX2KbB2"
,,,,,,"RT @MessiWorId: 1️⃣👑2️⃣👑3️⃣👑4️⃣👑 https://t.co/jaPYT79JGx"
,,,,,,"RT @MessiWorId: Cristiano Ronaldo has had more children (3) in the last 5 months, than goals scored in La Liga (1). https://t.co/ONOGc46dbt"
,,,,,,"RT @MessiWorId: He's back https://t.co/jRGrOfclT1"
,,,,,,"RT @MessiWorId: King 
https://t.co/ADfFzOUzha"
,,,,,,"RT @MessiWorId: 1 goal in 55 shots!! 1 GOAL IN FIFTY-FIVE SHOTS!! 1.8% conversion rate https://t.co/LcRlGzax5T"
,,,,,,"RT @MessiWorId: Cristiano Ronaldo in La Liga this season:
55 shots 
1 goal 
1.81% conversion rate 

The worst https://t.co/NcIuvsOiRQ"
,,,,,,"RT @MessiWorId: Sergio Busquets plays his 450th match for Barça today. The best defensive midfielder in the world and the most underrated p…"
,,,,,,"RT @MessiWorId: GOOOOOOAAALLLL PAULINHO"
,,,,,,"RT @MessiWorId: Paulinho 4
Ronaldo 1"
,,,,,,"RT @MessiWorId: King https://t.co/FqPkA6kl04"
,,,,,,"RT @MessiWorId: Antonella rules https://t.co/W7hK7A8Pra"
,,,,,,"RT @MessiWorId: Messi shaking hands with players better than him https://t.co/u5ehmfid2g"
,,,,,,"RT @MessiWorId: Beautiful https://t.co/IRV7HoR2uA"
,,,,,,"RT @MessiWorId: Thiago Messi beating Real Madrid on FIFA https://t.co/49ZLbVVKO1"
,,,,,,"RT @MessiWorId: Happy birthday Umtiti! Love you ❤️ https://t.co/2ibR2WDhym"
,,,,,,"RT @MessiWorId: Dembélé has started light training 
https://t.co/MSbpKawl2z"
,,,,,,"RT @MessiWorId: Messi's Playlist:
Ay vamos: J Balvin
La pregunta: J Alvarez
Darte un beso: Prince Royce
Cuando: Rombai
Tú sin mí: Dread Mar…"
,,,,,,"RT @MessiWorId: La Liga top scorers:

1.Messi 12⚽️

⠀

⠀

⠀

⠀

⠀

⠀

⠀
⠀

⠀

⠀

⠀

⠀
⠀

⠀
⠀

⠀

⠀

⠀

⠀

⠀

⠀

⠀

⠀

⠀

⠀

⠀

⠀
⠀

⠀

⠀

⠀…"
,,,,,,"RT @MessiWorId: ❤️👑 https://t.co/fqqtoUgp4U"
,,,,,,"RT @MessiWorId: The best https://t.co/GVTcb8F6ee"
,,,,,,"RT @MessiWorId: Ahh 😍😍😍 https://t.co/DechT9NdWj"
,,,,,,"RT @MessiWorId: Not sure if this guy asked Messi for a pic or Leo asked him https://t.co/ufBNdSLuhq"
,,,,,,"RT @MessiWorId: If Lionel Messi misses his next 507 shots in La Liga, he'll have the same conversion rate as Cristiano Ronaldo (2.08%) http…"
,,,,,,"RT @MessiWorId: 😍😍🔥🔥 https://t.co/BXUHGZYBBf"
,,,,,,"RT @MessiWorId: Cristiano Ronaldo has taken 48 shots and scored just 1 goal in La Liga this season. 2.08% conversion rate. 
The Worst https…"
,,,,,,"RT @MessiWorId: In La Liga this season:

Cristiano: 540 minutes, 1 goal

Alcácer: 92 minutes, 2 goals"
,,,,,,"RT @MessiWorId: 600 games for FC Barcelona. 523 goals. 234 assists. 39 hattricks. 30 trophies.

Words can't describe how amazing he is. Tha…"
,,,,,,"RT @MessiWorId: Messi's restaurant removed Neymar's autographed shirt from display 😂😂 https://t.co/QjB1j668de"
,,,,,,"RT @MessiWorId: Tottenham vs Real Madrid heat map https://t.co/VqPycjCXss"
,,,,,,"RT @MessiWorId: ❤️ https://t.co/BD1KJw24iy"
,,,,,,"RT @MessiWorId: ❤️😂 https://t.co/UZSH3WIkBY"
,,,,,,"RT @MessiWorId: Messi won the lawsuit against newspaper La Razon for writing defamatory article about him. 
He donates the money (€72,783)…"
,,,,,,"RT @MessiWorId: Happy birthday Thiago Messi! https://t.co/XxHONbw5RE"
,,,,,,"RT @MessiWorId: Looks like Dembélé has returned to light training https://t.co/e7sdpBtNna"
