NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
WhoWhatWear,2339680,6806,"Your download on what matters in fashion.",1058,3809,"14 ways to style a fashion fanny pack: https://t.co/Puxl8Gg3f6"
,,,,,,"Shine this holiday season in head-turning glitter, metallic, and leather pieces from @topshop. Shop them here →… https://t.co/Bdq1RumlmN"
,,,,,,"Stock up on winter beauty, and enter for a chance to win $1000 to @KorresUSA: https://t.co/Eg8foMacp0 #ad https://t.co/gbFhFAsXJ4"
,,,,,,"The gray-and-black outfits we're stealing from celebs and fashion girls https://t.co/xLomgc616Z"
,,,,,,"Everyone wants this one boot style: https://t.co/jnD0sKl077"
,,,,,,"6 leggings the fashion world will wear in 2018 https://t.co/FRXwAwBT6N"
,,,,,,"The gray-and-black outfits we're copying from celebs https://t.co/xLomgc616Z https://t.co/vbnrajGCso"
,,,,,,"The easy way to style over-the-knee boots: https://t.co/jnD0sKl077 https://t.co/R8kMcJOp8W"
,,,,,,"The minimalist's guide to the best shoes of the season: https://t.co/URe7ENmKf6 https://t.co/2ZasmsyfV7"
,,,,,,"The jeans you'll see everywhere this winter: https://t.co/Kx9gHEPPRl https://t.co/t9vrfIoR31"
,,,,,,"Why every California girl is wearing @thefryecompany boots this fall: https://t.co/7qMSQ6CNLL #ad https://t.co/qaTqP4vxM6"
,,,,,,"11 daytime pajama outfits that are chicer than your regular clothes: https://t.co/km2TO9aFQc"
,,,,,,"See what your favorite style stars wore this week https://t.co/gD8O5JVG6l https://t.co/gvFaDzpkJJ"
,,,,,,"Shop gift ideas for everyone from your tech-obsessed friend to your jet-setting BFF now: https://t.co/C6XzWmyd1Z #ad https://t.co/1xfIXEHxf0"
,,,,,,"Urgently need something to wear to your holiday party? These 5 looks have you covered: https://t.co/TXjkcRULfj #ad… https://t.co/bJ0ywc2rlw"
,,,,,,"All the proof you need that pajamas work for any occasion: https://t.co/km2TO9aFQc"
,,,,,,"Every fashion girl is wearing this for winter https://t.co/ZzxvrblWEu"
,,,,,,"These are Meghan Markle's best outfits, hands down https://t.co/e4KvNuL4Br"
,,,,,,"This cute new Valentino T-shirt supports an important cause https://t.co/AoVNMRvbhm"
,,,,,,"11 daytime pajama outfits you can wear in public: https://t.co/km2TO8T4rC https://t.co/vqFrxS05Ri"
,,,,,,"The stylish baseball hat outfits we think you should try https://t.co/PyWHPQUdiJ https://t.co/963r1hxQjS"
,,,,,,"The 18 best vintage-inspired dresses https://t.co/ZzxvrblWEu https://t.co/edcQsqnLtL"
,,,,,,"20 cool brunch outfits worth Instagramming https://t.co/NUD7kBaP9k https://t.co/khPNUvMFje"
,,,,,,"The coolest faux-leather pieces to stock up on https://t.co/t48AxivyoT https://t.co/6iLUZky4A3"
,,,,,,"This affordable French sweater has racked up a huge waiting list https://t.co/jykvA4kzMp"
,,,,,,"Why everyone is buying these new party-ready heels today https://t.co/cHVp29ddgT"
,,,,,,"This jeans and boots combo is unexpectedly flattering https://t.co/03tHNKHdzl"
,,,,,,"Emily Blunt made Ugg boots and skinny jeans look so cute for winter https://t.co/h1esEDzKy4"
,,,,,,"What It girls are wearing now (instead of skinny jeans) https://t.co/ww7nKLWs06"
,,,,,,"These are Meghan Markle's best outfits, hands down https://t.co/e4KvNv2G01 https://t.co/f4Xb5iwuYy"
,,,,,,"In need of some winter essentials? Enter for a chance to win a $1000 @CottonOn gift card: https://t.co/7to6VJ5Gl3… https://t.co/9Rkvs2Mx3x"
,,,,,,"There are 3 chances to win shopping sprees on @theoutnet during our #MerryDaysofGiveaways—enter here:… https://t.co/M4ZTA5uLgR"
,,,,,,"RSVP to attend @byrdiebeauty’s master class and learn how to enhance your already-gorgeous features straight from C… https://t.co/WDyPGiDhXl"
,,,,,,"This cute new Valentino T-shirt supports an important cause https://t.co/AoVNMRdApO https://t.co/ezBmY1kcLE"
,,,,,,"30k people are waiting for this affordable French sweater to restock https://t.co/jykvA4CbaZ https://t.co/o5o50WKDi4"
,,,,,,"Cindy Crawford loves this shoe brand so much, she's now its investor https://t.co/s1J2ylpmay https://t.co/x4TqyMU8cA"
,,,,,,"Meghan Markle's wore this major shoe trend for her first public appearance with Harry https://t.co/0jS9ap58lg"
,,,,,,"This unexpected boot style is surprisingly versatile https://t.co/st3GWpxEax https://t.co/fgbJ9zs6Qx"
