NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
andy_matuschak,17711,22388,"Wonder, blunder, salve, solve. Now @KhanAcademy, teetering between long-term research with @mayli & present-day engineering. Used to help build iOS at Apple.",47935,1691,"Twitter, help me identify this spice! It was introduced to me in a Chiang Mai culinary school, used as part of a sp… https://t.co/WdV0FkCL9u"
,,,,,,"@emanleet Thanks for the kind words."
,,,,,,"@jergason Ah, sorry, jargon from psychology (and Buddhism) referring to unwittingly observing thoughts and feelings… https://t.co/4EAxI1boXB"
,,,,,,"@jtaby Sometimes hard to see the water! Getting better day by day..."
,,,,,,"Post two-week vacation, I've been studying my feelings as I'm bombarded with notifications, inbox items, todos. I n… https://t.co/ABV4OLU0P6"
,,,,,,"@ArashKashi @Kametrixom Even 280 not enough! Consider how threads, blocking calls, and scheduling actually work at… https://t.co/4WPvXu2mf8"
,,,,,,"@emanleet Hi there, Eman. This might help. https://t.co/pDSQ2cCUAO"
,,,,,,"@michael_nielsen Auteurship in every venue! One person, doing everything himself, who’s been obsessively refining h… https://t.co/1ZTZUiGCFO"
,,,,,,"Earnest SF PSA! Una Pizza Napoletana makes me weepy under normal circumstances, but tonight was extra emotional bec… https://t.co/Artw85oGsY"
,,,,,,"@willimholte They have curved plastic lenses!"
,,,,,,"I was surprised to find I could order swim goggles with corrective lenses for $40 without a prescription. They work… https://t.co/Snt7RK4IBy"
,,,,,,"RT @patrickc: This looks great! Now we need all other editors to follow suit. https://t.co/0TiIaqvqPV.

Doug Engelbart literally demonstrat…"
,,,,,,"@praeclarum @liu_mingyu Ack, and CycleGAN cites this work, so better to say the other way around. :)"
,,,,,,"@praeclarum @liu_mingyu The architecture described in the paper suggests independent processing of each frame. Diff… https://t.co/RXtxpav3jg"
,,,,,,"This paper from @liu_mingyu et al at Nvidia combines autoencoders and GANs to bidirectionally transform footage fro… https://t.co/pG4SUrAzeE"
,,,,,,"@orbuch @michael_nielsen @ddmeyer I’d like to find a way to make things which have these game-like properties but w… https://t.co/wtekvBKDgt"
,,,,,,"Fascinating, well-illustrated catalog of techniques for generating neural net visualizations and avoiding pitfalls… https://t.co/Jrq2wTIwLt"
,,,,,,"@stevedekorte @ddmeyer Have you read Dewey’s Experience and Education on this? I liked his take (pre-prefrontal cor… https://t.co/S16F0DciwC"
,,,,,,"RT @patrickc: A thread on UX: https://t.co/LCwt019O3K"
,,,,,,"@michael_nielsen @ddmeyer I broadly agree with this sentiment but believe that compulsory schooling can productivel… https://t.co/1nO9lYvaln"
,,,,,,"@michael_nielsen @ddmeyer Yep, I think that’s at the core of it."
,,,,,,"This is a really key line of questioning from @ddmeyer; underlies so much of our work. Great post:… https://t.co/Gky2MF8b6d"
,,,,,,"@laynemoseley @orta Nope! Josh Shaffer, Evan Doll, and Chris Marcellino! I was the maintainer later and added/fixed… https://t.co/sftkN27PcH"
,,,,,,"RT @carljackmiller: Every single New York Times front page since 1852. Look at the growth of pictures in news. 
(h/t Josh Begley). https://…"
,,,,,,"@mrjjwright Thanks! Check out https://t.co/tiIiQCNr7X for more."
,,,,,,"Lovely work using the dynamic medium to explore &amp; visualize a complex topic, plus valuable comments on inventing wi… https://t.co/8irgB3pdk7"
,,,,,,"@Andy_Lowry_MS @robinsloan Yes! Really loved the article."
,,,,,,"@robinsloan In high school I translated “polytropos” as “many-faceted” (awkward, too neutral—meaning what?). “Compl… https://t.co/wCdDeGAr4A"
,,,,,,"RT @robinsloan: Literal chills https://t.co/hSYk3GSMpV https://t.co/sIjwW9t1bk"
,,,,,,"If your evening needs an endless rabbit hole, this thread delivers. https://t.co/wzyu4GC6Nq"
,,,,,,"@dunbar151 Dr. Adam Gazzaley"
,,,,,,"Nice new rapid multitouch selection gesture demonstrated here (“zoom catcher”): https://t.co/OKlqrcu8cm https://t.co/kLWgkafvrJ"
