NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
antgoldbloom,23834,694,"CEO of Kaggle (a Google company)",14605,2987,"RT @QuoraSessions: Why has Keras been so successful at Kaggle competitions? Answer by @fchollet, deep learning researcher at Google, author…"
,,,,,,"How machine learning creates new professions — and problems https://t.co/aoWcmKvMeR via @FT"
,,,,,,"RT @TensorFlow: We've just launched the @TensorFlow Speech Recognition Challenge on Kaggle!  $25,000 in prizes, including a special award f…"
,,,,,,"RT @benhamner: 93% of public, upvoted Python kernels on Kaggle use pandas @wesmckinn. The only two other libraries directly imported &gt;50% o…"
,,,,,,"RT @fchollet: This is why I like Kaggle, or in general, competitions with a hidden test set, a reproducibility constraint, and a money ince…"
,,,,,,"The biggest headache in machine learning? Cleaning dirty data off the spreadsheets https://t.co/XJ65s4HXaE via @Verge"
,,,,,,"RT @AndrewYNg: Very cool Kaggle survey on state of data science. https://t.co/eTcdt78xee"
,,,,,,"5/ Checkout the raw survey data at https://t.co/BQFevjsfrn"
,,,,,,"4/ @TensorFlow is the the technology that most data scientists and machine learners want to learn in the next year https://t.co/5aDMlRawJ1"
,,,,,,"3/ The median salary for a machine learning engineer is $135K per year https://t.co/9xSg5ZvTDi"
,,,,,,"2/ More people learn data science and machine learning from MOOCs than university courses. https://t.co/9xSg5ZvTDi (props to @AndrewYNg)"
,,,,,,"The state of data science and machine learning in 2017: results from @kaggle’s first annual survey of 16,000+ https://t.co/embJHB1RYV"
,,,,,,"Proud of how sought after strong Kaggle credentials are among elite employers https://t.co/iPvCvTKbY6"
,,,,,,"RT @benhamner: Kaggle Datasets just got better: see column-level metrics for data shared across our platform https://t.co/dWk5DQt1F1 https:…"
,,,,,,"New Coursera course by elite Kagglers on how to win data science competitions https://t.co/boMUDKxtmh"
,,,,,,"@vambenepe You're not really old until you feel like you need to carry your own magnifying glass"
,,,,,,"RT @WalterReade: A fantastic forecasting challenge! 125 million rows of daily sales data for over 4,000 products sold at 54 different store…"
,,,,,,"RT @benhamner: Want to kick-start your data science journey? @rctatman's hosting a five-day data challenge on @kaggle! Starts 10/23 https:/…"
,,,,,,"RT @RLadiesLA: Collaborative Data Science with Kaggle Kernels and Datasets with @MeganRisdal https://t.co/Y9r6MLAejC"
,,,,,,"Kaggle has a UX design role open: https://t.co/U7C2Lh1GPl. Design great experiences for our community of &gt;1.2MM users"
,,,,,,"RT @dataandme: @d8aninja @JenniLBurke @AnalyzeCore @kaggle @MeganRisdal is definitely one to follow, and also 📝s some great guides on the @…"
,,,,,,"RT @drob: Interested in analyzing #rstats packages/correlations through Stack Overflow data? Try it out in this @kaggle kernel https://t.co…"
,,,,,,"RT @MeganRisdal: I'm really flattered by this use of emoji! (PS tech ladies of LA ... come to my talk about Kaggle next week!!!) 👩‍💻💃💻📊 htt…"
,,,,,,"RT @pypi_updates2: kaggle-cli 0.12.7: An unofficial Kaggle command line tool. https://t.co/oKF35O6xnL"
,,,,,,"RT @csells: Interested in .NET, cloud and Product Management? If so, @googlecloud is hiring! Drop me a line."
,,,,,,"RT @sedielem: Google Assistant is now powered by WaveNet! https://t.co/LXe9DcR38m"
,,,,,,".@l2k https://t.co/2rCNr7BdIu"
,,,,,,"RT @LearnOpenCV: Nice improvements in #Kaggle kernels https://t.co/F81r0lnSF5 https://t.co/rMSCmv18LD"
,,,,,,"RT @kdnuggets: #Dataset from #Kaggle - #FIFA18 Complete Player Dataset https://t.co/h9hlp61wn4 https://t.co/GWpW78Pqju"
,,,,,,"RT @kaggle: Competition launch! @WSDMSocial's challenges you to build a better music rec system using dataset from @KKBOX https://t.co/GlXW…"
,,,,,,"RT @jeremystan: @Instacart @kaggle 10/ to learn more, see the great discussions at: https://t.co/UDOWmZZxXy"
,,,,,,"RT @jeremystan: @Instacart @kaggle 2/ There are incredibly talented machine learning masters all over the world (winners in China, Japan an…"
,,,,,,"RT @jeremystan: @Instacart @kaggle 3/ A simple RNN with no feature engineering gets almost all of the accuracy of the best performing very…"
,,,,,,"RT @jeremystan: 1/ we learned a lot from the winners of our @instacart machine learning @kaggle competition - sharing the highlights here"
,,,,,,"RT @MeganRisdal: Big news! @kaggle Kernels are now more powerful so you can run more computationally intensive Python/R code: https://t.co/…"
,,,,,,"RT @kaggle: The August #KaggleDatasetsAward winners share the stories and inspiration behind their winning datasets https://t.co/P1Oz9m9Gvo"
,,,,,,"RT @Babak_Taati: The Toronto Rehab Stroke Pose (TRSP) Dataset is now available on @kaggle @KaggleDatasets 
https://t.co/rRzhBFSg9y https://…"
,,,,,,"RT @womeninkaggle: Kaggle Queen Joins WIK Datadive! Join us on the 21st to hear UK no 1 speak: https://t.co/wAnrABFJtu https://t.co/G45LGpB…"
,,,,,,"RT @kaggle: New competition launch! Can you help @Cdiscount build an algorithm that automatically categorizes product images? https://t.co/…"
,,,,,,"RT @epaley: 2,500 competitors from 76 countries are competing, using @Kaggle, to to improve @zillow Zestimates https://t.co/oHxdqo4H60 #Pro…"
,,,,,,"RT @rctatman: I wrote a thing! 🤓💻 https://t.co/p5WkjDOzwv"
,,,,,,"RT @benhamner: We now have thousands of open datasets on @kaggle! Here's how to find one for you https://t.co/khLNN67Nbx"
,,,,,,"Thought provoking article on some of the unexpected implications of advances in facial recognition technology https://t.co/vZdMc5hUPu"
,,,,,,"RT @rctatman: Curious about linguistic diversity? Now you can play with WALS data on over 2000 languages on Kaggle. https://t.co/evY0HIeAXj"
,,,,,,"RT @kaggle: Congrats to winners of the 1st monthly @KaggleDatasets Publishing Award! 🏆📈 Robotics, cryptocurrency &amp; 360k favicons https://t.…"
,,,,,,"RT @brucesharpe: Kaggle meetup tomorrow is in a brand new venue. Topic is Ultrasound Nerve Segmentation. Should be great, join us! https://…"
,,,,,,"Train, Score, Repeat, Watch Out! Zillow's Andrew Martin on modeling pitfalls in a dynamic world https://t.co/rbrO71RhH1"
,,,,,,"How to host a Kaggle meetup by @brucesharpe (who started Vancouver's Kaggle Meetup) https://t.co/NIrkL2QVsw"
,,,,,,"RT @alvations: A big thank you to @KaggleDatasets for hosting @NLTK_org!! Let the data and kernels do the teaching! A new way to learn/shar…"
,,,,,,"RT @goodfellow_ian: Have an idea for blocking adversarial examples or making them stronger? Join our NIPS 2017 competition on Kaggle: https…"
,,,,,,"Neat @nytimes coverage of our Thursday night kitefoil races by @NellieBowles https://t.co/GoxhlQeApc"
,,,,,,"RT @mikb0b: Proud to be the first Kaggler to reach Master rank in all three categories: competitions, kernels and discussion 😊 #Kaggle http…"
,,,,,,"RT @goodfellow_ian: The results of the first dev round for the Kaggle contest on adversarial examples are out: https://t.co/AjAidDPqzt"
,,,,,,"RT @TEDTalks: The YOLO (You Only Look Once) system can identify anything from zebras to stop signs with lightning-quick speed: https://t.co…"
,,,,,,"RT @Di_Ku: ML practitioner? Willing to help us understand your needs? Signup for diary study: https://t.co/DqXyGiA8bj"
,,,,,,"RT @kaggle: Take 30 mins to check out @crawforc3's tutorial on first getting started with data analysis using Pandas and Seaborn https://t.…"
,,,,,,"RT @mikb0b: An interview and Ask Me Anything session with @antgoldbloom, CEO of @kaggle #AI #ML https://t.co/yGZcbDnmvt"
,,,,,,"RT @IntelSoftware: #Intel is proud to announce the winners of the @Kaggle competition to combat cervical cancer using #IntelAI: https://t.c…"
,,,,,,"We're offering $10K in prizes for the highest impact datasets shared on our public data platform in August https://t.co/XICGoJlo2b"
,,,,,,"RT @benhamner: Replace ""AI"" with ""matrix multiplication &amp; gradient descent"" in the calls for ""government regulation of AI"" to see just how…"
,,,,,,"RT @MeganRisdal: Love this new datasets round-up by @KaggleDatasets team-member @rctatman! Amazing variety + lots of NLP data. 💯 https://t.…"
