NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
autofemmes,2220,236,"Canadian Artist & Digital Consultant to successful brands. aka Zep. Paris Expert. carl@eyelarge.com | Mech Engineer Degree from @Polytechnique29 @808ml",15210,251,"@BrunoMarsSosie J’ai vu."
,,,,,,"@StefanMolyneux @realDonaldTrump It's not a quality status. It's an identity."
,,,,,,"Warhol in front of Chez Dédé https://t.co/K4yrKhU8St"
,,,,,,"@HaiTaj Ha ha, tu m’as grillé. ;-)"
,,,,,,"Petit dej Presse, Showroom Encres Jacques Herbin, 132 Quai de Jemmapes, Paris. Katarina Budin de Thinkers Consulting https://t.co/dKBmsgZwJT"
,,,,,,"I tipped the scale at 90 kg this morning. 200 pounds. I’d be officially a Cruiserweight if I were a boxer. https://t.co/0swEpFVoC2"
,,,,,,"My gaydar blipped many times for Kevin Spacey, but I dismissed those as errors, mere interferences, glitches within… https://t.co/r9ezew1Rb1"
,,,,,,"""This witchhunt must end.” - Kevin Spacey https://t.co/KCpfknJcG9"
,,,,,,"RT @ScariestStorys: This is truly incredible. https://t.co/KERsP51roF"
,,,,,,"Woman under makeshift sunscreen. https://t.co/lTILtBHhEq"
,,,,,,"Embrace what makes you happy. https://t.co/zsjy4C3hwV"
,,,,,,"Please leave Quentin out of this. #Weinstein https://t.co/2SVvG12y6x"
,,,,,,"@StylistMagazine Leave Tarantino out of this."
,,,,,,"If I had a photograph of you 
It's something to remind me 
I wouldn't spend my life just wishing…
- Flock of Seagul… https://t.co/ptqAmCmdbq"
,,,,,,"You want everybody who got Harvey’s money to return it ? Then the actresses Harvey helped win Oscars should return… https://t.co/OtU9igmeTr"
,,,,,,"This woman is lying. #HarveyWeinstein did not touch her. Sitting next to her is a greedy lawyer. Out to get money. https://t.co/EcXFN4Xgv3"
,,,,,,"Climbing wall above pool. Very cool. https://t.co/S4zzwmNDQ0"
,,,,,,"@business You gotta admit. That's an amazing photo. https://t.co/WleEvftAuE"
,,,,,,"Father &amp; son, 2012 https://t.co/WkLiae7eaV"
,,,,,,"@MattNavarra @wongmjane This is going too far."
,,,,,,"In the wake of Las Vegas pictures like this are emerging. Because they strike us by being almost painting like... https://t.co/bRPBy1xFGS"
,,,,,,"Watch this. It's about Mark Zuckerberg and Facebook ads. https://t.co/FTAfCIMstg"
,,,,,,"Selfies stepping out of rehab center. Sep 30, 17 https://t.co/Jy6uU1tKVL"
,,,,,,"Looks like @jack from @Twitter is about to allow gifs 4 profile pics. #avatar #profilepic #gifs #gif… https://t.co/j66wBjAO0x"
,,,,,,"RT @HungerMagazine: Decoding Jean-Michel Basquiat's style https://t.co/QQvRGU9K0c https://t.co/7k1xIl5lOx"
,,,,,,"Playboy’s Hugh Hefner dead at 91."
,,,,,,"@logosporn Great logos but why not give out the source links ?"
