NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
belril,3889,2608,"AI & Cloud reporter @venturebeat. Always tuning my hyperparameters. Views here are mine. Public key: https://t.co/zWiMr7xQ54 Avi by @adampatmurray",36824,796,"Words of wisdom from @Werner: https://t.co/o82uFSn15I"
,,,,,,"@SFShag I hear if you spend enough time staring at it, the rest of the year will pass you by."
,,,,,,"Nightfall. #52x17 https://t.co/gtoFtZk55f https://t.co/C6kLlgtLsS"
,,,,,,"I got a Kubernetes fidget spinner at re:Invent. We’ve hit peak 2017. https://t.co/jBIFPRgX8Z"
,,,,,,"@vmwarenews @VentureBeat @MissM0rgan Hey, correction to this — it’s Virginia, not West Virginia. Sorry for the error!"
,,,,,,"Important pitch in my inbox today: “Nasa Inspired Kitchen Knives.”"
,,,,,,"@levidurfee Alas, no."
,,,,,,"@levidurfee Oh, $&amp;*#. Transposed us-west and Northern Virginia in the worst way possible. Thanks for catching — wil… https://t.co/ZPFP06th6f"
,,,,,,"@sbisson I haven't! My reading backlog is a mile long, though. &gt;_&gt; I'll add it to the list."
,,,,,,"@sbisson We should have a spoiler-tastic discussion about that in person sometime. I would have agreed with you at… https://t.co/v24TEBmHvh"
,,,,,,"This is the book I’ve been telling everyone to read this year. If you like fantasy, you owe it to yourself. 

Fair… https://t.co/C9v8ER92Dq"
,,,,,,"This face. #52x17 https://t.co/eiups6a9qj https://t.co/VC41t13bY3"
,,,,,,"@funranium @wombatoverlord It’s amazing how *that* could have been the wackiest thing to come out of that story."
,,,,,,"Microsoft dropped the biggest cloud news of this week with a direct competitor to VMware’s work with AWS: https://t.co/rJOmeGEEhQ"
,,,,,,"RT @ellenhuet: @TaylorLorenz ""Please read me your story word for word,"" Yusupov said. ""Or you can email it to me.""

-- this is a distressin…"
,,,,,,"Presented without further comment. https://t.co/MLbriClf6o"
,,,,,,"@wombatoverlord @funranium It’s amazing how one man managed to point a howitzer at his foot and pull the trigger."
,,,,,,"RT @TaylorLorenz: There seems to be a common misconception among startup founders and PR people that a reporter needs consent to cover spec…"
,,,,,,"I…wow. I have to say, I’ve never had a story so straightforward (and positive, no less!) go completely off the rail… https://t.co/lFQ28UaIqF"
,,,,,,"RT @jbouie: this new @AdamSerwer is an absolute banger https://t.co/oA46IEKFLx https://t.co/jaKpZAhJQL"
,,,,,,"@thekenyeung Considering that it only has to contend with something described as a “monstrosity,” I can say with fa… https://t.co/a1e50vLFM9"
,,,,,,"I want precisely none of this. https://t.co/jaXEHdS29V"
,,,,,,"Thanks to @FieldNotesBrand for sending this care package to power my reporting. https://t.co/SCyiKjhh2X"
,,,,,,"@WickedGood True, but the other tools that you have aren’t facilitating you ripping those big spells, and there’s n… https://t.co/hzuFJdLcsG"
,,,,,,"@WickedGood If you manage to roll T5 Corpse Widow into T6 Kathrena, pulling Charged Devilsaur/Krush/Dred, that’s a… https://t.co/Vwx7tTJN3Q"
,,,,,,"@WickedGood I feel like we’re trending in the same direction — seems the optimal way to abuse this is with Deathrat… https://t.co/jwrK9yOPfI"
,,,,,,"@WickedGood It’s not like you’re consistently ripping something that’s big, has taunt and gains you life, which is… https://t.co/MBDry69gbz"
,,,,,,"@WickedGood I feel like that’s the sort of shell you’d need to build around it, but my question is what sort of val… https://t.co/Fi2sbXY8MS"
,,,,,,"@WickedGood Hah, at least it’s going to rotate."
,,,,,,"@fredericl At least the food there is comprehensively labeled! https://t.co/BHjdXiSj8N"
,,,,,,"@WickedGood I, for one, look forward to pulling a random 2-drop out of my deck with no battlecry."
,,,,,,"Here's Carrot Weather with a topical joke for your Monday https://t.co/Ynb82VTrEg"
,,,,,,"OH: “Can you please take the nutritional yeast out? I like that on the lentil loaf.” #justcaliforniathings"
,,,,,,"@alex Welcome to the best class."
,,,,,,"@jordannovet @ShiraOvide @rachelking Where is this?"
,,,,,,"Corollary: if you are thinking of making an announcement at re:Invent and you are not AWS, DON’T. 

I’m happy to sc… https://t.co/bcSqpfVl6e"
,,,,,,"@robhof It seems like there’s one firm that decided today’s the day."
,,,,,,"@bdsams I’m working an event today, and have to take calls from random numbers."
,,,,,,"PR Pro Tip: The only thing worse than pitching me news for during re:Invent is cold calling me to pitch that news."
,,,,,,"@zaidmasud @VentureBeat Oh jeez! Thank you for catching. Will correct."
,,,,,,"@mikerugnetta *mouth trumpets*"
,,,,,,"@thekenyeung @lhockenson @jordannovet Shakshuka? Gnocchi?"
,,,,,,"@graue It’s all pretty preposterous fun to me, tbh. Like other tech wars, just use the software that works for you!… https://t.co/jtoYaIz6gl"
,,,,,,"@geoffreyfowler @MattRosoff @cvspharmacy It’s a nationwide outage. Cause unknown by the folks I spoke with in SF, b… https://t.co/VgcM2AnpEw"
,,,,,,"LRT: Never underestimate the divisive power of text editors. 

Signed, 
A member of the emacs caucus"
,,,,,,"RT @zeynep: Narrator: “Instead, he ended up igniting a Vim vs. Emacs war in his mentions.” https://t.co/09UD42iJ1o"
,,,,,,"@jordannovet Plot twist: it’s a neural network learning to spell."
,,,,,,"RT @Arrianna_Planey: I’d seriously be ok if all the conferences I attended skipped the swag bags &amp; allocated that money toward making the e…"
,,,,,,"@KvnAndrsn Sorry, have to exchange it with Apple. And my mom gets my old case."
,,,,,,"Old and new. #52x17 https://t.co/RHTmbFtbMq https://t.co/0WZJTLEPNO"
,,,,,,"Pretty sure everyone in San Francisco heard the trumpet solo during Lenny Kravitz’s set at Dreamforce."
,,,,,,"@markjoonlee 🙄"
,,,,,,"@SFsieck New tagline: “Just stop so we can rest”"
,,,,,,"PR pro tip: If you ever encounter a database that has me located in Los Angeles, it is incorrect. 

And stop pitching me LA events. Thanks!"
,,,,,,"Salesforce quietly unveiled a new technique that massively accelerates AI translation systems: https://t.co/eJEUzQIG9l"
,,,,,,"Odd to me that @Benioff is hanging his Dreamforce keynote on diversity, equality and inclusion, while having Chris Sacca as a top speaker."
,,,,,,"@Anderson @theIRC Is there video? Please let there be video."
,,,,,,"@ellenchealy How does that…even work?"
,,,,,,"Gargoyle. #52x17 #latergram https://t.co/dppXUZtEcE https://t.co/74KpNcfS9F"
,,,,,,"@lschmeiser @AndytownSF Oh god, that way lies darkness. I’m primarily watching AMZN, but GOOGL is a close second. I… https://t.co/l8K1IclbJi"
,,,,,,"@lschmeiser Got my @AndytownSF in hand. Do your worst, Wall Street."
,,,,,,"@BeeZee @CaseyNewton I’m glad I’m not the only one who saw that."
,,,,,,"Ooh! Also a good point. Messina’s was that data scientists have to adjust algorithms to get data (stones) into the… https://t.co/GD0UAuJatK"
,,,,,,"“It’s an amazing sport, it’s on YouTube.” @chrismessina on curling, which is “kind of like machine learning.”

#VBSummitAI"
,,,,,,"From #VBSummitAI: Google’s Jeff Dean says that deep learning takes 100,000 examples: https://t.co/2Rs58m7aOp"
