NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
builtbygirls,3957,4565,"#BUILTBYGIRLS is creating the new wave of tech leaders -- who just happen to be girls 👩‍💻 💪",403756,683,".@realDonaldTrump can put up a fight, but we fight back harder 💪🏽🤖 https://t.co/fbd4KjIraE #BUILTBYGIRLS"
,,,,,,"Calling all HS + college girls in #SanFrancisco! Team #BUILTBYGIRLS is comin' for ya. We're hosting a Tech of Trans… https://t.co/zJiQrCoIRn"
,,,,,,"Does this mean we’re princesses by association @meghanmarkle? 💍 #BUILTBYGIRLS #RoyalEngagement https://t.co/qro5DlCRV9"
,,,,,,"RT @KwamesWorld: Huge congrats Priya! Well deserved! Honored to have been connected with such a bright young lady via @builtbygirls! https:…"
,,,,,,"Huge congrats to #BUILTBYGIRLS rockstar, app developer + environmental activist Priya Mittal for making… https://t.co/d8LmRimklY"
,,,,,,"RT @BUILDseriesNYC: ""Over time you will learn that just because you fail at something, does not mean that you are a failure!"" - @fly_sci on…"
,,,,,,"“Failures are fuel to keep going, to keep growing. So let’s keep failing.” 🙋🏽💁🏻🙅🏼#likeagirl https://t.co/k2SlGNytFj"
,,,,,,"RT @reigningit: #WomenWhoReign: Caitlin Stanton @codercaitlin of @Cornell, @GirlsWhoCode SIP, @builtbygirls; Inspiration: @missmayim https:…"
,,,,,,"She’s our kind of girl 👑 Pumped that supermodel + super coder @karliekloss is joining our cohort @oath👏https://t.co/krq6MLXWfZ #BUILTBYGIRLS"
,,,,,,"RT @ChelseaClinton: No one should have to worry about loved ones in a house of worship, a nightclub, a school or at a concert. #SutherlandS…"
,,,,,,"RT @mkakav: First @builtbygirls meeting today! So excited to be a mentor for the program and meet future women tech leaders 👩‍💻 💪"
,,,,,,"Monday smiles from @LittleMix 👋🏾 💁🏻🙋🏼💅🏽#BUILTBYGIRLS https://t.co/ZduUVcCMfF"
,,,,,,"RT @VZEnterprise: The app created by our latest #BuiltByGirls winner could help prevent contaminated water around the world. #inspire https…"
,,,,,,"""My best mentors have been my peers. Who do you have in your network who can be that great mentor?""💪🏼💁🏻 --… https://t.co/rhaWjUOHzD"
,,,,,,"RT @squarespace: We had so much fun hosting our friends from @builtbygirls in our #NYC office last week! Come back soon! #builtbygirls http…"
,,,,,,"RT @thebeadedpoet: @builtbygirls 
I'm excited to be apart of this generation that is empowering our young women to disrupt the status quo!"
,,,,,,"Thanks for having us! &lt;3 https://t.co/Rnl4nUCFY3"
,,,,,,"RT @sara_link: On #DayoftheGirl &amp; everyday we stand for freedom &amp; empowering girls. @oath @OathForGood @MAKERSwomen @builtbygirls  https://…"
,,,,,,"RT @AdrianeKaylor: I'm happy to see programs like .@builtbygirls and @BlackGirlsCode step in and provide that mentorship when it's most nee…"
