NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
byHeatherLong,15516,11777,"@WashingtonPost Economics Correspondent. Email: Heather.long@washpost.com Alum of @CNN and @PennLive. Central PA native.",130159,6083,"@ScottElliotG Yes. WaPo's @JStein_Wonkblog https://t.co/Ip6Hr8CyQn"
,,,,,,"RT @chicoharlan: In this depressing story, the very notion that the Rohingya ethnic minority exists is described by a Burmese security offi…"
,,,,,,"Sen. McConnell predicts unpopular tax bill will be a winning issue for GOP. 
Why? GDP likely to go ⬆️ for awhile
“W… https://t.co/0UlxRYrFW0"
,,,,,,"Will your tax bill go up or down under the GOP tax plan?
See for yourself. @washingtonpost created a calculator:… https://t.co/di8r5lMbGB"
,,,,,,"RT @jpodhoretz: WALSH: 58 People Were Killed In Las Vegas, We Still Don't Know Why Or How, And Nobody Cares | Daily Wire https://t.co/FpJcl…"
,,,,,,"RT @marcorubio: For days heard that anything more than 20% corp rate would be anti-growth &amp; catastrophic. Less than 12 hours later 22% is n…"
,,,,,,"RT @Daniel_Sugarman: I love that I live in a city where I, a Jewish journalist, can receive a card from the Muslim Mayor of London, wishing…"
,,,,,,"RT @damianpaletta: In September, Trump was furious when Cohn and Mnuchin told him the corporate tax rate would be 20%, not 15%. Mnuchin lat…"
,,,,,,"Here are 7 key differences Republicans must resolve between the House &amp; Senate bills
1. Obamacare indiv mandate
2.… https://t.co/KmISWOYCMu"
,,,,,,"RT @lhfang: Sen. Blunt's special beer tax break ended up in the tax cut legislation. His son is a beer lobbyist. https://t.co/pxWUgIiWq1"
,,,,,,"RT @M_SullivanTax: FYI. The seven major changes on the Senate floor last night. https://t.co/BsUUkM0WMM"
,,,,,,"The Senate just passed a massive tax bill. Here’s a quick rundown of what is in it:
https://t.co/gm3f8hQxM7"
,,,,,,"POTUS on Saturday morning: 
“Business taxes all the way down from 35 to 20. It could be 22 when it comes out but it… https://t.co/Eonr9v3LFf"
,,,,,,"@susanwoolner No. Actually in the end the senators voted NO in this carve out."
,,,,,,"@JaredWalczak Thanks. I wasn't sure if the final bill makes the threshold $250k or $500k.
It looked like $500k in t… https://t.co/CqQ7ibkKqh"
,,,,,,"@JaredWalczak Does this mean endowments over $250k or $500k face the excise tax?"
,,,,,,"Me: “The Senate just passed the massive tax bill.”

My Lyft driver: “Oh, you mean Congress finally did something?”

#realtalk"
,,,,,,"RT @sahilkapur: 🚨 BREAKING: SENATE PASSES SWEEPING TAX BILL 🚨

51-49

Every Republican except Bob Corker votes YES

All Democrats vote NO"
,,,,,,"RT @senorrinhatch: The Senate is now voting on final passage. #TaxReform https://t.co/tN9rsSJjre"
,,,,,,"RT @sahilkapur: Collins, Fischer, Kennedy, Murkowski voted with Democrats.

https://t.co/SmAGe0QRKI"
,,,,,,"RT @ericawerner: FINAL PASSAGE vote underway on GOP tax bill in Senate"
,,,,,,"Important Update: Only colleges and universities with endowments worth over $500,000/student have to pay the specia… https://t.co/Q00fr3UAdH"
,,,,,,"UPDATE: The Senate bill now has a tax on college endowments worth OVER $500,000 per student.
Hillsdale College no l… https://t.co/5WT2fn6Ab3"
,,,,,,"It's nearly 1am on Saturday morning. The floor of the US Senate looks like a party.
Lots of senators still going st… https://t.co/m4EAcaHa4N"
,,,,,,"People who follow Puerto Rico news... this is the latest Senate GOP bill text on Puerto Rico (page 35).
Does this P… https://t.co/0cVAEieYZu"
,,,,,,"@camharris_us It was a Repub amendment. A few Repubs and a few Dems voted for it, but vast majority of senators in… https://t.co/IPm21bP44P"
,,,,,,"Just In: Only 29 US Senators voted to give working-class families more $$$ from an expanded refundable Child Tax Cr… https://t.co/PyVdvr1rhc"
,,,,,,"RT @JStein_Wonkblog: Wait how did @SenSanders amendment to block Social Security, Medicare, &amp; Medicaid cuts get 54 no votes? 2 Senate Dems…"
,,,,,,"RT @damianpaletta: This is my favorite page of Senate tax bill so far. It could mean everything or it could mean nothing. https://t.co/d97F…"
,,,,,,"@TedWitt1 Yes, but Harvard gets taxed under this bill. Hillsdale does not. That's the point."
,,,,,,"@KickButtowski33 @AtticusGF The bill currently does tax them all...all except Hillsdale"
,,,,,,"At 10pm Friday tonight, the 479-page tax bill was finally posted for the public to see.
Voting expected soon.
To qu… https://t.co/7EhiJaqiC1"
,,,,,,"RT @RichardRubinDC: International tax news! The Senate's one-time tax on foreign profits will be 14.5% and 7.5%, not 14/7 or 10/5.   
https…"
,,,,,,"None of this is relevant to the #Hillsdale College tax break b/c the excise tax on university endowments only appli… https://t.co/0mHZH3XQ35"
,,,,,,"Hillsdale College endowment: $528 million
Hillsdale College enrollment: ~1,500
Endowment per student = over $350,00… https://t.co/bbvagbBPDI"
,,,,,,"RT @DavMicRot: It is getting nasty on the floor of the senate. Democrats hammering on provision of Trump/GOP bill that gives windfall to Hi…"
,,,,,,"Need proof the world has changed?
Fox News is currently doing a special on sexual harassment claims.
(On the night… https://t.co/8O3ZDWVaFY"
,,,,,,"RT @RichardRubinDC: Rubio: 
“You're telling me that if we have a corporate tax rate that goes from 35% to 20.94%, that’s going to hurt grow…"
,,,,,,"Worth clarifying: The Senate needs 60 votes to ensure an automatic 4% cut to Medicare doesn't kick in b/c of the ta… https://t.co/By7cwhXQn9"
,,,,,,"RT @damianpaletta: They are going to vote on this? https://t.co/Ttk3J2Ertg"
,,,,,,"""I have a lot of Democratic colleagues who come to me and say I like 80% of this bill."" -- Sen. Lankford (R-Oklahom… https://t.co/tGFbwdjVCG"
,,,,,,"If the tax bill passes, high-ranking Republicans hint the party intends to look at cutting spending on welfare, Soc… https://t.co/ynzHwqsCPF"
,,,,,,"RT @vicfleischer: Blackstone, Carlyle, KKR, Apollo just got their own little loophole in the tax bill. Cornyn amendment 1715 (to be include…"
,,,,,,"GOP Senator John Thune just said (again) that tax cuts pay for themselves:

If growth picks up a little more, “we w… https://t.co/J2dDrEIySo"
,,,,,,"RT @christinawilkie: NEWS: Jeff Flake is a YES on tax reform. Full statement &gt;&gt; https://t.co/T47o01BavD"
,,,,,,"RT @ericawerner: Siren. 
Flake “yes.”
They have the votes. Corker getting rolled."
,,,,,,"RT @jimtankersley: It's looking v much like there will be *nothing* in the revised Senate bill to address Corker/Flake deficit concerns. (G…"
,,,,,,"If Republicans can get Sen. Collins on board with their tax plan, they'll have the 50 votes they need to pass the m… https://t.co/1zsIBuCauq"
,,,,,,"RT @sahilkapur: NEW: Senate plans to add a House-style SALT exemption up to $10,000, per a GOP senator and an aide crafting the legislation."
,,,,,,"The Senate GOP tax bill holdouts:
Senator Corker (R-Tenn.) -- deficit concerns
Senator Flake (R-Ariz.) -- deficit c… https://t.co/YX51PlRmxa"
,,,,,,"Sen. John Cornyn (R-Tex.): “We have at least 50 [votes], and we’re still working.”
@ericawerner  and @damianpaletta… https://t.co/OpQY26A3eF"
,,,,,,"RT @myhlee: Developing story, from me &amp; @eliseviebeck: House ethics panel to review all claims of harassment, misconduct against sitting la…"
,,,,,,"RT @hsu_spencer: #BREAKING Criminal information filed against Michael Flynn https://t.co/or6Nc4zUbu"
,,,,,,"RT @washingtonpost: After years of deficit preaching, Republicans face a hard lesson in a report on their tax plan https://t.co/tzUXhpmFm2"
,,,,,,"RT @larry_kudlow: Democrats Should Recall Their Extensive Tax-Cut History - https://t.co/sCHYgBdMkU #GoogleAlerts"
,,,,,,"RT @jimtankersley: Remember: We never saw a JCT dynamic score on the House bill.

Here's what Ways &amp; Means Chair Kevin Brady told me abt JC…"
