NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
carlmalamud,12585,186,"Archivist. Usually civil servant. Founder of https://t.co/j6ooU76oQO.   Open Source America's Operating System.  It's not just a good idea, it's the law.",119427,509,"A short history of Kerala and her Jews. https://t.co/C1zMAFbl5w Part of the large collection donated by Mr. Morley… https://t.co/vAcUmtXRBt"
,,,,,,"Adding some very nice publications from the Archeological Survey of India. https://t.co/mYbk8f3yI6 https://t.co/G67VNbrnKN"
,,,,,,"Doing all the year-end donations for myself and for my mother. For myself, I gave much more than usual to our volun… https://t.co/Vt52fsNC9j"
,,,,,,"I’ve been enjoying watching @sampitroda doing daily live town halls for Gujaratis. Speaks from the heart.… https://t.co/FA1rbnFqOw"
,,,,,,"""One person who was recently contacted said it is hard to find a lawyer available for advice on how to interact wit… https://t.co/QjpephdmRY"
,,,,,,"RT @nntaleb: Expected time to COVFEFE: part of the exam at the Indian Statistical Institute.
cc:@CutTheKnotMath https://t.co/jTpxan518r"
,,,,,,"@noUpside @digiphile @chief_ventures @FCC @tech_hypomanic @vongernation @AndrewNebus @securityvoid 444,938 anonymou… https://t.co/k1O8tt9VL0"
,,,,,,"I am about to watch what is reputed to be the most expensive film in the history of Indian cinema. Enthiran.  https://t.co/2cdH6vJZ66"
,,,,,,"Public Library of India served 898,495 books in November. https://t.co/9IVc4fG9eJ Numbers are rebounding. 9,377,477… https://t.co/3jioAT6WD3"
,,,,,,"RT @antievictionmap: Neo-Nazi wealth is rapidly growing. Why? Bitcoin., via @mic https://t.co/US6m4DSxU3"
,,,,,,"RT @thinkpiecebot: happy fucking holidays. eat the rich https://t.co/Hwr72l6UtL"
,,,,,,"@SaraKubik @vpolley I think Ropes &amp; Gray has a task force assigned. Brody only gets called after the team has analy… https://t.co/ROOSZ1iZ5E"
,,,,,,"TIL, there are 483 new/modified graphics in the 2016 India National Building Code compared to 2005 edition. Job is… https://t.co/KcLPhsmy61"
,,,,,,"@SaraKubik @vpolley I know from correspondence such as this emergency Christmas eve notice in regards to the Bluebo… https://t.co/DQ16i698Gl"
,,,,,,"@spjika @eddietejeda @timoreilly @michalmigurski @technickle @geanuracos Y’all look shell-shocked. Like wtf happene… https://t.co/55ok3vxea9"
,,,,,,"RT @internetarchive: Support @internetArchive so no one will ever be able to change the past. Why? Even though it’s 2017, it’s still 1984.…"
,,,,,,"Wag the dog. https://t.co/gagoYukFcP"
,,,,,,"@jessamyn @john_overholt I think proofing a person is when you give them a breathalyzer. “Roger, I’m proofing the s… https://t.co/kzZxqVajEg"
,,,,,,"@john_overholt Well, that’s grammatical nonsense! Proofing being the process of identifying the liquor not the drin… https://t.co/VJRT3qVMiZ"
,,,,,,"@john_overholt One period at the end of 3 sentences. Or, at least a head, a sentence, a second one. And what the he… https://t.co/7iJHahQMyG"
,,,,,,"@therealfitz @waldojaquith If Trump is impeached before Christmas, I will believe in miracles and convert to the religion of your choice."
,,,,,,"@dpatil That’s #yeswescan https://t.co/nqQ3kALBzH"
,,,,,,"@waldojaquith I want gloves rated to handle uranium and bitcoins. Multipurpose radioactive substances protection."
