NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
chrmanning,17941,1,"Find out what I'm up to at @stanfordnlp.",2341,1730,"@AngeloSunmile @RichardSocher No. It’s once a year … or watch the videos on YouTube: https://t.co/gy754XjZLc"
,,,,,,"RT @talkrtr: I found this article by @chrmanning informative and strangely reassuring. 

https://t.co/7ibPXhqR4h"
,,,,,,"RT @haldaume3: yay australia! 🌈💕"
,,,,,,"@bertvandepoel If someone else wanted to actively maintain it, I’d be open to offers. Or contributions."
,,,,,,"@bertvandepoel Honest answer: I’m inactively maintaining it. I guess last update was 2013. At that time, I made one… https://t.co/FAQtTmZdlc"
,,,,,,"@maaike Absolutely wasn’t meaning to criticize—just a light-hearted reflection on the past."
,,,,,,"@maaike At the time I made it, I thought I was being quite modern. CSS &amp; UTF-8!"
,,,,,,"RT @_rockt: I am very excited to share our paper on Differentiable Tree Planning for Deep RL w/ @greg_far @MaxiIgl &amp; @shimon8282 https://t.…"
,,,,,,"🤔 Great fact-checking initiative but jarring to see @Google move from gateway to the web to regarding web as theirs… https://t.co/Mq8ITg1N84"
,,,,,,"RT @mark_riedl: Good read. The Russian ads are a red herring. Facebook's Algorithm broke our country https://t.co/Fnfre3ZzxR"
,,,,,,"@xiangrenUSC @ani_nenkova Original conlleval standard eval script already gives per-entity results—no changes neede… https://t.co/3nmn5pMYjb"
,,,,,,"RT @xuechen1994: Just begin to have a complete check of Stanford's CS224d and with all due respect, I'd like to say.....I love @chrmanning'…"
,,,,,,"@LeonDerczynski @zehavoc Isn’t it indeed that more fixed word order is good for Brown clusters, free word order is… https://t.co/wNS6YNiOE4"
,,,,,,"RT @awnihannun: Cool to see an attentional model learn an ""alignment"" over time. Happens quite suddenly. https://t.co/iPZXrlr25K"
,,,,,,"RT @mdlhx: Here we go: https://t.co/eUKNk6Jh5s, minimally edited notes. Bit long, I will try to do a TL;DR #DEPLING2017 #IWPT2017 #ParsingA…"
,,,,,,"@ricardo_usbeck @yoavgo Really no intro texts. Some papers: https://t.co/HLd5v8CWVu https://t.co/JBWDwbtmfu https://t.co/nYH3ih6qEN"
,,,,,,"RT @yoavgo: slides: https://t.co/k30iufQ7pF"
