NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
cjmaddison,1590,189,"Oxford PhD, DeepMind Research Scientist, AlphaGo contributor, interested in probabilistic inference and Monte Carlo methods.",363666,288,"RT @Yuhu_ai_: People need RELAX! https://t.co/0Nke5sSbZc"
,,,,,,"Our 2013 paper is going to blow up! https://t.co/VjxxBOEwfz"
,,,,,,"RT @googleresearch: Check out Tangent, an experimental open-source Python library for automatic differentiation → https://t.co/851ztU6nYy h…"
,,,,,,"RT @AndrewDGordon: note to self: ""comparison is the thief of joy"""
,,,,,,"RT @UofTCompSci: Tonight we're watching the #AI doc @alphagomovie (6 pm SF 1105) 📽️ Here's the #UofT story of #AlphaGo's win: https://t.co/…"
,,,,,,"RT @lauraalbertphd: #HappyHalloween ! https://t.co/0oBevpyTl3"
,,,,,,"@egrefen @DeepSpiker AIXI, I guess."
,,,,,,"@egrefen @DeepSpiker On the other hand, is there an example of an intelligence (artificial or otherwise) that isn’t… https://t.co/4DOh0LtEMp"
,,,,,,"RT @egrefen: The number of times I've said this and heard some excuse... https://t.co/G7ezAqXium"
,,,,,,"Feeling inspired by all the cool ICLR submissions!"
,,,,,,"RT @scott_linderman: Reparam. the Birkhoff Polytope for Variational Permutation Inference https://t.co/QK0dSXzp2K (like Concrete for permut…"
,,,,,,"RT @jakevdp: SciPy 1.0 was released today, after 16 years of development! Congrats &amp; huge thanks to all involved! https://t.co/OUKfclUDI9"
,,,,,,"RT @Malala: UK students: You can enter the Malala's Magic Pencil essay contest and win books &amp; other prizes for your school. ✏️📚🏆https://t.…"
,,,,,,"RT @roydanroy: Camera ready of our nonvacuous neural network bounds using PAC Bayes. More work along these lines coming.  https://t.co/J4YC…"
,,,,,,"RT @DeepSpiker: ML community must start discouraging hand-waving arguments in both papers and reviews. We cannot rely on ""gut feelings"" to…"
,,,,,,"RT @confirmedhoax: Non, je ne vinaigrette rien"
,,,,,,"RT @roydanroy: Orbanz has dropped his preprint! https://t.co/YF17bOv7zQ"
,,,,,,"RT @Malala: 5 years ago, I was shot in an attempt to stop me from speaking out for girls' education. Today, I attend my first lectures at O…"
,,,,,,"@roydanroy @demishassabis You can see me briefly with the team talking a bit of technobabble and a part of two comedic moments!"
,,,,,,"RT @DeepMindAI: We're opening a new research office in #Montreal, Canada, in collaboration with @mcgillu &amp; led by Dr. Doina Precup: https:/…"
,,,,,,"RT @OriolVinyalsML: WaveNet becomes the voice of Google Assistant! 1000x faster &amp; better, brought to you by a neural net : ) https://t.co/6…"
,,,,,,"RT @googleresearch: Google AI Residency Program (formerly the Brain Residency Program) applications are now open. Learn more &amp; apply at htt…"
,,,,,,"RT @AdrianRaftery1: Emil Gumbel: German statistician, extreme value theory pioneer, data scientist before its time, anti-Nazi activist in 1…"
,,,,,,"RT @numbercrunching: Excited for the Google AI Residency program (formerly Brain residency). Now also in other locations (like Montreal): h…"
,,,,,,"RT @roydanroy: It's now public that @VectorInst has hired CEO and President Garth Gibson. Welcome back! https://t.co/v6qJ8nOS7O"
,,,,,,"Really mostly due to the fantastic work of George Tucker @GoogleBrain! https://t.co/sqn3lTMPVe"
,,,,,,"RT @ivanbeckley: Great news! It's my pleasure to share that @DeepMindAI will be sponsoring my MSc. Thank you all for your support! 🙏🏾 https…"
,,,,,,"RT @le_roux_nicolas: You think @hugo_larochelle , @numbercrunching , @marcgbellemare are cool and you're a PhD student? Be an intern with u…"
,,,,,,"RT @ilyasut: If learning models the fact that other agents learn too, the agents converge on to much better cooperative mutually-beneficial…"
,,,,,,"Most studies of non-human intelligence reveal deltas on an intelligence landscape, say very little about our absolute place."
,,,,,,"RT @roydanroy: If your NIPS paper got rejected, and you live in the U.S., let's face it... it's probably because of Trump. Go North."
,,,,,,"This is seriously cool! https://t.co/LR7yHDnoOP"
,,,,,,"RT @ml_review: ""Filtering Variational Objectives"" #ICML2017 by @cjmaddison
Uses a particle filter to form a tighter bound then ELBO
https:/…"
,,,,,,"RT @latentjasper: Which one is the real @hugo_larochelle ? https://t.co/clZhOnHFXk"
,,,,,,"@roydanroy Also listen to his guest appearance on Sam Harris' podcast https://t.co/WbiDMTDlEx"
,,,,,,"RT @marcgbellemare: Very excited to share our distributional RL paper! See you @ #ICML17 @DeepMindAI https://t.co/8kHbI2RXT4 https://t.co/P…"
,,,,,,"@pfau @hardmaru I wonder if LSTMs can learn to sort lists..."
,,,,,,"@WayneMaddison Best news all week!"
,,,,,,"@roydanroy Congrats! Good for Canada :)"
,,,,,,"RT @DeepMindAI: We're opening a research office in #Edmonton, Canada, in collaboration with @UAlberta, led by RL pioneer Rich Sutton https:…"
,,,,,,"Comparing our intel. to possib. intel: ""We will see; we are not @ the centre of some universal, we are @ the edge"" https://t.co/0IU7FsR6PP"
,,,,,,"@RogerGrosse Any particular tricks you have in mind?"
,,,,,,"@dwf @pfau Yes basically agree in that respect, although if we know the metric why not end2end?"
,,,,,,"@dwf @pfau But we can quantify the degree to which they achieve that utility."
,,,,,,"RT @ArthurGretton: I just published “Notes on the Cramer GAN” https://t.co/UAgvS0zVyI"
,,,,,,"RT @RogerGrosse: The Wasserstein GAN should have been called the GAN whose Discriminator's A Lipschitz Function (GANDALF)."
,,,,,,"Particularly enjoyed how cleanly this extends and deepens results from the perturb-and-MAP community."
,,,,,,"The Lost Relatives of the Gumbel Trick by Matej Balog et al. https://t.co/1DVCkwnU59"
,,,,,,"@agordonandstuff Thanks!!!!"
,,,,,,"RT @RogerGrosse: Lots of papers claim to fix mode dropping in GANs. But you can't tell from samples, you need to test quantitatively. https…"
,,,,,,"RT @agordonandstuff: I maintain that @thirstyandm is the best bar in Toronto. https://t.co/9scg17sRFg"
,,,,,,"RT @ML_Hipster: It's pretty clear what he meant to say was ""Despite the constant negative press Cov(φ,φ) is always positive semi-definite.""…"
,,,,,,"Our new paper, FIVO: tighter bounds on the likelihood with big gains for sequential neural latent variable models https://t.co/dO7EWXmD8y"
,,,,,,"@AliMakhzani be me; latex on laptop compile to A4; fail style checker; 21:55 UTC; MFW."
,,,,,,"RT @OriolVinyalsML: A typical training curve in Montezuma's Revenge (note: there are several random seeds which overlap) 😭 #nips #rl #explo…"
,,,,,,"@DhruvBatraDB @numbercrunching Finally people understand me!"
,,,,,,"@poolio Too soon."
,,,,,,"RT @poolio: Interesting paper compares MLE (left) vs. GAN (right) training of real NVP models (tractable p(x)) from @DeepMindAI: https://t.…"
,,,,,,"@agordonandstuff @Ben_T_Johnson Bravo!!"
,,,,,,"RT @TlkngMchns: Hello fellow nerds! Apologies it's been so long since our last show, but we're happy to announce the launch of sn 3! https:…"
,,,,,,"RT @DeepMindAI: #AlphaGo is playing again in May, in a festival designed to explore the mysteries of Go! More on our blog: https://t.co/NnH…"
,,,,,,"@DavidDuvenaud @dustinvtran Yes, agreed. Reducing dim is a big deal, but I wish we could say more."
,,,,,,"@dustinvtran @DavidDuvenaud Can you make the first point precise? I don't think it's obvious that p(class | z) is a… https://t.co/cNnRIGYDNa"
,,,,,,"RT @StatMLPapers: REBAR: Low-variance, unbiased gradient estimates for discrete latent variable models. (arXiv:1703.07370v1 [cs.LG]) https:…"
,,,,,,"RT @lcharlin: Canadian budget has $125M for AI (research)! A new joint center in MTL, TO, &amp; EDM (managed by CIFAR). Details p.103 https://t…"
,,,,,,"Lurching my way back to London on the train (I think I smell burning brakes) from a great Edinburgh Deep Learning Workshop! #deeped17"
,,,,,,"RT @poolio: Evolution is catching up to intelligent design for neural net architectures (94.6% vs. 96.7% on CIFAR-10): https://t.co/ZCSjuBO…"
,,,,,,"RT @numbercrunching: Thank you Microsoft Research for a great 4+ years. Now on to new adventures - very excited to join @hugo_larochelle at…"
