NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
clattner_llvm,47795,674,"LLVM & Clang rule the world. The present revolution is Swift!",19548,24976,"RT @lexlash: @gmosx @clattner_llvm My team is planning to contribute to lib/Syntax - we're interested in linting, formatting, and refactori…"
,,,,,,"Swift at Google has enough folks working on it that we need a staging ground/integration point, and we decided it s… https://t.co/QYHbo681PG"
,,,,,,"@dhartbit @jckarter @slava_pestov @JadenGeller I think that Swift has a really phenomenal community, filled with gr… https://t.co/A5HBZYuGL4"
,,,,,,"@jckarter @slava_pestov @JadenGeller Basic expectations of swift-evolution:
1) Responding? read proposal first.
2)… https://t.co/5u6o3za6tu"
,,,,,,"@dgregor79 @slava_pestov @gregheo No respect until you also implement variadic generics in three compilers..."
,,,,,,"@AirspeedSwift Sure, with three space indents, you are eligible for 120 column wide files."
,,,,,,"@nadavrot You had me at arm demangler.  Layering violation?"
,,,,,,"RT @dgregor79: Great talk! Definitely worth your time if you’re interested in the implementation of generics in a statically-compiled progr…"
,,,,,,"RT @modocache: Looks like the Swift generics talk from LLVM Dev Meeting is up: https://t.co/i3bJQwHJN9"
,,,,,,"RT @TensorFlow: Introducing Eager Execution - an imperative, define-by-run interface for #TensorFlow! 

Learn more here → https://t.co/S3te…"
,,,,,,"RT @Chris__Bailey: Kitura 2.0, as announced today at the #swiftsummit
https://t.co/cvTrsKx5O6 https://t.co/LIcXK37d0d"
,,,,,,"@olebegemann You are sensationalizing a quote out of context.  A complete contextualized quote would be that ""code… https://t.co/YJNa8IUxRQ"
,,,,,,"@blelbach @llvm LA-LA-VOOM"
,,,,,,"@hansw2000 @chandlerc1024 Perhaps not the worst thing that could happen to someone :-)"
,,,,,,"RT @llvmorg: The 2017 LLVM Developers' Meeting is in full swing. Videos will be posted online sometime after the event. #LLVMDevMtg #LLVM h…"
,,,,,,"RT @tkremenek: Kicking off Swift 4.1: https://t.co/uUJqllg9nx"
,,,,,,"RT @llvmorg: Are your feet feeling cold? Maybe some dragons can warm them up. #LLVM #LLVMDevMtg https://t.co/ZE0YXaUU04"
,,,,,,"A nice (but long) discussion of how Swift encourages correctness by construction (beyond eliminating UB bugs): https://t.co/eiB4w0OsuB"
,,,,,,"RT @slava_pestov: Synthesized Equatable/Hashable for structs and enums has landed: https://t.co/E6SR0r2gHv"
,,,,,,"@slava_pestov Crazy, fixed‽‽‽"
,,,,,,"@iannleon Profile picture :)"
,,,,,,"@dhartbit @Chris__Bailey swift-server-dev mailing list: https://t.co/mGRZKWyu7N"
,,,,,,"RT @Chris__Bailey: HTTP server v0.1.0 from the Swift Server APIs project now available. Time to kick the tires and provide feedback!
https:…"
,,,,,,"No fair pitting a manager against two prolific engineers.🤣 @SwiftCoders says you have questions about LLVM? Hope to… https://t.co/leYgalSA7I"
,,,,,,"@eurekasfray Sure, send me an email please."
,,,,,,"@modocache @olebegemann @jesse_squires That's a bug, not a feature.... 😩"
,,,,,,"@garrettmaring @tanner0101 @ayanonagon @NSHipster @chriseidhof @alfa They are sugar (nothing more) and important fo… https://t.co/JrDHEqRb1q"
,,,,,,"@garrettmaring @tanner0101 @ayanonagon @NSHipster @chriseidhof @alfa I used one yesterday, with an unaudited C API… https://t.co/gXHhks5zKL"
,,,,,,"RT @llvmorg: Happy 10th anniversary to Clang!! https://t.co/YNIbSSSFy2"
,,,,,,"Looks like a cool tool to define types from JSON examples https://t.co/RtpP29EmO5"
,,,,,,"@modocache @slava_pestov @tonic888 Did you draw this?  You have no idea how much fun Tanya is having with this right now :-)"
,,,,,,"RT @tkremenek: Swift 4.0 officially released! https://t.co/y9VnbPfAYS"
,,,,,,"RT @johnregehr: check out the new dragon https://t.co/7mVbYmkWYQ"
,,,,,,"@modocache Heh ok, I'm missing some context.  Referring to @tonic888 maybe?"
,,,,,,"@rxwei And why is the swift upside down??  🙃"
,,,,,,"Hard to believe it is already eek of 🐟 at 🍎"
,,,,,,"RT @llvmorg: LLVM 5.0 has been released! Thank you Hans, release testers, and everyone for all their hard work. https://t.co/y5kySJXBoT"
,,,,,,"Wow, I didn't realize that llvm/clang were growing this fast.  Such a great community! https://t.co/wV9AvWTxW4"
,,,,,,"RT @simjp: Thanks @clattner_llvm for discussing your concurrency manifesto with us! https://t.co/2XGobq2oGF"
,,,,,,"@simjp This chat was recorded a few weeks ago, so it doesn't incorporate some recent comments from folks, but is still a good intro!"
