NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
cnntech,572257,409,"All the ways tech impacts your life.",2547,2883,"To exploit the vulnerability, someone with access to the computer can type ""root"" and no password in the Users &amp; Gr… https://t.co/6siz1gVPeh"
,,,,,,"In the survey, 57% of women said they were harassed by a colleague and 36% by a direct boss. https://t.co/bADHlmKVf4"
,,,,,,"The update will be rolled out automatically to all systems running the affected software. https://t.co/VElDwi5fSW"
,,,,,,"Watch thieves steal this car by hacking its keyless tech: https://t.co/KhCllV6cKr https://t.co/mMVJ0jKFDB"
,,,,,,"Get ready for the E-Fan X. https://t.co/93Qmj7CX4k"
,,,,,,".@paperlesspost founder's technology helps get people face-to-face https://t.co/kUdi9UYnZD https://t.co/yZ0Qnwv4cE"
,,,,,,"""When it comes to a free and open internet, Twitter is part of the problem."" https://t.co/l4Ci6LIKdV"
,,,,,,".@Airbnb users will be able to split the cost of a listing with up to 16 people.  https://t.co/hvGISNv9OL"
,,,,,,".@WilliamsSonoma places $112 million bet on AR shopping https://t.co/LqVtDoSfeb https://t.co/TKs7jH5Q1W"
,,,,,,"China wants to be an artificial intelligence superpower by 2030. https://t.co/kBcRtfmTs4"
,,,,,,"The best gadget gifts for 2017: https://t.co/p0DXm5Tan1 https://t.co/QCrAUtwWJJ"
,,,,,,".@bumble_app founder created the app after experiencing online harassment
https://t.co/6GpdDLO9Jl https://t.co/fgJy99og42"
,,,,,,"Watch these wingsuit stuntmen fly into a plane mid-air: https://t.co/bIHfzPANgc https://t.co/ONb0RtWskN"
,,,,,,"Could a foldable iPhone be in our future? 
https://t.co/VbLPs0Xbpm"
,,,,,,"Phones across the world running iOS 11 encountered a glitch that triggered at 12:15 a.m. local time.
https://t.co/LHeRrO0CJR"
,,,,,,"A judge ruled Friday that President Trump's DHS can't delay the start of an Obama administration visa program for f… https://t.co/cMHclIAHc7"
,,,,,,"Swipe right to meet your next career contact! https://t.co/G8LzwP6DnN"
,,,,,,"One carmaker is leading India's electric charge and it isn't Tesla: https://t.co/2EvHsx2v0P https://t.co/jZ9me4ASAL"
,,,,,,"Can Facebook help prevent suicide?
 https://t.co/LBhAC3VaTy"
,,,,,,"Will a redesign help woo new Snapchat users? https://t.co/LKHTyCAGY7 https://t.co/WAosTHolZc"
,,,,,,"The world's biggest lithium ion battery has started delivering power in Australia: https://t.co/mc5YfiwhAO https://t.co/sTVHMKSjvG"
,,,,,,"Period Con looks to dispel myths around menstruation: https://t.co/ExBIgMamKA https://t.co/pZhoeAn75c"
,,,,,,"Under this bill, if an individual knowingly conceals a data breach, they could face up to five years in prison. https://t.co/ebmkPqtqIx"
,,,,,,".@BillGates is investing $80 million to build an Arizona smart city: https://t.co/4AhwaRGD1T https://t.co/mF8HxyCz3M"
,,,,,,"Holiday shopping for the techie in the family? Our gift guide is here to help! https://t.co/8T6iTDgNm0 https://t.co/IhT0yAhwzP"
,,,,,,"Looking for job security? Maybe it's time to take up plumbing or gardening. https://t.co/bvMGR69SXh"
,,,,,,"The rocket, known as the Falcon Heavy, will lift off from Cape Canaveral, using the same launchpad as Apollo 11,… https://t.co/e1RRpDct4e"
,,,,,,"These scientists ran high-tech DNA tests on bits and pieces of items believed to be from a Yeti. What they found so… https://t.co/sbWkCWsWYD"
,,,,,,"In the future, your kitchen will think for itself. https://t.co/pEq6xavU81 https://t.co/OSKHUpWlMp"
,,,,,,"The class teaches its 80 students how to find security flaws in the apps and websites people use every day. https://t.co/H7rEcl1nfn"
,,,,,,"General Motors wants the whole enchilada for itself, but can it move fast enough to pull it off? https://t.co/8uKSAQGefn"
,,,,,,"""We mistakenly pointed to the wrong reason we didn't take action on the videos from earlier this week."" https://t.co/jp817RwiLC"
,,,,,,"Unlike flying cars, these futuristic features are already on the road. https://t.co/gz5SqRJrJo"
,,,,,,"Watch these wingsuit stuntmen fly into a plane mid-air: https://t.co/H0ztFPMkFC https://t.co/rNCUvDwnlZ"
,,,,,,"Twitter's explanation? ""Legitimate public interest."" https://t.co/JepXoTSUu1"
,,,,,,"In the survey, 57% of women said they were harassed by a colleague and 36% by a direct boss. https://t.co/UGO39RqyDw"
